1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,9,0,8,ND,ND,1,ND,ND,0,0,0,0,0,0,0,0,54,0,0,0,53,-6,ND,ND,0,ND,ND,0,ND,ND,0,0,0,0,0,7,0,0,0,0,0,0,-45,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-6,0,-6,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,108,0,0,0,144,-60,ND,ND,1,ND,ND,0,ND,ND,0,0,0,0,0,23,0,0,0,0,0,0,-114,0,0,0
1952:Q1,896,0,896,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,1896,0,0,320,612,608,ND,ND,4,ND,ND,0,ND,ND,0,0,332,0,0,20,0,0,0,0,0,0,-1000,0,0,0
1952:Q2,-788,0,-788,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,112,0,0,348,384,-592,ND,ND,4,ND,ND,0,ND,ND,0,0,12,0,0,-44,0,0,0,0,0,0,-900,0,0,0
1952:Q3,1540,0,1544,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,0,4100,0,0,2048,432,1632,ND,ND,-4,ND,ND,0,ND,ND,0,0,16,0,0,-24,0,0,0,0,0,0,-2560,0,0,0
1952:Q4,-1512,0,-1512,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-2820,0,0,-1728,440,-1576,ND,ND,4,ND,ND,0,ND,ND,0,0,12,0,0,28,0,0,0,0,0,0,1308,0,0,0
1953:Q1,2308,0,2308,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,1840,0,0,36,-60,1852,ND,ND,-4,ND,ND,0,ND,ND,0,0,4,0,0,12,0,0,0,0,0,0,468,0,0,0
1953:Q2,-2316,0,-2316,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-2896,0,0,-1024,-24,-1820,ND,ND,0,ND,ND,0,ND,ND,0,0,8,0,0,-36,0,0,0,0,0,0,580,0,0,0
1953:Q3,756,0,756,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,4040,0,0,3260,32,752,ND,ND,4,ND,ND,0,ND,ND,0,0,0,0,0,-8,0,0,0,0,0,0,-3284,0,0,0
1953:Q4,-784,0,-784,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-3560,0,0,-2560,-212,-868,ND,ND,0,ND,ND,0,ND,ND,0,0,4,0,0,76,0,0,0,0,0,0,2776,0,0,0
1954:Q1,148,0,148,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-1756,0,0,-1564,-612,428,ND,ND,0,ND,ND,0,ND,ND,0,0,8,0,0,-16,0,0,0,0,0,0,1904,0,0,0
1954:Q2,-196,0,-196,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-32,0,0,864,-440,-444,ND,ND,0,ND,ND,0,ND,ND,0,0,8,0,0,-20,0,0,0,0,0,0,-164,0,0,0
1954:Q3,1212,0,1208,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,4176,0,0,4024,-808,936,ND,ND,4,ND,ND,0,ND,ND,0,0,8,0,0,12,0,0,0,0,0,0,-2964,0,0,0
1954:Q4,-1244,0,-1244,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-4496,0,0,-3336,-356,-840,ND,ND,0,ND,ND,0,ND,ND,0,0,12,0,0,24,0,0,0,0,0,0,3252,0,0,0
1955:Q1,2612,0,2612,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,3980,0,0,920,356,2616,ND,ND,0,ND,ND,0,ND,ND,0,0,20,0,0,68,0,0,0,0,0,0,-1368,0,0,0
1955:Q2,-2452,0,-2452,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-3416,0,0,-1608,340,-2168,ND,ND,4,ND,ND,0,ND,ND,0,0,28,0,0,-12,0,0,0,0,0,0,964,0,0,0
1955:Q3,1668,0,1668,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,6480,0,0,4544,364,1392,ND,ND,0,ND,ND,0,ND,ND,0,0,28,0,0,48,104,0,0,0,0,0,-4812,0,0,0
1955:Q4,-1736,0,-1736,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-2468,0,0,-1660,356,-1200,ND,ND,0,ND,ND,0,ND,ND,0,0,28,0,0,-48,56,0,0,0,0,0,732,0,0,0
1956:Q1,3156,0,3156,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,1828,0,0,-632,-328,2584,ND,ND,0,ND,ND,0,ND,ND,0,0,32,0,0,172,0,0,0,0,0,0,1328,0,0,0
1956:Q2,-2940,0,-2944,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,-4716,0,0,-2252,-56,-2296,ND,ND,4,ND,ND,0,ND,ND,0,0,40,0,0,-144,-12,0,0,0,0,0,1776,0,0,0
1956:Q3,2772,0,2772,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,9376,0,0,7512,-64,1872,ND,ND,0,ND,ND,0,ND,ND,0,0,32,0,0,84,-60,0,0,0,0,0,-6604,0,0,0
1956:Q4,-2988,0,-2988,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-4316,0,0,-2344,216,-2160,ND,ND,4,ND,ND,0,ND,ND,0,0,32,0,0,-48,-16,0,0,0,0,0,1328,0,0,0
1957:Q1,3568,0,3564,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,2116,0,0,-696,252,2484,ND,ND,0,ND,ND,0,ND,ND,0,0,24,0,0,52,0,0,0,0,0,0,1452,0,0,0
1957:Q2,-1112,0,-1116,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,-5164,0,0,-4472,-56,-664,ND,ND,0,ND,ND,0,ND,ND,0,0,20,0,0,20,-12,0,0,0,0,0,4052,0,0,0
1957:Q3,148,0,144,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,8720,0,0,8968,-64,-180,ND,ND,0,ND,ND,0,ND,ND,0,0,20,0,0,-28,4,0,0,0,0,0,-8572,0,0,0
1957:Q4,-2660,0,-2664,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,-2340,0,0,-1688,676,-1372,ND,ND,4,ND,ND,0,ND,ND,0,0,16,0,0,16,8,0,0,0,0,0,-320,0,0,0
1958:Q1,2268,0,2268,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,1776,0,0,-248,-548,2456,ND,ND,0,ND,ND,0,ND,ND,0,0,20,0,0,120,-24,0,0,0,0,0,492,0,0,0
1958:Q2,4,0,0,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,-7596,0,0,-7032,-440,-248,ND,ND,0,ND,ND,0,ND,ND,0,0,12,0,0,120,-8,0,0,0,0,0,7600,0,0,0
1958:Q3,1320,0,1320,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,8120,0,0,8372,-464,252,ND,ND,0,ND,ND,0,ND,ND,0,0,16,0,0,-44,-12,0,0,0,0,0,-6800,0,0,0
1958:Q4,-3584,0,-3588,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,-5868,0,0,-2704,-312,-2628,ND,ND,0,ND,ND,0,ND,ND,0,0,24,0,0,-220,-28,0,0,0,0,0,2284,0,0,0
1959:Q1,4352,0,4356,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,0,-1520,0,0,-4852,-156,3332,ND,ND,0,ND,ND,0,ND,ND,0,0,28,0,0,128,0,0,0,0,0,0,5872,0,0,0
1959:Q2,1020,0,1020,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-1128,0,0,-816,-28,-324,ND,ND,4,ND,ND,0,ND,ND,0,0,28,0,0,8,0,0,0,0,0,0,2148,0,0,0
1959:Q3,-2212,0,-2212,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,2768,0,0,3992,-32,-1372,ND,ND,0,ND,ND,0,ND,ND,0,0,36,0,0,144,0,0,0,0,0,0,-4980,0,0,0
1959:Q4,-2756,0,-2756,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-3608,0,0,-1688,104,-1916,ND,ND,0,ND,ND,0,ND,ND,0,0,32,0,0,-140,0,0,0,0,0,0,852,0,0,0
1960:Q1,6928,0,6936,ND,ND,-8,ND,ND,0,0,0,0,0,0,0,0,2584,0,0,-1688,196,3924,ND,ND,0,ND,ND,0,ND,ND,0,0,40,0,0,112,0,0,0,0,0,0,4344,0,0,0
1960:Q2,-1724,0,-1716,ND,ND,-8,ND,ND,0,0,0,0,0,0,0,0,-180,0,0,-616,408,-48,ND,ND,0,ND,ND,0,ND,ND,0,0,40,0,0,36,0,0,0,0,0,0,-1544,0,0,0
1960:Q3,-1340,0,-1336,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,0,316,0,0,620,404,-836,ND,ND,4,ND,ND,0,ND,ND,0,0,44,0,0,80,0,0,0,0,0,0,-1656,0,0,0
1960:Q4,-3964,0,-3956,ND,ND,-8,ND,ND,0,0,0,0,0,0,0,0,-3536,0,0,-1324,380,-2512,ND,ND,0,ND,ND,0,ND,ND,0,0,36,0,0,-128,12,0,0,0,0,0,-428,0,0,0
1961:Q1,5020,0,4908,ND,ND,12,ND,ND,0,0,0,0,0,0,0,100,5004,0,50,1020,-334,3988,ND,ND,4,ND,ND,0,ND,ND,0,0,36,0,0,252,-12,0,0,0,0,0,16,0,0,0
1961:Q2,-3444,0,-4100,ND,ND,12,ND,ND,0,0,0,0,0,0,0,644,-3988,0,322,-316,126,-4008,ND,ND,8,ND,ND,0,ND,ND,0,0,28,0,0,-148,0,0,0,0,0,0,544,0,0,0
1961:Q3,4728,0,5228,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,-496,6288,0,-248,2224,-412,4488,ND,ND,-4,ND,ND,0,ND,ND,0,0,28,0,0,212,0,0,0,0,0,0,-1560,0,0,0
1961:Q4,-5176,0,-5384,ND,ND,-8,ND,ND,0,0,0,0,0,0,0,216,-7432,0,108,-2444,-180,-4624,ND,ND,0,ND,ND,0,ND,ND,0,0,36,0,0,-328,0,0,0,0,0,0,2256,0,0,0
1962:Q1,6132,0,5684,ND,ND,-8,ND,ND,0,0,0,0,0,0,0,456,7020,0,228,384,592,5196,ND,ND,-4,ND,ND,0,ND,ND,0,0,56,0,0,568,0,0,0,0,0,0,-888,0,0,0
1962:Q2,-3236,0,-4524,ND,ND,-8,ND,ND,0,0,0,0,0,0,0,1296,-3036,0,648,-164,840,-4176,ND,ND,-4,ND,ND,0,ND,ND,0,0,68,0,0,-248,0,0,0,0,0,0,-200,0,0,0
1962:Q3,2896,0,3316,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,-416,6276,0,-208,3648,28,2664,ND,ND,0,ND,ND,0,ND,ND,0,0,68,0,0,76,0,0,0,0,0,0,-3380,0,0,0
1962:Q4,-4272,0,-2872,ND,ND,4,ND,ND,0,0,0,0,0,0,0,-1404,-5168,0,-702,-1784,-542,-2260,ND,ND,0,ND,ND,0,ND,ND,0,0,56,0,0,64,0,0,0,0,0,0,896,0,0,0
1963:Q1,6192,0,6048,ND,ND,12,ND,ND,0,0,0,0,0,0,0,132,3248,0,66,-1868,-66,4956,ND,ND,8,ND,ND,0,ND,ND,0,0,44,0,0,108,0,0,0,0,0,0,2944,0,0,0
1963:Q2,-4384,0,-4372,ND,ND,12,ND,ND,0,0,0,0,0,0,0,-24,-4468,0,-12,4,-464,-3912,ND,ND,4,ND,ND,0,ND,ND,0,0,20,0,0,-108,0,0,0,0,0,0,84,0,0,0
1963:Q3,3144,0,3048,ND,ND,-16,ND,ND,0,0,0,0,0,0,0,112,6564,0,56,4016,-352,2816,ND,ND,8,ND,ND,0,ND,ND,0,0,32,0,0,-12,0,0,0,0,0,0,-3420,0,0,0
1963:Q4,-3096,0,-3348,ND,ND,20,ND,ND,0,0,0,0,0,0,0,232,-9148,0,116,-6996,-80,-2336,ND,ND,0,ND,ND,0,ND,ND,0,0,64,0,0,84,0,0,0,0,0,0,6052,0,0,0
1964:Q1,6524,0,5596,ND,ND,16,ND,ND,0,0,0,0,0,0,0,912,6000,272,456,-792,1340,4652,ND,ND,0,ND,ND,0,ND,ND,0,0,104,0,0,-68,36,0,0,0,0,0,524,0,0,0
1964:Q2,-4600,0,-3584,ND,ND,16,ND,ND,0,0,0,0,0,0,0,-1032,-124,404,-516,3772,-288,-3844,ND,ND,0,ND,ND,0,ND,ND,0,0,144,0,0,176,28,0,0,0,0,0,-4476,0,0,0
1964:Q3,2116,0,1940,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,180,4680,-136,90,1376,358,3132,ND,ND,-16,ND,ND,0,ND,ND,0,0,144,0,0,-284,16,0,0,0,0,0,-2564,0,0,0
1964:Q4,408,0,-432,ND,ND,20,ND,ND,0,0,0,0,0,0,0,820,-8428,696,410,-8408,910,-2496,ND,ND,240,ND,ND,0,ND,ND,0,0,120,0,0,72,28,0,0,0,0,0,8836,0,0,0
1965:Q1,3332,0,3116,ND,ND,-16,ND,ND,0,0,0,0,0,0,0,232,7000,-116,116,3640,160,2868,ND,ND,-168,ND,ND,0,ND,ND,0,0,92,0,0,424,-16,0,0,0,0,0,-3668,0,0,0
1965:Q2,-1372,0,-1576,ND,ND,-20,ND,ND,0,0,0,0,0,0,0,224,892,-328,112,3392,-436,-2032,ND,ND,60,ND,ND,0,ND,ND,0,0,68,0,0,72,-16,0,0,0,0,0,-2264,0,0,0
1965:Q3,5376,0,3724,ND,ND,0,ND,ND,0,0,0,0,0,0,0,1652,6852,552,826,2156,330,2824,ND,ND,8,ND,ND,0,ND,ND,0,0,68,0,0,132,-44,0,0,0,0,0,-1476,0,0,0
1965:Q4,-3764,0,-3080,ND,ND,28,ND,ND,0,0,0,0,0,0,0,-712,-4764,1028,-356,-4988,-40,-732,ND,ND,36,ND,ND,0,ND,ND,0,0,88,0,0,232,-32,0,0,0,0,0,1000,0,0,0
1966:Q1,-1056,0,-152,ND,ND,-16,ND,ND,0,0,0,0,0,0,0,-888,688,-324,-444,1772,-404,-12,ND,ND,-40,ND,ND,0,ND,ND,0,0,104,0,0,-12,48,0,0,0,0,0,-1744,0,0,0
1966:Q2,444,0,-192,ND,ND,-16,ND,ND,0,0,0,0,0,0,0,652,2244,-292,326,1060,566,-4,ND,ND,72,ND,ND,0,ND,ND,0,0,116,0,0,360,40,0,0,0,0,0,-1800,0,0,0
1966:Q3,2744,0,992,ND,ND,48,ND,ND,0,0,0,0,0,0,0,1704,10520,168,852,6832,756,964,ND,ND,-80,ND,ND,0,ND,ND,0,0,124,0,0,844,60,0,0,0,0,0,-7776,0,0,0
1966:Q4,1628,0,896,ND,ND,40,ND,ND,0,0,0,0,0,0,0,692,764,1656,346,-3612,1694,644,ND,ND,-32,ND,ND,0,ND,ND,0,0,128,0,0,-108,48,0,0,0,0,0,864,0,0,0
1967:Q1,-928,0,3104,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,-4028,-6468,-1308,-2014,-3140,-2778,2956,ND,ND,-108,ND,ND,0,ND,ND,0,0,132,0,0,-136,-72,0,0,0,0,0,5540,0,0,0
1967:Q2,4940,0,3244,ND,ND,0,ND,ND,0,0,0,0,0,0,0,1696,4564,396,848,-80,280,2696,ND,ND,52,ND,ND,0,ND,ND,0,0,144,0,0,272,-44,0,0,0,0,0,376,0,0,0
1967:Q3,2992,0,1156,ND,ND,-12,ND,ND,0,0,0,0,0,0,0,1848,5096,-248,924,3836,416,104,ND,ND,28,ND,ND,0,ND,ND,0,0,140,0,0,-104,0,0,0,0,0,0,-2104,0,0,0
1967:Q4,5684,0,1116,ND,ND,-12,ND,ND,0,0,0,0,0,0,0,4580,2208,260,2290,-2812,2026,76,ND,ND,128,ND,ND,0,ND,ND,0,0,128,0,0,192,-80,0,0,0,0,0,3476,0,0,0
1968:Q1,4472,0,2884,ND,ND,16,ND,ND,0,0,0,0,0,0,0,1572,8500,1732,786,2452,-346,1592,ND,ND,-56,ND,ND,0,ND,ND,0,0,120,0,0,2212,8,0,0,0,0,0,-4028,0,0,0
1968:Q2,2268,0,3320,ND,ND,16,ND,ND,0,0,0,0,0,0,0,-1068,-3468,-144,-534,-2676,-686,1472,ND,ND,8,ND,ND,0,ND,ND,0,0,112,0,0,-1052,32,0,0,0,0,0,5736,0,0,0
1968:Q3,3800,0,1880,ND,ND,24,ND,ND,0,0,0,0,0,0,0,1896,10472,-184,948,4676,868,3848,ND,ND,-12,ND,ND,0,ND,ND,0,0,104,0,0,232,-8,0,0,0,0,0,-6672,0,0,0
1968:Q4,4196,0,1868,ND,ND,28,ND,ND,0,0,0,0,0,0,0,2300,-4044,400,1150,-10568,1478,3940,ND,ND,32,ND,ND,0,ND,ND,0,0,104,0,0,-596,16,0,0,0,0,0,8240,0,0,0
1969:Q1,7660,0,7332,ND,ND,48,ND,ND,0,0,0,0,0,0,0,280,12156,4324,140,4452,16,1512,ND,ND,40,ND,ND,0,ND,ND,0,0,104,0,0,1432,136,0,0,0,0,0,-4496,0,0,0
1969:Q2,6436,0,7376,ND,ND,44,ND,ND,0,0,0,0,0,0,0,-984,5684,-1024,-492,5840,-644,1192,ND,ND,104,ND,ND,0,ND,ND,0,0,96,0,0,436,176,0,0,0,0,0,752,0,0,0
1969:Q3,9216,0,7424,ND,ND,24,ND,ND,0,0,0,0,0,0,0,1768,26120,3688,884,14232,820,5500,ND,ND,-36,ND,ND,0,ND,ND,0,0,92,0,0,812,128,0,0,0,0,0,-16904,0,0,0
1969:Q4,2456,0,6760,ND,ND,40,ND,ND,0,0,0,0,0,0,0,-4344,-5572,1772,-2172,-9036,-1832,5696,ND,ND,36,ND,ND,0,ND,ND,0,0,104,0,0,-424,284,0,0,0,0,0,8028,0,0,0
1970:Q1,-1320,0,2040,ND,ND,-36,ND,ND,0,0,0,0,0,0,0,-3324,-56,1804,-1662,-2356,-2018,3144,ND,ND,104,ND,ND,0,ND,ND,0,0,104,0,0,796,28,0,0,0,0,0,-1264,0,0,0
1970:Q2,-1412,0,1864,ND,ND,8,ND,ND,0,0,0,0,0,0,0,-3284,-21500,-10012,-1642,-8040,-1838,2076,ND,ND,168,ND,ND,0,ND,ND,0,0,112,0,0,-3472,1148,0,0,0,0,0,20088,0,0,0
1970:Q3,1596,0,1736,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,-136,14920,-4784,-68,4292,-400,10380,ND,ND,-148,ND,ND,0,ND,ND,0,0,112,0,0,3876,1660,0,0,0,0,0,-13324,0,0,0
1970:Q4,296,0,2060,ND,ND,112,ND,ND,0,0,0,0,0,0,0,-1876,-2020,684,-938,-9956,-54,9844,ND,ND,-28,ND,ND,0,ND,ND,0,0,116,0,0,-1944,256,0,0,0,0,0,2316,0,0,0
1971:Q1,6008,0,7540,ND,ND,-16,ND,ND,0,0,0,0,0,0,0,-1516,1608,4336,-758,-1612,310,2700,ND,ND,144,ND,ND,0,ND,ND,0,0,124,0,0,-728,-2908,0,0,0,0,0,4400,0,0,0
1971:Q2,7932,0,7624,ND,ND,44,ND,ND,0,0,0,0,0,0,0,264,1760,-5248,132,7276,1160,-1864,ND,ND,448,ND,ND,0,ND,ND,0,0,124,0,0,-484,216,0,0,0,0,0,6172,0,0,0
1971:Q3,7660,0,7576,ND,ND,388,ND,ND,0,0,0,0,0,0,0,-304,21848,4228,-152,7604,784,8480,ND,ND,-196,ND,ND,0,ND,ND,0,0,136,0,0,-280,1244,0,0,0,0,0,-14188,0,0,0
1971:Q4,8916,0,7656,ND,ND,1228,ND,ND,0,0,0,0,0,0,0,32,516,56,16,-11056,3000,8520,ND,ND,-252,ND,ND,0,ND,ND,0,0,140,0,0,1100,-1008,0,0,0,0,0,8400,0,0,0
1972:Q1,14248,0,13164,ND,ND,1392,ND,ND,0,0,0,0,0,0,0,-308,13072,5952,-154,3200,-1894,4600,ND,ND,596,ND,ND,0,ND,ND,0,0,612,0,0,180,-20,0,0,0,0,0,1176,0,0,0
