1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q4,55061,17649,16341,8042,60,8221,1741,2856,151,55747,34502,10238,3239,6938,830,-686,7226,-52,-925,7516,2770,13979,415,-11624,1655,-121,-1500,691,97,0,-817,424,0,-151,562,13,0,646,357,0,289,0,-110,0,676,1593,75,13279,0,231,-29,6769,5557,103,1109,708,-17,725,24,832,4744,4747,1596,13220
1967:Q1,54146,17363,16041,7275,59,8425,1779,3122,82,58796,36094,11306,3630,7030,736,-4651,7342,-90,-975,3756,6015,13079,353,-7418,2183,-51,1228,1568,-407,0,-1289,153,0,18,127,8,0,1603,196,0,1407,0,33,0,365,-1025,5,9601,0,187,-36,4159,1463,1464,1232,-444,-13,-431,24,309,5402,-2259,2147,9565
1967:Q2,56848,17614,16832,7849,60,9367,1828,3229,70,60172,37583,11401,3744,7098,346,-3324,7470,577,-947,4516,9166,14482,210,-5527,-4024,-15,989,688,136,0,192,-89,0,-112,20,3,0,850,125,0,725,0,17,0,711,-7544,41,1503,0,108,-16,-5689,-9621,1611,2321,1097,-15,1112,24,837,5142,-4651,-3965,1562
1967:Q3,57396,18764,17113,7393,62,8601,1914,3539,10,61660,36697,11699,3880,7317,2067,-4264,7627,-144,-1020,4526,3837,15522,586,-12271,4001,-92,-151,-220,-36,0,1190,-191,0,30,-212,-9,0,1469,340,0,1129,0,80,0,514,1468,-30,16272,0,148,-39,10253,8310,-181,2124,374,-17,391,20,430,5086,689,3874,16145
1967:Q4,59583,19220,17952,8227,67,8586,2024,3392,115,62861,38974,11901,3679,7645,662,-3278,7791,-86,-952,5550,486,14584,1,-14099,2049,-1012,-849,441,194,0,-131,74,0,-291,367,-2,0,761,380,0,381,0,41,0,456,2089,-16,16148,0,24,-19,11344,8609,1261,1474,493,-18,511,12,763,3531,5064,2333,16432
1968:Q1,60514,19320,18149,8424,71,8977,2164,3294,116,65484,40484,12882,3693,7836,589,-4970,7975,-208,-897,4110,4990,13425,-156,-8279,3850,-1362,-1096,551,-76,0,810,613,0,-422,1075,-40,0,1597,442,0,1155,0,40,0,147,2607,19,12129,0,171,0,7057,5215,357,1485,207,-18,225,2,164,4528,-880,4255,12534
1968:Q2,65656,20418,18930,9591,76,10192,2221,4118,111,68427,41834,13501,4632,8115,345,-2771,8109,510,-980,5808,9878,15267,142,-5530,-385,-22,899,133,532,0,-803,1085,0,-17,1043,59,0,1226,397,0,829,0,54,0,465,-3947,-7,5145,0,-91,0,-1750,-4820,921,2149,1578,-18,1596,-8,311,5105,-4070,-522,5008
1968:Q3,67242,23253,19326,9076,83,9768,2315,3408,14,69261,40728,13605,3920,8330,2678,-2019,8244,-194,-1018,7437,6699,15835,127,-9263,7046,74,1295,939,23,0,1406,1117,0,211,901,5,0,1435,417,0,1018,0,-146,0,424,543,-64,16309,0,33,0,9710,6695,1019,1996,67,-14,81,-8,523,5984,738,6787,16050
1968:Q4,69776,23996,20002,9810,89,9903,2312,3453,212,70316,43234,13875,4139,8506,562,-540,8427,-111,-1081,9079,2655,14720,387,-12452,-66,137,-4027,1696,326,0,-2355,955,0,412,521,22,0,1052,380,0,672,0,-120,0,486,1816,-33,12386,0,54,0,5366,1690,863,2813,375,-16,391,0,857,5734,6424,-615,11837
1969:Q1,70532,25055,19939,9041,95,10389,2362,3605,46,71059,43359,14662,3892,8579,567,-527,8600,-157,-1120,9349,9031,14235,283,-5487,5070,-56,500,-852,-199,0,1148,1280,0,506,750,24,0,1182,294,0,888,0,22,0,509,1579,-43,10557,0,31,0,3756,-127,212,3671,214,-19,233,11,153,6392,318,4403,9890
