1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q4,2409,678,3072,26748,-5952,-272,804,-2512,10264,796,5576,2048,1776,68,17436,4500,1380,9752,1804,0,80,16,84,0,0,6800,23676,23660,-996,-2524,20792,-3964,1392,1392,0,980,4,1348,6628,0,6628,16,0,16,0,0,-1342,0,ND
1961:Q1,2462,674,1644,23020,-1148,804,352,3992,11948,1160,6360,728,3596,104,10824,-3900,844,9436,4444,0,44,16,416,0,0,-4228,21376,21360,-4216,6448,23120,4920,856,856,0,-2016,4,-372,-7384,0,-7384,16,0,16,0,0,144,0,ND
1961:Q2,2327,704,3012,28052,2164,-1892,512,-4000,6612,308,8212,-44,-1316,-548,14820,2712,196,12276,-364,0,56,20,60,0,0,9700,25040,25028,1720,-164,24044,-4088,200,200,0,1568,0,-1648,3396,0,3396,12,0,12,0,0,-1390,0,ND
1961:Q3,2322,730,1916,41708,832,2552,-528,4484,23300,1108,16660,-236,6144,-376,21368,5360,592,14028,1388,0,68,16,60,0,0,-10444,39792,39784,4108,14700,17168,5224,596,596,0,1020,4,-724,-2312,0,-2312,8,0,8,0,0,-325,0,ND
1961:Q4,2307,796,3248,33692,3100,-92,632,-4624,-952,1252,-6464,2200,2724,-664,30524,12652,992,14164,2716,0,96,16,80,0,0,4912,30444,30452,3096,-88,18624,-5392,1000,1000,0,2152,20,-824,11864,0,11864,-8,0,-8,0,0,-1738,0,ND
1962:Q1,2493,854,224,25504,684,356,-284,5192,10124,-536,3284,1556,5448,372,12292,-1408,-708,12560,1848,4,124,16,52,0,0,-3056,25280,25272,-8208,5028,33216,5676,-716,-716,0,-2044,4,524,-8208,0,-8208,8,0,8,0,0,1415,0,ND
1962:Q2,2733,890,1916,32552,-204,-1676,336,-4180,6116,-816,392,1244,5788,-492,26776,4576,-604,17816,4988,0,164,16,36,0,0,5168,30636,30624,884,852,27996,-4532,-612,-612,0,2464,0,132,3440,0,3440,12,0,12,0,0,-74,0,ND
1962:Q3,2796,867,836,35040,1084,2880,-836,2664,1432,532,-1612,-1064,3660,-84,29564,8120,-244,18852,2836,0,168,20,24,0,0,-1960,34204,34196,6988,3064,21648,3312,-244,-244,0,1116,4,932,-2624,0,-2624,8,0,8,0,0,1093,0,ND
1962:Q4,2765,800,4116,52972,444,1760,916,-2260,8656,200,-1380,4296,5268,272,39884,16616,1424,18132,3712,0,140,20,52,0,0,3360,48856,48824,-3064,9832,31708,-2868,1436,1436,0,1732,-20,396,9672,0,9672,32,0,32,0,0,-2151,0,ND
1963:Q1,2681,841,372,22080,-1636,-1880,280,4964,9412,520,5540,4,3288,60,17212,-4372,-204,17324,4464,0,132,20,60,0,0,-6484,21708,21700,-4312,-1308,33336,6060,-204,-204,0,-3860,4,412,-8428,0,-8428,8,0,8,0,0,1468,0,ND
