1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q2,7317,-21875,25812,-3772,7486,-700,16,-927,32,0,36,90,1375,56,8,0,-1300,0,5,-91,366
1952:Q3,-41082,-7072,-14362,-18394,-1561,-375,-11,859,-355,4,41,125,-252,0,-8,0,-731,0,19,-66,682
1952:Q4,-50351,-325,-42413,-10343,4627,-303,264,105,504,0,36,-134,267,-188,28,0,-1125,0,24,-84,-1594
1953:Q1,-16660,-17237,3852,-8688,3356,462,-327,873,129,0,24,-557,662,24,-24,0,-155,0,1,-187,1595
1953:Q2,-48701,-21157,-30656,-4148,4911,-879,69,-1268,24,-4,40,-52,582,-36,16,0,-72,0,14,-192,3227
1953:Q3,-49609,-3103,-28571,-18004,-2209,224,-111,41,-352,0,40,-176,515,-56,-4,0,521,0,7,-200,2055
1953:Q4,49813,-953,57775,-8410,3918,-440,361,117,488,0,56,38,-1040,-28,16,0,-278,0,25,-194,-2077
1954:Q1,42877,-9605,66450,-14668,2358,390,-312,99,-170,0,69,-173,540,0,0,0,537,0,17,-217,-2048
1954:Q2,46198,-18042,72684,-9966,3450,-2340,32,-1424,42,-4,73,-588,309,0,12,0,-594,0,13,-211,412
1954:Q3,52280,-479,68482,-9025,-4054,-1492,28,532,-339,4,70,-321,603,-32,-8,0,-1828,0,11,-212,-1152
1954:Q4,7267,5029,10224,-5581,3183,-3492,248,-786,493,0,82,-477,-864,-376,12,0,-1628,0,13,-209,-2096
1955:Q1,16578,-20128,41018,-11166,1723,3238,-184,1364,-185,-1,51,226,251,-100,4,0,2054,0,5,-247,1893
1955:Q2,83747,-7907,105975,-19505,2790,-435,-21,-464,66,3,66,-209,900,-32,8,0,-490,0,6,-269,2829
1955:Q3,42692,-2416,57253,-5539,-5342,-1365,-53,912,-342,3,69,-519,100,-104,-16,0,-1124,0,2,-293,101
1955:Q4,14659,902,18905,-4353,1776,-512,258,441,478,-1,77,-301,-42,-596,12,0,-535,0,9,-312,-2059
1956:Q1,61887,-20328,88581,-9671,1025,2035,-345,880,-198,-5,89,259,1057,-216,-8,0,922,0,23,-423,245
1956:Q2,-57167,-15937,-23830,-20429,3389,-869,-22,-974,89,3,89,-48,232,-40,24,0,193,0,19,-435,509
1956:Q3,-42422,-1716,-31896,-2782,-4929,-300,-42,1050,-347,-5,92,-551,-172,-92,-12,0,214,0,16,-451,-799
1956:Q4,81501,701,82455,-3832,3071,-515,414,1760,489,-1,100,-463,-244,-700,28,0,-1485,0,38,-450,-379
1957:Q1,-69639,-20474,-42747,-12835,2785,3499,-480,1272,-201,-1,97,244,721,-304,-80,0,2538,0,22,-329,132
1957:Q2,61250,-16925,89279,-16530,4492,-368,-20,-207,63,-1,106,274,466,-36,36,0,-743,0,19,-325,1302
1957:Q3,-127286,-3694,-116840,-2157,-4023,-322,304,528,-393,-1,113,-365,-67,-32,-12,0,-80,0,10,-327,-250
1957:Q4,-3578,-2871,9901,-11022,2855,-831,204,106,555,-5,139,-643,272,-568,12,0,-567,0,-27,-308,-1610
1958:Q1,39786,-24990,73689,-11627,3108,267,-191,-347,-301,-5,145,154,742,-276,0,0,614,0,19,-287,-661
1958:Q2,61737,-11319,84204,-13467,3665,-901,21,-760,97,-1,140,147,1176,80,28,0,-1592,0,20,-258,-445
1958:Q3,111322,-5185,123428,88,-5077,-451,153,132,-379,-1,137,-635,262,48,-31,0,84,0,22,-243,-1481
1958:Q4,48080,671,56996,-10424,3071,-53,221,1332,608,-5,148,-644,-993,-608,-7,0,124,0,27,-255,-2181
1959:Q1,32582,-15693,45498,-917,1962,1889,-58,957,-384,-1,115,4,719,120,-25,0,690,0,-14,-233,-158
1959:Q2,56432,-12634,70096,-1944,2616,-490,-626,39,128,3,114,-75,72,108,51,0,-55,0,1,-250,-1212
1959:Q3,-33759,-570,-32544,172,-211,2035,-370,579,-353,-1,113,-528,1336,132,-33,0,1428,0,4,-272,-2641
1959:Q4,95409,7967,90004,-2963,2499,1519,986,197,628,-5,129,-836,514,188,15,0,-52,0,24,-270,-3617
1960:Q1,-99135,-26614,-75708,1281,1109,697,-343,363,-458,-9,136,-517,1839,148,-21,0,-58,0,-2,-381,100
1960:Q2,39105,-12244,52912,-1328,2063,-1459,57,-796,190,-9,131,-175,856,48,47,0,-1420,0,4,-393,-839
1960:Q3,-114879,1474,-109176,2845,-2023,-1309,29,11,-262,-5,104,44,-127,-60,-37,0,-625,0,5,-385,-6690
1960:Q4,184982,3615,181367,-387,2683,-2877,261,-1993,555,-9,105,158,-1801,152,23,0,33,0,30,-392,580
1961:Q1,188251,-4805,193373,2039,1546,591,-315,441,-397,-9,109,-44,-28,120,-19,0,1174,0,-11,-430,-4493
1961:Q2,-14217,-18624,2126,3355,814,-2929,-303,-1648,155,-5,108,-261,238,8,69,0,-841,0,-24,-426,1041
1961:Q3,48246,6830,47298,-2766,-2098,460,293,-243,-173,-5,96,-334,919,-44,-7,0,413,0,-30,-426,-1478
1961:Q4,58450,8031,51509,3753,1961,-5701,69,-2270,446,-1,87,-667,-682,44,29,0,-2253,0,-69,-434,-1104
1962:Q1,5116,-11983,15201,321,1815,1311,-207,1778,-411,-9,57,-699,1041,72,-54,0,194,-4,-24,-423,-1549
1962:Q2,-2897,-7217,7028,-5669,2213,930,777,-264,151,-9,48,-1264,11,-32,126,0,1856,0,-24,-447,-183
1962:Q3,-1332,6085,4636,-3146,-4364,1591,-139,1091,-17,-5,24,-1218,361,64,-154,0,2071,0,-27,-460,-6134
1962:Q4,3945,6775,-8541,7504,4357,-4374,-127,-2449,279,-1,20,-723,-1356,212,-6,0,205,0,16,-444,-1776
1963:Q1,27806,-5927,31405,2662,-1002,1491,-344,1720,-254,-9,11,-260,1203,88,-43,0,-167,0,-23,-432,-823
1963:Q2,-3815,-10727,7675,-4996,3535,1901,100,-637,97,-5,-14,449,473,44,-47,0,1958,-4,-46,-466,-1203
1963:Q3,2432,1806,8820,-1080,-5556,3495,-260,2360,105,-1,-17,737,-23,32,-39,0,1137,-4,-50,-481,-5053
1963:Q4,5950,-3903,3286,5714,3891,-2507,516,-1087,109,-1,-14,25,-1085,-64,-27,0,-292,0,-84,-503,-531
1964:Q1,13360,-9393,27031,-1715,736,-1371,-769,1458,-133,-21,-58,-126,949,-204,-86,0,-1800,0,-81,-499,-1928
1964:Q2,-6468,-10406,12340,-10649,2959,1051,-741,-369,5,-25,-51,123,256,-276,38,0,2686,-4,-67,-524,-1763
1964:Q3,-16549,-16044,8880,-384,-4828,1765,-449,3693,169,-5,-52,243,186,-280,-50,0,-1067,-8,-70,-545,-5938
1964:Q4,13655,-3151,11553,7788,3372,-4149,2027,-5837,469,-13,-43,361,-1679,-332,-26,0,1554,-4,-74,-552,-1757
1965:Q1,34933,-8417,33070,3146,-705,7146,-247,8509,-295,-14,-46,55,565,-88,-74,0,-528,-8,-107,-576,693
1965:Q2,-8741,-10024,10594,-10164,2091,-825,197,-400,-22,-14,-43,-299,1070,-124,114,0,-530,-4,-150,-620,-413
1965:Q3,-10562,-20757,16826,-1304,-7625,5572,801,6255,262,-10,-52,308,-321,-180,-114,0,-569,-4,-161,-642,-3274
1965:Q4,-24061,-4802,-12401,7236,876,-11789,-172,-8599,-75,-18,-37,869,-2043,-188,-34,0,-578,0,-218,-697,-3181
1966:Q1,18702,-19801,25175,5704,-1964,8455,-1732,11411,30,-6,-34,1538,-1371,196,-74,0,-735,-8,-103,-657,1133
1966:Q2,-14348,-11458,10598,-19216,2369,1822,676,580,-30,-2,-24,-175,1872,184,126,0,-666,-4,-47,-668,1537
1966:Q3,-22411,-30492,12234,-1180,-5375,6597,-436,6689,71,-6,-47,-304,1989,96,-86,0,-640,-4,-45,-681,-4196
1966:Q4,1215,-1768,12270,6326,3496,-17362,1332,-15144,-226,-10,-24,-288,-1982,84,34,0,-510,-4,42,-667,-1747
1967:Q1,21534,-22019,39734,-3447,-652,9834,-1398,14083,13,-6,-6,805,-2452,312,-56,0,-716,-8,-99,-638,-1916
1967:Q2,1620,-5578,13727,-8902,409,-316,718,475,-118,-7,5,45,-251,164,120,0,-706,-4,-146,-611,2280
1967:Q3,-25273,-34756,15343,-843,-4222,3789,-154,4313,282,-2,-13,691,98,180,-116,0,-716,-8,-168,-597,-4584
1967:Q4,-5223,33574,1406,10471,2561,-51538,1626,-52835,81,-2,3,398,546,220,-28,0,-726,-8,-207,-606,-1697
1968:Q1,16202,-64860,32770,6058,-718,44566,-1895,47445,191,2,-24,416,437,188,-68,0,-1164,0,-187,-774,-1614
1968:Q2,11505,4658,13371,-4829,-923,-2792,-1634,195,-247,2,-17,-237,870,278,190,0,-1204,0,-158,-829,2019
1968:Q3,-11852,-30129,26955,123,-6812,2698,66,6144,152,-2,-33,-551,-784,-125,178,0,-1363,0,-152,-832,-4687
1968:Q4,15228,21944,-1178,10420,5529,-22082,2798,-21268,-148,-6,-3,-590,-321,48,-50,0,-1438,0,-260,-845,595
1969:Q1,21526,-30073,26018,5350,5657,21870,-1069,23968,475,-119,-21,1095,-367,101,50,0,-1055,0,-213,-974,-7296
1969:Q2,21834,13748,15903,-10722,4661,2861,-564,1798,-89,-163,-9,981,2840,50,270,0,-1005,0,-208,-1040,-4617
1969:Q3,-6039,-26146,18867,-522,-1180,12949,1164,12888,84,-15,-20,625,187,22,528,0,-1098,0,-228,-1188,-10007
1969:Q4,-15819,-5693,9522,8542,7187,-20595,1629,-20357,-137,-15,20,496,534,42,-347,0,-1092,0,-151,-1217,-14782
1970:Q1,-24841,-46103,28088,-8586,1740,1692,-2744,9734,-309,-18,34,-1343,-145,9,-842,0,-1044,0,-400,-1239,-1673
1970:Q2,-38157,-34685,7485,-4499,5279,-3630,-339,1219,-1869,-17,52,-1259,1086,-202,231,0,-1020,0,-401,-1111,-8108
1970:Q3,-32324,-77972,35025,9779,-5364,11412,1,10967,199,-22,32,-158,3154,-206,96,0,-1045,0,-410,-1196,-5204
1970:Q4,66577,48886,5033,-4442,18372,-295,378,2941,2225,-18,71,-1515,-1744,-207,93,0,-985,0,-362,-1172,-977
1971:Q1,-34128,-55077,41800,-9298,5269,1849,-1396,6310,-393,-39,-9,186,69,-161,-153,0,-405,0,-490,-1669,-18671
1971:Q2,-47184,-53334,19583,-2406,4623,-1939,71,514,-1514,-35,-20,-1582,3278,-75,-31,0,-328,0,-499,-1717,-13712
1971:Q3,-49005,-44710,16065,9350,-5368,7468,-365,8598,-29,-43,-55,-1448,3820,-184,-116,0,-308,0,-492,-1910,-31810
1971:Q4,57236,62029,-686,-161,13509,-9464,938,-4758,1673,-48,-21,-1539,-3251,-49,156,0,-241,0,-532,-1793,-7991
1972:Q1,-30982,-64573,49070,-5956,605,9380,-895,7800,105,-30,-8,-180,5523,-60,-111,0,-168,0,-473,-2122,-19509
1972:Q2,-51526,-57120,7627,-12120,11012,-10,-379,2837,616,-34,-13,-1026,752,35,31,0,-149,0,-505,-2174,-915
1972:Q3,-38077,-44444,13593,13812,-13539,4195,936,7099,-416,-26,-51,-1161,711,-55,-141,0,-173,0,-340,-2188,-11694
1972:Q4,-34851,9175,-52331,-2233,14710,-4262,1190,4688,-1866,-27,-9,-399,-5261,-246,64,0,27,0,-380,-2042,90
1973:Q1,-121050,-44509,30437,-10643,-3216,-2531,-1598,474,-2863,-13,117,83,3233,-75,-352,0,-9,0,649,-2177,-90588
1973:Q2,-31889,-65761,27371,7004,-1694,-3289,-52,-2818,2100,-17,122,-93,234,-318,-237,0,-271,0,249,-2188,4480
1973:Q3,-2313,-29288,39376,9942,-11408,-1782,-161,-3350,674,-62,34,-278,1541,-596,-301,0,41,0,2879,-2204,-9153
1973:Q4,4089,11956,-13002,-9096,8559,-10920,1563,-5226,715,-57,88,-312,-5132,-500,-84,0,-133,0,247,-2089,16592
1974:Q1,3856,-19634,45182,3161,-1158,10849,-1712,11113,2115,-13,360,-432,1792,-491,-223,0,-248,0,732,-2142,-34545
1974:Q2,38087,2380,16771,11520,-1071,-9502,-29,-3501,-4369,-17,381,-215,2337,-452,-268,0,-1047,0,-10,-2311,17989
1974:Q3,1377,38936,-53026,1669,-7649,16931,171,8932,6177,-4,292,83,4608,-331,-428,0,-1143,0,875,-2300,4515
1974:Q4,46752,25957,14955,-13297,26004,-8111,1625,-5049,1922,0,331,680,-5060,-156,-177,0,-586,0,465,-2106,1244
1975:Q1,-44365,-81693,29905,1163,-8071,12076,-1048,10461,1369,-31,23,-1055,4366,-294,-125,0,-601,0,1163,-2152,2255
1975:Q2,-14159,-72775,58411,-3554,-4111,548,-402,3094,-1865,-38,-11,255,2553,-332,-882,0,-328,0,399,-1894,7322
1975:Q3,35062,-27592,68203,3460,-14351,17279,-187,14899,3971,62,-101,-1237,2207,-432,-756,0,241,0,464,-1852,-11937
1975:Q4,32680,-27311,55984,-3932,15836,-16683,1973,-12124,-317,58,-49,-3014,-4187,-392,905,0,-38,0,2394,-1893,8785
1976:Q1,-6905,-48264,21474,1297,-3315,12269,-1033,18454,958,238,51,-6229,3279,-411,-154,0,-1454,0,30,-1459,9633
1976:Q2,-31348,-90670,12860,15394,1684,4625,748,2327,-896,198,69,-95,5848,-422,-803,0,-878,0,319,-1791,24759
1976:Q3,25455,-16911,71222,-5683,-8752,-675,-1603,3186,-523,-3,23,-3937,5541,-542,-427,0,-584,0,201,-2008,-13745
1976:Q4,20537,-54588,76064,-4243,3985,-23693,1317,-16129,3662,-7,97,-2947,-8086,-506,7,0,333,0,817,-2251,23012
1977:Q1,-32021,-75288,31881,10403,-10360,12297,-2279,17517,-355,79,666,-2500,4971,-511,-1202,0,-1202,0,-672,-2214,-954
1977:Q2,6234,-8493,26816,233,-10040,-8634,295,-5657,89,62,655,-1715,2061,-562,-846,0,-1253,0,462,-2225,6351
1977:Q3,-8981,-22452,45070,1263,-13665,11277,68,2652,7065,-210,615,-2082,6263,-600,-523,0,-196,0,479,-2254,-30474
1977:Q4,19364,2771,39538,15896,-1581,-21309,1858,-13481,967,-290,666,-2568,-4616,-444,300,0,-1063,0,-214,-2425,-15951
1978:Q1,-30280,-63409,30335,-6094,-32,12216,-1780,17246,-825,-21,218,1451,4490,-278,-568,0,-1877,0,136,-5976,-3296
1978:Q2,60473,646,61224,-2093,-10625,-6467,402,-4842,-1040,-22,155,2919,5548,-184,-650,0,-1683,0,-1144,-5927,17788
1978:Q3,-15798,-12057,49646,-4731,-7761,-8010,309,-3486,5116,-79,1,-3603,2809,-197,-641,0,-2194,0,49,-6095,-32886
1978:Q4,23972,-6523,36668,16870,-1003,-33213,165,-25221,5650,-83,-85,-3864,-2829,-161,575,0,-2021,0,871,-6211,11173
1979:Q1,38455,-11895,40089,-5197,-4203,18742,1201,17477,3942,-43,173,821,4564,126,-499,0,-1913,0,-211,-6894,919
1979:Q2,-4753,-24520,19548,-6163,-9645,-26959,-2407,-14487,-6453,-44,103,5305,-142,-43,-1251,0,-1260,0,666,-6945,42986
1979:Q3,40569,6397,41473,11974,-4015,-20239,-29,-17908,4927,-48,-78,153,2875,-541,-779,0,-694,0,-957,-7159,4979
1979:Q4,30787,-45183,60837,516,-7132,-21955,5389,-13832,6142,-48,-303,-689,-4364,-1037,1514,0,-5784,0,-1247,-7695,43704
1980:Q1,42340,-33275,110268,-11607,-4812,-27544,-6415,-11479,42,-53,117,4095,-339,-711,-1184,0,1953,0,-4293,-9276,9310
1980:Q2,-21734,-131736,77677,24066,-10879,-14182,875,-19153,-17386,-55,189,5420,5766,-1010,296,0,-12103,0,32525,-9546,33320
1980:Q3,-46503,-85899,56245,-921,-14316,-14475,-1470,-20117,16258,-54,-292,2084,3660,213,124,0,-6182,0,1195,-9893,12863
1980:Q4,35471,-59665,130615,-29691,5033,-27058,4502,-30015,4555,-48,1,1424,-165,822,57,0,1647,0,509,-10345,16237
1981:Q1,2430,-88194,39598,14537,1781,4814,1402,-2993,15504,-61,758,-1075,7236,2182,-153,0,-3623,0,-3402,-10961,29893
1981:Q2,-116055,-115554,32167,11150,-21606,-27119,-2491,-17029,-12112,-61,578,3080,2023,3452,-891,0,-504,0,7948,-11111,4908
1981:Q3,-51129,-148781,84602,14593,-6665,22298,-1296,-13023,25508,-66,264,-806,8955,4095,277,0,-3692,0,12834,-10752,-17176
1981:Q4,-64757,-180710,12616,7925,15411,-39681,1653,11299,-5190,-62,909,2641,-83,4868,2176,0,-3537,0,-41349,-13008,119681
1982:Q1,64671,-200396,100721,29105,7591,-57316,-1816,-54598,-2745,-66,2920,-134,7177,4474,1418,0,-2145,0,2582,-14386,184967
1982:Q2,9430,-128531,86496,3604,-3518,-25230,-648,-48488,18329,-65,1059,-2718,11635,5555,1686,0,-1645,0,4301,-14233,76610
1982:Q3,-46440,-206874,45550,24684,-558,48976,491,16414,39385,-63,-759,-2477,10889,4514,1524,0,-2794,0,-3571,-14580,41781
1982:Q4,37766,21610,27230,-17336,3953,-62734,1962,-6881,-36936,-67,-302,6511,-14698,2932,3156,0,-32,0,-2543,-15838,65043
1983:Q1,-89592,-164471,55729,38416,-13379,-34726,-1475,8612,-10295,-66,4059,-5116,-7515,1517,440,0,-8736,0,-311,-15842,28839
1983:Q2,-67900,-187741,36317,31796,1636,15994,-1170,25937,21604,-70,1005,-4318,-7809,500,-311,0,-1674,0,-2785,-14918,34098
1983:Q3,-84536,-229758,99167,-20759,8998,-17996,-1257,3859,14445,-67,-2791,-3316,-6353,-560,-917,0,-3313,0,-3028,-14699,75812
1983:Q4,58812,43928,121904,-59311,12042,98077,2855,40121,69841,-71,-1702,7708,-9006,-117,690,0,1158,0,2306,-15707,-157829
1984:Q1,58597,-98063,55221,31893,-8038,-67876,-1164,-16285,-51525,-76,7163,1724,4559,2807,-1007,0,-2271,0,3800,-15600,145460
1984:Q2,-91613,-145441,10582,48662,-10794,-37133,-518,-17352,4957,-76,0,-2084,-7782,4149,84,0,1444,0,-4835,-15119,42512
1984:Q3,-86588,-35833,-133365,3975,-28285,63901,-696,75081,12763,-77,-3813,-2391,859,5644,-556,0,-3234,0,-2646,-17036,43019
1984:Q4,-191453,-10453,-157187,-56179,-1452,-4788,174,16895,1862,-80,-1873,-332,478,6330,-107,0,-4058,0,-5476,-18603,38606
1985:Q1,-56614,-241159,97027,27249,-11957,1731,-4137,22210,24733,-83,6881,-10982,-22642,6058,-704,0,-3224,0,2274,-18654,70495
1985:Q2,28685,-10302,66960,37736,-34253,-26358,-620,3056,6316,-87,-2035,-62,-14127,3627,-1005,0,-4141,0,852,-18132,-5097
1985:Q3,211712,51412,98676,22447,-18113,10607,400,22758,8572,-86,-5046,1640,-12911,3048,2121,0,-3968,0,11819,-17742,46683
1985:Q4,-65307,20131,-5436,-11130,-14564,-41160,3394,26490,-59668,-87,-1388,9189,-5370,1071,7160,0,-4830,0,691,-17813,-13148
1986:Q1,-106631,-191595,-18788,30046,-20949,18175,-2130,57602,9502,-149,7339,-10295,-9809,3112,2785,0,-12165,0,-11282,-16334,76480
1986:Q2,-180786,-216651,-25308,91448,15473,-33122,-2324,29011,-40891,-115,-4847,-7848,-15170,2746,1168,0,-15641,0,29556,-8768,-12626
1986:Q3,-149056,-117798,3975,-2396,-39950,-58164,1022,9571,12107,-114,-5952,-7571,-20888,7137,-848,0,-2127,0,-26327,-24176,65278
1986:Q4,-327888,-266631,54406,-13613,-58430,-47187,1371,-63281,20682,-115,-987,12351,4220,10880,1002,0,5622,0,-16472,-22462,3567
1987:Q1,-75844,-40150,-32841,788,-18341,-21337,-2044,31194,-24319,-3,7271,-9432,2840,9193,-197,0,-13537,0,832,-23137,36038
1987:Q2,-273890,-223517,66851,4744,-12567,-146666,3860,-116164,1154,17,-5998,-3091,-11971,10307,-847,0,-522,0,-4032,-19381,37266
1987:Q3,-236488,-258134,65139,-3159,-15544,1415,-9248,27323,33608,12,-4680,-4750,-3814,9325,1104,0,-9962,0,-9146,-28359,-26205
1987:Q4,-14817,-95534,52183,7649,-19541,-4326,65,-25686,13644,-1,554,4368,-20060,5557,77,0,-1096,0,23858,-5607,44752
1988:Q1,-8105,-214311,96207,66813,17498,35693,4280,50182,-4206,-77,6263,-14129,2095,1629,-2497,0,-4050,0,1229,-5029,-10005
1988:Q2,-172777,-203987,53282,47231,10956,-17298,75,45980,6664,-83,-4737,-15913,4275,-2203,-473,0,-12276,0,-5224,-33385,-62961
1988:Q3,-173543,-171436,11233,1935,1212,-109023,-2850,-6038,-12440,-94,-6007,-16767,-19323,-3634,1536,0,-21221,0,5879,-28065,92535
1988:Q4,-193681,-116425,-22748,46923,5777,-8928,4270,-25711,57127,-105,1234,-446,5225,-2957,-12,0,-10406,0,-13918,-23232,-98280
1989:Q1,183389,124041,-40897,76411,-22713,-60191,-4766,2650,-17017,529,3918,-11311,-681,-3227,-2585,0,-3665,0,-1899,-22138,106738
1989:Q2,-94085,-112048,78464,13206,-52283,-43575,8008,18882,-3869,-119,-5649,-9997,4245,-2392,-679,0,-16627,0,-7709,-27668,22151
1989:Q3,58811,9221,109276,57902,-23007,-145171,12273,-6417,-75071,-124,-6116,-15931,-7815,-1295,4040,0,-36544,0,-8631,-3541,50590
1989:Q4,157852,-103660,164314,58221,-10094,9574,17634,-33336,47532,-129,5494,12578,913,-1436,-1422,0,4224,0,-23785,-18693,39497
1990:Q1,-149947,-113085,31208,40700,-41014,-42336,719,10034,-32603,-77,7345,-11293,-13257,149,839,0,7195,0,2016,-13403,-25421
1990:Q2,-94399,-270081,59350,34210,-24015,52093,-966,51500,-2647,-67,-4506,-4345,18085,471,-1443,0,13869,0,3378,-21237,54045
1990:Q3,-351280,-242272,19483,-39368,-10429,-79078,257,32109,-9192,-59,-7203,-9927,-41384,-2338,-1441,0,-6688,0,-10850,-22362,385
1990:Q4,-87737,-253481,154841,24871,-3881,-58480,-8368,-10630,-14380,-437,3275,-23173,-6561,-4398,-3202,0,19488,0,-5541,-4554,48392
1991:Q1,162952,-27964,120599,17450,-37706,-6803,-3231,133848,-41356,125,9547,-3414,-74583,819,-3562,0,-15799,0,-4107,-5089,97376
1991:Q2,-269072,-95362,1466,29642,-7686,-13205,-9686,70171,-94463,154,-3355,-24946,-6582,-2577,-205,0,66699,0,-476,-7938,-183928
1991:Q3,48725,-144430,61644,98971,-3983,-3659,-10673,-5982,60440,147,-5773,-15956,-14280,-4050,-2635,0,-3077,0,1786,-3606,40183
1991:Q4,239335,-166468,210179,51004,49285,84856,14603,-152,-33739,-4,805,9464,74682,-4143,-718,0,19053,0,5764,-758,10480
1992:Q1,445579,-160771,581046,120893,-56416,80872,-8840,54750,46804,-137,16753,-4139,-21436,-2086,-1140,0,-6168,0,21207,-14694,-120046
1992:Q2,45703,-33503,63069,33483,-25243,4694,-7874,13333,6819,-139,-3528,5813,-7490,-1553,-4122,0,31916,-20,2888,-31352,3203
1992:Q3,-213318,-323365,142858,10384,-18927,-14882,11453,26526,-34243,-145,-4704,-33066,-8341,-2660,-1685,0,20472,8,25035,-13535,-9385
1992:Q4,130928,26632,106265,27859,-15955,49831,-6982,-4339,959,-155,-3330,2980,44553,-4848,-3292,0,24123,36,16266,-16139,-63704
1993:Q1,41449,135680,-50961,-6447,9381,-33978,688,8102,-20388,-470,16957,-15517,-31341,-6682,-3334,0,14038,-16,33166,-29181,-12226
1993:Q2,-47179,-99759,-6306,13386,24829,-67954,2350,22088,-17724,-477,-2717,-12785,-38515,-5067,-2783,0,-10914,0,28455,-29865,88624
1993:Q3,-397915,-307272,-29863,-21449,27032,-19034,244,-7742,21292,-394,-5496,-26129,-3532,-3217,-5126,0,26668,4,15424,-31030,-47329
1993:Q4,-161778,27458,-7444,45775,-20964,-114670,-2374,-12440,-9703,-336,-3509,16494,-19459,319,-3432,0,-39054,-4,6997,-48170,-91933
