1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2009:Q2,62,107,161711,-380,465,-9374,-358,7626,-3064,14579,-22998,-88,19197,5385,6749,-1364,-154840,365,312822,39110,-2151,268648,7215,161756,112369,99262,62494,-32219,-17168
2009:Q3,60,103,155989,1762,760,-1755,187,9971,2608,6018,-17209,93,18461,15736,16324,-588,-30675,13422,146581,38101,-2151,102964,7667,156031,80385,99717,56314,-49691,-25955
2009:Q4,60,100,149456,-1379,605,-7033,-218,25022,-1696,12159,-12144,197,26506,63909,65235,-1326,-13841,30424,51967,25612,-2151,11689,16817,149496,196053,100512,48984,48303,-1746
2010:Q1,75,129,147022,918,-197,-4676,-150,36533,-906,19124,10684,170,7461,-14252,-15256,1004,-17334,14494,131686,5742,3845,115822,6277,147076,186358,98257,48819,25179,14103
2010:Q2,74,131,117551,1458,-164,-3431,-69,6682,-45,4510,1323,156,738,10685,9788,897,83816,16842,1732,-16512,3846,9129,5269,117608,207983,97866,19742,51549,38826
2010:Q3,74,134,151410,-2263,-261,-3913,-101,17068,-385,4495,-4264,79,17143,21109,20123,986,-43271,963,162079,14196,3847,138153,5883,151470,171868,96967,54503,7626,12772
2010:Q4,75,136,151942,1596,-127,3756,342,45135,2587,21238,6288,235,14787,62647,62616,31,-45899,17009,67483,10767,3845,40910,11961,152003,210730,96193,55810,49154,9573
2011:Q1,97,151,122583,3722,456,12243,565,26394,5412,14115,-293,146,7014,-11603,-10140,-1463,-61355,11870,140291,12385,740,107864,19302,122636,185431,96715,25921,61914,881
2011:Q2,98,157,110218,1617,382,9256,313,17530,2664,15048,4257,57,-4496,-82801,-81789,-1012,-18293,7634,174580,4450,740,154751,14639,110276,175783,96402,13874,53456,12051
2011:Q3,100,165,98679,133,603,748,-454,-61793,-6767,-15381,-32283,-405,-6957,115790,114720,1070,128460,-49496,-35312,-2993,740,-46040,12981,98744,251180,95454,3290,115576,36860
2011:Q4,101,170,116697,6,599,-192,-475,5025,-7007,270,-24629,-349,36740,70799,72744,-1945,-70281,-11541,122757,8232,740,102114,11671,116766,138264,95595,21171,19070,2428
2012:Q1,142,277,122987,1591,-694,-1760,-9,100173,-2340,55926,18450,-344,28481,-19260,-18023,-1237,-5037,-36958,84941,3773,-3080,83543,705,123123,146977,90806,32317,-1262,25116
2012:Q2,143,285,114351,880,-713,-2795,-122,33344,-3669,17493,-10534,-346,30400,11718,12020,-302,30060,-12917,54896,-3385,-3081,47735,13627,114492,151008,88752,25740,38565,-2049
2012:Q3,145,284,116050,1021,-425,-391,70,14321,-1444,4403,-14096,414,25044,23202,23130,72,-63409,17026,124635,1626,-3080,114831,11258,116189,158600,86652,29537,36612,5799
2012:Q4,146,289,110591,453,-456,-1260,-3,44192,-2291,18031,-5461,359,33554,35805,35406,399,-1843,14188,19515,44,-3080,16860,5691,110734,180953,84481,26253,53208,17011
2013:Q1,164,97,119538,678,1648,5571,160,28612,-19,13183,2360,363,12725,8391,9605,-1214,-129381,40594,163265,308,-619,155086,8490,119471,195750,79821,39650,78744,-2465
2013:Q2,167,95,116530,-1701,1521,2258,-131,31421,-3373,639,-4892,440,38607,-83261,-82679,-582,-66679,44125,188977,-3269,-617,185597,7266,116458,221637,76603,39855,93279,11900
2013:Q3,168,97,113864,964,1296,7948,245,19037,958,-3314,-1231,41,22583,-11258,-9586,-1672,-107353,34460,168525,-1652,-618,163085,7710,113792,169923,73050,40742,42930,13201
2013:Q4,170,99,122651,3766,1605,8717,562,49723,6633,7908,-1606,27,36761,185954,187182,-1228,-121128,30174,-36723,2290,-618,-44822,6427,122579,184224,69912,52667,49753,11892
2014:Q1,156,107,78742,25,381,-1057,-38,28091,-487,4042,4374,-62,20224,-7385,-8743,1358,-90243,17330,131638,-4945,-716,128794,8505,78693,136888,75646,3047,56239,1956
2014:Q2,158,110,75498,-440,326,-1759,-94,60805,-1113,14749,11314,-33,35888,8635,6100,2535,-71016,9968,69073,-3265,-717,65272,7783,75450,134671,76109,-659,59167,54
2014:Q3,160,112,81981,1566,43,-1722,-94,36437,-1120,4567,2557,-70,30503,23182,24584,-1402,-20551,11466,31654,-1673,-716,31263,2780,81933,146969,76026,5907,61874,3162
2014:Q4,162,113,82065,4614,401,4915,279,21007,1196,1252,1741,-13,16831,67732,66827,905,-89702,20840,51979,-3086,-716,46025,9756,82016,147501,75985,6031,57880,7605
2015:Q1,161,152,82364,662,-1312,-2980,-249,-21543,-2854,-27864,-13691,-6,22872,-47465,-47521,56,9108,8064,138079,-1885,3790,137373,-1199,82355,64976,72947,9408,-16341,-1038
2015:Q2,163,152,79016,4936,-824,3666,259,24957,3015,8894,5998,43,7007,-59812,-59760,-52,-610,3358,103086,-1455,3791,106954,-6204,79005,99980,71655,7350,1750,19225
2015:Q3,164,154,74387,-2118,-1067,-4033,-277,-23427,-3181,-20725,-8197,44,8632,-19967,-19688,-279,55487,4242,65547,-2471,3790,68136,-3908,74377,293916,70202,4175,192736,26803
2015:Q4,167,157,89212,152,-921,548,-55,15456,-597,6051,4192,44,5766,215033,216941,-1908,-70608,1547,-71940,-1003,3791,-74019,-709,89202,279992,68678,20524,162005,28785
2016:Q1,181,210,84311,-2477,-350,-3653,-160,10480,253,-2548,-10,42,12743,-8363,-8834,471,-17909,-12218,118961,5016,2206,106698,5041,84340,208098,70954,13386,119887,3871
2016:Q2,183,214,80228,2812,-6,5639,357,735,4216,14989,11364,-2,-29832,6273,5446,827,-62410,13105,113723,1788,2205,88365,21365,80258,120206,70581,9677,48133,-8185
2016:Q3,185,219,82885,-2822,-44,962,149,18697,3823,26444,419,68,-12057,31425,22359,9066,-70203,-9852,114573,1558,2207,91665,19143,82918,36963,70687,12231,-52086,6131
2016:Q4,189,223,86736,1644,210,8594,591,29179,6931,29990,-830,140,-7052,78574,82154,-3580,-62091,-23188,53223,26003,2206,6811,18203,86770,142355,70437,16333,77345,-21760
