date,FA893111305.Q,FA313111303.Q,FA313011303.Q,FA893011105.Q,FA313011105.Q,FA313011203.Q,FA313011303.Q,FA263011105.Q,FA263011205.Q,FA313111303.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,623,623,0,-623,-623,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,2162,2162,0,-2162,-2162,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,1531,1531,0,-1531,-1531,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,164,164,0,-164,-164,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,-1743,-1743,0,1743,1743,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q1,64,0,64,64,60,-4,64,4,4,0
1978:Q2,416,0,416,416,416,0,416,0,-0,0
1978:Q3,172,0,172,172,172,0,172,0,-0,0
1978:Q4,-5648,0,-5648,-5648,-5388,260,-5648,-260,-260,0
1979:Q1,9124,4556,4568,9124,4568,0,4568,4556,-0,4556
1979:Q2,-24,0,-24,-24,-24,0,-24,0,-0,0
1979:Q3,0,0,0,0,0,0,0,0,-0,0
1979:Q4,-4,0,-4,-4,256,260,-4,-260,-260,0
1980:Q1,9216,4608,4608,9216,4608,0,4608,4608,-0,4608
1980:Q2,-448,0,-448,-448,-448,0,-448,0,-0,0
1980:Q3,1044,0,1044,1044,1044,0,1044,0,-0,0
1980:Q4,-5140,0,-5140,-5140,-5140,0,-5140,0,-0,0
1981:Q1,10136,4372,5764,10136,5364,-400,5764,4772,400,4372
1981:Q2,92,0,92,92,92,0,92,0,-0,0
1981:Q3,900,0,900,900,892,-8,900,8,8,0
1981:Q4,536,0,536,536,532,-4,536,4,4,0
1982:Q1,1600,0,1600,1600,1596,-4,1600,4,4,0
1982:Q2,964,0,964,964,960,-4,964,4,4,0
1982:Q3,1736,0,1736,1736,1732,-4,1736,4,4,0
1982:Q4,1188,0,1188,1188,1188,0,1188,0,-0,0
1983:Q1,392,0,392,392,392,0,392,0,-0,0
1983:Q2,1212,0,1212,1212,1212,0,1212,0,-0,0
1983:Q3,836,0,836,836,836,0,836,0,-0,0
1983:Q4,-2180,0,-2180,-2180,-2180,0,-2180,0,-0,0
1984:Q1,904,0,904,904,904,0,904,0,-0,0
1984:Q2,1152,0,1152,1152,1152,0,1152,0,-0,0
1984:Q3,1084,0,1084,1084,1084,0,1084,0,-0,0
1984:Q4,776,0,776,776,772,-4,776,4,4,0
1985:Q1,1056,0,1056,1056,1056,0,1056,0,-0,0
1985:Q2,720,0,720,720,720,0,720,0,-0,0
1985:Q3,1056,0,1056,1056,1056,0,1056,0,-0,0
1985:Q4,756,0,756,756,756,0,756,0,-0,0
1986:Q1,1096,0,1096,1096,1096,0,1096,0,-0,0
