1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,11696,-276,2904,-620,6072,3616,11696,11796,0,3828,1896,6072,152,28,40,384,4,0,-304,0,0,0,0,-252,11696,-2564,8928,-12020,0,-40,568,14800,696,6976,-4,28,8,896,1664,1168,0,1628,0,52,56,0,-116,0,0,0,2076,0,-328,-540
1954:Q3,8324,80,3124,-4184,5372,3932,8324,9108,0,5328,-1592,5372,-392,64,-36,500,32,0,-952,0,0,0,0,-392,8324,-2940,-10028,6172,0,-8,924,9872,-2996,8136,-48,28,8,1064,1544,1332,0,1204,0,160,56,0,96,0,0,0,-448,0,-264,1392
1954:Q4,14332,16,3836,3580,5632,1268,14332,15148,0,2020,7496,5632,-576,856,232,-112,32,0,-1584,0,0,0,0,-240,14332,-1068,-6308,4424,0,-20,836,14752,264,9480,328,0,8,1080,1580,1544,0,1224,0,92,68,0,-188,0,0,0,36,0,-764,648
1955:Q1,4796,764,-4156,688,5472,2028,4796,3888,0,1840,-3424,5472,1284,-216,-52,-76,32,0,1596,0,0,0,0,-376,4796,7688,5772,888,0,24,1004,-2888,-736,-7252,-68,-4,12,316,2268,1500,0,1104,0,24,72,0,532,0,0,0,-1940,0,1284,-4
1955:Q2,8184,-4,1132,-444,5144,2356,8184,7160,0,2628,-612,5144,1256,-488,-80,1264,36,0,524,0,0,0,0,-232,8184,16692,18036,-2552,0,4,1204,-8436,-1564,-12164,380,-20,16,580,1224,1448,0,1084,0,204,84,0,-452,0,0,0,128,0,616,-72
1955:Q3,6236,-348,-164,-572,4908,2412,6236,4840,0,1672,-1740,4908,1556,48,-36,964,40,0,540,0,0,0,0,-160,6236,10904,1936,7812,0,-16,1172,-5468,188,-10256,108,-20,16,1172,1956,1208,0,1316,0,268,84,0,-928,0,0,0,-460,0,-120,800
1955:Q4,12820,-1032,1816,1336,4612,6088,12820,11360,0,5252,1496,4612,1464,-96,-16,1612,44,0,-80,0,0,0,0,-4,12820,11556,-608,10776,0,64,1324,1004,220,-4828,240,-12,16,700,340,864,0,1404,0,100,80,0,1196,0,0,0,1280,0,-596,260
1956:Q1,6224,2268,-5000,192,4444,4320,6224,816,0,1648,-5276,4444,5048,64,12,424,44,0,4504,0,0,0,0,360,6224,-572,7384,-8804,0,-20,868,5040,572,-2332,-276,12,16,168,1268,976,0,1820,0,384,80,0,1280,0,0,0,-1184,0,2256,1756
1956:Q2,-4608,-188,-15060,1136,4420,5084,-4608,-6644,0,3724,-14788,4420,1712,76,76,820,44,0,696,0,0,0,0,324,-4608,6708,18104,-12808,0,-4,1416,-11656,-576,-13516,-24,28,16,168,1088,1200,0,984,0,-360,76,0,44,0,0,0,-304,0,-480,340
1956:Q3,6132,472,-4648,836,3956,5516,6132,3660,0,4508,-4804,3956,2176,388,60,972,20,0,736,0,0,0,0,296,6132,1132,12,-52,0,-32,1204,3536,-728,-264,-88,32,16,604,2088,1572,0,932,0,796,76,0,-40,0,0,0,-792,0,-668,1464
1956:Q4,9856,-640,2500,-1280,3840,5436,9856,9568,0,4088,1640,3840,28,528,112,-444,24,0,-192,0,0,0,0,260,9856,2988,-2732,4656,0,12,1052,8088,1648,2040,-44,28,12,680,1020,1968,0,852,0,104,88,0,-124,0,0,0,592,0,-776,-1220
1957:Q1,22784,2232,6872,1456,3740,8484,22784,16192,0,5744,6708,3740,5724,164,48,1588,32,0,3892,0,0,0,0,868,22784,7116,8412,-1624,0,44,284,15320,-2796,11196,-96,20,16,212,2272,1964,0,1380,0,172,92,0,464,0,0,0,-1580,0,2004,348
1957:Q2,-1656,-924,-14772,2400,4420,7220,-1656,-4536,0,5856,-14812,4420,2376,-128,28,2404,36,0,36,0,0,0,0,504,-1656,9568,16968,-7440,0,-8,48,-10880,-1464,-14868,64,12,16,368,1992,1744,0,1372,0,388,100,0,-292,0,0,0,356,0,-668,-344
1957:Q3,24212,1036,10408,360,4532,7876,24212,20504,0,5976,9996,4532,3584,704,144,756,16,0,1964,0,0,0,0,124,24212,5152,2448,3260,0,4,-560,19540,200,12780,-144,12,16,932,2684,1516,0,1624,0,-100,100,0,-528,0,0,0,640,0,-192,-480
1957:Q4,10672,1012,-5684,2772,5336,7236,10672,8288,0,6728,-3776,5336,2140,356,56,852,12,0,864,0,0,0,0,244,10672,2028,-1184,3956,0,-24,-720,7312,532,-1396,-104,4,12,1112,2048,1328,0,1352,0,56,108,0,24,0,0,0,2140,0,96,1332
1958:Q1,24640,4236,3812,1664,5264,9664,24640,19732,0,8520,5948,5264,3824,716,188,-480,8,0,3392,0,0,0,0,1084,24640,-6792,-424,-5328,0,168,-1208,33412,2516,20880,-128,32,16,-24,2972,1376,0,1916,0,472,112,0,2396,0,0,0,-536,0,1412,-1980
1958:Q2,26748,-900,20144,-3196,5428,5272,26748,27552,0,4772,17352,5428,-2164,-568,-80,-412,8,0,-1112,0,0,0,0,1360,26748,-2576,5600,-8392,0,-116,332,31860,6444,15744,140,48,16,492,2668,1440,0,968,0,720,116,0,-444,0,0,0,2880,0,628,-2536
1958:Q3,4068,-1500,-5860,1496,5124,4808,4068,5388,0,5512,-5248,5124,-1672,-232,-68,860,24,0,-2256,0,0,0,0,352,4068,-9284,-13496,4028,0,-76,260,10172,-2308,10424,-152,44,16,1212,3412,1540,0,1516,0,-4,120,0,-536,0,0,0,-4660,0,-452,3180
1958:Q4,29032,-1888,18916,88,5984,5932,29032,29332,0,4712,18636,5984,-1176,-280,-132,340,28,0,-1132,0,0,0,0,876,29032,14416,2008,11920,0,-16,504,13088,3480,2308,188,16,12,1456,2656,1636,0,1636,0,-96,116,0,-980,0,0,0,1868,0,-1208,1528
1959:Q1,20076,1396,10268,-956,5676,3692,20076,16660,0,2156,8828,5676,2740,-452,-92,464,20,0,2800,0,0,0,0,676,20076,14848,8236,5840,0,-4,776,3536,1216,-4556,-16,-4,12,544,2976,1040,0,1628,0,300,316,0,820,0,0,0,-1668,0,928,1692
1959:Q2,24908,440,10448,3568,5940,4512,24908,19308,0,2852,10516,5940,5340,-232,4,3476,24,0,2068,0,0,0,0,260,24908,22080,16052,4692,0,16,1320,-4856,296,-12032,20,-28,8,980,3324,1572,0,1276,0,136,108,0,-516,0,0,0,-424,0,424,7684
1959:Q3,23764,-712,10480,3240,6680,4076,23764,19332,0,2184,10468,6680,3912,-92,-44,3248,4,0,796,0,0,0,0,520,23764,15456,4864,9732,0,36,824,3504,2076,-7032,-32,-28,8,1604,1904,1428,0,2024,0,548,116,0,-44,0,0,0,652,0,280,4804
1959:Q4,16480,124,5012,384,5072,5888,16480,12624,0,3752,3800,5072,3420,636,100,1592,4,0,1088,0,0,0,0,436,16480,19456,12140,5724,0,-52,1644,-5528,-2168,-10084,132,-44,12,1824,1408,1908,0,1544,0,400,136,0,140,0,0,0,1400,0,-2136,2552
1960:Q1,13388,5780,-5116,-904,5752,7876,13388,2236,0,1852,-5368,5752,10036,696,196,-656,4,0,9796,0,0,0,0,1116,13388,14044,17016,-4440,0,180,1288,-2200,-1620,-10756,-136,12,8,1216,1668,1328,0,1972,0,196,400,0,816,0,0,0,-2380,0,5076,1544
1960:Q2,13644,928,-2740,3624,5272,6560,13644,7864,0,4332,-1740,5272,5280,52,60,2616,8,0,2544,0,0,0,0,500,13644,7804,14004,-7608,0,-124,1532,6248,2428,-2920,4,28,8,924,1360,1116,0,1516,0,284,228,0,-476,0,0,0,1036,0,712,-408
1960:Q3,11912,1096,940,-1272,5252,5896,11912,8084,0,3620,-788,5252,3524,924,216,464,-8,0,1928,0,0,0,0,304,11912,-14192,-9504,-6436,0,-48,1796,24720,1172,15836,-72,32,8,756,2156,1412,0,1124,0,348,204,0,52,0,0,0,2036,0,-344,1384
1960:Q4,14668,912,-276,460,4964,8608,14668,10324,0,5700,-340,4964,3956,1160,232,536,-12,0,2040,0,0,0,0,388,14668,-3872,-2332,-2792,0,132,1120,17444,-428,10120,124,4,16,672,2292,2084,0,1756,0,148,108,0,176,0,0,0,1944,0,-1572,1096
1961:Q1,8236,2880,-2248,-1360,5380,3584,8236,4260,0,560,-1680,5380,3636,656,200,-1928,0,0,4708,0,0,0,0,340,8236,-12948,-10836,-2660,0,-4,552,21008,1532,11352,564,16,16,792,2428,520,0,2220,0,192,272,0,1052,0,0,0,-2736,0,2788,176
1961:Q2,21460,-12,6812,1276,3952,9432,21460,19276,0,8580,6744,3952,1492,132,68,1348,-4,0,-52,0,0,0,0,692,21460,9552,9964,-1168,0,-92,848,13360,56,6420,164,8,20,908,2228,1592,0,1772,0,-220,-76,0,-196,0,0,0,704,0,-20,-1452
