1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q4,22781,22781,0,0,0,0,1843,1843,5669,0,5669,0,12800,0,5829,3005,3966,0,0,0,0,0,378,378,0,0,38377,96135,39250,38377,96135,39250
1958:Q1,22394,22394,0,0,0,0,1877,1877,5772,0,5772,0,13022,0,5867,3142,4013,0,0,0,0,0,393,393,0,0,38752,98396,40265,38752,98396,40265
1958:Q2,21356,21356,0,0,0,0,1903,1903,5866,0,5866,0,13220,0,5891,3277,4052,0,0,0,0,0,414,414,0,0,38813,100541,41515,38813,100541,41515
1958:Q3,20874,20874,0,0,0,0,1931,1931,5959,0,5959,0,13422,0,5918,3415,4089,0,0,0,0,0,440,440,0,0,38606,102755,42622,38606,102755,42622
1958:Q4,20534,20534,0,0,0,0,1969,1969,6056,0,6056,0,13656,0,5966,3555,4135,0,0,0,0,0,469,469,0,0,38221,105047,43686,38221,105047,43686
1959:Q1,20442,20442,0,0,0,0,2017,2017,6160,0,6160,0,13923,0,6033,3697,4193,0,0,0,0,0,484,484,0,0,38918,107408,43652,38918,107408,43652
1959:Q2,19705,19705,0,0,0,0,2074,2074,6264,0,6264,0,14224,0,6122,3841,4261,0,0,0,0,0,510,510,0,0,38993,109604,43689,38993,109604,43689
1959:Q3,19491,19491,0,0,0,0,2133,2133,6374,0,6374,0,14527,0,6212,3986,4329,0,0,0,0,0,520,520,0,0,39889,111996,43560,39889,111996,43560
1959:Q4,19456,19456,0,0,0,0,2187,2187,6491,0,6491,0,14800,0,6279,4131,4390,0,0,0,0,0,547,547,0,0,39918,114393,43500,39918,114393,43500
1960:Q1,19408,19408,0,0,0,0,2238,2238,6623,0,6623,0,15049,0,6329,4282,4438,0,0,0,0,0,549,549,0,0,40880,116889,44796,40880,116889,44796
1960:Q2,19322,19322,0,0,0,0,2288,2288,6768,0,6768,0,15280,0,6364,4437,4479,0,0,0,0,0,572,572,0,0,40782,119198,46132,40782,119198,46132
1960:Q3,18685,18685,0,0,0,0,2336,2336,6917,0,6917,0,15501,0,6393,4589,4519,0,0,0,0,0,573,573,0,0,41839,121675,47611,41839,121675,47611
1960:Q4,17767,17767,0,0,0,0,2379,2379,7061,0,7061,0,15721,0,6427,4728,4566,0,0,0,0,0,613,613,0,0,40780,124169,48850,40780,124169,48850
1961:Q1,17388,17388,0,0,0,0,2417,2417,7215,0,7215,0,15936,0,6463,4853,4620,0,0,0,0,0,657,657,0,0,39132,126796,50044,39132,126796,50044
1961:Q2,17550,17550,0,0,0,0,2448,2448,7367,0,7367,0,16146,0,6502,4963,4681,0,0,0,0,0,674,674,0,0,38832,129136,51419,38832,129136,51419
1961:Q3,17376,17376,0,0,0,0,2478,2478,7523,0,7523,0,16349,0,6537,5073,4739,0,0,0,0,0,697,697,0,0,38193,131779,52796,38193,131779,52796
1961:Q4,16889,16889,0,0,0,0,2512,2512,7683,0,7683,0,16545,0,6563,5195,4787,0,0,0,0,0,740,740,0,0,36517,134434,54217,36517,134434,54217
1962:Q1,16608,16608,0,0,0,0,2549,2549,7854,0,7854,0,16725,0,6571,5329,4825,0,0,0,0,0,749,749,0,0,36336,137260,53375,36336,137260,53375
1962:Q2,16435,16435,0,0,0,0,2587,2587,8040,0,8040,0,16882,0,6557,5477,4848,0,0,0,0,0,686,686,0,0,40045,139760,52978,40045,139760,52978
1962:Q3,16067,16067,0,0,0,0,2626,2626,8218,0,8218,0,17047,0,6550,5623,4874,0,0,0,0,0,716,716,0,0,38753,142607,52309,38753,142607,52309
1962:Q4,15978,15978,0,0,0,0,2667,2667,8363,0,8363,0,17249,0,6581,5749,4919,0,0,0,0,0,768,768,0,0,36261,145428,51699,36261,145428,51699
