date,FA716000105.Q,FA715013005.Q,FA714090005.Q,FA714010005.Q,FA713022003.Q,FA713068705.Q,FA713068703.Q,FA763069143.Q,FA713068725.Q,FA713068763.Q,FA713068753.Q,FA713011515.Q,FA713091103.Q,FA713012003.Q,FA713011405.Q,FA712051005.Q,FA714022005.Q,FA713069603.Q,FA713061103.Q,FA713061113.Q,FA713061125.Q,FA713061705.Q,FA713061903.Q,FA713061703.Q,FA713011525.Q,FA713068005.Q,FA713068813.Q,FA713068665.Q,FA713068863.Q,FA713068505.Q,FA713064103.Q,FA713090005.Q,FA713011203.Q,FA713014003.Q,FA713093005.Q,FA714194005.Q,FA714190005.Q,FA713113003.Q,FA713120005.Q,FA713123005.Q,FA713123023.Q,FA713123030.Q,FA713123043.Q,FA713124005.Q,FA713129005.Q,FA713122605.Q,FA713125005.Q,FA703025005.Q,FA712151003.Q,FA712151103.Q,FA712151115.Q,FA713193005.Q,FA713164005.Q,FA313094213.Q,FA713164003.Q,FA717005005.Q
1948:Q4,57,4,2298,5,6,-1,-1,0,0,0,0,0,0,0,-2,0,774,0,774,-6665,7439,0,0,0,0,0,0,0,0,0,0,1521,1490,0,31,2237,2232,2580,-202,242,-11,253,0,0,0,227,-433,-238,0,0,0,-146,5,0,5,-8
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,39,5,-4342,-32,-7,-25,-25,0,0,0,0,0,0,0,1,0,-4448,0,-4448,-461,-3987,0,0,0,0,0,0,0,0,0,0,137,183,0,-46,-4402,-4412,-3916,-800,-315,-13,-302,0,0,0,148,-670,37,0,0,0,304,10,0,10,-26
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-10,10,1336,893,834,59,59,0,0,0,0,0,0,0,246,53,1840,0,1840,-7526,9366,0,0,0,0,0,0,0,0,0,0,-1696,-1721,0,25,1320,1306,1118,-229,-172,-19,-153,0,0,0,-160,-56,159,0,0,0,417,14,0,14,-36
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,36,10,2803,-232,-184,-48,-48,0,0,0,0,0,0,0,6,144,2879,0,2879,9615,-6736,0,0,0,0,0,0,0,0,0,0,6,-11,0,17,2779,2767,2375,835,-444,-23,-421,0,0,0,-113,869,523,0,0,0,-443,12,0,12,2
1952:Q1,50,10,764,-1344,-1896,552,552,0,0,0,0,0,0,0,-12,612,-992,0,-992,-5532,4540,0,0,0,0,0,0,0,0,0,0,2500,2384,0,116,440,420,2148,-180,-708,48,-756,0,0,0,56,1532,-1060,0,0,0,-1548,20,0,20,-284
1952:Q2,46,10,-640,-968,-516,-452,-452,0,0,0,0,0,0,0,4,384,-388,0,-388,1568,-1956,0,0,0,0,0,0,0,0,0,0,328,220,0,108,-660,-672,-2556,1676,368,4,364,0,0,0,24,1436,-152,0,0,0,208,12,0,12,16
1952:Q3,50,9,5480,1872,628,1244,1244,0,0,0,0,0,0,0,-4,432,2900,0,2900,2748,152,0,0,0,0,0,0,0,0,0,0,280,-16,0,296,5428,5420,7112,1128,-692,-36,-656,0,0,0,744,1108,-32,0,0,0,-2820,8,0,8,-11
1952:Q4,54,10,-372,4,916,-912,-912,0,0,0,0,0,0,0,4,440,200,0,200,-28604,28804,0,0,0,0,0,0,0,0,0,0,-1020,-620,0,-400,-152,-176,-7128,2544,1600,-16,1616,0,0,0,-720,196,1468,0,0,0,4408,24,0,24,264
1953:Q1,46,13,592,1624,-628,2252,2252,0,0,0,0,0,0,0,-8,-60,1464,0,1464,-908,2372,0,0,0,0,0,0,0,0,0,0,-2428,-2496,0,68,232,216,2112,-740,-1196,144,-1340,0,0,0,-188,1472,-828,0,0,0,-1156,16,0,16,-327
1953:Q2,46,13,-1984,-3380,-836,-2544,-2544,0,0,0,0,0,0,0,8,-24,2116,0,2116,3648,-1532,0,0,0,0,0,0,0,0,0,0,-704,-400,0,-304,-1948,-1960,-1308,24,-620,-188,-432,0,0,0,76,384,184,0,0,0,-676,12,0,12,69
1953:Q3,50,13,2608,1436,336,1100,1100,0,0,0,0,0,0,0,-0,32,2096,0,2096,5488,-3392,0,0,0,0,0,0,0,0,0,0,-956,-1340,0,384,2460,2452,908,2612,1804,96,1708,0,0,0,-60,1236,-368,0,0,0,-1068,8,0,8,-111
1953:Q4,46,13,-1620,-264,1000,-1264,-1264,0,0,0,0,0,0,0,-52,-212,-544,0,-544,2472,-3016,0,0,0,0,0,0,0,0,0,0,-548,-392,0,-156,-1292,-1304,-872,-3560,-2196,-2088,-108,0,0,0,-348,-1064,48,0,0,0,3128,12,0,12,361
1954:Q1,47,11,-1592,-1124,-1600,476,476,0,0,0,0,0,0,0,28,-612,320,0,320,-1804,2124,0,0,0,0,0,0,0,0,0,0,-204,-260,0,56,-1940,-1960,-2424,1656,1844,232,1612,0,0,0,260,-908,460,0,0,0,-1192,20,0,20,-312
1954:Q2,47,11,-484,-312,128,-440,-440,0,0,0,0,0,0,0,-0,-440,696,0,696,3816,-3120,0,0,0,0,0,0,0,0,0,0,-428,-152,0,-276,-488,-496,212,-712,-256,-32,-224,0,0,0,232,-900,212,0,0,0,4,8,0,8,32
1954:Q3,43,11,-3560,384,-224,608,608,0,0,0,0,0,0,0,-0,-808,-2996,0,-2996,-3068,72,0,0,0,0,0,0,0,0,0,0,-140,-468,0,328,-3564,-3580,-1576,-596,-768,-60,-708,0,0,0,-164,324,12,0,0,0,-1408,16,0,16,28
1954:Q4,39,11,-112,532,1188,-656,-656,0,0,0,0,0,0,0,-4,-356,264,0,264,31600,-31336,0,0,0,0,0,0,0,0,0,0,-548,-388,0,-160,108,60,-1348,-536,188,0,188,0,0,0,-72,204,-856,0,0,0,1944,48,0,48,248
1955:Q1,35,11,1004,1328,-1024,2352,2352,0,0,0,0,0,0,0,4,356,-736,0,-736,-20824,20088,0,0,0,0,0,0,0,0,0,0,52,24,0,28,796,772,-384,1756,1252,132,1120,0,0,0,-432,-604,1540,0,0,0,-600,24,0,24,-184
1955:Q2,35,12,-2400,-900,1192,-2092,-2092,0,0,0,0,0,0,0,-104,340,-1564,64,-1628,-6948,5320,0,0,0,0,0,0,0,0,0,0,-172,-164,0,-8,-2444,-2448,-716,-2244,-2616,-68,-2548,0,0,0,-12,900,-516,0,0,0,512,4,0,4,-21
1955:Q3,39,12,2800,2048,-248,2296,2296,0,0,0,0,0,0,0,132,364,188,12,176,-22316,22492,0,0,0,0,0,0,0,0,0,0,68,24,0,44,2720,2708,2268,1144,248,-84,332,0,0,0,4,440,452,0,0,0,-704,12,0,12,-53
1955:Q4,47,13,1544,1020,3188,-2168,-2168,0,0,0,0,0,0,0,-128,356,220,20,200,15588,-15388,0,0,0,0,0,0,0,0,0,0,76,24,0,52,1768,1748,-652,716,324,-96,420,0,0,0,100,916,-624,0,0,0,1684,20,0,20,258
1956:Q1,52,17,-456,-772,-3168,2396,2396,0,0,0,0,0,0,0,124,-328,572,-36,608,16832,-16224,0,0,0,0,0,0,0,0,0,0,-52,104,0,-156,-836,-864,-112,672,448,80,368,0,0,0,-240,-644,1108,0,0,0,-1424,28,0,28,-345
1956:Q2,60,18,-96,-244,1652,-1896,-1896,0,0,0,0,0,0,0,8,-56,-576,12,-588,500,-1088,0,0,0,0,0,0,0,0,0,0,772,332,0,440,-160,-184,-328,-584,-544,-76,-468,0,0,0,-172,2620,-2488,0,0,0,728,24,0,24,-22
1956:Q3,64,18,560,780,-584,1364,1364,0,0,0,0,0,0,0,-12,-64,-728,-4,-724,-492,-232,0,0,0,0,0,0,0,0,0,0,584,340,0,244,472,456,1128,608,148,48,100,0,0,0,112,-2336,2684,0,0,0,-1280,16,0,16,-42
1956:Q4,68,18,2128,228,2420,-2192,-2192,0,0,0,0,0,0,0,-112,216,1648,68,1580,4080,-2500,0,0,0,0,0,0,0,0,0,0,148,260,0,-112,2492,2468,-472,1484,168,-20,188,0,0,0,-36,340,1012,0,0,0,1456,24,0,24,414
1957:Q1,69,25,-2584,-1164,-3432,2268,2268,0,0,0,0,0,0,0,116,252,-2796,-44,-2752,-3948,1196,0,0,0,0,0,0,0,0,0,0,1008,1428,0,-420,-3108,-3128,-1288,-736,176,144,32,0,0,0,108,-44,-976,0,0,0,-1104,20,0,20,-480
1957:Q2,73,25,1520,1816,888,928,928,0,0,0,0,0,0,0,-12,-56,-1464,0,-1464,-184,-1280,0,0,0,0,0,0,0,0,0,0,1236,1268,0,-32,1452,1444,864,424,-500,-212,-288,0,0,0,440,464,20,0,0,0,156,8,0,8,-20
1957:Q3,81,25,-152,-368,-176,-192,-192,0,0,0,0,0,0,0,40,-64,200,-24,224,35560,-35336,0,0,0,0,0,0,0,0,0,0,40,48,0,-8,96,76,560,352,404,88,316,0,0,0,-328,428,-152,0,0,0,-836,20,0,20,304
1957:Q4,89,25,1012,-1148,1756,-2904,-2904,0,0,0,0,0,0,0,-24,676,532,104,428,1628,-1200,0,0,0,0,0,0,0,0,0,0,976,584,0,392,1152,1124,-236,80,24,-76,100,0,0,0,-60,-1288,1404,0,0,0,1280,28,0,28,204
1958:Q1,78,17,-2424,-2608,-2880,272,272,0,0,0,0,0,0,0,-40,-548,2516,-56,2572,-316,2888,0,0,0,0,0,0,0,0,0,0,-1744,-1548,0,-196,-2676,-2696,-792,-1040,264,-124,388,0,0,0,-412,420,-1312,0,0,0,-864,20,0,20,-191
1958:Q2,74,17,2228,408,368,40,40,0,0,0,0,0,0,0,-32,-440,6444,24,6420,7240,-820,0,0,0,0,0,0,0,0,0,0,-4152,-4152,0,0,2192,2180,-80,-540,-1140,-152,-988,0,0,0,60,172,368,0,0,0,2800,12,0,12,21
1958:Q3,62,17,-3492,1448,612,836,836,0,0,0,0,0,0,0,-180,-464,-2308,-68,-2240,-628,-1612,0,0,0,0,0,0,0,0,0,0,-1988,-1928,0,-60,-3384,-3400,-636,1116,120,-24,144,0,0,0,172,856,-32,0,0,0,-3880,16,0,16,153
1958:Q4,62,17,2244,224,1388,-1164,-1164,0,0,0,0,0,0,0,228,-312,3480,100,3380,-6368,9748,0,0,0,0,0,0,0,0,0,0,-1376,-1360,0,-16,2420,2396,-612,400,-48,-12,-36,0,0,0,-164,-20,632,0,0,0,2608,24,0,24,221
1959:Q1,-138,16,620,-96,-2200,2104,2104,0,0,0,0,0,0,0,4,-156,1216,-124,1340,-3016,4356,0,0,0,0,0,0,0,0,0,0,-348,-368,0,20,716,672,696,1224,560,124,436,0,0,0,144,876,-356,0,0,0,-1248,44,0,44,-58
1959:Q2,-154,16,-864,1680,400,1280,1280,0,0,0,0,0,0,0,-0,-28,296,-24,320,2112,-1792,0,0,0,0,0,0,0,0,0,0,-2812,-2948,0,136,-1320,-1344,-1136,-384,-1168,-1280,112,0,0,0,-36,-24,844,0,0,0,176,24,0,24,-626
1959:Q3,-194,16,-1040,-1832,420,-2252,-2252,0,0,0,0,0,0,0,-556,-32,2076,-24,2100,-30420,32520,0,0,0,0,0,0,0,0,0,0,-696,-856,0,160,-1200,-1212,68,944,384,-68,452,0,0,0,48,1340,-828,0,0,0,-2224,12,0,12,-370
1959:Q4,-226,16,1468,3052,2556,496,496,0,0,0,0,0,0,0,444,104,-2168,176,-2344,176,-2520,0,0,0,0,0,0,0,0,0,0,36,-140,0,176,2696,2680,-948,-792,-360,56,-416,0,0,0,140,36,-608,0,0,0,4420,16,0,16,986
1960:Q1,46,17,-3204,-1620,-3068,1448,1448,0,0,0,0,0,0,0,24,196,-1620,-148,-1472,-13372,11900,0,0,0,0,0,0,0,0,0,0,-184,-192,0,8,-3576,-3608,448,56,16,180,-164,0,0,0,-488,-840,1368,0,0,0,-4112,32,0,32,-343
1960:Q2,46,17,1064,-2012,180,-2192,-2192,0,0,0,0,0,0,0,-96,408,2428,-8,2436,4832,-2396,0,0,0,0,0,0,0,0,0,0,336,-344,0,680,1092,1072,-2196,108,-32,-164,132,0,0,0,132,-1108,1116,0,0,0,3160,20,0,20,57
1960:Q3,38,17,100,1780,476,1304,1304,0,0,0,0,0,0,0,-104,404,1172,12,1160,23344,-22184,0,0,0,0,0,0,0,0,0,0,-3152,-2548,0,-604,108,96,4056,176,-24,36,-60,0,0,0,-256,1332,-876,0,0,0,-4136,12,0,12,29
1960:Q4,34,17,-2716,1252,3524,-2272,-2272,0,0,0,0,0,0,0,20,380,-428,184,-612,-19416,18804,0,0,0,0,0,0,0,0,0,0,-3940,-3672,0,-268,-2472,-2496,-6680,-208,-92,-108,16,0,0,0,104,52,-272,0,0,0,4392,24,0,24,261
1961:Q1,82,13,-4176,-4044,-4368,324,324,0,0,0,0,0,0,0,168,-334,1532,-76,1608,-16940,18548,0,0,0,0,0,0,0,0,0,0,-1498,-1516,0,18,-4560,-4616,-1804,944,48,240,-192,0,0,0,224,-132,804,0,0,0,-3756,56,0,56,-315
1961:Q2,78,13,2208,1380,1664,-284,-284,0,0,0,0,0,0,0,-204,126,56,-36,92,6504,-6412,0,0,0,0,0,0,0,0,0,0,850,648,0,202,1840,1832,1276,-84,-268,-232,-36,0,0,0,-104,2180,-1892,0,0,0,640,8,0,8,-303
1961:Q3,74,13,380,704,516,188,188,0,0,0,0,0,0,0,164,-412,688,-12,700,-19040,19740,0,0,0,0,0,0,0,0,0,0,-764,-696,0,-68,612,584,236,2064,164,148,16,0,0,0,452,-1104,2552,0,0,0,-1716,28,0,28,293
1961:Q4,78,13,6720,4132,4000,132,132,0,0,0,0,0,0,0,88,-180,4652,100,4552,1088,3464,0,0,0,0,0,0,0,0,0,0,-1972,-1948,0,-24,6724,6672,1516,900,156,24,132,0,0,0,-300,1136,-92,0,0,0,4256,52,0,52,69
1962:Q1,42,13,-2520,-5308,-5528,220,220,0,0,0,0,0,0,0,-8,592,3204,-108,3312,12376,-9064,0,0,0,0,0,0,0,0,0,0,-1000,-1124,0,124,-2756,-2788,440,892,-172,60,-232,0,0,0,-128,836,356,0,0,0,-4120,32,0,32,-207
1962:Q2,54,13,2648,1668,2176,-508,-508,0,0,0,0,0,0,0,-0,840,888,76,812,1956,-1144,0,0,0,0,0,0,0,0,0,0,-748,-692,0,-56,3384,3364,-160,2460,792,-232,1024,0,0,0,364,2980,-1676,0,0,0,1064,20,0,20,777
1962:Q3,54,13,1404,3592,716,2876,2876,0,0,0,0,0,0,0,16,28,-892,-104,-788,13860,-14648,0,0,0,0,0,0,0,0,0,0,-1340,-1472,0,132,1224,1208,1224,472,-676,104,-780,0,0,0,-320,-1412,2880,0,0,0,-488,16,0,16,-139
1962:Q4,50,13,5132,2148,5048,-2900,-2900,0,0,0,0,0,0,0,-12,-542,3840,152,3688,14852,-11164,0,0,0,0,0,0,0,0,0,0,-302,-356,0,54,4968,4948,-1236,2280,416,-100,516,0,0,0,76,28,1760,0,0,0,3904,20,0,20,-127
1963:Q1,55,11,-3408,-6092,-6720,628,628,0,0,0,0,0,0,0,-4,-66,3220,-92,3312,1688,1624,0,0,0,0,0,0,0,0,0,0,-466,-400,0,-66,-3796,-3840,-1172,2380,1104,240,864,0,0,0,-292,3448,-1880,0,0,0,-5048,44,0,44,-344
1963:Q2,55,11,3208,1268,1660,-392,-392,0,0,0,0,0,0,0,-176,-464,3232,-24,3256,6960,-3704,0,0,0,0,0,0,0,0,0,0,-652,-580,0,-72,3264,3252,256,2220,32,-284,316,0,0,0,0,3824,-1636,0,0,0,776,12,0,12,100
1963:Q3,55,11,2676,664,-812,1476,1476,0,0,0,0,0,0,0,184,-352,2720,-28,2748,-15016,17764,0,0,0,0,0,0,0,0,0,0,-540,-604,0,64,2372,2348,-8,2556,248,76,172,0,0,0,-156,-300,2764,0,0,0,-200,24,0,24,-260
1963:Q4,59,11,5700,2924,4660,-1736,-1736,0,0,0,0,0,0,0,-20,-80,3316,216,3100,-11300,14400,0,0,0,0,0,0,0,0,0,0,-440,-276,0,-164,6168,6128,-696,2960,-328,-108,-220,0,0,0,144,3432,-288,0,0,0,3864,40,0,40,516
1964:Q1,-449,12,-568,-4316,-4412,96,96,0,0,0,0,0,0,0,16,1340,2256,-120,2376,-15176,17552,0,0,0,0,0,0,0,0,0,0,136,-208,0,344,-876,-920,1416,2436,1164,216,948,0,0,0,-168,1296,144,0,0,0,-4772,44,0,44,-769
1964:Q2,-465,12,2180,640,544,96,96,0,0,0,0,0,0,0,4,-288,2176,-68,2244,-8968,11212,0,0,0,0,0,0,0,0,0,0,-352,0,0,-352,1916,1896,-740,2068,-220,-96,-124,0,0,0,88,704,1496,0,0,0,568,20,0,20,-741
1964:Q3,-465,12,4908,-208,-264,56,56,0,0,0,0,0,0,0,4,358,4312,144,4168,-816,4984,0,0,0,0,0,0,0,0,0,0,442,8,0,434,4936,4916,1708,2348,-436,172,-608,0,0,0,-84,3472,-604,0,0,0,860,20,0,20,-449
1964:Q4,-489,12,7532,4408,4156,252,252,0,0,0,0,0,0,0,4,910,2908,0,2908,4308,-1400,0,0,0,0,0,0,0,0,0,0,-698,-300,0,-398,10060,10036,820,3140,872,712,160,0,0,0,376,1836,56,0,0,0,6076,24,0,24,2027
1965:Q1,23,14,-2276,-6156,-5968,-188,-188,0,0,0,0,0,0,0,-12,160,6612,136,6476,3128,3348,0,0,0,0,0,0,0,0,0,0,-2880,-3300,0,420,-2532,-2580,32,2372,272,360,-88,0,0,0,-272,2296,76,0,0,0,-4984,48,0,48,-247
1965:Q2,23,14,2524,3088,940,2148,2148,0,0,0,0,0,0,0,4,-436,2592,-360,2952,3740,-788,0,0,0,0,0,0,0,0,0,0,-2724,-2516,0,-208,2712,2692,1704,1484,-172,180,-352,0,0,0,52,-620,2224,0,0,0,-496,20,0,20,197
1965:Q3,27,14,3208,-1868,224,-2092,-2092,0,0,0,0,0,0,0,-12,330,4928,32,4896,2540,2356,0,0,0,0,0,0,0,0,0,0,-170,-304,0,134,3996,3984,-1008,3944,200,228,-28,0,0,0,76,3848,-180,0,0,0,1048,12,0,12,801
1965:Q4,23,15,4568,3264,3372,-108,-108,0,0,0,0,0,0,0,4,-40,1820,256,1564,2820,-1256,0,0,0,0,0,0,0,0,0,0,-480,-500,0,20,4388,4360,884,364,-932,-176,-756,0,0,0,-128,2268,-844,0,0,0,3112,28,0,28,-172
1966:Q1,7,15,1220,-1508,-3440,1932,1932,0,0,0,0,0,0,0,-40,-404,2936,-180,3116,544,2572,0,0,0,0,0,0,0,0,0,0,236,-396,0,632,-504,-540,1172,3952,940,720,220,0,0,0,560,1580,872,0,0,0,-5664,36,0,36,-1732
1966:Q2,7,15,3548,1108,2276,-1168,-1168,0,0,0,0,0,0,0,-4,566,2680,432,2248,4840,-2592,0,0,0,0,0,0,0,0,0,0,-802,-804,0,2,4232,4224,204,3808,1488,436,1052,0,0,0,700,272,1348,0,0,0,212,8,0,8,676
1966:Q3,15,15,3416,1528,-1240,2768,2768,0,0,0,0,0,0,0,32,756,1480,-360,1840,20036,-18196,0,0,0,0,0,0,0,0,0,0,-380,-700,0,320,2980,2964,-1672,2756,1380,168,1212,0,0,0,-492,1528,340,0,0,0,1880,16,0,16,-436
1966:Q4,23,15,6932,228,3452,-3224,-3224,0,0,0,0,0,0,0,-20,1694,5588,84,5504,2796,2708,0,0,0,0,0,0,0,0,0,0,-558,-396,0,-162,8256,8240,5684,-1584,-3152,340,-3492,0,0,0,48,1684,-164,0,0,0,4140,16,0,16,1332
1967:Q1,16,18,-2788,-5576,-5000,-576,-576,0,0,0,0,0,0,0,-12,-2778,5452,-276,5728,4020,1708,0,0,0,0,0,0,0,0,0,0,126,-208,0,334,-4184,-4216,-1548,3788,2680,636,2044,0,0,0,-84,1168,24,0,0,0,-6456,32,0,32,-1398
