1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,32016,329,0,0,0,5928,0,2445,0,3483,120,275,0,25364,0,0,24923,441,32068,30220,5297,24923,30168,1848
1952:Q1,33405,330,367,0,83,6171,0,2487,0,3684,126,1445,0,24883,0,139,24141,603,33458,31276,7135,24141,31223,2182
1952:Q2,34552,321,381,0,86,6414,0,2483,0,3931,133,1562,0,25655,0,145,24879,631,34609,32332,7453,24879,32275,2277
1952:Q3,35698,312,396,0,90,6691,0,2468,0,4223,141,1602,0,26466,0,151,25658,657,35751,33389,7731,25658,33336,2362
1952:Q4,36879,310,411,0,93,7027,0,2479,0,4548,149,1843,0,27046,0,160,26214,672,36940,34445,8231,26214,34384,2495
1953:Q1,38207,319,427,0,94,7375,0,2513,0,4862,159,1916,0,27917,0,167,27068,682,38270,35677,8609,27068,35614,2593
1953:Q2,39540,337,444,0,96,7717,0,2567,0,5150,170,2042,0,28734,0,175,27876,683,39609,36910,9034,27876,36841,2699
1953:Q3,40865,356,461,0,96,8029,0,2620,0,5409,181,2169,0,29573,0,182,28706,685,40941,38142,9436,28706,38066,2799
1953:Q4,42206,366,478,0,97,8301,0,2636,18,5647,192,2392,0,30380,0,191,29504,685,42280,39374,9870,29504,39300,2906
1954:Q1,43295,368,497,0,99,8578,0,2652,16,5910,203,2605,0,30945,0,199,30054,692,43372,40354,10300,30054,40277,3018
1954:Q2,44361,363,516,0,101,8870,0,2644,16,6210,213,2685,0,31613,0,205,30708,700,44440,41334,10626,30708,41255,3106
1954:Q3,45445,358,536,0,103,9203,0,2647,9,6547,224,2821,0,32200,0,213,31277,710,45528,42313,11036,31277,42230,3215
1954:Q4,46579,357,556,0,106,9589,0,2675,7,6907,238,3154,0,32579,0,224,31625,730,46674,43293,11668,31625,43198,3381
1955:Q1,47712,367,577,0,111,9964,0,2735,9,7220,255,3551,0,32887,0,237,31888,762,47806,44238,12350,31888,44144,3568
1955:Q2,48954,385,600,0,118,10326,0,2839,11,7476,274,4519,0,32732,0,259,31675,798,49056,45184,13509,31675,45082,3872
1955:Q3,50173,404,623,0,125,10628,0,2936,13,7679,296,5446,0,32651,0,280,31528,843,50290,46129,14601,31528,46012,4161
1955:Q4,51320,415,647,0,132,10844,0,2972,19,7853,321,6085,0,32876,0,295,31685,896,51451,47074,15389,31685,46943,4377
1956:Q1,52653,419,671,0,140,11088,0,2949,35,8104,349,6817,0,33169,0,311,31906,952,52789,48175,16269,31906,48039,4614
1956:Q2,53851,417,697,0,150,11388,0,2895,36,8457,381,6739,0,34079,0,317,32735,1027,53991,49276,16541,32735,49136,4715
1956:Q3,55071,414,724,0,158,11781,0,2817,43,8921,415,6712,0,34867,0,324,33442,1101,55217,50377,16935,33442,50231,4840
1956:Q4,56377,415,752,0,166,12273,0,2751,47,9475,449,7065,0,35257,0,339,33765,1153,56529,51478,17713,33765,51326,5051
1957:Q1,58162,424,781,0,172,12764,0,2677,65,10022,482,7014,0,36525,0,348,34977,1200,58319,53142,18165,34977,52985,5177
1957:Q2,60124,439,811,0,177,13200,0,2604,72,10524,514,7948,0,37035,0,370,35442,1223,60284,54807,19365,35442,54647,5477
1957:Q3,61832,454,842,0,182,13579,0,2535,82,10962,547,7638,0,38590,0,373,36957,1260,61996,56472,19515,36957,56308,5524
1957:Q4,63562,466,874,0,186,13911,0,2461,113,11337,583,7489,0,40053,0,378,38377,1298,63731,58136,19759,38377,57967,5595
1958:Q1,64975,475,908,0,191,14255,0,2411,142,11702,619,8060,0,40467,0,393,38752,1322,65125,59319,20567,38752,59169,5806
1958:Q2,66432,482,943,0,194,14615,0,2432,111,12072,655,8981,0,40562,0,414,38813,1335,66588,60502,21689,38813,60346,6086
1958:Q3,67935,488,979,0,198,15000,0,2431,116,12453,695,10184,0,40391,0,440,38606,1345,68114,61686,23080,38606,61507,6428
1958:Q4,69485,496,1017,0,204,15409,0,2451,116,12842,742,11561,0,40056,0,469,38221,1366,69685,62869,24648,38221,62669,6816
1959:Q1,71186,505,1056,0,211,15669,0,2476,137,13056,796,12137,0,40812,0,484,38918,1410,71366,64337,25419,38918,64157,7029
1959:Q2,72984,516,1096,0,218,16062,0,2523,172,13367,856,13278,0,40958,0,510,38993,1455,73192,65806,26813,38993,65598,7386
1959:Q3,74581,527,1138,0,227,16419,0,2587,188,13644,921,13422,0,41927,0,520,39889,1518,74821,67274,27385,39889,67034,7547
1959:Q4,76397,535,1182,0,235,16896,0,2619,192,14085,989,14525,0,42035,0,547,39918,1570,76659,68742,28824,39918,68480,7917
1960:Q1,77510,538,1227,0,245,17228,0,2537,269,14422,1063,14128,0,43081,0,549,40880,1652,77804,69833,28953,40880,69539,7971
1960:Q2,78915,536,1275,0,255,17507,0,2457,305,14745,1145,15118,0,43079,0,572,40782,1725,79212,70924,30142,40782,70627,8288
1960:Q3,80046,536,1324,0,266,17860,0,2408,303,15149,1227,14603,0,44230,0,573,41839,1818,80346,72014,30175,41839,71714,8332
1960:Q4,81678,546,1374,0,275,18381,0,2404,278,15699,1301,16545,0,43256,0,613,40780,1863,81980,73105,32325,40780,72803,8875
1961:Q1,82925,568,1427,0,284,18511,0,2407,270,15834,1369,19082,0,41684,0,657,39132,1895,83191,73739,34607,39132,73473,9452
1961:Q2,83757,601,1482,0,291,18909,0,2429,250,16230,1430,19596,0,41448,0,674,38832,1942,84063,74374,35542,38832,74068,9689
1961:Q3,84679,635,1539,0,298,19181,0,2431,261,16489,1491,20660,0,40875,0,697,38193,1985,85017,75008,36815,38193,74670,10009
1961:Q4,85855,660,1598,0,307,19596,0,2425,289,16882,1560,22856,0,39278,0,740,36517,2021,86222,75642,39125,36517,75275,10580
1962:Q1,86280,677,1660,0,321,19870,0,2421,333,17116,1634,22866,32,39220,0,749,36336,2135,86649,75914,39578,36336,75545,10735
1962:Q2,85796,687,1723,0,338,20322,0,2459,354,17509,1713,17845,86,43082,0,686,40045,2351,86171,76186,36141,40045,75811,9985
1962:Q3,86496,695,1790,0,355,20522,0,2524,351,17647,1794,19251,140,41949,0,716,38753,2480,86875,76459,37706,38753,76080,10416
1962:Q4,87476,707,1858,0,369,21025,0,2600,324,18101,1876,21885,172,39584,0,768,36261,2555,87855,76731,40470,36261,76352,11124
1963:Q1,88464,721,1930,0,380,21405,0,2628,333,18444,1957,23509,184,38378,0,803,34964,2611,88875,77280,42316,34964,76869,11595
1963:Q2,89441,735,2004,0,385,21837,0,2655,335,18847,2035,24949,177,37319,0,834,33853,2632,89845,77828,43975,33853,77424,12017
1963:Q3,90384,752,2081,0,393,22284,0,2640,377,19267,2119,26270,169,36316,0,864,32782,2670,90807,78377,45595,32782,77954,12430
1963:Q4,91368,773,2161,0,409,22609,0,2679,370,19560,2220,27670,176,35350,0,895,31670,2785,91810,78926,47256,31670,78484,12884
1964:Q1,92917,802,2244,0,435,23056,0,2872,386,19798,2357,29690,201,34132,0,940,30220,2972,93371,79832,49612,30220,79378,13539
1964:Q2,94357,850,2330,0,471,23427,0,2665,373,20389,2506,31136,241,33396,0,978,29163,3255,94839,80738,51575,29163,80256,14101
1964:Q3,95828,857,2419,0,507,23718,0,2661,362,20695,2640,32638,283,32766,0,1014,28201,3551,96324,81645,53444,28201,81149,14679
1964:Q4,97248,892,2512,0,537,24398,0,2715,477,21206,2778,33705,312,32114,0,1049,27284,3781,97767,82551,55267,27284,82032,15216
1965:Q1,99207,752,2609,0,560,24938,0,2909,403,21626,2919,34953,331,32145,0,1081,27109,3955,99770,84040,56931,27109,83477,15730
1965:Q2,100782,728,2709,0,577,25197,0,2709,404,22084,3175,34570,341,33485,0,1087,28293,4105,101363,85530,57237,28293,84949,15833
1965:Q3,103172,760,2813,0,594,25334,0,2457,431,22446,3298,38608,349,31416,0,1157,26073,4186,103773,87019,60946,26073,86418,16754
1965:Q4,105249,941,2921,0,616,25696,0,2539,454,22703,3385,40754,360,30576,0,1203,25033,4340,105912,88508,63475,25033,87845,17404
1966:Q1,107922,957,3034,0,642,26684,0,2479,465,23740,3508,40765,372,31960,0,1226,26183,4551,108592,90812,64629,26183,90142,17780
1966:Q2,110318,791,3151,0,671,27014,0,2377,475,24162,3591,39868,384,34848,0,1223,28805,4820,110992,93115,64310,28805,92441,17877
1966:Q3,112303,719,3271,0,702,27411,0,2351,442,24618,3710,36711,397,39382,0,1189,33061,5132,112985,95418,62357,33061,94736,17567
1966:Q4,115466,758,3418,0,734,27981,0,2304,446,25231,3911,39468,414,38782,0,1249,32178,5355,116155,97722,65544,32178,97033,18433
1967:Q1,119462,824,3539,0,767,28227,0,2148,432,25647,3991,45497,435,36182,0,1353,29279,5550,120167,100314,71035,29279,99609,19853
1967:Q2,122525,839,3682,0,803,28195,0,1999,390,25806,3976,46820,459,37751,0,1380,30529,5842,123254,102907,72378,30529,102178,20347
1967:Q3,126122,882,3829,0,838,28553,0,1967,362,26224,4059,50519,485,36957,0,1451,29416,6090,126874,105500,76084,29416,104748,21374
1967:Q4,129078,894,4014,0,870,28679,0,1987,337,26355,4083,51104,510,38924,0,1470,31094,6360,129858,108092,76998,31094,107312,21766
1968:Q1,131957,871,4136,0,900,29303,0,2207,358,26738,4091,48280,535,43841,0,1443,35743,6655,132783,111212,75469,35743,110386,21571
1968:Q2,136732,950,4303,0,928,29317,0,2181,379,26757,4050,55974,561,40649,0,1566,32302,6781,137597,114332,82030,32302,113467,23265
1968:Q3,140611,983,4485,0,954,29505,0,2120,401,26984,4071,58869,587,41157,0,1621,32571,6965,141529,117453,84882,32571,116535,24076
1968:Q4,144461,1015,4680,0,980,29756,0,2359,397,27000,4067,61456,614,41893,0,1671,33071,7151,145432,120573,87502,33071,119602,24859
1969:Q1,148964,1005,4799,0,1006,29729,0,2460,433,26836,4079,60813,639,46894,0,1667,37845,7382,149942,125017,87172,37845,124039,24925
1969:Q2,153621,1009,5040,0,1030,29571,0,2191,468,26912,4069,60925,664,51313,0,1674,42049,7590,154601,129460,87411,42049,128480,25141
1969:Q3,158154,1004,5220,0,1053,30160,0,2159,550,27451,4134,59756,689,56138,0,1672,46659,7807,159143,133904,87245,46659,132915,25239
1969:Q4,163192,1024,5429,0,1079,30404,0,2183,608,27613,4216,61425,715,58900,0,1710,49192,7998,164186,138348,89156,49192,137354,25838
1970:Q1,170476,1029,5646,0,1105,30657,0,2081,578,27998,4230,61339,737,65733,0,1720,55786,8227,171486,142314,86528,55786,141304,29172
1970:Q2,171970,918,5866,0,1133,30775,0,1984,660,28131,4213,50119,752,78194,0,1560,68003,8631,173012,146279,78276,68003,145237,26733
1970:Q3,178705,1028,6099,0,1161,31697,0,2152,916,28629,4193,59913,774,73840,0,1730,63395,8715,179783,150244,86849,63395,149166,29539
1970:Q4,184777,1106,6315,0,1190,32471,0,2124,904,29443,4171,67087,817,71620,0,1858,60909,8853,185881,154210,93301,60909,153106,31671
1971:Q1,190672,1199,6567,0,1221,31771,0,2259,759,28753,4080,76860,882,68092,0,2004,57106,8982,191854,157681,100575,57106,156499,34173
1971:Q2,194646,1205,6765,0,1252,30949,0,2001,593,28355,3914,78937,968,70656,0,2029,59386,9241,195912,161152,101766,59386,159886,34760
1971:Q3,199307,1242,7033,0,1286,30525,0,2044,590,27891,3768,83299,1062,71092,0,2097,59523,9472,200656,164623,105100,59523,163274,36033
1971:Q4,204436,1305,7270,0,1321,31345,0,2125,606,28614,3658,88651,1150,69736,0,2199,57844,9693,205877,168094,110250,57844,166653,37783
1972:Q1,211460,1413,7513,0,1474,32197,308,2540,858,28491,3332,96231,1237,68063,0,2350,54798,10915,213058,172276,117478,54798,170678,40782
1972:Q2,217542,1471,7821,0,1707,33828,794,2451,1207,29376,3133,97083,1330,71169,0,2426,55807,12936,219239,176459,120652,55807,174762,42780
1972:Q3,224206,1577,8155,0,1948,36295,1322,2623,1741,30609,2865,99365,1419,72582,0,2537,55047,14998,226005,180642,125595,55047,178843,45363
1972:Q4,231893,1790,8511,0,2130,37818,1755,3381,2078,30604,2728,107817,1494,69605,0,2722,50438,16445,233770,184824,134386,50438,182947,48946
1973:Q1,236107,1889,8891,0,2260,39986,2104,3725,2598,31559,2514,102259,1555,76753,0,2695,56413,17645,238087,189100,132687,56413,187120,48987
1973:Q2,239573,2016,9232,0,2348,41224,2382,4011,2788,32043,2439,95599,1603,85112,0,2634,63977,18501,241693,193375,129398,63977,191255,48318
1973:Q3,247028,2340,9680,0,2427,43334,2677,4711,2968,32978,2361,104779,1647,80460,0,2826,58614,19020,249305,197650,139036,58614,195373,51655
1973:Q4,249458,2455,10027,0,2530,44383,3079,5379,3192,32733,2376,93557,1695,92435,0,2697,69671,20067,251894,201926,132255,69671,199490,49968
1974:Q1,256465,2604,10444,0,2645,45609,3554,6109,3252,32694,2393,96863,1734,94173,0,2791,70367,21015,259029,207092,136725,70367,204528,51937
1974:Q2,260730,2840,10873,0,2765,47142,4069,6912,3264,32897,2377,88565,1751,104417,0,2718,79538,22161,263459,212258,132720,79538,209529,51201
1974:Q3,261975,3093,11331,0,2894,50161,4670,8235,3511,33745,2368,66279,1790,124059,0,2459,98010,23590,264921,217423,119413,98010,214477,47498
1974:Q4,270803,3366,11957,0,3041,53276,5403,8559,4305,35009,2372,74755,1895,120141,0,2670,92774,24697,273966,222589,129815,92774,219426,51377
1975:Q1,283971,3626,12495,0,3211,57738,6329,9623,4673,37113,2409,91897,2065,110530,0,3035,81634,25861,287428,226918,145284,81634,223461,60510
1975:Q2,296223,3915,13151,0,3575,61567,7508,10516,4900,38643,2378,110006,2301,99330,0,3436,67154,28740,299912,231246,164092,67154,227557,68666
1975:Q3,301411,4183,13832,0,4042,65452,8447,11896,4981,40128,2366,99892,2559,109085,0,3431,72709,32945,305287,235574,162865,72709,231698,69713
1975:Q4,310426,4400,14454,0,4346,68839,9066,12396,5466,41911,2383,107999,2795,105210,0,3665,66095,35450,314515,239903,173808,66095,235814,74612
1976:Q1,321603,4617,15095,0,4385,71900,9892,13613,5951,42444,2383,123664,2795,96764,0,3965,57302,35497,325763,245586,188284,57302,241426,80177
1976:Q2,326909,4704,15646,0,4140,74899,10440,15211,6326,42922,2383,123557,3033,98547,0,3984,61285,33278,331141,251270,189985,61285,247038,79871
1976:Q3,334174,4619,16096,0,4386,75059,10756,16371,6517,41415,2373,123523,3297,104821,0,4032,65344,35445,338482,256953,191609,65344,252645,81529
1976:Q4,342592,4510,16639,0,4736,75346,10952,18075,6075,40244,2414,125501,3534,109912,0,4130,67289,38493,346977,262636,195347,67289,258251,84341
1977:Q1,349924,4499,17300,0,5319,76217,11138,17873,7089,40117,2420,118706,3692,121771,0,4140,73906,43725,354428,268319,194413,73906,263815,86109
1977:Q2,358026,4567,18034,23,5335,80103,11272,19957,7630,41244,2539,123183,3771,120471,0,4284,72454,43733,362657,274002,201548,72454,269371,88655
1977:Q3,366037,4694,18821,53,5803,81566,11309,20080,8610,41567,2486,120475,3771,128368,0,4348,76139,47881,370798,279686,203547,76139,274925,91112
1977:Q4,373240,4835,19644,94,5717,85675,11314,21308,8501,44552,2497,123610,3746,127422,0,4459,75971,46992,378135,285369,209398,75971,280474,92766
1978:Q1,381940,4944,20592,150,6268,86654,11350,21477,8472,45355,2559,122074,3750,134949,0,4551,78536,51862,387022,291052,212516,78536,285970,95970
1978:Q2,392247,5031,21590,212,6136,91407,11335,22185,8423,49464,2647,137026,3750,124448,0,4845,69225,50378,397515,296736,227511,69225,291468,100779
1978:Q3,405218,5119,22509,272,6488,93994,11173,21089,9974,51758,2706,154397,3708,116025,0,5214,57634,53177,410695,302420,244786,57634,296943,108275
1978:Q4,413033,5184,23660,359,6935,96009,11162,23179,8681,52987,2721,150308,3715,124142,0,5270,61726,57146,418723,308103,246377,61726,302413,110620
1979:Q1,427863,5207,24727,500,7253,99249,11593,23727,9895,54034,2798,162540,3862,121727,0,5571,56451,59705,434046,313786,257335,56451,307603,120260
1979:Q2,437352,5189,25677,688,7490,105441,12498,24928,10734,57281,2750,165969,4152,119996,0,5772,52584,61640,444049,319470,266886,52584,312773,124579
1979:Q3,448689,5142,26714,913,7532,112178,13894,25769,12004,60511,2968,178516,4585,110141,0,6095,42358,61688,455933,325153,282795,42358,317909,130780
1979:Q4,459339,5055,27894,1182,7768,117641,15396,25995,12559,63691,3139,175437,8079,113144,0,6196,43238,63710,467156,330836,287598,43238,323019,136320
1980:Q1,475764,4919,28830,1500,7979,124722,16621,27203,13343,67555,3191,167538,8658,128427,0,6240,56615,65572,484288,351282,294667,56615,342758,133006
1980:Q2,505851,4721,29699,1845,8189,133066,17671,29387,15027,70981,3263,190278,9302,125488,0,6761,51791,66936,515079,371728,319937,51791,362500,143351
1980:Q3,535136,4447,30520,2195,8485,140604,18650,30569,16447,74938,3471,210012,10352,125050,0,7241,48688,69121,545097,392174,343486,48688,382213,152923
1980:Q4,560704,4162,31827,2633,8378,147815,19531,32215,18345,77724,3564,223468,11184,127673,0,7566,52270,67837,571432,412620,360350,52270,401892,158812
1981:Q1,574558,3931,32923,3244,8237,153623,20286,33352,20305,79680,3748,226132,11378,131342,0,7697,57205,66440,586157,424946,367741,57205,413347,161211
1981:Q2,587975,3740,33727,4134,8355,160053,21787,34543,22926,80797,3871,221214,10829,142052,0,7753,66854,67445,600562,437271,370417,66854,424684,163291
1981:Q3,598269,3571,34960,5413,8525,165892,23227,34755,25713,82197,3878,202367,9209,164454,0,7600,87727,69127,611811,449596,361869,87727,436054,162215
1981:Q4,616807,3426,36476,6564,8258,174716,24505,46684,20199,83328,3913,218479,8297,156678,0,7953,82357,66368,631519,461922,379565,82357,447210,169597
1982:Q1,632735,2924,39585,7030,7728,188462,21975,56035,23902,86550,3913,224417,7926,150750,0,8215,81202,61333,649173,476002,394800,81202,459564,173171
1982:Q2,650954,2818,43034,6030,7840,199167,20607,62040,27580,88940,5386,229366,8486,148827,0,8534,78268,62025,668005,490082,411814,78268,473031,177923
1982:Q3,681199,2569,46147,5071,8648,207946,17800,67904,29696,92546,6361,266987,9890,127580,0,9410,49752,68418,699000,504162,454410,49752,486361,194838
1982:Q4,702121,2259,49416,4688,8705,217596,15203,75171,31997,95225,7770,282916,11240,117531,0,9871,39189,68471,720443,518242,479053,39189,499920,202201
1983:Q1,742277,2113,53491,4877,9291,226423,14243,79729,33229,99222,9056,319549,12410,105067,0,10730,21449,72888,762545,542966,521517,21449,522698,219579
1983:Q2,786839,2246,59049,5228,10383,233448,15302,83051,34441,100654,9709,361655,13627,91494,0,11738,-1952,81708,809623,567690,569642,-1952,544906,241933
1983:Q3,813150,2585,59222,5602,10372,248051,16997,89104,36972,104978,10569,354062,13732,108955,0,11868,15612,81475,835955,592414,576802,15612,569609,243541
1983:Q4,840600,2729,60873,5929,10596,257414,17247,93332,38890,107945,10124,350266,13889,128780,0,12011,33419,83350,863921,617138,583719,33419,593817,246783
1984:Q1,869592,3076,60168,6191,10166,263161,19581,95023,39302,109255,9892,323747,13796,179395,0,11629,87900,79866,891386,639395,551495,87900,617601,251991
1984:Q2,885769,3479,60020,6388,9894,257266,22113,92123,38414,104616,9369,308011,13274,218068,0,11259,129024,77785,906439,661652,532628,129024,640982,244787
1984:Q3,927383,3466,64875,6770,10593,275121,22171,98763,41402,112785,9041,339365,14673,203479,0,12189,108147,83143,948956,683908,575761,108147,662335,265048
1984:Q4,963382,3297,68025,6938,10909,296028,19609,108403,44618,123398,9735,358978,15515,193957,0,12913,95778,85266,985048,706165,610387,95778,684499,278883
1985:Q1,1019030,3536,73195,7429,11648,295012,19330,112153,46315,117214,11041,408196,16888,192085,0,13761,87249,91075,1041580,728422,641173,87249,705872,313158
1985:Q2,1041149,3781,79595,8015,12448,301886,19235,119439,49971,113241,11804,419105,18211,186304,0,14718,74269,97317,1064607,750678,676409,74269,727220,313929
1985:Q3,1056525,3821,78824,8239,12043,303540,19843,122973,52048,108676,11361,398654,18015,222028,0,14545,113638,93845,1078635,772935,659297,113638,750825,305700
1985:Q4,1191452,3281,76601,9087,19181,314830,21969,128551,67106,97204,14016,494946,21105,238405,131774,18707,-23994,111918,1215574,795192,819186,-23994,771070,420382
1986:Q1,1230205,2821,78044,9517,19264,329103,22481,131499,68646,106477,13862,549920,24969,202705,138808,18707,-64626,109816,1256069,810618,875244,-64626,784754,445451
1986:Q2,1246296,2431,78969,9427,19513,327777,23110,126849,66237,111581,12992,556234,25457,213496,140989,18707,-56677,110477,1273595,826045,882722,-56677,798746,447550
1986:Q3,1248518,2106,81702,10106,19857,336055,24000,125171,65490,121394,12609,486489,23831,275763,141730,18712,1995,113326,1277412,841472,839477,1995,812578,435940
1986:Q4,1281488,1902,86920,10990,20867,321538,25718,112795,59135,123890,11255,499172,24712,304132,146862,18742,9989,128539,1312364,856898,846909,9989,826022,455466
1987:Q1,1340495,1787,83688,11194,20680,325035,27248,112961,61479,123347,10096,622684,31727,233604,161214,19042,-86033,139381,1371874,872325,958358,-86033,840946,499549
1987:Q2,1380015,1707,83821,12008,21281,325972,29989,107248,68626,120109,9308,656616,36335,232967,171248,19492,-97886,140113,1411707,887752,985638,-97886,856060,523955
1987:Q3,1438931,1652,81144,12337,21224,332763,31972,110202,70435,120154,8725,693040,40555,247491,184348,20142,-114790,157791,1471197,903178,1017968,-114790,870912,568019
1987:Q4,1422140,1636,76103,12832,20444,338234,32975,112999,72258,120002,8205,507411,33224,424051,186265,20250,83229,134307,1454222,918605,835376,83229,886523,535617
1988:Q1,1459750,1836,76495,13450,20449,331869,30459,103552,80809,117049,9614,529276,35767,440994,184762,19750,99994,136488,1489604,934032,834038,99994,904178,555572
1988:Q2,1492433,2436,82766,14631,22142,333028,30414,104488,81456,116670,11269,541172,37444,447545,187501,19050,97708,143286,1521015,949458,851750,97708,920876,571557
1988:Q3,1505823,3536,82649,15113,21940,348593,27818,114250,83917,122608,13983,496969,36276,486764,183436,17800,130712,154816,1532322,964885,834173,130712,938386,567437
1988:Q4,1532381,4547,86942,15263,22583,351363,26485,112722,86584,125572,16666,486477,38262,510278,186900,19012,142463,161903,1557430,980312,837849,142463,955263,577118
1989:Q1,1571666,5122,94517,16048,23571,354088,26616,104456,97388,125628,17630,516157,40630,503903,192621,20696,127867,162719,1598547,995738,867871,127867,968857,602809
1989:Q2,1612335,5072,101600,17220,24017,365805,26081,109626,101011,129087,19272,550139,44371,484839,196637,22555,110371,155276,1640683,1011165,900794,110371,982817,629518
1989:Q3,1655929,4697,108691,17420,25085,379038,26155,115216,104862,132805,21079,607148,48823,443948,202090,24454,73173,144231,1686250,1026592,953419,73173,996271,659658
1989:Q4,1699189,4141,114406,18678,24814,395377,24814,122396,110428,137739,23294,599629,51196,467654,204708,26280,88986,147680,1730727,1042018,953032,88986,1010480,688709
1990:Q1,1714282,3666,116002,19649,24854,399411,24854,111101,122943,140513,23310,573647,51205,502538,207757,28004,127000,139777,1745196,1057445,930445,127000,1026531,687751
1990:Q2,1735508,3266,113279,18997,24503,417060,24503,116508,127920,148129,24179,607628,57280,469316,210073,29268,99271,130704,1765980,1072872,973601,99271,1042400,693108
1990:Q3,1734988,3416,111111,18694,24146,427635,24146,119700,130652,153137,24614,515493,51499,558380,210651,30642,187152,129935,1764917,1088298,901146,187152,1058369,676619
1990:Q4,1782909,3311,110223,19150,23504,435846,23504,122254,132637,157451,24901,572836,57503,535635,214824,32331,174506,113974,1812271,1103725,929219,174506,1074363,708546
1991:Q1,1848260,3226,107637,18268,23125,449133,23125,114699,146543,164766,23391,669778,68466,485236,221275,35015,117843,111103,1877177,1119152,1001309,117843,1090235,758025
1991:Q2,1877844,3141,109796,18785,24039,450260,24039,114156,144457,167608,21380,663272,72702,514469,227141,38479,129970,118879,1906415,1134578,1004608,129970,1106007,771837
1991:Q3,1929607,3056,114389,20128,25471,464217,25471,116866,147391,174489,19993,698467,82613,501273,235003,41713,107363,117194,1958078,1150005,1042642,107363,1121534,808073
1991:Q4,1989532,2965,115719,19840,27237,468462,27237,116946,145747,178532,18226,762709,88416,485958,244532,44403,85105,111918,2018205,1165432,1080327,85105,1136759,852773
1992:Q1,2004880,2917,110670,19944,27061,475638,27061,106319,157123,185135,17243,733323,94592,523492,245603,46813,131381,99695,2032703,1180874,1049493,131381,1153051,851829
1992:Q2,2036173,2909,106119,20012,27189,477665,27189,105472,155059,189945,16074,750537,102272,533396,246814,49189,134203,103190,2063078,1196316,1062113,134203,1169411,866762
1992:Q3,2086624,2904,102989,20744,27356,491775,27356,107974,157006,199439,15422,770972,106492,547970,248455,51659,146234,101622,2112319,1211757,1065523,146234,1186062,900562
1992:Q4,2132943,2919,98608,20909,27424,498293,27424,108371,156333,206165,14546,826681,119962,523601,247586,54321,122872,98822,2157410,1227199,1104327,122872,1202732,930211
1993:Q1,2203053,2953,99701,23125,28361,512420,28361,98822,171023,214214,14654,895716,130698,495425,255081,56975,84636,98733,2227184,1242641,1158005,84636,1218510,984543
