1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q2,241561,747,33,0,0,48708,0,3723,1800,2466,40719,6257,18513,0,167303,0,167303,0,241576,241576,74273,167303,241561,0
1972:Q3,252111,723,65,0,0,49785,0,3643,1944,2123,42075,6340,19828,0,175370,0,175370,0,252126,252126,76756,175370,252111,0
1972:Q4,262661,767,191,0,0,50958,0,3597,2105,2029,43227,6470,22200,0,182075,0,182075,0,262677,262677,80602,182075,262661,0
1973:Q1,264011,612,304,0,0,52185,0,3687,2284,1622,44592,6632,21487,0,182791,0,182791,0,264026,264026,81235,182791,264011,0
1973:Q2,265360,664,429,0,0,53471,0,3460,2480,1536,45995,6821,20326,0,183649,0,183649,0,265375,265375,81726,183649,265360,0
1973:Q3,266709,600,660,0,0,54945,0,3028,2840,1650,47427,6888,22451,0,181165,0,181165,0,266724,266724,85559,181165,266709,0
1973:Q4,268058,544,800,0,0,55970,0,2508,3334,1691,48437,7141,20200,0,183403,0,183403,0,268073,268073,84670,183403,268058,0
1974:Q1,276223,359,887,0,0,57235,0,1840,3817,1845,49733,7277,21039,0,189426,0,189426,0,276338,276338,86912,189426,276223,0
1974:Q2,284478,305,1183,0,0,58908,0,1886,4145,1444,51433,7330,19295,0,197457,0,197457,0,284602,284602,87145,197457,284478,0
1974:Q3,292731,270,1373,0,0,60758,0,1515,4401,1248,53594,7423,14477,0,208430,0,208430,0,292866,292866,84436,208430,292731,0
1974:Q4,300984,254,1543,0,0,61684,0,1585,4583,983,54533,7702,16400,0,213401,0,213401,0,301131,301131,87730,213401,300984,0
1975:Q1,310339,317,1811,0,0,63492,0,1559,4719,789,56425,7705,20263,0,216751,0,216751,0,310500,310500,93749,216751,310339,0
1975:Q2,319695,332,1688,0,0,65872,0,2215,4836,728,58093,7810,24371,0,219622,0,219622,0,319869,319869,100247,219622,319695,0
1975:Q3,329053,296,1342,0,0,67748,0,2548,5045,906,59249,7875,22267,0,229525,0,229525,0,329238,329238,99713,229525,329053,0
1975:Q4,338409,275,1171,0,0,70714,0,2540,5254,1940,60980,7542,24300,0,234407,0,234407,0,338607,338607,104200,234407,338409,0
1976:Q1,339638,265,1065,0,0,73056,0,3058,5536,2193,62269,7543,28204,0,229505,0,229505,0,339850,339850,110345,229505,339638,0
1976:Q2,340865,285,1133,0,0,76687,0,3632,5855,3150,64050,7623,28717,0,226420,0,226420,0,341094,341094,114674,226420,340865,0
1976:Q3,342091,254,1055,0,0,78968,0,3900,6275,3383,65410,7625,29254,0,224935,0,224935,0,342337,342337,117402,224935,342091,0
1976:Q4,343314,266,1148,0,0,79959,0,4057,6836,3360,65706,7732,30100,0,224109,0,224109,0,343580,343580,119471,224109,343314,0
1977:Q1,351665,236,1098,0,0,81459,0,4712,8412,2872,65463,7684,28699,0,232489,0,232489,0,351954,351954,119465,232489,351665,0
1977:Q2,360015,300,1401,0,0,84540,0,6568,8619,3628,65725,7864,29936,0,235974,0,235974,0,360327,360327,124353,235974,360015,0
1977:Q3,368363,320,1483,0,0,87795,0,6757,8839,3556,68643,7622,29322,0,241821,0,241821,0,368700,368700,126879,241821,368363,0
1977:Q4,376710,280,1416,0,0,91175,0,6760,9585,3544,71286,8041,30000,0,245798,0,245798,0,377074,377074,131276,245798,376710,0
1978:Q1,386423,332,1758,0,0,94464,0,7624,10968,3386,72486,8082,29203,0,252584,0,252584,0,386816,386816,134232,252584,386423,0
1978:Q2,396129,387,2043,0,0,98950,0,9095,11351,3732,74772,8246,32043,0,254460,0,254460,0,396558,396558,142098,254460,396129,0
1978:Q3,405833,419,2436,0,0,102405,0,9543,11921,3668,77273,8407,35155,0,257011,0,257011,0,406301,406301,149290,257011,405833,0
1978:Q4,415533,385,2354,0,0,107409,0,9454,13965,3951,80039,8586,33300,0,263499,0,263499,0,416043,416043,152544,263499,415533,0
1979:Q1,426961,459,2747,0,0,109371,0,10677,14432,4073,80189,8797,35504,0,270083,0,270083,0,427529,427529,157446,270083,426961,0
1979:Q2,438382,479,2844,0,0,113753,0,13327,14496,3867,82063,9017,35908,0,276381,0,276381,0,439014,439014,162633,276381,438382,0
1979:Q3,449799,484,3055,0,0,114725,0,13287,14065,3880,83493,9322,38316,0,283897,0,283897,0,450500,450500,166603,283897,449799,0
1979:Q4,464612,566,3458,0,0,116955,0,14706,15360,3910,82979,9604,37100,3397,293532,0,293532,0,465383,461986,168454,293532,461215,3397
1980:Q1,470371,616,3569,0,0,122397,0,16159,15981,4101,86156,10054,34654,3562,295519,0,295501,18,471194,467632,172131,295501,466809,3562
1980:Q2,476131,664,3556,0,0,129872,0,17582,17783,4025,90482,10295,38460,3731,289553,0,289518,35,477010,473279,183761,289518,472400,3731
