1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,202155,21384,2697,261,12,90189,511,73721,1825,9439,4693,84800,32783,490,40249,11278,2,228,48,508,0,0,2026,189527,187194,2228,103589,76849,16,495,495,0,911,39,615,2452,0,2452,2333,2184,149,0,0,0,ND
1952:Q1,203194,21609,2420,345,165,90326,559,73414,1698,9833,4822,85342,32445,458,41037,11402,2,251,48,532,0,0,2154,190239,187947,2079,102782,78610,240,463,463,0,589,39,721,2424,0,2424,2292,2143,149,0,0,0,ND
1952:Q2,206011,20728,2396,407,18,90648,503,73336,1565,10207,5037,88719,33420,416,42550,12333,2,280,50,545,0,0,2218,192783,190463,1801,103321,80959,43,420,420,0,653,39,691,2536,0,2536,2320,2168,152,0,0,0,ND
1952:Q3,211153,21876,2530,380,425,91940,570,73868,1938,10588,4976,90780,33321,454,44106,12899,2,304,52,553,0,0,2311,197807,195449,2684,105023,82465,428,459,459,0,715,40,803,2832,0,2832,2358,2204,154,0,0,0,ND
1952:Q4,216954,21339,2753,420,32,93639,569,75378,2160,10643,4889,95382,35613,492,45533,13744,2,338,57,568,0,0,2424,203293,200980,2258,108779,85041,50,497,497,0,864,41,801,2649,0,2649,2313,2155,158,0,0,0,ND
1953:Q1,216590,21535,2550,469,494,91394,512,72741,2113,11058,4970,96708,34931,455,46691,14631,2,359,59,595,0,0,2425,203322,200608,2663,105605,87021,627,460,460,0,611,42,720,2859,0,2859,2714,2554,160,0,0,0,ND
1953:Q2,216039,20935,2590,505,39,89147,415,70935,1676,11053,5068,99429,35111,428,48496,15394,2,380,61,614,0,0,2337,202276,199693,1878,103073,89868,48,432,432,0,718,43,634,2999,0,2999,2583,2420,163,0,0,0,ND
1953:Q3,222537,20654,2650,481,228,93210,500,74427,1883,11227,5173,101946,35597,515,50102,15732,3,402,63,622,0,0,2278,208594,205870,2609,106038,91503,237,520,520,0,801,43,744,3375,0,3375,2724,2557,167,0,0,0,ND
1953:Q4,227408,21663,2512,558,11,96208,567,75365,3699,11393,5184,102755,34711,573,51588,15883,3,435,66,633,0,0,2564,213495,210608,2012,108904,94270,41,579,579,0,952,43,977,2830,0,2830,2887,2723,164,0,0,0,ND
1954:Q1,225216,20709,2630,739,118,94798,713,72561,4094,12025,5405,102648,33771,580,52803,15494,3,470,68,673,0,0,2360,210870,208160,1360,104583,96947,78,586,586,0,630,44,851,3081,0,3081,2710,2543,167,0,0,0,ND
1954:Q2,231012,20606,2660,819,7,97185,695,75341,3268,12604,5277,105590,34117,589,54804,16080,3,501,71,692,0,0,2878,216406,213538,1608,106365,100284,29,595,595,0,675,44,693,3245,0,3245,2868,2698,170,0,0,0,ND
1954:Q3,236467,20011,2830,773,242,100062,821,79044,1898,13050,5249,108222,34488,609,56946,16179,3,536,74,703,0,0,3011,221828,218771,2062,108053,102332,332,615,615,0,689,45,884,3759,0,3759,3057,2885,172,0,0,0,ND
1954:Q4,244416,20768,2469,802,32,103641,802,80656,3628,13336,5219,111946,35319,873,59307,16447,3,577,78,726,0,0,3374,228996,226211,1717,113456,104819,21,882,882,0,867,48,948,3453,0,3453,2785,2600,185,0,0,0,ND
1955:Q1,243672,20208,2830,859,686,99469,713,76053,3746,13823,5134,114995,35699,807,61560,16929,3,617,81,765,0,0,3159,228073,225382,1945,109916,106910,674,815,815,0,702,49,738,3633,0,3633,2691,2504,187,0,0,0,ND
1955:Q2,247830,20007,2681,855,145,97194,582,75132,2858,13637,4985,121811,38325,655,64516,18315,3,697,84,791,0,0,3562,231872,229243,2112,111018,109566,61,662,662,0,1017,50,533,4224,0,4224,2629,2439,190,0,0,0,ND
1955:Q3,252415,20436,2960,669,493,95308,585,73902,2316,13704,4801,127069,39917,671,67369,19112,4,768,87,802,0,0,3819,236317,233570,2923,111761,110976,478,678,678,0,1275,50,582,4847,0,4847,2747,2553,194,0,0,0,ND
1955:Q4,258134,21170,2682,698,193,95182,532,73320,3054,13570,4706,132963,42972,642,69481,19868,4,814,91,819,0,0,3518,241500,238965,2854,115634,113274,44,648,648,0,1417,53,573,4468,0,4468,2535,2333,202,0,0,0,ND
1956:Q1,259007,20782,2890,771,839,92441,562,70555,3084,13670,4570,135778,43595,660,71353,20170,4,861,94,879,0,0,3668,241856,239561,2730,113248,115386,833,667,667,0,1138,53,531,4975,0,4975,2295,2089,206,0,0,0,ND
1956:Q2,261116,20718,2273,739,266,89779,513,68510,2557,13701,4498,141567,45698,684,73822,21363,4,842,98,906,0,0,3924,243542,241143,2525,112456,118567,98,691,691,0,1173,54,468,5111,0,5111,2399,2191,208,0,0,0,ND
1956:Q3,266342,21041,3100,659,734,90096,593,68874,2331,13820,4478,144833,46164,805,76157,21707,4,828,102,916,0,0,4029,248380,245969,3701,113186,120060,791,813,813,0,1142,55,711,5510,0,5510,2411,2201,210,0,0,0,ND
1956:Q4,272113,21601,3261,683,195,91596,581,70295,2713,13742,4265,148856,47961,967,77900,22028,4,843,108,933,0,0,4033,253981,251564,3329,117532,122702,44,977,977,0,1228,54,878,4820,0,4820,2417,2210,207,0,0,0,ND
1957:Q1,273462,20970,2910,669,816,92522,551,70652,2973,13929,4417,149816,47531,1019,79108,22158,5,840,111,982,0,0,3821,255095,252674,2641,114760,126232,936,1029,1029,0,961,54,799,5262,0,5262,2421,2211,210,0,0,0,ND
1957:Q2,276134,21327,2950,696,650,89352,501,67298,2783,14171,4599,154747,49888,979,80731,23149,5,898,116,1001,0,0,4392,257560,255017,3102,113193,129781,658,989,989,0,1079,55,691,5469,0,5469,2543,2333,210,0,0,0,ND
1957:Q3,281784,21227,3040,549,605,92817,565,70399,2731,14366,4756,157075,49581,1197,82626,23671,5,885,121,1012,0,0,4448,263086,260210,3481,115026,131736,695,1209,1209,0,1119,55,829,6060,0,6060,2876,2665,211,0,0,0,ND
1957:Q4,285660,21836,3335,653,263,93481,673,69597,3475,14766,4970,159626,50144,1307,84249,23926,5,881,126,1030,0,0,4424,266632,263633,2573,117018,135000,30,1320,1320,0,1265,52,959,5416,0,5416,2999,2797,202,0,0,0,ND
1958:Q1,288147,21329,2890,974,877,96827,1025,70859,4276,15394,5273,158754,48162,1529,85583,23480,5,918,129,1084,0,0,4360,268809,265614,1201,114159,140684,597,1544,1544,0,696,53,1020,5660,0,5660,3195,2993,202,0,0,0,ND
1958:Q2,298349,21684,3017,1118,815,101233,1072,73924,3786,16700,5751,162960,49534,1352,88009,24065,5,978,132,1101,0,0,5306,278531,275420,1205,118331,146137,598,1366,1366,0,929,53,824,5977,0,5977,3111,2908,203,0,0,0,ND
1958:Q3,301668,21295,3140,859,878,104028,1056,76095,4090,17248,5539,164534,47888,1281,90969,24396,5,1049,135,1113,0,0,4632,281346,278317,2540,116047,148605,928,1294,1294,0,1010,53,899,6941,0,6941,3029,2825,204,0,0,0,ND
1958:Q4,310748,21856,3249,819,221,105882,890,77720,4397,17400,5475,171176,51260,1194,93871,24851,6,1109,138,1132,0,0,5160,290261,287232,2463,122705,151862,32,1206,1206,0,1298,58,934,6674,0,6674,3029,2805,224,0,0,0,ND
1959:Q1,310003,21563,3090,736,1054,102900,889,74963,4047,17630,5371,173023,50317,1054,96271,25381,6,1112,141,1201,0,0,5177,289116,286282,2807,117488,154402,1120,1065,1065,0,1087,58,813,7442,0,7442,2834,2609,225,0,0,0,ND
1959:Q2,316664,21521,3260,776,974,100180,723,72514,3757,17776,5410,181545,53914,983,99673,26975,6,1121,145,1224,0,0,5912,295246,292526,3532,118523,157912,1375,993,993,0,1537,59,571,8024,0,8024,2720,2493,227,0,0,0,ND
1959:Q3,321130,21009,3240,570,631,98650,806,70780,3850,17868,5346,188260,55887,954,103053,28366,6,1079,148,1235,0,0,6302,299396,296558,3567,120581,159429,822,964,964,0,1795,60,528,8812,0,8812,2838,2609,229,0,0,0,ND
1959:Q4,325650,21516,3012,589,152,97622,793,69963,3847,17799,5220,195898,59837,1151,105737,29173,6,1081,152,1253,0,0,4369,303227,300701,3778,123590,161648,133,1163,1163,0,2134,61,475,7719,0,7719,2526,2293,233,0,0,0,ND
1960:Q1,322939,21050,3360,534,1133,92705,808,64909,4110,17774,5104,197845,58983,1366,107732,29764,6,1025,156,1348,0,0,3777,300510,297727,3505,117097,163526,1865,1380,1380,0,1520,61,595,8178,0,8178,2783,2547,236,0,0,0,ND
1960:Q2,329061,20827,3490,736,1121,92211,887,64596,4113,17531,5084,204199,61452,1382,110205,31160,6,1034,159,1366,0,0,3912,306015,303181,3317,119582,167569,1434,1396,1396,0,1770,62,772,7279,0,7279,2834,2594,240,0,0,0,ND
1960:Q3,337159,21341,3540,737,913,96365,1014,67991,4286,17913,5161,207626,60918,1668,113067,31973,7,1004,162,1377,0,0,4087,313739,310804,4458,121697,171505,1099,1685,1685,0,1736,63,1137,7424,0,7424,2935,2691,244,0,0,0,ND
1960:Q4,346031,20633,3346,938,285,100701,1213,71155,4798,18357,5178,212716,62903,2027,115478,32308,7,1055,166,1398,0,0,4786,321762,318846,4461,125710,176937,108,2047,2047,0,1981,64,1474,6064,0,6064,2916,2672,244,0,0,0,ND
1961:Q1,346785,19787,3630,1026,1283,101449,1503,70506,4980,19256,5204,213839,61003,2231,117642,32963,7,1118,170,1502,0,0,2974,322249,319319,3389,119630,182482,1338,2253,2253,0,1477,65,1381,7304,0,7304,2930,2682,248,0,0,0,ND
1961:Q2,355234,20641,2903,1154,283,103071,1580,72528,4969,18927,5067,218660,62145,2271,120844,33400,7,1124,175,1517,0,0,5699,329965,326888,3884,121425,189071,316,2294,2294,0,1869,65,969,6995,0,6995,3077,2826,251,0,0,0,ND
1961:Q3,366551,20302,3870,1022,1404,109181,1857,76978,4910,20463,4973,223680,63013,2422,124457,33788,7,1149,179,1532,0,0,4225,341143,337740,4620,125356,192783,1622,2446,2446,0,2124,66,788,7935,0,7935,3403,3150,253,0,0,0,ND
1961:Q4,377649,21870,3689,1180,248,110928,2170,77347,5460,21144,4807,232100,67109,2683,127954,34354,7,1211,183,1552,0,0,4681,351947,347980,5617,130955,197676,274,2710,2710,0,2662,71,582,7433,0,7433,3967,3694,273,0,0,0,ND
1962:Q1,379335,21422,3900,1109,1546,111253,2036,75962,5849,22506,4900,233454,65746,2498,130886,34324,8,1223,187,1565,0,0,3668,354002,349713,3416,124279,206020,1693,2523,2523,0,2151,72,713,8846,0,8846,4289,4014,275,0,0,0,ND
1962:Q2,389084,21719,3185,1193,501,112539,1832,75817,6160,23953,4777,241469,67489,2342,135484,36154,8,1115,191,1574,0,0,5590,361955,358857,3691,126713,213477,560,2365,2365,0,2767,72,746,8466,0,8466,3098,2820,278,0,0,0,ND
1962:Q3,397752,21492,4270,984,1167,113079,1965,75596,5894,24868,4756,248446,68945,2281,140319,36901,8,1178,196,1580,0,0,5352,370319,367289,5350,126764,218126,1388,2304,2304,0,3046,73,979,9259,0,9259,3030,2750,280,0,0,0,ND
1962:Q4,414166,22372,4519,1213,602,117510,2015,77518,6968,26185,4824,259229,74085,2650,144794,37700,8,1267,201,1593,0,0,5652,386354,382735,4767,135649,226318,671,2676,2676,0,3479,68,1078,8029,0,8029,3619,3357,262,0,0,0,ND
1963:Q1,415408,21309,4210,1283,1843,117711,2145,76751,6969,27007,4839,261734,71918,2589,148895,38332,8,1326,206,1608,0,0,4170,387798,383915,3265,127601,234903,2186,2615,2615,0,2514,69,1181,9581,0,9581,3883,3619,264,0,0,0,ND
1963:Q2,427751,21786,3483,1325,866,117647,2093,75414,7035,28458,4647,272829,75234,2697,154661,40237,9,1375,210,1618,0,0,6603,399835,395541,3605,131723,242334,1096,2724,2724,0,3270,69,883,9837,0,9837,4294,4030,264,0,0,0,ND
1963:Q3,435953,21418,4550,1014,1572,116808,1948,73664,7268,29553,4375,281321,76661,2709,160424,41527,9,1417,215,1640,0,0,5989,408559,403889,4454,130898,247248,1854,2771,2736,35,4024,69,863,11708,0,11708,4670,4406,264,0,0,0,ND
1963:Q4,450903,22428,4259,1151,988,119077,2044,75022,7407,30543,4061,293067,81834,2890,165536,42807,9,1459,220,1668,0,0,6577,423301,418723,4738,138035,255852,1022,3152,2919,233,4784,72,710,10358,0,10358,4578,4302,276,0,0,0,ND
1964:Q1,453485,22326,4500,977,2151,118740,2225,73765,6906,31312,4532,294655,78260,3102,169568,43725,9,1511,226,1697,0,0,6693,425233,420856,3545,131723,263318,2425,3553,3133,420,4168,72,914,11138,0,11138,4377,4101,276,0,0,0,ND
1964:Q2,466403,22812,4539,1153,1190,117300,2131,71471,7169,31957,4572,308994,84780,3149,174892,46173,9,1543,231,1714,0,0,6918,437303,432738,3483,136026,271028,1533,3713,3180,533,4769,72,846,11268,0,11268,4565,4287,278,0,0,0,ND
1964:Q3,477277,22998,4780,989,1969,120433,2354,73089,7215,33236,4539,314987,83670,3175,180420,47722,10,1575,236,1730,0,0,7570,448057,443393,4581,137959,277057,2017,3884,3207,677,4837,73,886,12099,0,12099,4664,4385,279,0,0,0,ND
1964:Q4,494120,24191,4532,1199,1405,124310,2505,75302,8060,34066,4377,327340,90007,3385,185076,48872,10,1604,241,1751,0,0,7537,463775,459345,4814,144898,286271,1914,4192,3419,773,5325,77,935,10919,0,10919,4430,4136,294,0,0,0,ND
1965:Q1,498321,23960,4840,1048,2080,122200,2084,71949,8318,35415,4434,333369,91087,3325,188902,50055,10,1649,247,1783,0,0,7135,468133,463727,4523,138236,295943,2689,4251,3358,893,4747,77,769,12492,0,12492,4406,4110,296,0,0,0,ND
1965:Q2,514107,24615,4978,1175,1587,121437,2253,69437,8249,37046,4452,348101,97692,3355,194040,53014,10,1663,253,1801,0,0,8487,483160,478552,5816,143051,303524,2290,4879,3389,1490,5586,76,678,12652,0,12652,4608,4314,294,0,0,0,ND
1965:Q3,520312,24005,5370,944,2295,121995,2328,68500,8451,38400,4316,354309,97101,3314,199422,54472,11,1782,259,1814,0,0,7528,490019,484854,5118,140390,310388,3221,4864,3347,1517,5802,76,784,14211,0,14211,5165,4874,291,0,0,0,ND
1965:Q4,539348,24979,4851,1045,2121,126101,1970,72145,8713,39142,4131,368396,105630,3392,203826,55548,11,1839,265,1828,0,0,7912,508631,503173,4891,150297,319441,2458,5016,3426,1590,5997,76,806,14191,0,14191,5458,5165,293,0,0,0,ND
1966:Q1,540458,24473,5470,824,2108,123843,2031,68534,9075,40090,4113,371970,104231,3388,207809,56542,11,1828,272,1863,0,0,7796,509566,504374,4744,142484,326323,2416,5055,3422,1633,5687,76,1062,16527,0,16527,5192,4902,290,0,0,0,ND
1966:Q2,555553,24944,5234,1025,2125,122243,1700,65726,9630,41069,4118,387129,113634,3420,211645,58430,11,1780,278,1901,0,0,8883,523623,518828,6064,149335,332311,2364,5148,3454,1694,6783,76,624,16123,0,16123,4795,4501,294,0,0,0,ND
1966:Q3,557129,24470,5830,735,2346,122888,1791,65999,8901,41906,4291,387792,110787,3370,214451,59184,12,1684,284,1926,0,0,9162,524247,520390,9007,142789,334584,2624,5098,3404,1694,7175,77,613,18423,0,18423,3857,3560,297,0,0,0,ND
1966:Q4,569541,26568,5450,1037,2499,125675,1943,68573,9213,41472,4474,396395,116906,3603,216282,59604,12,1742,291,1939,0,0,7933,537378,531884,9692,152379,339785,2858,5333,3639,1694,6935,73,731,14098,0,14098,5494,5215,279,0,0,0,ND
1967:Q1,574895,25804,5970,1491,3211,132362,2638,70526,9980,43880,5338,394620,114065,3704,217434,59417,13,1889,309,1965,0,0,7261,542229,536937,6590,145613,353136,3633,5638,3741,1897,5175,73,897,16182,0,16182,5292,5009,283,0,0,0,ND
1967:Q2,589267,26592,4854,1926,3898,134335,2818,66591,11156,47385,6385,405450,118872,4131,220962,61485,13,1953,328,1977,0,0,7941,555576,550789,7325,148672,364444,4444,6092,4172,1920,4302,74,558,14878,0,14878,4787,4503,284,0,0,0,ND
1967:Q3,606688,27259,6252,1318,3931,144115,3091,73756,11416,48597,7255,410671,117645,4146,225885,62995,14,2070,348,1983,0,0,8727,573727,568053,9698,152944,372564,4730,6142,4187,1955,4122,74,639,17140,0,17140,5674,5388,286,0,0,0,ND
1967:Q4,635638,28448,5931,1432,3982,149736,2911,76260,12520,50561,7484,432219,133476,4317,230316,64110,15,2093,370,1993,0,0,9419,593027,587541,11159,164810,380398,5006,6323,4360,1963,4386,77,647,14735,0,14735,5486,5190,296,0,0,0,ND
1968:Q1,631597,28976,6250,1303,4366,152422,3221,75984,13355,51896,7966,424566,122267,4336,233542,64421,16,2022,392,2029,0,0,9255,597013,590922,11012,155084,389189,5731,6342,4379,1963,4269,77,660,18558,0,18558,6091,5793,298,0,0,0,ND
1968:Q2,645301,29485,5190,1400,4736,150830,2923,73127,13333,53160,8287,438836,128992,4286,238207,67351,17,2142,416,2043,0,0,10206,610716,603714,13929,160139,393619,6565,6468,4329,2139,4889,78,562,17465,0,17465,7002,6701,301,0,0,0,ND
1968:Q3,665020,30353,6660,1253,5695,158552,3348,76731,13906,55952,8615,446964,129278,4327,243242,70117,18,2158,442,2020,0,0,10905,630503,623340,16334,164273,403163,7041,6592,4370,2222,5026,79,664,20168,0,20168,7163,6859,304,0,0,0,ND
1968:Q4,690212,29823,7195,1383,6688,163897,2924,78410,14275,59162,9126,465598,140129,4428,248562,72479,19,2195,469,2033,0,0,10912,652275,647417,16065,178376,413743,7515,6693,4472,2221,5259,81,620,19065,0,19065,4858,4547,311,0,0,0,ND
1969:Q1,688727,30571,6490,1244,7076,160006,3278,73383,14506,59361,9478,469225,138544,4464,252722,73495,20,2201,498,2083,0,0,9313,651214,646036,18828,165570,416259,9360,6606,4509,2097,5331,82,774,23226,100,23126,5178,3964,314,900,0,0,ND
1969:Q2,703619,29341,6258,1278,7400,156062,3460,67989,14881,60689,9043,486655,146765,4880,258147,76863,21,2253,529,2110,0,0,11712,665849,660102,25188,172648,416556,11215,6938,4929,2009,6413,83,618,20443,200,20243,5747,3628,319,1800,0,0,ND
1969:Q3,707144,31622,6950,891,8766,153922,3596,66655,14395,60340,8936,490724,143920,5232,263116,78456,23,2291,561,2110,0,0,9284,671030,664013,22487,169879,411224,13077,7299,5284,2015,7940,84,738,31285,300,30985,7017,3993,324,2700,0,0,ND
1969:Q4,722673,31454,7320,1041,10199,154694,3524,66954,15242,59829,9145,503896,153314,5451,265620,79511,24,2375,595,2147,0,0,8928,685448,678042,25257,183161,413205,14777,7543,5506,2037,9289,77,704,24029,400,23629,7406,3511,295,3600,0,0,ND
1970:Q1,717360,32877,6940,986,11011,153260,3608,62201,16206,60783,10462,497374,146427,5352,266712,78883,26,2425,632,2239,0,0,9590,681963,673137,24457,170559,417227,15278,7466,5406,2060,9745,78,1143,27184,500,26684,8826,4026,300,4500,0,0,ND
1970:Q2,734285,32706,7090,1333,11572,157778,3859,61518,16862,63539,12000,508949,152395,5973,269675,80906,27,2255,671,2271,0,0,9633,697465,688718,24478,177697,429357,15746,8126,6033,2093,10236,79,857,22142,600,21542,8747,3043,304,5400,0,0,ND
1970:Q3,756687,34868,7260,1339,14130,168100,4569,66726,18529,66321,11955,518079,155114,5848,274379,82738,29,2514,712,2290,0,0,7366,721800,710927,23845,178285,449677,16179,8016,5906,2110,10525,80,1044,23276,800,22476,10873,3365,308,7200,0,0,ND
1970:Q4,788605,35821,7047,2330,16584,182611,4937,72619,21622,70524,12909,531258,161869,7058,279276,83055,31,2713,755,2309,0,0,7146,755348,741224,22042,192844,468066,16722,9264,7129,2135,10615,79,1062,20530,1000,19530,14124,4819,305,9000,0,0,ND
1971:Q1,808186,38246,7230,3425,17295,192593,5358,73525,23197,74896,15617,533060,157893,7173,284587,83407,32,2954,803,2346,0,0,10202,775532,759941,18991,179839,497652,18603,9795,7245,2550,9690,80,1315,23976,1100,22876,15591,5382,309,9900,0,0,ND
1971:Q2,835234,38205,7634,2112,16941,198897,5067,72217,26635,78160,16818,553288,164977,7645,293518,87148,34,3019,852,2331,0,0,11921,802208,785711,19044,192148,515222,20520,10359,7721,2638,7241,81,860,20236,1200,19036,16497,5383,314,10800,0,0,ND
1971:Q3,857157,40064,8100,1450,19012,201032,5236,69615,27754,80275,18152,568909,165434,8148,304653,90674,37,3122,903,2334,0,0,12194,824725,806614,18445,189570,530321,22511,11004,8229,2775,7637,83,993,26050,1400,24650,18111,5193,318,12600,0,0,ND
1971:Q4,895155,43281,7541,1789,21079,212494,5449,75389,29592,83351,18713,589117,172894,7889,314561,93773,39,3300,959,2360,0,0,13196,860740,841646,18621,206401,549909,24732,10958,7968,2990,7936,90,1080,21919,1500,20419,19094,5250,344,13500,0,0,ND
1972:Q1,919150,46626,8050,2008,22378,217590,4887,73559,31882,86017,21245,601421,173818,7985,324428,95190,41,3575,1018,2470,0,0,13973,885083,865278,17458,196046,574870,28371,11551,8065,3486,5992,91,1054,29845,1600,28245,19805,5056,349,14400,0,0,ND
1972:Q2,951572,47856,6799,1746,22316,219351,4709,70550,33585,87827,22680,629679,183464,7069,338354,100792,44,3722,1080,2493,0,0,16486,918150,897115,21680,199787,595775,31366,10763,7140,3623,6075,92,749,30828,1700,29128,21035,5382,353,15300,0,0,ND
1972:Q3,982945,50098,8840,1444,25334,222877,4569,70679,34834,89994,22801,651754,186789,6602,353537,104826,46,3886,1147,2507,0,0,15012,949974,927095,22551,203835,616463,33308,10428,6668,3760,6736,93,894,32787,1900,30887,22879,5422,357,17100,0,0,ND
1972:Q4,1031768,47810,8648,1548,27902,234080,5468,77289,37652,90998,22673,686371,202517,6898,367843,109113,49,4153,1217,2549,0,0,17441,999792,974998,20874,226515,638377,34930,11094,6967,4127,7979,102,906,34221,2100,32121,24794,5501,393,18900,0,0,ND
1973:Q1,1062191,52588,8889,1291,30076,229039,4375,71273,38710,91816,22865,713953,213491,6859,380251,113352,52,4139,1292,2750,0,0,18122,1026606,1002774,21186,211158,670281,40862,10987,6928,4059,8420,103,1242,38535,2100,36435,23832,4535,397,18900,0,0,ND
1973:Q2,1103267,55403,7666,1453,30326,229148,4234,67225,42284,92934,22471,750039,226429,7237,396600,119773,55,4068,1372,2828,0,0,20909,1065540,1041716,24832,217372,689939,44333,11268,7309,3959,11145,107,918,41802,2200,39602,23824,3613,411,19800,0,0,ND
1973:Q3,1129996,58451,9671,1178,31384,227870,4699,63565,45158,93739,20709,776496,232673,8170,410989,124664,59,4329,1455,2918,0,0,16185,1089938,1066284,29064,212108,704776,47738,12192,8252,3940,14298,111,1024,44973,2150,42823,23654,3879,425,19350,0,0,ND
1973:Q4,1170503,58600,10688,1745,33679,236303,4966,66964,47676,96762,19935,799557,242085,8892,420805,127775,62,4198,1545,2966,0,0,21160,1127915,1104276,24988,239777,716793,50921,13116,8981,4135,15147,120,1027,42387,2250,40137,23639,2928,461,20250,0,0,ND
