1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,1832499,608073,445773,2726,502,159072,378823,302998,40430,4110,31285,0,482420,472478,9942,173094,89332,68423,15339,169923,165428,3966,529,20166,47467,2625,44842,27301,6961,20340,1832499,61694,3.4839672306425644,1710652,38023,2.273249877528635
1957:Q1,1827699,619052,453596,2824,516,162116,383077,306042,41296,4199,31540,0,454962,444206,10756,176327,90303,69960,16064,172510,167964,4006,540,21771,48574,2486,46088,26803,6621,20182,1827699,-4800,-0.2619484395757191,1723811,13159,0.7692661458330533
1957:Q2,1887672,630622,461358,2873,529,165862,387003,309179,41393,4259,32172,0,491555,482023,9532,178282,91922,69531,16829,177429,172835,4044,550,22781,50610,2645,47965,27829,7112,20717,1887672,59973,3.281346476720625,1761007,37196,2.157785900449471
1957:Q3,1852660,639377,468792,2952,542,167091,391538,312497,41908,4335,32797,0,438102,428387,9715,180377,92646,70120,17611,178942,174268,4112,562,24324,51279,2388,48891,26955,6484,20471,1852660,-35012,-1.854767537979934,1759281,-1726,-0.09799926545602552
1957:Q4,1866770,643776,471674,3050,555,168497,393645,313203,42761,4392,33289,0,443457,433976,9481,182371,93488,70483,18400,178167,173403,4190,574,25354,52375,2233,50142,27021,6091,20930,1866770,14110,0.761624874522373,1776003,16721,0.9504670985046686
1958:Q1,1900605,644343,468427,3092,571,172253,400102,316188,42745,4498,36671,0,471924,462939,8985,181511,92638,69686,19187,176829,172033,4208,588,25896,53346,2320,51026,27450,6328,21122,1900605,33835,1.8124699576518977,1809387,33384,1.8797472438679563
1958:Q2,1951533,650043,474349,3155,589,171950,404386,319557,43117,4534,37178,0,503404,495417,7987,184695,94940,69806,19949,182002,177144,4256,602,27003,55018,2514,52504,28015,6840,21175,1951533,50928,2.67956094675064,1836684,27297,1.5086401810185759
1958:Q3,2034959,660430,484262,3205,608,172355,407857,321471,43334,4556,38496,0,564498,557650,6848,188347,96793,70863,20691,186861,181906,4337,618,26966,56229,2786,53443,29263,7537,21726,2034959,83427,4.2749395651532875,1890879,54195,2.950688691283005
1958:Q4,2080972,670313,493819,3263,628,172603,409859,323570,43678,4596,38015,0,592828,587135,5693,191377,98262,71695,21420,189650,184507,4507,636,26945,57580,3095,54485,30635,8305,22330,2080972,46013,2.261108475351694,1921081,30202,1.5972307394183192
1959:Q1,2107170,674223,493678,3341,648,176556,412379,325793,44147,4582,37857,0,607641,601966,5675,192905,98054,72723,22128,193362,188365,4343,654,26660,58189,3193,54996,31529,8475,23054,2107170,26198,1.2589154207641804,1941644,20563,1.0704128858837838
1959:Q2,2150881,686600,504127,3414,669,178390,415155,328913,44570,4699,36974,0,634945,630441,4504,194597,98094,73668,22835,193435,188288,4476,671,26149,60168,3451,56717,34019,9039,24980,2150881,43711,2.0744174105168587,1969419,27774,1.4304577687238873
1959:Q3,2152020,697397,513598,3487,690,179622,417181,331778,44944,4826,35633,0,620741,615993,4748,196419,97963,74915,23541,194274,188977,4609,688,26008,60874,3452,57422,34866,8906,25960,2152020,1139,0.05293915294860255,1982496,13077,0.663996502079876
1959:Q4,2210496,706020,521544,3550,710,180216,419023,334803,45090,4964,34165,0,666594,662711,3883,198000,97949,75803,24248,195058,189640,4714,704,25801,61649,3689,57960,35848,9363,26485,2210496,58476,2.7172453857970313,2016086,33590,1.694330239908614
1960:Q1,2190548,720531,534527,3599,728,181677,423938,338815,45215,4971,34937,0,623278,619063,4215,198836,97774,76077,24985,197056,191501,4836,719,26909,62444,3544,58900,35535,8811,26724,2190548,-19948,-0.902401484947882,2024315,8229,0.40816436758451347
1960:Q2,2221203,726936,539185,3672,747,183332,427152,342539,45554,4979,34080,0,640635,637927,2708,199934,97380,76805,25749,199274,193605,4932,737,27272,63780,3753,60027,36508,9081,27427,2221203,30655,1.3993988744749877,2042343,18029,0.8905986927668681
1960:Q3,2187326,734741,545818,3726,766,184431,431469,346090,45617,5057,34705,0,587756,585307,2449,203793,99527,77741,26525,201940,196161,5024,755,27627,64404,3580,60824,36777,8460,28317,2187326,-33876,-1.5251242561642626,2037693,-4650,-0.22768927722667232
1960:Q4,2287245,737552,547589,3760,784,185419,434722,349081,45487,5154,35000,0,676956,676902,54,205213,99524,78386,27303,204261,198364,5123,774,28541,66882,3984,62898,38341,9302,29039,2287245,99919,4.56808246623511,2091058,53365,2.6188931544950482
1961:Q1,2378331,736009,545980,3809,807,185413,439308,353483,45387,5188,35250,0,761741,763504,-1763,205642,98067,79474,28101,207106,201094,5219,793,28525,68645,4479,64166,40120,10468,29652,2378331,91085,3.9823227650842625,2141603,50545,2.4172103514620784
1961:Q2,2400060,748133,556950,3863,830,186490,444438,359267,45356,5253,34561,0,759126,762071,-2945,208955,99984,80030,28941,209955,203833,5309,813,29453,69845,4440,65405,40392,10536,29856,2400060,21729,0.9136134039563126,2164267,22664,1.0582795101157343
1961:Q3,2444985,759552,567010,3919,855,187768,451106,364646,45326,5366,35768,0,781321,785013,-3692,210211,99421,80980,29810,212866,206634,5398,834,29929,71982,4524,67458,42053,10900,31153,2444985,44925,1.8718464495721547,2200703,36436,1.6835057530252755
1961:Q4,2521739,769614,576368,3989,882,188375,457533,370084,45398,5480,36571,0,831449,815323,16126,215738,103011,82023,30704,216712,210372,5485,855,30693,73911,4902,69009,43218,11808,31410,2521739,76754,3.1392458348016086,2256718,56015,2.545332520718405
1962:Q1,2533566,779404,584759,4053,914,189678,464445,375806,45610,5497,37532,0,819920,804878,15042,217167,102849,82733,31585,220982,214531,5572,879,31648,75341,4878,70463,43693,11548,32145,2533566,11827,0.46898728509924026,2269770,13051,0.5783395031741393
1962:Q2,2445883,786518,590011,4122,946,191439,470226,381404,45861,5561,37400,0,709501,708575,926,220163,103367,84311,32485,224959,218389,5670,900,34516,75976,3847,72129,41460,8793,32667,2445883,-87682,-3.46082919525902,2174821,-94948,-4.183169305159577
1962:Q3,2489616,793692,594920,4191,979,193602,476877,386441,46106,5608,38721,0,729510,726828,2682,226508,106915,86188,33405,228072,221385,5764,923,34957,77196,4185,73011,42239,9267,32972,2489616,43732,1.7879923948437155,2214273,39451,1.814001031008688
1962:Q4,2598965,803569,603604,4245,1011,194709,482177,391707,46183,5680,38607,0,816107,805604,10503,230254,107166,88720,34368,232036,225234,5856,946,34822,79136,4714,74422,44314,10336,33978,2598965,109349,4.392218973195617,2319202,104929,4.7387694229121635
1963:Q1,2643864,813441,611427,4309,1046,196659,486142,395834,46457,5671,38180,0,841923,827842,14081,231591,107770,88355,35466,235436,228488,5976,972,35331,81081,4943,76138,45750,10950,34800,2643864,44899,1.7275635620792622,2353919,34717,1.4969415536981925
1963:Q2,2683066,817641,612853,4372,1085,199331,488806,398723,46720,5734,37628,0,865678,847738,17940,235401,109325,89375,36701,239581,232471,6110,1000,35959,83632,5053,78579,47673,11526,36147,2683066,39202,1.482759774086168,2386237,32319,1.3729679846822913
1963:Q3,2725530,830885,623306,4448,1125,202006,490285,400428,47120,5831,36906,0,887596,865539,22057,237894,110580,89225,38089,243201,235928,6242,1031,35669,84571,5094,79477,48902,12031,36871,2725530,42464,1.5826770738366664,2428012,41774,1.7506391808970105
1963:Q4,2726470,839163,628622,4529,1168,204844,495124,405397,47571,5958,36198,0,866734,847787,18947,240733,110868,90317,39548,247887,240427,6396,1064,36829,86556,5145,81411,49727,12485,37242,2726470,940,0.03448111201830273,2422671,-5341,-0.2199861453852087
1964:Q1,2770778,843874,630274,4611,1211,207778,497952,408364,48050,5981,35557,0,896240,874030,22210,243252,111754,90462,41036,251731,244095,6537,1099,37729,88527,5300,83227,50798,13137,37661,2770778,44308,1.6251053937865312,2469524,46853,1.9339451802047265
1964:Q2,2820829,860173,643749,4697,1252,210475,505963,416477,48571,6064,34851,0,913890,889692,24198,246569,112751,91351,42467,255856,248022,6701,1133,38378,90301,5332,84969,51923,13468,38455,2820829,50051,1.8063839889725648,2513891,44367,1.7965930133350487
1964:Q3,2861349,869241,649814,4785,1294,213348,511993,421549,49076,6134,35234,0,932797,906699,26098,248648,113404,91411,43833,260059,252043,6850,1166,38611,92366,5352,87014,53755,13766,39989,2861349,40520,1.4364545624195169,2560247,46356,1.8439789482697506
1964:Q4,2911975,884104,662499,4873,1334,215398,521650,430762,49566,6186,35137,0,954183,931380,22803,250987,114031,91829,45127,264560,256340,7022,1198,36491,95863,5270,90593,59372,13835,45537,2911975,50627,1.7693291457006872,2604187,43940,1.7162591248530108
1965:Q1,2957802,895205,669614,4969,1375,219247,529006,436135,50330,6223,36318,0,971948,947160,24788,252627,114950,91258,46419,270415,261988,7196,1231,38601,98434,5180,93254,59833,13914,45919,2957802,45827,1.5737328693885788,2648465,44277,1.7002424505250666
1965:Q2,2965858,903703,675093,5055,1420,222135,536961,441753,50959,6303,37946,0,950549,929992,20557,257212,117309,92103,47800,276676,268039,7370,1267,40757,100240,4809,95431,59483,13279,46204,2965858,8056,0.27235187722710974,2645547,-2917,-0.11015456551407533
1965:Q3,3041190,912541,681036,5170,1468,224867,542737,446931,51828,6405,37573,0,1004180,978420,25760,258920,117390,92253,49277,282257,273441,7510,1306,40555,101719,5041,96678,61164,14296,46868,3041190,75332,2.5399735829073444,2723262,77714,2.9375534458802828
1965:Q4,3124581,930933,696286,5257,1522,227868,556908,458451,52385,6463,39609,0,1038518,1009171,29347,262979,119241,92859,50879,288266,279209,7708,1349,46977,109143,5048,104095,62166,14599,47567,3124581,83392,2.7420755616704984,2803145,79884,2.9333782660683623
1966:Q1,3128334,935818,696079,5366,1573,232800,562680,461800,53220,6547,41113,0,1021343,995137,26206,265708,121006,92155,52547,294137,284831,7911,1395,48648,110342,4846,105496,61694,14027,47667,3128334,3753,0.12009661618276016,2810256,7111,0.25366868120482117
1966:Q2,3177081,971316,726016,5501,1626,238173,579295,476889,54300,6605,41501,0,998973,975850,23123,271969,124020,93720,54229,304504,294939,8123,1442,51024,112542,4592,107950,61518,12923,48595,3177081,48747,1.5582536864681813,2842499,32243,1.1473327324688278
1966:Q3,3144506,979816,728570,5636,1681,243929,586275,481986,55402,6635,42252,0,940691,926780,13911,274959,125026,94023,55910,311015,301197,8329,1489,51750,113702,4122,109580,61952,11455,50497,3144506,-32575,-1.0253129493672182,2813811,-28688,-1.0092425469590878
1966:Q4,3243597,1005985,748935,5795,1738,249517,597837,493570,56839,6690,40738,0,992431,962195,30236,278893,125613,95719,57561,318657,308507,8612,1538,49794,114902,4324,110578,65108,12643,52465,3243597,99091,3.151230843883356,2902437,88626,3.149688014242473
1967:Q1,3347540,1013799,753320,5920,1795,252764,603393,498688,57692,6681,40332,0,1074459,1039897,34562,282490,127272,95981,59237,325588,315164,8834,1590,47811,117070,4875,112195,69259,16002,53257,3347540,103943,3.2045735749669886,3009085,106647,3.674409740370257
1967:Q2,3395409,1028915,762765,6047,1854,258249,612205,504858,58613,6748,41987,0,1089871,1059232,30639,287229,128610,97623,60996,331147,320464,9039,1644,46042,119431,4919,114512,73389,19156,54233,3395409,47869,1.4299644777955771,3050247,41162,1.3679282861255675
1967:Q3,3480982,1047817,774483,6175,1917,265242,619663,511907,59572,6856,41327,0,1137921,1095972,41949,293266,131189,99232,62845,340440,329493,9246,1701,41875,122471,5227,117244,80596,23588,57008,3480982,85573,2.5202528896327503,3136805,86558,2.8377247163590162
1967:Q4,3557414,1074444,794221,6317,1984,271922,631468,522958,60640,7023,40847,0,1159506,1134302,25204,299817,134421,100595,64801,348773,337432,9579,1762,43406,128273,5238,123035,84867,25511,59356,3557414,76432,2.1956976931078986,3204063,67259,2.1441820015419903
1968:Q1,3579507,1104944,817753,6435,2050,278706,645333,533782,61491,7150,42909,0,1118856,1083668,35188,303850,136560,100520,66770,360803,349134,9843,1826,45721,130689,4938,125751,84968,24631,60337,3579507,22093,0.6210347498160623,3227031,22968,0.7168251214299116
1968:Q2,3727935,1130409,836122,6573,2120,285594,657370,543214,62523,7189,44444,0,1219459,1160045,59414,307731,137316,101617,68798,368510,356570,10047,1893,44456,134284,5750,128534,89828,28212,61616,3727935,148428,4.146615054291292,3365368,138338,4.286839302006216
1968:Q3,3788153,1152240,849479,6714,2195,293852,666653,550910,63570,7229,44944,0,1239948,1163167,76781,312218,139252,102078,70888,373271,361050,10255,1966,43823,137600,6104,131496,93777,28883,64894,3788153,60218,1.6153299055369164,3427079,61711,1.833692300449837
1968:Q4,3974922,1200814,889605,6876,2274,302059,685645,569262,64814,7321,44247,0,1335222,1280835,54387,319583,143061,103491,73031,386827,374222,10563,2042,46831,143738,6452,137286,96907,29517,67390,3974922,186768,4.930322565564848,3595705,168626,4.920397951941437
1969:Q1,3997777,1233241,914582,7036,2344,309279,699778,580618,65846,7435,45879,0,1292355,1247492,44863,325995,147116,103570,75309,399167,386225,10821,2121,47241,146492,6516,139976,99251,28598,70653,3997777,22855,0.574988409236085,3613958,18253,0.5076472176992755
1969:Q2,4031122,1259294,932881,7208,2417,316788,713700,591179,66997,7507,48018,0,1263275,1228051,35224,334383,151092,105641,77650,413561,400278,11080,2203,46909,149955,6737,143218,103046,27895,75151,4031122,33345,0.8340980835541538,3621554,7595,0.21016913234300055
1969:Q3,4060903,1278066,945017,7409,2491,323149,721305,598403,68453,7644,46805,0,1249419,1207856,41563,337518,152266,105202,80050,423447,409791,11366,2290,51148,153637,6763,146874,102489,26633,75856,4060903,29781,0.7387674066632302,3643034,21480,0.5931241380048333
1969:Q4,4088662,1308558,968674,7605,2568,329711,734613,609003,69951,7756,47903,0,1213661,1176288,37373,343047,154673,105910,82464,437800,423629,11790,2381,50983,158354,6953,151401,107371,26761,80610,4088662,27759,0.6835746437939324,3660324,17290,0.474596452139731
1970:Q1,4112902,1318182,973544,7805,2644,334189,744218,616240,71406,7892,48680,0,1196789,1157545,39244,350815,157962,107935,84918,450721,436136,12110,2475,52177,161920,6749,155171,109743,25996,83747,4112902,24240,0.5928574468355574,3688443,28119,0.7682091315208728
1970:Q2,4059497,1356658,1006440,7995,2718,339505,766804,637153,72830,7934,48887,0,1055312,1041199,14113,357923,161638,108995,87290,467485,452548,12366,2571,55315,163252,5713,157539,107937,21457,86480,4059497,-53405,-1.2984664978902234,3624916,-63526,-1.722311043747296
1970:Q3,4186962,1362718,1005793,8169,2791,345965,766760,636222,74165,8027,48346,0,1158994,1132794,26200,363006,163853,109539,89614,482104,466812,12627,2665,53380,166229,6471,159758,112849,24473,88376,4186962,127465,3.1399161563540057,3752606,127689,3.5225489125812888
1970:Q4,4322286,1390677,1025204,8354,2862,354257,778637,648063,75670,8142,46762,0,1228691,1199550,29141,370168,168165,110089,91914,499335,483427,13153,2755,54778,171827,6573,165254,117049,27209,89840,4322286,135324,3.232031182270826,3875610,123004,3.277822999656326
1971:Q1,4476076,1426998,1051931,8579,2936,363552,801868,666251,77246,8282,50089,0,1309312,1268698,40614,376441,172109,110247,94085,512508,496215,13450,2843,48949,172461,7287,165174,123512,30545,92967,4476076,153790,3.558065546277774,4039181,163572,4.220538721872696
1971:Q2,4550934,1460893,1078498,8773,3007,370615,822789,684246,78599,8289,51655,0,1311413,1277042,34371,382810,175912,110830,96068,525692,509091,13671,2930,47337,175919,7486,168433,128582,29701,98881,4550934,74858,1.6724025507152307,4113378,74197,1.8369392943992817
