1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q4,2286,4547,21539,3350,4779,610,2203,710,194,1299,343,0,0,6214,0,4040,2482,1558,9415,13953,693,-530,-3932,3402,0,0,13790,11401,2389,-4538,-4511,-27,-14385
1997:Q1,2762,4279,7174,-3927,-5710,-393,960,-457,-386,1803,-403,0,0,12329,0,4318,4246,72,-6406,7025,-184,93,1457,-1364,5,0,7111,8086,-975,-13431,-13353,-78,-15097
1997:Q2,2897,4366,23643,-978,3636,48,1362,-688,684,1366,-9,0,0,15416,0,4168,3256,912,4684,13244,-95,8094,1740,6354,0,0,5245,4843,402,-8560,-8578,18,-20428
1997:Q3,3066,4576,17547,-1032,1840,87,-981,-217,-876,112,-266,0,0,12112,0,5787,6257,-470,3780,9313,111,6299,605,5694,1,0,2902,2216,686,-5533,-5581,48,-15278
1997:Q4,3255,4631,16742,-3105,-208,840,4193,1298,1153,1742,652,0,0,2688,0,11682,9862,1820,6750,10196,743,4731,3067,1664,15,0,4707,3615,1092,-3446,-3394,-52,-11368
1998:Q1,5309,4689,32845,4006,-560,-1057,3662,-1757,3150,2269,178,0,0,14414,0,12202,10928,1274,15320,18094,61,12542,4217,8325,-6,0,5497,5371,126,-2774,-2967,193,-16906
1998:Q2,5337,4857,30113,2377,-1033,3947,-4213,-584,-2861,-768,-255,0,0,15335,0,13955,12401,1554,12587,16755,3658,12019,6175,5844,-3,0,1081,1224,-143,-4168,-4142,-26,-17047
1998:Q3,5180,4942,15409,-1580,-2074,-4087,1553,-717,635,1635,12,0,0,10536,0,11049,9659,1390,6818,9756,-290,8372,1964,6408,6,0,1668,963,705,-2938,-2926,-12,-8353
1998:Q4,5254,5091,39693,1420,2937,5553,-3716,-56,213,-3873,1795,0,0,33702,0,-1998,-4337,2339,1888,7047,1385,2096,-4544,6640,15,0,3551,1313,2238,-5159,-5007,-152,-37642
1999:Q1,8984,4814,15320,5332,-3241,-1724,-965,236,-535,-666,-526,0,0,10542,0,5902,7491,-1589,5415,9864,-1769,10430,1010,9420,12,0,1191,2757,-1566,-4449,-4106,-343,-5735
1999:Q2,8754,4980,14456,1986,-2230,324,-537,10,-2000,1453,616,0,0,712,0,13585,7729,5856,15411,12389,157,6986,2432,4554,12,0,5234,3216,2018,3022,179,2843,4729
1999:Q3,11332,5132,5342,9545,860,838,-405,-278,-171,44,-2699,0,0,4981,0,-7778,-7306,-472,853,7173,557,4684,-3294,7978,-2,0,1934,1723,211,-6320,-7073,753,1712
1999:Q4,11276,5193,26982,-4561,14208,1606,9567,7965,1374,228,1041,0,0,13493,0,-8372,-10138,1766,22037,25750,2268,11613,8932,2681,16,0,11853,3479,8374,-3713,-2798,-915,1139
2000:Q1,14244,4522,3472,396,-9384,-2121,-9841,-7926,-590,-1325,-716,0,0,18389,0,6749,3863,2886,-13910,-6970,-1913,8158,-3725,11883,-4,0,-13211,-3757,-9454,-6940,-7062,122,-7660
2000:Q2,14326,4688,18826,7178,-1273,-519,-1282,151,227,-1660,2136,0,0,10449,0,2137,1061,1076,7395,12084,-54,9335,1676,7659,3,0,2800,1176,1624,-4689,-4529,-160,-1793
