1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,84740,27055,24745,22304,0,6652,970,2614,400,78637,53719,10538,5135,7797,1448,6103,9979,291,-940,16731,26474,19581,272,6621,17941,52,533,240,-23,0,0,714,0,480,205,29,0,1387,697,0,690,0,-56,0,1138,13956,0,11320,0,73,-222,2148,170,-137,2115,500,0,500,173,1686,6962,-9743,17171,10550
1952:Q1,87459,30876,26087,19528,0,6964,992,2584,428,84449,60921,10480,3752,8055,1241,3010,10554,440,-1034,14158,13573,24076,245,-10748,18136,2224,6372,200,148,0,320,1236,0,1392,-284,128,0,1872,1164,0,708,0,0,0,928,4712,124,28884,0,88,-144,18980,10780,-308,8508,536,0,536,60,-316,9680,585,16796,27544
1952:Q2,88015,31813,26918,18372,0,6848,983,2672,409,89151,64723,10628,4488,8112,1200,-1136,10859,520,-1079,10282,6568,24264,244,-17940,5844,420,-2776,-200,-108,0,348,2668,0,1840,780,48,0,1344,248,0,1096,0,0,0,1228,2532,388,23784,0,92,-196,14916,2188,2228,10500,756,0,756,80,104,8032,3714,3664,21604
1952:Q3,89083,32274,27334,18308,0,6896,1004,2880,387,91724,66087,11396,4816,8241,1184,-2641,11291,292,-1103,9461,29416,24845,252,4319,22492,-28,7860,592,-8,0,2048,596,0,312,252,32,0,1820,372,0,1448,0,0,0,1312,7836,464,18173,0,108,-192,8684,1864,2600,4220,2536,0,2536,32,880,6125,-19955,21604,17285
1952:Q4,92822,33057,28145,20220,0,7072,1033,2908,387,93024,68119,11472,3952,8399,1082,-202,11547,300,-1004,12049,17765,25299,267,-7801,9328,-1096,-680,40,64,0,-1728,1176,0,1280,-96,-8,0,1676,868,0,808,0,0,0,632,8776,468,17129,0,124,-96,6060,4736,-2996,4320,1660,0,1660,0,1592,7789,-5716,7424,15225
1953:Q1,94500,33411,28746,21284,0,7088,1108,2443,420,94269,69218,11464,3880,8561,1146,231,11830,336,-1224,12949,18281,26547,309,-8575,7104,-2412,-4032,-144,44,0,36,1124,0,1152,-40,12,0,1484,836,0,648,0,0,0,1184,10284,-464,15679,0,56,-152,8228,2204,248,5776,1056,0,1056,32,944,5515,-5332,6840,15415
1953:Q2,96083,33439,29178,21376,0,7160,1149,3343,438,96556,70768,11428,4800,8670,890,-473,12125,312,-1052,12392,11629,27158,326,-15855,1908,-512,-10556,40,-264,0,-1024,460,0,648,-308,120,0,2072,676,0,1396,0,0,0,-300,12428,-436,17763,0,112,-204,11664,5392,988,5284,-872,0,-872,72,-316,7307,763,1436,17291
1953:Q3,95132,33187,29319,20876,0,7196,1174,2920,460,95401,69592,11676,4164,8833,1136,-269,12234,296,-1113,12782,32995,27030,337,5628,36300,-1204,17340,428,68,0,3260,656,0,504,-84,236,0,2744,436,0,2308,0,0,0,308,12152,548,30672,0,72,-232,23168,16412,1740,5016,740,0,740,100,476,6348,-20213,35548,29920
1953:Q4,90028,32931,29161,16240,0,7072,1162,2970,492,96836,70817,12128,4216,8981,694,-6808,12386,368,-1203,6413,10905,25929,344,-15368,-752,-516,-7220,956,-228,0,-2560,1360,0,912,88,360,0,656,-36,0,692,0,0,0,-1324,7628,496,14616,0,88,-176,5648,-3228,3532,5344,532,0,532,92,268,8164,-4492,-1752,13616
1954:Q1,87830,30196,28681,16096,0,8092,1177,3055,533,95168,68418,12888,4044,9154,664,-7338,12566,148,-1195,6275,18585,26413,316,-8144,5900,-224,2044,1048,-304,0,-1564,800,0,240,196,364,0,-244,-184,0,-60,0,-32,0,1060,3836,-520,14044,0,164,-200,4940,-2992,2404,5528,180,0,180,-52,1212,7800,-12310,5712,13856
1954:Q2,88146,29977,28812,16612,0,8056,1162,2965,562,94423,66591,13568,3708,9302,1254,-6277,12931,-56,-1142,7852,14368,25943,337,-11912,2764,-32,-1604,-112,156,0,864,528,0,256,44,228,0,-1416,52,0,-1468,0,-84,0,-420,5468,-584,14676,0,96,-240,7968,2904,-1008,6072,80,0,80,-236,-832,7840,-6516,3052,14964
1954:Q3,89264,30005,28744,17660,0,8080,1133,3062,580,95037,66415,13944,4324,9446,908,-5773,13149,-508,-1143,9027,22106,24733,377,-3004,9240,-656,-4204,1080,-244,0,4024,916,0,688,120,108,0,344,640,0,-296,0,0,0,1160,6456,364,12244,0,48,-204,3780,3124,-4716,5372,956,0,956,-400,176,7888,-13079,8540,11544
1954:Q4,91762,30462,29319,19024,0,8172,1123,3054,608,96200,66859,14588,4432,9553,768,-4438,13443,-192,-1172,10369,12767,24497,434,-12164,10792,-280,3892,-56,84,0,-3336,816,0,604,216,-4,0,768,520,0,248,0,372,0,-176,8296,412,22956,0,56,-260,13128,3836,3660,5632,1496,0,1496,-508,828,8216,-2398,10248,22412
1955:Q1,96441,31412,30248,21132,0,8900,1095,2974,680,97656,67728,14556,4820,9608,944,-1215,13510,-312,-1236,13843,23286,24141,540,-1395,10468,-120,-6232,-500,228,0,920,1028,0,756,316,-44,0,1024,196,0,828,0,0,0,140,14388,-408,11863,0,48,-156,2048,-4156,732,5472,1080,0,1080,-396,48,9191,-9443,9724,11119
1955:Q2,99078,32429,31228,21380,0,9068,1127,3112,734,97625,67777,14736,4404,9647,1061,1453,13650,-64,-1108,16275,32990,24756,601,7633,21112,-132,4712,48,420,0,-1608,1208,0,1080,132,-4,0,1024,432,0,592,0,0,0,-188,15916,-288,13479,0,20,-372,4532,1132,-1744,5144,520,0,520,-208,344,8643,-16715,20072,12439
1955:Q3,101581,33364,31941,21888,0,9220,1190,3215,763,99828,69834,14864,4392,9944,794,1753,14034,28,-1236,16995,27876,24265,647,2964,15888,60,-1404,20,116,0,4544,1156,0,1208,-84,32,0,400,136,0,264,0,0,0,416,9892,688,12924,0,16,-440,3168,-164,-1576,4908,1544,0,1544,4,736,7896,-10881,14636,11672
1955:Q4,103902,34231,32451,22756,0,9280,1252,3151,781,99442,69063,14860,4288,10269,962,4460,14395,124,-1400,20131,22708,24268,676,-2236,13724,32,1920,128,140,0,-1660,1388,0,1544,-220,64,0,440,260,0,180,0,0,0,888,9824,624,15960,0,8,-52,6108,1816,-320,4612,712,0,712,-60,1124,8120,-2577,12076,14312
1956:Q1,105265,35367,33031,21684,0,9884,1370,3162,767,100084,69274,15176,4164,10402,1068,5181,14832,400,-1453,21066,29712,25573,671,3468,13824,48,5704,160,332,0,-632,848,0,1048,-264,64,0,-112,76,0,-188,0,0,0,-156,7944,-312,10356,0,28,-364,-832,-5000,-276,4444,1044,0,1044,232,700,9548,-8646,12684,9216
1956:Q2,107410,36239,33596,22096,0,9996,1441,3276,766,103591,71663,15364,4432,10811,1321,3819,15153,420,-1705,20257,37297,26584,681,10032,10644,412,-2688,-292,200,0,-2252,1412,0,1332,48,32,0,1032,92,0,940,0,-12,0,1384,11848,-400,612,0,68,-140,-10368,-15060,272,4420,-40,0,-40,360,744,9988,-17040,9272,-760
1956:Q3,107956,36901,34597,20728,0,10024,1497,3444,765,103674,70518,15812,4532,11148,1664,4282,15490,388,-1601,20985,28696,27762,686,248,12340,656,-5360,36,1044,0,7512,1172,0,992,196,-16,0,192,64,0,128,0,140,0,336,5912,700,12092,0,56,-264,-848,-4648,-156,3956,2480,0,2480,344,956,9368,-7711,11224,10976
1956:Q4,111374,37857,35724,21856,0,10164,1553,3462,758,107089,72680,16016,4604,11818,1971,4285,15788,372,-1585,21286,22047,28665,690,-7308,10812,104,-920,164,2924,0,-2344,1064,0,836,304,-76,0,1816,176,0,1640,0,0,0,-204,7940,268,18120,0,80,-208,5480,2500,-860,3840,-136,0,-136,276,1668,10960,-761,9956,17264
1957:Q1,114618,38578,36144,22344,0,11428,1633,3743,748,110909,75585,16836,4612,11842,2034,3709,16217,324,-1626,21228,31278,29757,689,832,20808,1392,9424,280,832,0,-696,328,0,116,272,-60,0,244,368,0,-124,0,300,0,292,9028,-616,19976,0,76,-188,10448,6872,-164,3740,-1540,0,-1540,184,448,10548,-10050,20524,19692
1957:Q2,114400,38965,36561,21356,0,11460,1687,3621,750,113149,76106,18032,4812,12231,1968,1251,16519,-128,-1886,19784,31822,29737,697,1388,2572,1304,-5636,328,1436,0,-4472,40,0,-44,48,36,0,-612,376,0,-988,0,-28,0,684,10156,-628,1184,0,88,-404,-10392,-14772,-40,4420,-1792,0,-1792,88,536,13060,-12038,2572,1184
1957:Q3,114957,39197,37012,20864,0,11532,1748,3819,785,114044,76806,18224,4676,12492,1846,913,16828,112,-1856,19485,25665,30600,709,-5644,17800,108,-3312,840,1488,0,8968,-556,0,-556,-160,160,0,1132,532,0,600,0,0,0,-60,8576,616,23444,0,76,-408,14528,10408,-412,4532,-724,192,-916,48,556,9368,-6180,17932,23576
1957:Q4,112430,38804,36746,18956,0,11356,1802,3993,773,118195,79236,19436,4852,12937,1734,-5765,17077,116,-1684,12880,21047,30826,725,-10504,4996,392,-2372,-32,88,0,-1688,-744,0,-828,-220,304,0,2412,656,0,1756,0,0,0,-828,7112,656,15500,0,80,-308,1560,-5684,1908,5336,-652,192,-844,28,2156,12636,-8167,5416,15920
1958:Q1,109102,38178,36823,16328,0,11364,1851,3803,755,118281,78576,20808,4560,12485,1852,-9179,17057,132,-1722,9468,17987,31268,756,-14037,7380,-1480,3940,1984,792,0,-248,-1040,0,-1336,-8,304,0,1308,480,0,828,0,0,0,-1072,4076,-880,21417,0,144,-100,11212,3812,2136,5264,2024,504,1520,28,404,7705,-8519,8208,22245
1958:Q2,109787,37696,37331,16676,0,11288,1834,4220,742,123914,81643,22648,5100,12489,2034,-14127,17352,-516,-1664,5405,15207,31981,771,-17545,14412,-4300,15960,2528,944,0,-7032,216,0,276,-216,156,0,780,432,0,348,0,-16,0,-428,6540,-780,31957,0,84,-400,22780,20144,-2792,5428,92,500,-408,44,584,8773,-9802,13832,31377
1958:Q3,113688,38945,37795,18908,0,11456,1748,4088,748,125257,82168,22976,5100,12789,2224,-11569,17724,584,-1624,7195,12184,32925,784,-21525,-10748,-1932,-29172,-648,392,0,8372,184,0,304,-192,72,0,1820,424,0,1396,0,-24,0,148,9628,484,10777,0,64,-4,-124,-5860,612,5124,1808,368,1440,64,1132,7837,-4989,-11360,10165
1958:Q4,119101,39376,38929,21848,0,11576,1731,4873,768,127748,83676,22472,5940,13280,2380,-8647,18043,-84,-1655,11135,18488,34316,793,-16621,20236,-1388,9664,-536,-816,0,-2704,488,0,624,-192,56,0,2716,1152,0,1564,0,0,0,244,11708,860,36857,0,60,-268,24620,18916,-280,5984,644,372,272,88,1516,10197,-7353,19424,36045
1959:Q1,123451,40758,39770,22720,84,13700,1931,3995,493,126676,80978,22736,7436,14378,1148,-3225,18253,172,-1647,16503,15458,36217,793,-21552,3192,-384,2688,-516,-440,0,-4852,772,0,884,-144,32,0,3096,1940,0,1156,0,12,0,156,2548,112,24744,0,48,-136,14504,10268,-1440,5676,340,196,144,108,788,9092,1045,2176,23728
1959:Q2,128220,41986,40292,24876,84,13944,2003,4481,554,128118,82377,22612,8116,14085,928,102,18480,-716,-1692,20990,20318,36158,800,-16640,8532,-2960,-776,56,1788,0,-816,1336,0,1268,60,8,0,3444,1964,0,1480,0,12,0,448,6148,-148,25172,0,132,-236,16456,10448,68,5940,-1252,204,-1456,124,416,9532,672,7004,23644
1959:Q3,127518,42679,41722,22024,84,13900,2271,4317,521,129302,83354,22844,7240,14776,1088,-1784,18756,1068,-1822,17726,17765,36137,1380,-19752,7512,-668,2304,-1076,-236,0,3992,860,0,840,56,-36,0,2108,1456,0,652,0,-28,0,308,-88,36,27264,0,120,-208,17148,10480,-12,6680,312,428,-116,112,856,8924,-39,6536,26288
1959:Q4,128942,43733,42424,21320,84,13952,2468,4351,610,131304,83669,23476,7732,15359,1068,-2362,19012,-268,-1863,18781,19245,34938,1383,-17076,4656,-288,5100,-272,-800,0,-1688,1592,0,1868,-180,-96,0,596,740,0,-144,0,8,0,588,-224,44,21732,0,8,-176,8872,5012,-1212,5072,-1048,432,-1480,92,1808,12176,-464,2668,19744
1960:Q1,138293,45292,43696,24084,88,16456,3676,4455,546,130961,81851,23556,7004,17526,1024,7332,19289,88,-1926,28459,26069,35101,1121,-10153,3172,-200,2288,228,104,0,-1688,1468,0,1432,140,-104,0,1016,-96,0,1112,0,0,0,744,-752,-36,13325,0,116,-224,384,-5116,-252,5752,792,400,392,84,1708,10465,2390,1692,11845
1960:Q2,137859,46028,44347,22036,100,16488,3738,4575,547,134146,83186,24188,7868,17624,1280,3713,19563,360,-2147,25063,24328,35193,1368,-12233,5784,-376,3600,1392,372,0,-616,1408,0,1244,220,-56,0,1336,348,0,988,0,328,0,40,-1724,24,18017,0,56,-232,3532,-2740,1000,5272,848,408,440,72,476,13265,735,4204,16437
1960:Q3,137815,46528,44861,21048,96,16544,3775,4567,396,135721,85579,24988,6720,17386,1048,2094,19832,84,-2049,23891,23069,36840,1410,-15181,1692,-2552,-324,2092,76,0,620,1748,0,1056,636,56,0,1120,568,0,552,0,16,0,320,-1552,128,16873,0,84,-176,4464,940,-1728,5252,1612,404,1208,68,1256,9565,822,264,15445
1960:Q4,137016,46424,45284,20028,96,16424,3611,4771,378,139462,87451,25964,7540,17275,1232,-2446,20087,-316,-2474,20431,18135,36879,1365,-20109,-3196,-3684,-1444,1708,-52,0,-1324,1252,0,-144,1160,236,0,1280,728,0,552,0,316,0,524,-1860,88,16913,0,92,-116,4624,-276,-64,4964,1372,408,964,80,2064,8797,2296,-3248,16861
1961:Q1,137934,46511,45776,19856,104,16788,3639,4953,307,140553,86591,27800,7288,17302,1572,-2619,20372,-56,-2443,20252,16667,39626,1330,-24289,-6432,-1484,-7810,1092,40,0,1070,548,0,-632,944,236,0,2728,584,0,2144,0,0,0,-4,-2756,144,17857,0,44,-164,3700,-2248,568,5380,2836,216,2620,84,1332,10025,3585,-6236,18053
1961:Q2,141003,46944,46463,21316,108,16956,3674,5306,236,145525,88743,28624,8532,17618,2008,-4522,20643,40,-2275,18356,14187,38512,1540,-25865,1068,680,-2238,1308,572,0,6,756,0,1460,-776,72,0,-328,644,0,-972,0,16,0,156,228,-88,26933,0,112,-116,10696,6812,-68,3952,1888,216,1672,88,40,14225,4169,-916,24949
1961:Q3,143877,47402,47256,22608,112,17116,3641,5431,311,146424,90111,28768,7328,18045,2172,-2547,20970,20,-2443,20846,25710,39850,1621,-15761,20312,-584,9736,1040,1824,0,1976,836,0,-624,1528,-68,0,3228,808,0,2420,0,-44,0,676,1764,-140,36073,0,500,-124,20604,14580,-168,6192,2508,228,2280,96,1596,10893,-4864,20852,36613
1961:Q4,148435,48143,48377,24596,124,17368,3827,5502,498,148890,91915,28268,7968,18435,2304,-455,21304,-216,-2383,23448,17734,41602,1449,-25317,1760,-2040,36,280,-1068,0,-2336,848,0,848,176,-176,0,2088,828,0,1260,0,688,0,344,2896,24,27077,0,92,-92,11164,4280,896,5988,1436,228,1208,104,2048,12325,5714,988,26305
1962:Q1,150950,49402,49396,23024,128,18940,3927,5707,426,153544,95155,28844,8312,18949,2284,-2594,21715,20,-2298,21399,19263,41952,1608,-24297,5456,-1216,1488,2216,-748,0,612,-240,0,-104,68,-204,0,3048,464,0,2584,0,4,0,48,216,28,29753,0,12,-172,14628,7252,732,6644,2596,320,2276,116,200,12373,2136,5424,29721
1962:Q2,153173,50924,49906,22740,144,19164,4217,5717,361,156026,96572,28748,8872,19450,2384,-2853,22015,144,-2607,21625,25081,41853,1753,-18525,8328,-464,2076,1056,428,0,484,1056,0,976,212,-132,0,2592,240,0,2352,0,8,0,396,912,-216,26853,0,40,-116,10960,4796,1232,4932,2188,324,1864,124,1252,12405,-3456,6840,25365
1962:Q3,156628,52319,50888,23432,148,19252,4188,5989,412,158121,98938,29140,7868,19959,2216,-1493,22493,-60,-2541,23601,31111,43113,1615,-13617,5000,-1780,680,124,-1040,0,3440,1648,0,1444,352,-148,0,820,248,0,572,0,-44,0,976,340,-164,18617,0,-192,-112,1660,-1520,-1460,4640,1812,192,1620,132,1732,13585,-7510,3496,17113
1962:Q4,158463,53575,51338,23496,160,19340,4188,5975,391,160797,100093,29836,8376,20284,2208,-2334,22997,48,-2602,23217,11356,43469,1628,-33741,4560,-100,-62,484,-160,0,-2486,2644,0,2304,616,-276,0,2476,340,0,2136,0,496,0,788,636,-156,38301,0,68,-76,18920,11664,1668,5588,2528,204,2324,128,2736,13997,11861,1708,35449
1963:Q1,162281,54101,52005,23588,176,21396,4241,6057,717,162763,100470,31192,8496,20573,2032,-482,23336,60,-2705,25499,23839,43254,1516,-20931,7736,-444,422,3172,388,0,-1802,2332,0,3800,-1148,-320,0,2948,20,0,2928,0,8,0,1288,-672,96,28667,0,44,-104,10180,4932,340,4908,2944,100,2844,132,760,14711,1660,4012,24943
1963:Q2,165727,54311,52938,25272,192,21620,4328,6310,756,163728,100580,30184,9828,20960,2176,1999,23726,284,-2822,28263,29724,43552,1835,-15663,13768,-464,5532,808,1236,0,-8,1344,0,1164,416,-236,0,632,-1180,0,1812,0,36,0,1296,3456,-100,29431,0,36,-96,12140,5216,16,6908,3840,108,3732,136,292,13083,-1461,12756,28419
1963:Q3,168397,54593,53919,25980,196,21820,4488,6557,844,166500,104111,30384,8252,21457,2296,1897,24035,52,-2946,28826,35462,45816,1862,-12216,4416,-784,-4736,1160,-296,0,4072,1308,0,2272,-772,-192,0,876,-60,0,936,0,-52,0,420,2460,-12,16632,0,4,-112,-916,-3768,-1200,4052,1560,16,1544,132,1828,14136,-6636,1928,14144
1963:Q4,171086,55203,54682,26564,188,22104,4587,6820,938,170035,105858,30900,8816,22029,2432,1051,24341,156,-2715,27951,18346,45131,1491,-28276,1448,-152,756,1396,360,0,-6880,944,0,-2608,3760,-208,0,2432,412,0,2020,0,36,0,792,1960,-196,29724,0,-40,-60,8700,3448,160,5092,3300,24,3276,124,3008,14692,9605,4068,32344
1964:Q1,171518,53755,55671,26236,180,22104,5317,7315,940,172994,106778,31824,9248,22416,2728,-1476,24670,124,-2867,25937,26916,45776,1960,-20820,4572,-184,3316,884,-812,0,-336,36,0,760,-512,-212,0,3048,272,0,2776,0,-56,0,-16,-1140,-168,25392,0,4,-68,9168,5028,-964,5104,1260,-12,1272,112,752,14164,-979,4040,24860
1964:Q2,168882,49723,56746,26232,180,22348,5492,7218,943,175178,107813,31356,10272,22857,2880,-6296,24972,100,-3277,21853,29543,46501,2190,-19148,8496,292,-1000,1672,-768,0,3256,764,0,-232,1148,-152,0,2808,12,0,2796,0,204,0,516,780,-28,27644,0,-4,-72,10916,2788,1516,6612,2288,-24,2312,96,-168,14588,-7690,8580,27728
1964:Q3,172599,51575,57881,26812,180,22600,5592,7255,704,175340,109465,31624,8552,23051,2648,-2741,25251,216,-3343,25637,30849,46567,2239,-17957,15680,80,5054,2048,-632,0,1466,2028,0,1388,712,-72,0,3396,220,0,3176,0,-176,0,1224,1136,56,33637,0,-100,-72,12976,6104,276,6596,2676,72,2604,96,1960,16101,-5212,13972,31929
1964:Q4,175267,53223,58778,26332,192,22804,5363,7700,875,176642,109430,31848,9340,23364,2660,-1375,25562,68,-3409,27528,16368,46722,1147,-31501,1900,-688,-474,2320,1196,0,-7998,2856,0,2160,704,-8,0,2796,208,0,2588,0,216,0,1380,232,64,33401,0,-592,-76,13064,4304,2592,6168,2380,84,2296,112,2828,15685,11160,-620,30881
1965:Q1,182430,56964,60184,28160,196,22976,5399,7702,849,179908,110829,33072,9256,23827,2924,2522,25883,292,-3510,31623,29182,46196,1869,-18883,5380,-3332,-744,2336,-824,0,3756,1336,0,1056,288,-8,0,3212,64,0,3148,0,0,0,396,-600,-156,24263,0,-60,-100,7396,664,-36,6768,3128,96,3032,124,1328,12447,2441,4096,22979
1965:Q2,186071,58415,60340,29044,204,23280,5602,8283,903,184423,112900,32968,11232,24351,2972,1648,26258,364,-3326,30868,38941,46909,1439,-9407,16064,-2360,5712,1128,2236,0,3504,1852,0,1560,348,-56,0,2896,-260,0,3156,0,-20,0,1180,-112,48,25471,0,88,-92,7000,-648,-376,8024,2288,104,2184,136,1544,14507,-8073,14032,23439
1965:Q3,185953,57005,60516,29576,212,23636,5588,8655,765,191696,117893,36308,9920,24587,2988,-5743,26629,376,-3550,24060,32989,48868,1813,-17692,2244,-496,-11654,3232,-852,0,2982,2952,0,3092,-68,-72,0,2116,304,0,1812,0,-20,0,1676,2160,148,19936,0,240,-68,-2488,-12084,2052,7544,2664,-60,2724,140,2456,16992,-8929,-1032,16660
1965:Q4,190835,58272,61796,31536,212,24108,5484,8792,635,196665,123140,35116,10188,25077,3144,-5830,26990,76,-3722,24806,16694,49479,1939,-34724,7324,-476,-1920,2712,-104,0,-5344,3204,0,3056,236,-88,0,4160,572,0,3588,0,0,0,1352,3788,-48,42048,0,412,-76,19864,13100,152,6612,2120,-64,2184,136,2484,17108,8112,4124,38848
1966:Q1,203077,61526,61365,32500,216,30484,6109,10295,582,202439,125112,36112,12012,25639,3564,638,27355,284,-3866,31575,27835,51920,2366,-26451,4496,-272,-3384,112,-860,0,1328,1220,0,1244,80,-104,0,4936,1040,0,3896,0,208,0,884,316,8,30947,0,644,-80,10808,2760,1396,6652,2072,-60,2132,116,1428,15959,3740,3172,29623
1966:Q2,210138,65567,62827,32408,216,30948,6302,11417,453,210833,129717,36188,14660,26340,3928,-695,27914,328,-3867,30758,47605,51942,1914,-6251,20572,-836,21766,2332,276,0,1386,1172,0,2044,-784,-88,0,2776,1036,0,1740,0,152,0,1188,-9900,260,26823,0,968,-464,2764,-12464,7052,8176,4584,-60,4644,112,1892,16967,-16847,18268,24519
