1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2021:Q3,45898154,161826,1502738,1186919,681300,158226,1041855,13476023,146660,7570896,1242181,118301,4397985,993080,617499,480658,12375131,11875369,1242281,527,1146,486104,234971,63611,171360,30250489,9176714,163874,1338256,892784,1110146,4222993,451764,3771229,527575,739241,690905,48336,9691,99386,159587,82925,357831,156266,26108,175457,21073775,11789406,9213857,70512,2006118,2041185
2021:Q4,49073104,160760,1562479,1209515,693670,164500,1110023,13651587,138300,7740370,1252643,118665,4401609,1037209,644503,480392,13898265,13163847,1187850,171,739,511051,241046,65104,175942,31088773,9292368,163629,1356700,889379,1173181,4230739,421698,3809041,569000,802600,748432,54168,-38522,104567,170180,84802,355113,148935,26665,179513,21796405,12061294,9664599,70512,1960913,1982966
2022:Q1,47213162,158785,1622569,1238942,745650,170773,1099762,13230939,173921,7604400,1172853,113316,4166449,1083111,662138,448008,12993317,12457231,1183241,198,869,519829,259938,65490,194448,29725151,9093978,163131,1338376,928816,1141864,4019542,343624,3675918,579859,829360,769596,59764,-80296,102546,191759,79523,379357,170334,26307,182716,20631173,11465265,9095096,70812,2189923,2254847
2022:Q2,42392116,152511,1656949,1221796,713833,177047,1111282,12664063,133583,7416943,1204666,108545,3800326,1089660,670245,441641,10908121,10363441,1100786,226,999,533731,256030,65875,190155,26745239,9011567,158195,1371821,942588,1140241,3796127,323886,3472241,597223,878039,813871,64168,-47312,100524,213336,80819,377190,165321,25949,185920,17733672,9997741,7663549,72382,2334242,2405663
2022:Q3,40924244,147009,1716083,1225292,717801,175375,1129689,12293465,176170,7251508,1178409,104753,3582625,1082550,680636,481978,10313030,9778479,1044479,252,1129,544408,273225,66260,206965,25166488,8886575,153175,1342918,983397,1120899,3663696,314314,3349382,613847,922824,848908,73916,-95380,98502,234915,82979,378651,163940,25589,189122,16279913,9192407,7014789,72717,2708540,2826939
2022:Q4,42402735,152863,1758533,1224253,683658,173703,1101354,12481493,191306,7294065,1232915,106937,3656270,1130490,684322,471327,10874944,10466919,1078323,279,1259,555120,248217,66645,181572,27250571,8955233,160537,1356841,936431,1160751,3728089,331845,3396244,617000,891337,862672,28665,-89384,96480,256498,82423,375230,157674,25231,192325,18295338,10279726,7942730,72882,2473846,2543343
2023:Q1,44542543,154516,1849377,1231032,673196,172030,1181578,12913368,176540,7563126,1268138,110921,3794643,1127909,686062,472168,11580140,11237929,1102174,315,1268,581426,264117,67190,196927,28665559,9199637,163241,1317700,983010,1271888,3757748,299391,3458357,633465,926383,896901,29482,-60420,109105,272458,80839,377686,158836,25151,193699,19465922,10786711,8606063,73148,2150727,2193123
2023:Q2,46431635,152775,1796889,1243960,675271,170358,1137370,13079494,111824,7627150,1289648,111730,3939142,1126592,685068,470250,12401804,12151687,1152585,351,1279,607356,263614,67735,195879,29251107,9290847,162206,1332646,908979,1420366,3728824,298208,3430616,640560,936318,906000,30318,-83803,121731,288417,79774,395390,175247,25071,195072,19960260,11023348,8862182,74730,2455186,2482845
2023:Q3,45858916,151041,1827016,1231995,676382,175900,1294413,13065549,120865,7610578,1328045,108240,3897821,1125667,679332,460595,12074226,11680915,1147502,386,1288,636423,309618,68279,241339,28581845,9397903,162057,1375689,935774,1474081,3668550,303917,3364633,652856,956224,925227,30997,-70570,134354,304371,82561,374813,153379,24989,196445,19183942,10705121,8404091,74730,2520225,2583540
2023:Q4,49370411,154107,1959848,1243546,687179,181441,1305357,13776263,123395,7946509,1352447,116862,4237050,1093275,667816,448959,13333243,12978946,1221835,422,1297,667527,317166,68824,248342,30662263,9810049,166498,1405247,940633,1630029,3812051,319783,3492268,633000,988472,957009,31463,-69274,146979,320332,87956,381127,158400,24909,197818,20852214,11482589,9294895,74730,2208255,2202801
2024:Q1,52147395,152083,1897593,1259860,720435,186983,1337627,13988507,117985,8114836,1318362,117859,4319465,1101761,645645,459441,14671319,14221402,1264024,488,1605,716985,167282,67660,99622,32037074,9867868,166269,1421139,979947,1606950,3846083,307242,3538841,650668,963569,930904,32665,-56674,145809,348975,88010,357791,131892,24942,200957,22169206,12111083,9983388,74735,2145257,2168999
2024:Q2,53648282,151083,1948893,1242680,680956,192524,1375838,14108906,125498,8210632,1333094,118442,4321240,1127399,627768,488700,15149633,14769015,1346422,555,1913,751584,312181,66496,245685,32292606,10070166,166212,1422358,1000520,1646762,3890933,303950,3586983,660437,1054256,1019671,34585,-91311,144641,377616,89303,368876,139804,24975,204097,22222440,12154056,9991866,76518,2286658,2281764
2024:Q3,56269879,155795,1849622,1249351,684459,201071,1401091,14861743,135195,8678485,1391131,122561,4534371,1140152,620305,480258,16124891,15582513,1441855,621,2220,783384,310853,65332,245521,33501777,10140650,172895,1350192,1052094,1755057,3832056,315165,3516891,653619,1077819,1042303,35516,-123071,143471,406257,93297,380583,148340,25007,207236,23361127,12731400,10552763,76964,2560838,2538697
2024:Q4,56906366,149795,1893407,1243889,682471,212952,1338848,14541558,138763,8512857,1365392,121929,4402617,1109956,618836,478166,16753708,15882864,1476682,687,2528,822966,315889,64167,251722,32241499,10132405,166890,1294318,1050294,1623052,3728711,296389,3432322,668970,1357097,1321540,35557,-133655,142301,434896,93017,375485,140070,25040,210375,22109094,12109284,9922846,76964,2284017,2316167
2025:Q1,56431766,152617,2005979,1268276,727955,217501,1479782,15176579,143274,9012657,1373062,117588,4529998,1129408,626958,463576,16043992,15119758,1470411,693,2571,853377,319291,65740,253551,33815131,10696104,170380,1335974,1077616,1863080,3847166,358429,3488737,673212,1469051,1433750,35301,-150831,143646,459729,95927,384366,143696,25138,215532,23119027,12475787,10566556,76684,ND,ND
