1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,76102,27469,21224,35031,29489,2427,27062,5658,-116,-13807,5421,-43,0,-41,0,0,715,51,562,0,102,0,921,14,907,10,0,685,2,0,2116,1057,19228,13402,4294,-6,0,4300,3113,697,416,2000,-37,2719,775,2538,5826,1000,66,4760,6245
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,64531,28321,22675,24384,27275,2390,24885,-2692,-199,-1709,4073,914,0,0,0,0,1962,85,1844,0,33,0,630,-6,636,14,0,617,3,0,-899,833,5783,3160,2899,-4,0,2903,66,-2026,210,1882,-17,-2,-2302,2516,2623,1212,63,1348,5646
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,81298,27758,21982,36064,30563,3052,27511,5770,-269,-14082,18412,1548,0,47,0,0,3218,-122,3173,0,167,0,1294,-1,1295,6,0,579,3,0,11039,678,32494,29029,1669,45,0,1624,7485,4598,602,2285,-69,9231,7255,3459,3464,1288,149,2027,5776
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,87374,31071,9485,43534,33896,2543,31353,9910,-272,-34049,8734,2143,0,34,0,0,922,-53,783,0,192,0,736,3,733,-2,0,467,5,0,3264,1165,42782,38953,3356,62,0,3294,8366,5023,723,2620,-22,-53,4476,22831,3829,2107,105,1617,21586
1952:Q1,82142,33797,3155,39417,34930,2482,32448,4732,-245,-36262,635,3316,0,-28,0,0,-3232,8,-3164,0,-76,0,722,4,718,60,0,1452,4,0,7186,-8845,36897,29109,4404,80,0,4324,2088,772,-748,2064,48,5334,384,16851,7788,2292,0,5496,30642
1952:Q2,81342,32627,6815,33852,35619,2568,33051,-1523,-244,-27037,-1656,1356,0,72,0,0,-4748,1508,-4908,0,-1348,0,1546,4,1542,92,0,2244,8,0,-2874,648,25381,22860,6036,156,0,5880,3096,236,612,2248,60,-9232,-2552,25452,2521,2656,-48,-87,25812
1952:Q3,83196,32900,47262,38164,32842,2526,30316,5574,-252,9098,22688,-460,0,-16,0,0,1804,-88,1532,0,360,0,1542,4,1538,44,0,1148,4,0,8514,10108,13590,10563,4536,28,0,4508,5088,1788,1264,2036,36,7680,-5772,-1005,3027,1560,-156,1623,-14362
1952:Q4,85298,35420,77833,40764,35757,2697,33060,5274,-267,37069,8392,-2960,0,-92,0,0,2448,-1008,2516,0,940,0,1206,4,1202,-72,0,-1728,4,0,6242,3344,-28677,-34754,4092,-16,0,4108,5584,1904,1764,1916,-48,1588,-4684,-41286,6077,2772,516,2789,-42413
1953:Q1,87174,36079,32227,41133,37552,2789,34763,3890,-309,-8906,-1696,-3984,0,108,0,0,2204,-72,2068,0,208,0,1241,4,1237,60,0,1436,8,0,5635,-8404,7210,3676,3052,12,0,3040,3988,1556,624,1808,72,7168,1924,-12528,3534,2072,-32,1494,3852
1953:Q2,86755,34808,65464,41419,38168,2796,35372,3577,-326,24045,904,4900,0,-112,0,0,-6384,184,-6840,0,272,0,-303,4,-307,64,0,1628,0,0,-201,1312,-23141,-24528,4012,-40,0,4052,2016,-336,52,2300,24,752,3220,-34552,1388,2180,-256,-536,-30656
1953:Q3,84727,34479,63050,41134,39140,2701,36439,2331,-337,21916,16584,-1232,0,44,0,0,7556,92,7112,0,352,0,709,0,709,56,0,1408,12,0,-2141,10172,-5332,-7154,2160,40,0,2120,4432,1640,960,1832,68,1332,472,-15618,1821,1260,-72,633,-28571
1953:Q4,75735,32280,-25495,36336,38686,2659,36027,-2006,-344,-61831,-1280,-832,0,116,0,0,3800,-168,4032,0,-64,0,-95,0,-95,-76,0,-1864,8,0,-5093,2756,60551,48586,5120,272,0,4848,-5696,-7148,-656,2108,-32,-8896,-3196,61286,11965,1552,676,9737,57775
1954:Q1,78889,34790,-31660,35241,37523,2636,34887,-1966,-316,-66901,-12336,-2548,200,4,0,0,-5228,352,-5412,0,-168,0,285,0,285,48,0,1136,4,0,1951,-8188,54565,53479,3480,372,0,3108,2632,640,168,1824,56,4872,-6844,49283,1086,2948,-40,-1822,66450
1954:Q2,79443,36387,-36297,33832,37547,2818,34729,-3378,-337,-70129,-4356,3888,200,52,0,0,-12020,196,-12052,0,-164,0,-427,0,-427,64,0,1572,4,0,1779,532,65773,66740,3828,88,0,3740,876,-1300,-560,2736,80,1088,-5412,66280,-967,2088,76,-3131,72684
1954:Q3,81892,37272,-31210,35975,38443,3030,35413,-2091,-377,-67185,23800,4688,200,88,0,0,6172,-96,5968,0,300,0,605,0,605,36,0,800,8,0,1491,9712,90985,93156,5328,228,0,5100,3348,368,604,2376,68,5456,-1016,79972,-2171,912,60,-3143,68482
1954:Q4,84339,39574,29350,37891,38641,3209,35432,-316,-434,-8541,17408,2788,200,32,0,0,4424,-104,4628,0,-100,0,925,4,921,-52,0,-1208,8,0,8083,2208,25949,21943,2020,-172,0,2192,3084,-1424,1356,3152,-168,3664,396,12947,4006,384,184,3438,10224
1955:Q1,90905,42160,1142,42478,39214,3377,35837,3804,-540,-41336,8088,3084,-100,-44,0,0,888,-164,80,600,372,0,861,12,849,48,0,1132,8,0,9847,-7636,49424,47983,1840,-192,0,2032,5068,3004,-1000,3064,76,9888,692,30419,1441,2124,-64,-619,41018
1955:Q2,92229,43462,-62513,45723,41704,3475,38229,4620,-601,-108236,8552,752,-100,-80,0,0,-2552,292,-3020,200,-24,0,177,16,161,72,0,1952,8,0,7191,1132,116788,120984,2628,-268,0,2896,10944,5616,984,4344,96,8360,3088,95868,-4196,640,-136,-4700,105975
