1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2014:Q2,349657,73873,156627,-1624,311329,49065,-1714,479642,360015,439908,440666,-948,190,-79894,167894,61092,-24581,19162,-10028,4517,-9600,-11130,1405,480,-343,-12,1059,663,396,-4599,9307,88298,-45,5946,95615,-68249,247788,223230,96116,5624,-306,90798,21273,34020,-11826,-921,12716,45881,-13698,60941,-717,10373,51286,24558,-41451,66009,119627,9331
2014:Q3,369404,73574,150188,5852,315988,51259,-1086,519828,470767,501167,450845,48998,1324,-30400,263929,31306,-16326,-9389,12062,13842,-1967,-2383,825,287,-605,-91,371,18,353,6468,9365,95829,-7,5946,3876,112553,294329,310669,71506,21282,-1995,52219,53365,10522,40300,2543,40167,65290,20051,60290,-716,10877,50129,-16341,-76254,59913,49061,32598
2014:Q4,364626,73142,162624,10964,321308,47930,-2029,511091,138253,436824,451737,-14878,-36,-298571,209845,81379,9931,-5780,34164,8887,28605,28502,-365,-12,-199,679,2101,2377,-276,-10082,9776,73969,30,5946,-42546,13464,508415,505706,75430,-25048,2803,97675,88966,47356,24067,17543,584,-2245,-9452,352422,-716,11335,341804,2709,-83117,85826,372838,-26337
2015:Q1,337275,74002,167732,19834,328258,51829,-754,496215,321373,512365,452566,59942,-142,-190993,196458,-48833,-20664,-26967,-14695,-529,-11703,-2739,-7526,-2427,326,663,4948,5994,-1046,6080,-10756,74746,78,3001,-24461,266213,387451,317360,128865,6274,6016,116575,68172,37178,20163,10831,33930,-46451,15065,117779,3790,16599,97390,70091,-120778,190869,174842,67979
2015:Q2,341740,73969,165641,6063,332731,45336,-1088,487348,505437,501781,450634,21109,30039,3656,473714,-10781,8316,11550,-2920,4196,-3100,-328,-1630,-690,427,-879,7613,6231,1382,-3791,-10731,76365,-34,3001,85139,308891,470059,499369,166797,-10731,8564,168964,64214,38625,-5219,30808,12500,46591,-9001,218268,3791,15440,199037,-29310,-102237,72927,-18089,59769
2015:Q3,343372,71806,176265,14508,336025,50168,-923,496926,683417,503894,450824,53248,-178,179523,510737,72035,5961,-3579,10392,6941,6203,7066,-1021,-286,124,320,6624,6420,204,-33446,-9987,85801,5,3001,14681,346105,331213,421845,120112,23702,1498,94912,-13861,-3327,-28069,17535,-7606,37170,-7587,293617,3790,14280,275547,-90632,-155776,65144,-186492,57136
2015:Q4,307559,64172,174018,17506,338092,49583,-477,475025,296868,432927,447830,-14657,-246,-136059,-37635,34677,17286,-9,26233,3551,12216,3808,6407,2100,125,-224,3850,4980,-1130,20489,-10631,32891,30,3001,-41936,-139283,98424,179102,28992,-22240,-2186,53418,78755,37922,5645,35188,1191,-12969,-19680,102813,3791,13124,85898,-80678,-127388,46710,178157,7485
2016:Q1,329404,67567,186722,17164,342132,56806,-415,491632,426166,492350,449100,43525,-276,-66184,53375,-81051,6972,-17483,-24511,-8069,8483,-986,7716,2653,-593,-307,-8283,-6906,-1377,-3941,16097,92682,91,-1440,11820,62008,119559,174026,147047,5656,3893,137498,43285,30094,24314,-11123,29184,-20694,4957,-29753,2206,13708,-45667,-54467,-124580,70113,65467,57524
2016:Q2,331088,66839,186989,-7265,343780,53322,-409,467505,525778,455973,454017,-5873,7829,69806,431189,70298,-22880,13013,-38655,-2456,-6261,9577,-11500,-3687,-675,24,-3955,-4582,627,-9802,16403,86558,34,-1440,129893,200439,361383,364674,95820,990,11900,82930,-35305,1920,-32063,-5163,22853,76110,-17323,222520,2205,13848,206466,-3291,-125548,122257,-58273,41789
2016:Q3,326002,64862,172775,-572,346369,35462,-397,470020,445406,481634,459602,21984,48,-36228,289188,131399,12644,6772,-29320,46227,18436,13289,4144,1346,-742,399,-5745,-6344,599,-3517,16945,70020,-56,-1440,18722,8100,325415,256488,76788,-9395,4780,81403,7781,-17836,5870,19747,-65624,80923,2277,154342,2207,14005,138130,68927,-108219,177146,24614,47075
