1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q1,120,141,-3656,88,0,-1768,0,-596,0,24,-1196,-676,4,-1300,64,-68,0,0,-68,-3716,-3708,0,0,-3596,-7568,3972,0,40,-4,-148,0,0,-148,-8,0,-8,0,0,0,-81,0,0,0,0,0,0,0,0
1964:Q2,121,144,4068,-20,0,3112,0,1808,0,304,1000,4,0,972,68,-68,0,0,-68,4024,4016,0,0,4060,8956,-4896,0,0,-24,-20,0,0,-20,8,0,8,0,0,0,-67,0,0,0,0,0,0,0,0
1964:Q3,122,148,-636,-20,0,1228,0,2056,0,308,-1136,-652,4,-1192,68,-72,0,0,-72,-680,-688,0,0,-672,-3888,3216,0,40,32,-88,0,0,-88,8,0,8,0,0,0,-70,0,0,0,0,0,0,0,0
1964:Q4,129,151,2820,-12,0,440,0,-644,0,80,1004,-616,4,3008,72,-76,0,0,-76,2768,2760,0,0,760,3760,-3000,16,0,8,1976,0,0,1976,8,0,8,0,0,0,-74,0,0,0,0,0,0,0,0
1965:Q1,135,178,-3284,24,0,-2280,0,-1676,0,228,-832,-152,0,-876,76,-76,0,0,-76,-3348,-3352,0,0,-3340,-3608,268,4,40,28,-84,0,0,-84,4,0,4,0,0,0,-107,0,0,0,0,0,0,0,0
1965:Q2,148,186,5904,44,0,4112,0,2220,0,340,1552,80,4,1668,76,-80,0,0,-80,5792,5820,0,0,5724,5412,312,-8,0,-12,116,0,0,116,-28,0,-28,0,0,0,-150,0,0,0,0,0,0,0,0
1965:Q3,167,196,-8308,44,0,-5644,0,-3660,0,-324,-1660,-688,4,-2020,80,-84,0,0,-84,-8440,-8408,0,0,-8128,-8648,520,-8,40,72,-384,0,0,-384,-32,0,-32,0,0,0,-161,0,0,0,0,0,0,0,0
1965:Q4,198,208,7280,8,0,2912,0,1948,0,-1204,2168,2264,-8,2096,92,-84,0,0,-84,7072,7156,0,0,7184,6232,952,0,0,44,-72,0,0,-72,-84,0,-84,0,0,0,-218,0,0,0,0,0,0,0,0
1966:Q1,191,170,-4784,76,0,-3376,0,-692,0,-480,-2204,604,4,-2088,84,-88,0,0,-88,-4908,-4884,0,0,-5032,-3696,-1336,-4,40,32,80,0,0,80,-24,0,-24,0,0,0,-103,0,0,0,0,0,0,0,0
1966:Q2,198,177,5656,64,0,2792,0,-364,0,1140,2016,664,4,2136,88,-92,0,0,-92,5588,5564,0,0,5504,4148,1356,4,40,-68,84,0,0,84,24,0,24,0,0,0,-47,0,0,0,0,0,0,0,0
1966:Q3,205,182,-5844,72,0,-2832,0,300,0,-1176,-1956,-1592,0,-1492,96,-96,0,0,-96,-5912,-5936,0,0,-6432,-7440,1008,4,40,32,420,0,0,420,24,0,24,0,0,0,-45,0,0,0,0,0,0,0,0
1966:Q4,214,188,9284,80,0,6560,0,3396,0,564,2600,180,8,2464,88,-96,0,0,-96,9300,9184,0,0,9316,9364,-48,-28,40,12,-156,0,0,-156,116,0,116,0,0,0,42,0,0,0,0,0,0,0,0
1967:Q1,213,208,-48,248,0,576,0,1592,0,1272,-2288,2116,4,-2988,28,-32,0,0,-32,-152,-164,0,0,364,-2944,3308,0,40,152,-720,0,0,-720,12,0,12,0,0,0,-99,0,0,0,0,0,0,0,0
1967:Q2,287,209,224,264,0,-4156,0,-5720,0,-580,2144,2016,0,2100,36,-36,0,0,-36,0,12,0,0,152,-1996,2148,-4,40,-96,-80,0,0,-80,-12,0,-12,0,0,0,-146,0,0,0,0,0,0,0,0
1967:Q3,332,208,5488,152,0,1168,0,1100,0,-676,744,3756,0,412,32,-32,0,0,-32,5196,5212,0,0,5408,4300,1108,0,40,144,-380,0,0,-380,-16,0,-16,0,0,0,-168,0,0,0,0,0,0,0,0
1967:Q4,327,214,7072,160,0,1024,0,-8,0,148,884,4968,0,920,36,-36,0,0,-36,6752,6796,0,0,6752,4420,2332,4,40,24,-24,0,0,-24,-44,0,-44,0,0,0,-207,0,0,0,0,0,0,0,0
