1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,3045,2263,138,444,200,3045,2361,684,-133,817,0,3045,325,0,0,-11,-64,2,7,44,24,2001,1906,0,0,95,2,615,10,15,31,0,0,31,0,0,1,0,0,0,0,1,0,32,0
1954:Q3,3391,2722,140,458,71,3391,2797,594,-69,663,0,3391,290,0,0,137,104,12,6,15,23,2142,2182,0,0,-40,0,651,11,16,20,0,0,20,0,0,8,0,0,0,0,8,0,93,0
1954:Q4,3823,3020,213,531,59,3823,3035,788,420,368,0,3823,316,1,0,109,70,11,7,21,21,2361,2368,0,2,-9,-2,893,14,16,19,0,0,19,0,0,8,0,0,0,0,8,0,67,0
1955:Q1,3676,2881,117,452,226,3676,2910,766,299,467,0,3676,373,3,0,32,77,-90,12,33,17,2253,2148,0,7,98,1,792,17,17,63,0,0,63,0,0,8,0,0,0,0,8,0,100,0
1955:Q2,4400,3460,207,498,235,4400,3314,1086,193,893,0,4400,293,4,0,94,46,-5,12,41,14,2956,2907,0,11,38,2,750,19,17,73,9,0,64,0,0,9,0,0,0,0,9,0,169,0
1955:Q3,4240,3335,190,556,159,4240,3302,938,227,711,0,4240,226,4,0,21,-24,-3,12,36,13,2853,2859,0,11,-17,3,759,22,18,66,21,0,45,0,0,10,0,0,0,0,10,0,245,0
1955:Q4,3927,2904,311,556,156,3927,2808,1119,840,279,0,3927,410,3,0,50,-6,0,13,43,15,2112,2105,0,9,-2,3,1168,25,17,100,56,0,44,0,0,11,0,0,0,0,11,0,13,0
1956:Q1,3435,2420,167,579,269,3435,2691,744,234,510,0,3435,474,2,0,3,-28,1,10,20,16,1872,1868,0,6,-2,4,951,28,18,141,71,0,70,0,0,11,0,0,0,0,11,0,-85,0
1956:Q2,4067,2971,170,628,298,4067,3102,965,103,862,0,4067,475,1,0,9,-31,1,10,29,14,2469,2338,0,4,127,3,896,32,16,148,77,0,71,0,0,11,0,0,0,0,11,0,-7,0
1956:Q3,3779,2847,145,617,170,3779,3065,714,83,631,0,3779,302,1,0,-3,-42,8,10,21,19,2335,2385,0,3,-53,2,820,34,19,169,118,0,51,0,0,5,0,0,0,0,5,0,76,0
