1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q2,46208,-4,3188,41600,39912,612,48,1028,508,916,46312,26960,1340,1220,120,11428,-2352,7376,3092,3776,3924,100,-12,-236,-88,-28,304,0,0,0,108,168,0,44,0,0,1560,-104
1965:Q3,30720,172,2936,29572,30896,-2372,64,984,-924,-1036,34786,45984,988,880,108,-15630,6356,-3464,-1880,-2320,-2632,140,-8,180,-84,68,544,0,4,0,-40,200,0,44,0,0,552,-4066
1965:Q4,44588,336,1248,42992,42864,-1140,144,1124,404,-392,45740,32592,6568,6484,84,-2868,3556,6692,3268,1132,912,-104,-8,332,-64,828,1156,0,20,0,128,216,0,8,0,0,-800,-1152
1966:Q1,31452,564,5124,27412,26912,-556,220,836,-884,-764,15680,25320,-5628,-5640,12,-6236,2104,-1852,-1548,712,748,0,20,-56,-12,-1720,516,0,32,0,-116,208,0,76,0,0,1972,15772
1966:Q2,47268,504,4012,41448,38620,1568,292,968,804,500,41498,14264,-2888,-2860,-28,23390,984,3804,1104,2272,2180,240,36,-184,24,96,-196,0,40,0,232,168,0,64,0,0,1944,5770
1966:Q3,11168,224,1084,11216,9120,972,312,812,-1160,-196,14056,22888,-1888,-1856,-32,-15128,1744,216,1560,-1844,-1880,260,40,-264,28,248,192,0,56,0,-232,136,0,72,0,0,6224,-2888
1966:Q4,35796,808,4100,28832,27368,396,280,788,1208,848,39106,18476,6492,6484,8,-4626,2432,10456,208,7580,7524,100,32,-76,-8,1552,744,0,76,0,128,96,0,80,0,0,5876,-3310
1967:Q1,52948,604,2240,49860,48912,-216,292,872,1816,-1572,51834,50996,2936,2844,92,-3694,6980,-4012,-5588,1464,292,776,44,352,-32,-956,748,0,156,0,-140,88,0,248,0,0,-1372,1114
1967:Q2,48872,368,5812,41364,38112,1664,312,1276,1740,-412,45040,37788,-2168,-2288,120,3588,2112,3464,440,1748,1044,344,52,308,-64,304,632,0,100,0,-40,80,0,264,0,0,256,3832
1967:Q3,75916,436,1096,76804,74480,900,304,1120,-2432,12,80732,54624,8156,8008,148,2624,3220,5040,36,3816,2476,948,56,336,-56,188,760,0,72,0,-40,112,0,152,0,0,7068,-4816
1967:Q4,59024,20,7656,50016,48316,572,268,860,456,876,58262,37352,6384,6216,168,-858,352,10768,4864,3996,3292,524,48,132,-24,580,788,0,56,0,232,116,0,160,0,0,4264,762
1968:Q1,41920,684,5208,35756,32036,2376,220,1124,-516,788,37990,36896,4384,4260,124,-8090,-384,2948,452,3232,1772,1148,20,292,48,-1648,396,0,36,0,-212,108,0,536,0,0,2236,3930
1968:Q2,32376,-364,1136,26856,21632,3592,84,1548,388,4360,21798,14916,-2588,-2760,172,1338,3512,36,-2032,-44,-1268,1216,24,-16,108,244,984,0,20,0,92,64,0,600,0,0,4584,10578
1968:Q3,88820,132,5720,82960,84768,-2992,184,1000,-588,596,100804,61196,4004,3828,176,15620,516,13380,4416,6216,6524,224,24,-556,108,836,860,0,388,0,12,48,0,496,0,0,6088,-11984
1968:Q4,64640,216,1564,61696,55316,4696,520,1164,520,644,44590,43376,5300,5152,148,-14314,6584,4860,1356,956,1388,-64,24,-392,44,992,908,0,128,0,120,88,0,268,0,0,-1216,20050
1969:Q1,16656,124,4296,11912,336,9052,944,1580,-556,880,16444,10164,3116,3008,108,-3972,-3764,-3700,-2556,-220,-1656,1480,32,-76,-4,-1340,436,0,-232,0,52,76,0,88,0,0,14600,212
1969:Q2,30744,-360,-1388,30664,25940,1804,1472,1448,136,1692,13244,8200,-3952,-4032,80,5344,-6020,-5468,-2044,-3580,-3756,1240,36,-1100,-56,-520,980,0,-364,0,88,96,0,-68,0,0,15140,17500
1969:Q3,-1488,100,7460,-8340,-13868,2788,1380,1360,-1548,840,16916,2716,-352,-416,64,5572,-10092,11828,5284,4648,4444,832,36,-664,-64,248,700,0,328,0,712,144,0,-172,0,0,7244,-18404
1969:Q4,41080,348,3900,35596,40840,-7232,664,1324,600,636,38260,6800,596,532,64,2432,3832,2556,-884,2060,2216,-112,36,-80,-40,1420,916,0,-244,0,-656,148,0,-164,0,0,22044,2820
1970:Q1,54860,208,8948,44456,25688,17088,700,980,-220,1468,46462,23668,4040,3128,912,16950,5144,-280,676,-496,-3108,2708,84,-180,68,-628,888,0,-420,0,-280,168,0,-256,0,0,-3060,8398
1970:Q2,74116,344,3604,69628,68552,-784,488,1372,1388,-848,79118,58060,2820,1112,1708,1370,12464,5964,-3632,8972,7132,2164,116,-440,136,-384,436,0,564,0,52,208,0,-388,0,0,-1560,-5002
1970:Q3,118912,352,6060,112744,105108,5324,388,1924,24,-268,116060,108820,1528,-176,1704,-3024,9520,6808,1152,4328,2104,1044,120,1060,144,196,1372,0,-296,0,28,260,0,-376,0,0,-7592,2852
1970:Q4,21260,300,-376,18488,16804,-1424,400,2708,3964,-1116,26726,8492,6676,4964,1712,-1606,9024,17712,5640,8728,6396,360,92,1880,96,1312,1176,0,640,0,52,300,0,-232,0,0,-13572,-5466
1971:Q1,154580,484,14412,136728,128644,5724,-172,2532,4380,-1424,137974,131668,5624,3912,1712,-5762,15544,3992,-6700,9896,6776,1948,84,1088,92,-836,1380,0,-64,0,52,304,0,-132,0,0,-13092,16606
1971:Q2,111804,600,5584,112048,101996,7484,-144,2712,-5252,-1176,113640,87044,12168,10460,1708,10872,2732,5936,304,4648,-752,4728,140,532,84,-268,816,0,60,0,-72,288,0,76,0,0,-5112,-1836
1971:Q3,84932,508,4928,82316,77696,244,1476,2900,-2648,-172,91540,79228,-420,-2156,1736,-3268,7432,5424,-360,3140,480,908,256,1496,72,100,1220,0,96,0,772,272,0,112,0,0,3144,-6608
1971:Q4,49596,320,7656,36824,37112,-4508,876,3344,1356,3440,63900,25736,2056,264,1792,6264,6864,22344,5896,14100,16092,-3020,28,1000,60,1024,1200,0,288,0,-536,272,0,40,0,0,636,-14304
1972:Q1,124768,1072,-540,121628,127044,-7456,-440,2480,876,1732,117198,97272,15488,13648,1840,-12374,8072,7344,-2720,10864,14508,-3416,188,-416,48,-2396,1404,0,184,0,-320,264,0,16,0,0,1396,7570
1972:Q2,102168,684,124,102772,98140,2940,-428,2120,-1048,-364,108888,86680,5592,3680,1912,-3112,3556,9948,-1100,8352,4156,5208,248,-1260,40,656,1464,0,152,0,100,264,0,20,0,0,6224,-6720
1972:Q3,115836,536,-11180,122452,110952,5792,1364,4344,-1208,5236,105356,81320,4772,2868,1904,-5528,7936,7840,4600,776,-6128,3236,212,3456,24,376,1760,0,32,0,20,260,0,-8,0,0,9016,10480
1972:Q4,107948,452,17308,85704,86808,-6600,1368,4128,416,4068,122020,81744,4324,2508,1816,16180,10616,4352,5504,-6528,-3760,-3628,28,832,12,2236,2276,0,680,0,8,256,0,-92,0,0,4804,-14072
1973:Q1,152488,428,12080,134544,131704,-412,168,3084,-1028,6464,145944,105932,17224,15084,2140,10256,10012,6196,-7232,13280,13396,1040,20,-1176,0,-1828,1916,0,-168,0,140,252,0,-164,0,0,-3676,6544
1973:Q2,111548,444,-948,106624,87924,15860,-504,3344,648,4780,127128,87456,12712,10548,2164,-8988,3768,17332,-1376,16352,4440,11928,24,-40,-24,-92,1872,0,708,0,-96,248,0,-260,0,0,14848,-15580
1973:Q3,79156,332,7584,73756,74064,-4132,1236,2588,-1100,-1416,52844,42856,2272,68,2204,-25908,10620,23124,15012,4648,11676,-7660,552,80,-20,-264,3088,0,668,0,16,248,0,-272,0,0,-120,26312
1973:Q4,90404,408,6912,68244,54636,10088,992,2528,2268,12572,111620,59220,5556,3368,2188,19500,3644,10100,-12804,17828,8832,8944,548,-496,-8,2540,1848,0,336,0,332,240,0,-212,0,0,13600,-21216
1974:Q1,134324,388,6348,116480,104132,9876,-164,2636,1128,9980,142402,93768,12728,8876,3852,-894,3400,9860,-432,10448,8896,1248,-476,780,28,-2308,2264,0,-392,268,-104,232,0,-144,0,0,23540,-8078
1974:Q2,182708,444,13520,146580,113048,30748,-176,2960,148,22016,168586,73360,4248,1404,2844,-8402,14660,73032,5024,64020,33304,30088,-480,1108,48,-168,2660,0,968,572,-216,232,0,-108,0,0,11688,14122
1974:Q3,46052,580,11708,34352,43352,-11888,328,2560,-4,-584,34012,19768,9224,8476,748,-8256,-2752,-1420,13652,-21336,2528,-22960,-220,-684,56,204,2844,0,620,2304,88,228,0,-80,0,0,17448,12040
1974:Q4,75824,732,-7008,68424,46848,17428,280,3868,1320,12356,89054,57776,-380,412,-792,2394,7232,268,-26484,16808,2468,12636,448,1256,84,1984,3596,0,616,3336,180,224,0,-76,0,0,21764,-13230
1975:Q1,114032,804,24372,79344,86520,-13552,1000,5376,1984,7528,126088,94520,26600,26348,252,11344,-6704,16284,2904,8284,16996,-10648,32,1904,-676,-1540,3192,0,1324,2824,-200,220,0,-48,0,0,-15956,-12056
1975:Q2,147780,936,-7048,134396,113376,14224,1016,5780,-672,20168,167576,121260,14400,13832,568,-6004,2072,28220,-2476,26460,8816,15032,32,2580,172,-268,3780,0,-432,824,-16,216,0,-40,0,0,7628,-19796
1975:Q3,87420,988,14572,74128,71600,-3636,1100,5064,-1904,-364,60654,50332,14944,13788,1156,-294,-2932,-12244,5852,-18856,-8016,-8652,188,-2376,288,-1008,3796,0,-1528,-896,-104,216,0,-4,0,0,10848,26766
1975:Q4,129104,1136,10360,94032,68512,18636,1124,5760,1668,21908,137530,73176,6144,4580,1564,7950,1572,41612,424,34788,17144,18016,196,-568,616,2520,3356,0,-768,-676,308,208,0,36,800,0,7076,-8426
1976:Q1,155744,740,17160,126040,122476,-2192,-100,5856,1836,9968,154578,136104,18812,17236,1576,7306,-2228,1612,-7036,9036,11584,-2300,-96,-152,-780,-2516,3432,0,-464,-1736,16,200,0,660,800,0,-7028,1166
1976:Q2,179244,620,18560,132088,116488,10240,-124,5484,-1044,29020,185740,117572,9620,7348,2272,14336,-4356,41408,6848,29432,23436,6860,-44,-820,516,500,2552,0,352,-144,-80,200,0,432,800,0,7160,-6496
1976:Q3,107272,508,8388,100944,87628,7296,864,5156,828,-3396,93608,70792,3184,-856,4040,1320,6084,6604,-3004,9384,4056,7240,-256,-1656,496,-1356,1460,0,-436,-556,-192,196,0,-188,800,0,5624,13664
1976:Q4,190784,540,-8104,157032,128536,20148,876,7472,3196,38120,200758,114220,22440,16932,5508,1414,5056,34400,-1976,28924,9828,17660,-224,1660,684,2464,1736,0,420,-172,72,192,0,216,1840,0,23228,-9974
1977:Q1,177840,476,12344,172316,172092,-7976,940,7260,-1428,-5868,186778,190100,-3896,-7888,3992,2858,7248,6200,1740,4452,9504,-6656,624,980,-580,-2964,2600,0,-320,-128,-4,188,0,256,960,0,-15732,-8938
1977:Q2,179144,568,20076,139748,116684,15372,960,6732,812,17940,167918,88936,21072,16528,4544,7486,5324,28716,3228,17248,6864,9884,772,-272,520,652,3208,0,1468,456,-40,184,0,192,1600,0,16384,11226
1977:Q3,157568,500,3184,152812,121928,22392,716,7776,-560,1632,158760,114164,14992,9140,5852,-2472,9172,3792,-2464,296,-10960,10296,316,644,-268,452,3656,0,408,-52,192,184,0,-212,1600,0,19112,-1192
1977:Q4,222668,500,-4480,181604,144100,27792,716,8996,2296,42748,242840,75144,39788,32900,6888,-7988,10432,92232,3304,78508,47640,27988,320,2560,1420,2604,3856,0,-428,948,128,176,0,-164,1880,0,33232,-20172
1978:Q1,173296,440,11152,141980,124852,6620,1480,9028,1172,18552,173534,165356,-6124,-11468,5344,-7806,8976,17332,-4040,14704,15072,-2408,320,1720,-2020,-3040,4228,0,1576,3460,-160,168,0,336,2120,0,-4200,-238
1978:Q2,182040,496,28856,162720,138580,15380,1932,6828,2284,-12316,164638,92196,18084,12204,5880,18362,8712,15900,6700,-2180,-3880,5700,328,-4328,572,648,4340,0,1360,1828,136,168,0,-72,2400,0,11384,17402
