1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2007,2375,-605,-232,-184,-48,-536,22,37,199,-794,163,163,0,315,4,311,311,0,0,-78,48,-177,51,0,0,2801,-232,-184,-48,0,0,2238,2375,4,-141,0,-180,39,85,0,22,63,48,3,12,37,0,37,199,0,199,474,474,0,-794
1952:Q1,2712,2148,-40,-1344,-1896,552,1252,60,8,-28,1212,52,52,0,688,12,676,676,0,0,-84,104,-24,-164,0,0,1500,-1344,-1896,552,0,0,1932,2148,12,-228,0,-28,-200,204,0,60,144,104,4,36,8,0,8,-28,0,-28,728,728,0,1212
1952:Q2,-4984,-2556,-2904,-968,-516,-452,-1912,52,-4,136,-2096,-24,-24,0,556,4,552,552,0,0,-80,92,-4,-168,0,0,-2888,-968,-516,-452,0,0,-2740,-2556,4,-188,0,-8,-180,160,0,52,108,92,4,12,-4,0,-4,136,0,136,528,528,0,-2096
1952:Q3,13692,7112,7484,1872,628,1244,5880,-40,-8,128,5800,-268,-268,0,-740,-16,-724,-724,0,0,-164,-92,-12,-60,0,0,7892,1872,628,1244,0,0,7096,7112,-16,0,0,-8,8,-204,0,-40,-164,-92,-4,-68,-8,0,-8,128,0,128,-992,-992,0,5800
1952:Q4,-11896,-7128,-5220,4,916,-912,-5248,24,-12,92,-5352,24,24,0,296,8,288,288,0,0,156,48,136,-28,0,0,-6544,4,916,-912,0,0,-7064,-7128,8,56,0,136,-80,124,0,24,100,48,0,52,-12,0,-12,92,0,92,312,312,0,-5352
1953:Q1,4624,2112,2676,1624,-628,2252,872,-8,0,-128,1008,180,180,0,-240,-8,-232,-232,0,0,76,120,-108,64,0,0,3616,1624,-628,2252,0,0,2080,2112,-8,-24,0,-112,88,92,0,-8,100,120,4,-24,0,0,0,-128,0,-128,-52,-52,0,1008
1953:Q2,-5716,-1308,-4276,-3380,-836,-2544,-868,16,4,244,-1132,-28,-28,0,128,0,128,128,0,0,-260,-112,48,-196,0,0,-4584,-3380,-836,-2544,0,0,-1448,-1308,0,-140,0,48,-188,-104,0,16,-120,-112,0,-8,4,0,4,244,0,244,100,100,0,-1132
1953:Q3,6620,908,5928,1436,336,1100,4336,-4,4,116,4220,156,156,0,-100,0,-100,-100,0,0,-116,-4,0,-112,0,0,2400,1436,336,1100,0,0,836,908,0,-72,0,0,-72,-48,0,-4,-44,-4,0,-40,4,0,4,116,0,116,56,56,0,4220
1953:Q4,-5624,-872,-5404,-264,1000,-1264,-4468,32,4,128,-4632,-672,-672,0,304,8,296,296,0,0,348,56,32,260,0,0,-992,-264,1000,-1264,0,0,-636,-872,8,228,0,24,204,152,0,32,120,56,8,56,4,0,4,128,0,128,-376,-376,0,-4632
1954:Q1,-4780,-2424,-2256,-1124,-1600,476,-808,0,0,48,-856,-324,-324,0,-32,0,-32,-32,0,0,-68,4,-40,-32,0,0,-3924,-1124,-1600,476,0,0,-2476,-2424,0,-52,0,-36,-16,-16,0,0,-16,4,-4,-16,0,0,0,48,0,48,-356,-356,0,-856
1954:Q2,780,212,252,-312,128,-440,600,16,-4,228,360,-36,-36,0,160,0,160,160,0,0,156,36,72,48,0,0,420,-312,128,-440,0,0,332,212,0,120,0,64,56,52,0,16,36,36,8,-8,-4,0,-4,228,0,228,124,124,0,360
1954:Q3,2232,-1576,3548,384,-224,608,3044,12,-4,304,2732,120,120,0,104,8,96,96,0,0,156,24,108,24,0,0,-500,384,-224,608,0,0,-1408,-1576,8,160,0,108,52,8,0,12,-4,24,0,-28,-4,0,-4,304,0,304,216,216,0,2732
1954:Q4,-3872,-1348,-3592,532,1188,-656,-4120,48,-16,224,-4376,-4,-4,0,636,16,620,620,0,0,432,100,108,224,0,0,504,532,1188,-656,0,0,-1064,-1348,16,268,0,104,164,212,0,48,164,100,4,60,-16,0,-16,224,0,224,616,616,0,-4376
1955:Q1,36,-384,904,1328,-1024,2352,-432,-20,4,-72,-344,8,8,0,-224,-8,-216,-216,0,0,-260,-32,-136,-92,0,0,380,1328,-1024,2352,0,0,-584,-384,-8,-192,0,-132,-60,-88,0,-20,-68,-32,-4,-32,4,0,4,-72,0,-72,-208,-208,0,-344
1955:Q2,136,-716,84,-900,1192,-2092,876,32,4,212,628,108,108,0,448,8,440,440,0,0,320,60,84,176,0,0,-492,-900,1192,-2092,0,0,-448,-716,8,260,0,80,180,92,0,32,60,60,4,-4,4,0,4,212,0,212,548,548,0,628
1955:Q3,6480,2268,4436,2048,-248,2296,2260,-12,8,268,1996,128,128,0,-196,0,-196,-196,0,0,-28,-32,-84,88,0,0,4484,2048,-248,2296,0,0,2320,2268,0,52,0,-84,136,-92,0,-12,-80,-32,0,-48,8,0,8,268,0,268,-68,-68,0,1996
1955:Q4,-1100,-652,-1092,1020,3188,-2168,-2044,8,12,160,-2224,-68,-68,0,188,0,188,188,0,0,456,28,36,392,0,0,1124,1020,3188,-2168,0,0,-256,-652,0,396,0,40,356,68,0,8,60,28,-4,36,12,0,12,160,0,160,120,120,0,-2224
1956:Q1,-1216,-112,-1072,-772,-3168,2396,-548,12,16,200,-776,248,248,0,132,0,132,132,0,0,-164,32,-44,-152,0,0,-440,-772,-3168,2396,0,0,-300,-112,0,-188,0,-48,-140,36,0,12,24,32,4,-12,16,0,16,200,0,200,380,380,0,-776
1956:Q2,-992,-328,-1320,-244,1652,-1896,-400,44,20,176,-640,-676,-676,0,504,20,484,484,0,0,152,88,-64,128,0,0,-352,-244,1652,-1896,0,0,-252,-328,20,56,0,-72,128,140,0,44,96,88,8,0,20,0,20,176,0,176,-192,-192,0,-640
1956:Q3,6576,1128,4600,780,-584,1364,2896,40,24,176,2656,924,924,0,472,8,464,464,0,0,376,84,228,64,0,0,3920,780,-584,1364,0,0,1432,1128,8,296,0,220,76,120,0,40,80,84,8,-12,24,0,24,176,0,176,1388,1388,0,2656
1956:Q4,-1752,-472,-1612,228,2420,-2192,-1588,20,24,220,-1852,-252,-252,0,196,8,188,188,0,0,136,36,-248,348,0,0,100,228,2420,-2192,0,0,-408,-472,8,56,0,-252,308,100,0,20,80,36,4,40,24,0,24,220,0,220,-64,-64,0,-1852
1957:Q1,-4388,-1288,-3020,-1164,-3432,2268,-1612,-8,28,156,-1788,-244,-244,0,-128,0,-128,-128,0,0,48,-16,40,24,0,0,-2600,-1164,-3432,2268,0,0,-1212,-1288,0,76,0,24,52,-36,0,-8,-28,-16,16,-28,28,0,28,156,0,156,-372,-372,0,-1788
1957:Q2,2812,864,1212,1816,888,928,-168,24,32,100,-324,-436,-436,0,468,24,444,444,0,0,268,60,40,168,0,0,3136,1816,888,928,0,0,1084,864,24,196,0,24,172,96,0,24,72,60,16,-4,32,0,32,100,0,100,8,8,0,-324
1957:Q3,2956,560,2668,-368,-176,-192,3248,-12,32,112,3116,-212,-212,0,-88,0,-88,-88,0,0,-184,-20,-12,-152,0,0,-160,-368,-176,-192,0,0,420,560,0,-140,0,-32,-108,-56,0,-12,-44,-20,20,-44,32,0,32,112,0,112,-300,-300,0,3116
1957:Q4,-4276,-236,-4292,-1148,1756,-2904,-2904,0,20,288,-3212,-240,-240,0,156,16,140,140,0,0,96,16,76,4,0,0,-1064,-1148,1756,-2904,0,0,-204,-236,16,16,0,44,-28,80,0,0,80,16,32,32,20,0,20,288,0,288,-100,-100,0,-3212
1958:Q1,-6328,-792,-5492,-2608,-2880,272,-3164,16,24,484,-3688,280,280,0,204,4,200,200,0,0,-248,28,-108,-168,0,0,-2640,-2608,-2880,272,0,0,-984,-792,4,-196,0,-56,-140,-36,0,16,-52,28,-52,-28,24,0,24,484,0,484,480,480,0,-3688
1958:Q2,-60,-80,-1160,408,368,40,-2024,44,24,360,-2452,456,456,0,604,20,584,584,0,0,576,80,140,356,0,0,2392,408,368,40,0,0,472,-80,20,532,0,196,336,88,0,44,44,80,-56,20,24,0,24,360,0,360,1040,1040,0,-2452
1958:Q3,6340,-636,6688,1448,612,836,5440,12,16,400,5012,-200,-200,0,172,12,160,160,0,0,116,24,48,44,0,0,1328,1448,612,836,0,0,-492,-636,12,132,0,44,88,-4,0,12,-16,24,4,-44,16,0,16,400,0,400,-40,-40,0,5012
1958:Q4,-2020,-612,-1472,224,1388,-1164,-1004,-4,4,292,-1296,-692,-692,0,16,0,16,16,0,0,48,0,-16,64,0,0,-724,224,1388,-1164,0,0,-640,-612,0,-28,0,-20,-8,72,0,-4,76,0,4,72,4,0,4,292,0,292,-676,-676,0,-1296
1959:Q1,2344,696,1824,-96,-2200,2104,1256,0,-12,192,1076,664,664,0,-100,-12,-88,-88,0,0,-76,88,-148,-16,0,0,1268,-96,-2200,2104,0,0,532,696,-12,-152,0,-144,-8,76,0,0,76,88,-4,-8,-12,0,-12,192,0,192,576,576,0,1076
1959:Q2,968,-1136,1972,1680,400,1280,324,0,-36,80,280,-32,-32,0,-108,-12,-96,-96,0,0,240,132,-8,116,0,0,688,1680,400,1280,0,0,-1040,-1136,-12,108,0,-8,116,132,0,0,132,132,0,0,-36,0,-36,80,0,80,-128,-128,0,280
1959:Q3,2092,68,1880,-1832,420,-2252,3948,4,-36,-48,4028,-236,-236,0,-72,-12,-60,-60,0,0,216,112,76,28,0,0,-1936,-1832,420,-2252,0,0,200,68,-12,144,0,80,64,76,0,4,72,112,-4,-36,-36,0,-36,-48,0,-48,-296,-296,0,4028
1959:Q4,-1480,-948,32,3052,2556,496,-3556,8,-32,96,-3628,536,536,0,-560,-16,-544,-544,0,0,-4,-240,48,188,0,0,2148,3052,2556,496,0,0,-800,-948,-16,164,0,48,116,-160,0,8,-168,-240,0,72,-32,0,-32,96,0,96,-8,-8,0,-3628
1960:Q1,-448,448,-1152,-1620,-3068,1448,-4,44,4,-92,40,472,472,0,448,-40,488,488,0,0,-192,68,-76,-184,0,0,-488,-1620,-3068,1448,0,0,220,448,-40,-188,0,-76,-112,40,0,44,-4,68,0,-72,4,0,4,-92,0,-92,960,960,0,40
1960:Q2,-3588,-2196,-2036,-2012,180,-2192,-1144,52,16,-64,-1148,1120,1120,0,456,-36,492,492,0,0,188,116,40,32,0,0,-2440,-2012,180,-2192,0,0,-2184,-2196,-36,48,0,32,16,192,0,52,140,116,8,16,16,0,16,-64,0,-64,1612,1612,0,-1148
1960:Q3,10200,4056,5512,1780,476,1304,3196,52,24,56,3064,536,536,0,500,-32,532,532,0,0,132,36,72,24,0,0,7136,1780,476,1304,0,0,4128,4056,-32,104,0,68,36,80,0,52,28,36,4,-12,24,0,24,56,0,56,1068,1068,0,3064
1960:Q4,-7216,-6680,-1496,1252,3524,-2272,-2312,56,24,224,-2616,-436,-436,0,500,-36,536,536,0,0,460,72,100,288,0,0,-4600,1252,3524,-2272,0,0,-6440,-6680,-36,276,0,96,180,240,0,56,184,72,4,108,24,0,24,224,0,224,100,100,0,-2616
1961:Q1,-5784,-1804,-5148,-4044,-4368,324,-1328,-8,32,360,-1712,224,224,0,932,36,896,896,0,0,236,124,-56,168,0,0,-4072,-4044,-4368,324,0,0,-1856,-1804,36,-88,0,-52,-36,316,0,-8,324,124,-4,204,32,0,32,360,0,360,1120,1120,0,-1712
1961:Q2,3452,1276,788,1380,1664,-284,-1224,-8,40,360,-1616,632,632,0,932,40,892,892,0,0,456,140,64,252,0,0,5068,1380,1664,-284,0,0,1672,1276,40,356,0,68,288,92,0,-8,100,140,-4,-36,40,0,40,360,0,360,1524,1524,0,-1616
1961:Q3,4464,236,4080,704,516,188,3344,24,40,424,2856,32,32,0,28,-12,40,40,0,0,120,-32,68,84,0,0,1608,704,516,188,0,0,388,236,-12,164,0,64,100,-20,0,24,-44,-32,4,-16,40,0,40,424,0,424,72,72,0,2856
1961:Q4,5356,1516,3992,4132,4000,132,408,260,32,376,-260,-548,-548,0,-896,172,-1068,-1068,0,0,744,-96,380,460,0,0,5616,4132,4000,132,0,0,2532,1516,172,844,0,360,484,160,0,260,-100,-96,20,-24,32,0,32,376,0,376,-1616,-1616,0,-260
1962:Q1,-7696,440,-8192,-5308,-5528,220,-3516,-152,20,408,-3792,632,632,0,-16,-104,88,88,0,0,72,-4,-324,400,0,0,-3904,-5308,-5528,220,0,0,484,440,-104,148,0,-308,456,-228,0,-152,-76,-4,-16,-56,20,0,20,408,0,408,720,720,0,-3792
1962:Q2,920,-160,900,1668,2176,-508,-764,-156,12,8,-628,-4,-4,0,-16,-104,88,88,0,0,196,24,8,164,0,0,1548,1668,2176,-508,0,0,-120,-160,-104,144,0,20,124,-104,0,-156,52,24,-12,40,12,0,12,8,0,8,84,84,0,-628
1962:Q3,7948,1224,6968,3592,716,2876,3632,40,8,120,3464,-256,-256,0,20,-44,64,64,0,0,-264,-12,-84,-168,0,0,4484,3592,716,2876,0,0,940,1224,-44,-240,0,-84,-156,16,0,40,-24,-12,0,-12,8,0,8,120,0,120,-192,-192,0,3464
1962:Q4,-3312,-1236,-3500,2148,5048,-2900,-4548,160,8,156,-4872,-1100,-1100,0,436,368,68,68,0,0,988,56,340,592,0,0,1560,2148,5048,-2900,0,0,28,-1236,368,896,0,324,572,252,0,160,92,56,16,20,8,0,8,156,0,156,-1032,-1032,0,-4872
1963:Q1,-6092,-1172,-4568,-6092,-6720,628,-236,-52,12,312,-508,1760,1760,0,256,-128,384,384,0,0,-608,12,-196,-424,0,0,-5584,-6092,-6720,628,0,0,-1956,-1172,-128,-656,0,-192,-464,-4,0,-52,48,12,-4,40,12,0,12,312,0,312,2144,2144,0,-508
1963:Q2,1560,256,640,1268,1660,-392,16,-44,8,-64,116,-644,-644,0,248,-132,380,380,0,0,416,52,228,136,0,0,1444,1268,1660,-392,0,0,488,256,-132,364,0,232,132,8,0,-44,52,52,-4,4,8,0,8,-64,0,-64,-264,-264,0,116
1963:Q3,2520,-8,2304,664,-812,1476,1760,120,8,184,1448,-120,-120,0,280,52,228,228,0,0,-56,12,-60,-8,0,0,1072,664,-812,1476,0,0,-8,-8,52,-52,0,-64,12,116,0,120,-4,12,4,-20,8,0,8,184,0,184,108,108,0,1448
1963:Q4,1336,-696,604,2924,4660,-1736,-1920,92,12,224,-2248,-400,-400,0,120,180,-60,-60,0,0,1308,48,424,836,0,0,3584,2924,4660,-1736,0,0,732,-696,180,1248,0,416,832,152,0,92,60,48,8,4,12,0,12,224,0,224,-460,-460,0,-2248
1964:Q1,504,1416,-1916,-4316,-4412,96,1800,-32,12,184,1636,600,600,0,260,28,232,232,0,0,744,52,-176,868,0,0,-1132,-4316,-4412,96,0,0,2088,1416,28,644,0,-172,816,68,0,-32,100,52,-4,52,12,0,12,184,0,184,832,832,0,1636
1964:Q2,-1576,-740,-1804,640,544,96,-1844,-36,12,308,-2128,-600,-600,0,252,28,224,224,0,0,716,80,268,368,0,0,552,640,544,96,0,0,-68,-740,28,644,0,268,376,36,0,-36,72,80,0,-8,12,0,12,308,0,308,-376,-376,0,-2128
1964:Q3,5076,1708,2308,-208,-264,56,2280,56,12,192,2020,236,236,0,544,-184,728,728,0,0,516,124,-312,704,0,0,3056,-208,-264,56,0,0,1884,1708,-184,360,0,-316,676,212,0,56,156,124,4,28,12,0,12,192,0,192,964,964,0,2020
1964:Q4,2124,820,-72,4408,4156,252,-4716,232,4,348,-5300,236,236,0,732,64,668,668,0,0,644,120,232,292,0,0,7424,4408,4156,252,0,0,1452,820,64,568,0,224,344,308,0,232,76,120,8,-52,4,0,4,348,0,348,904,904,0,-5300
1965:Q1,3724,32,1472,-6156,-5968,-188,6088,-140,0,-92,6320,1540,1540,0,1068,24,1044,1044,0,0,1152,144,-240,1248,0,0,-2596,-6156,-5968,-188,0,0,932,32,24,876,0,-240,1116,136,0,-140,276,144,0,132,0,0,0,-92,0,-92,2584,2584,0,6320
1965:Q2,4044,1704,1740,3088,940,2148,-1232,32,-12,-236,-1016,-116,-116,0,1080,36,1044,1044,0,0,-480,128,108,-716,0,0,5060,3088,940,2148,0,0,1192,1704,36,-548,0,108,-656,100,0,32,68,128,0,-60,-12,0,-12,-236,0,-236,928,928,0,-1016
1965:Q3,-5812,-1008,-2792,-1868,224,-2092,-1356,248,-8,180,-1776,432,432,0,-1560,-176,-1384,-1384,0,0,-452,-128,-200,-124,0,0,-4036,-1868,224,-2092,0,0,-1528,-1008,-176,-344,0,-212,-132,140,0,248,-108,-128,12,8,-8,0,-8,180,0,180,-952,-952,0,-1776
1965:Q4,-456,884,-136,3264,3372,-108,-2604,56,-8,332,-2984,-796,-796,0,-1340,172,-1512,-1512,0,0,136,-124,112,148,0,0,2528,3264,3372,-108,0,0,1352,884,172,296,0,108,188,-104,0,56,-160,-124,4,-40,-8,0,-8,332,0,332,-2308,-2308,0,-2984
1966:Q1,5516,1172,5200,-1508,-3440,1932,5396,-76,20,-56,5508,1312,1312,0,-580,-60,-520,-520,0,0,-276,16,-48,-244,0,0,8,-1508,-3440,1932,0,0,760,1172,-60,-352,0,-56,-296,0,0,-76,76,16,8,52,20,0,20,-56,0,-56,792,792,0,5508
1966:Q2,2864,204,2304,1108,2276,-1168,868,24,36,-184,992,328,328,0,260,-56,316,316,0,0,96,220,-60,-64,0,0,1872,1108,2276,-1168,0,0,28,204,-56,-120,0,-64,-56,240,0,24,216,220,4,-8,36,0,36,-184,0,-184,644,644,0,992
1966:Q3,8104,-1672,8196,1528,-1240,2768,1732,84,40,-264,1872,4936,4936,0,1008,216,792,792,0,0,572,104,-4,472,0,0,6232,1528,-1240,2768,0,0,-1060,-1672,216,396,0,-8,404,260,0,84,176,104,4,68,40,0,40,-264,0,-264,5728,5728,0,1872
1966:Q4,9168,5684,2008,228,3452,-3224,-2256,44,32,-76,-2256,4036,4036,0,808,184,624,624,0,0,668,28,116,524,0,0,11424,228,3452,-3224,0,0,6480,5684,184,612,0,116,496,100,0,44,56,28,0,28,32,0,32,-76,0,-76,4660,4660,0,-2256
1967:Q1,-9400,-1548,-7592,-5576,-5000,-576,480,784,44,352,-700,-2496,-2496,0,-64,188,-252,-252,0,0,-196,-104,124,-216,0,0,-8700,-5576,-5000,-576,0,0,-1548,-1548,188,-188,0,120,-308,776,0,784,-8,-104,4,92,44,0,44,352,0,352,-2748,-2748,0,-700
1967:Q2,1432,1284,744,436,340,96,1292,100,52,308,832,-984,-984,0,-68,180,-248,-248,0,0,-528,264,-112,-680,0,0,600,436,340,96,0,0,692,1284,180,-772,0,-116,-656,344,0,100,244,264,4,-24,52,0,52,308,0,308,-1232,-1232,0,832
1967:Q3,7772,1892,4524,32,-440,472,920,792,56,336,-264,3572,3572,0,1140,-236,1376,1376,0,0,216,128,60,28,0,0,8036,32,-440,472,0,0,1716,1892,-236,60,0,48,12,948,0,792,156,128,12,16,56,0,56,336,0,336,4948,4948,0,-264
1967:Q4,10288,3564,6236,4872,4992,-120,636,420,48,132,36,728,728,0,948,-260,1208,1208,0,0,-460,124,156,-740,0,0,10252,4872,4992,-120,0,0,2740,3564,-260,-564,0,144,-708,524,0,420,104,124,12,-32,48,0,48,132,0,132,1936,1936,0,36
1968:Q1,6528,3784,2092,440,-4556,4996,-1064,772,20,292,-2148,2716,2716,0,780,96,684,684,0,0,-128,304,-268,-164,0,0,8676,440,-4556,4996,0,0,3376,3784,96,-504,0,-276,-228,1148,0,772,376,304,8,64,20,0,20,292,0,292,3400,3400,0,-2148
1968:Q2,9832,-1532,9960,-2016,2376,-4392,6848,820,24,-16,6020,5128,5128,0,724,108,616,616,0,0,680,352,36,292,0,0,3812,-2016,2376,-4392,0,0,-1140,-1532,108,284,0,32,252,1216,0,820,396,352,4,40,24,0,24,-16,0,-16,5744,5744,0,6020
1968:Q3,7860,3204,3952,4420,-672,5092,-4076,572,24,-556,-4116,3608,3608,0,528,128,400,400,0,0,176,-396,64,508,0,0,11976,4420,-672,5092,0,0,3856,3204,128,524,0,68,456,224,0,572,-348,-396,-4,52,24,0,24,-556,0,-556,4008,4008,0,-4116
1968:Q4,-496,-2388,1088,1340,6848,-5508,4008,-536,24,-392,4912,-4260,-4260,0,500,20,480,480,0,0,304,488,212,-396,0,0,-5408,1340,6848,-5508,0,0,-2536,-2388,20,-168,0,212,-380,-64,0,-536,472,488,0,-16,24,0,24,-392,0,-392,-3780,-3780,0,4912
1969:Q1,18244,3980,12172,-2556,-5792,3236,400,884,32,-76,-440,14328,14328,0,1492,208,1284,1284,0,0,600,480,-48,168,0,0,18684,-2556,-5792,3236,0,0,4192,3980,208,4,0,-60,64,1480,0,884,596,480,12,104,32,0,32,-76,0,-76,15612,15612,0,-440
1969:Q2,18332,-7440,23908,-2040,-2248,208,11356,932,36,-1100,11488,14592,14592,0,1288,168,1120,1120,0,0,576,216,-108,468,0,0,6844,-2040,-2248,208,0,0,-7004,-7440,168,268,0,-124,392,1240,0,932,308,216,16,76,36,0,36,-1100,0,-1100,15712,15712,0,11488
1969:Q3,6852,5928,-876,5272,3364,1908,-10468,344,36,-664,-10184,4320,4320,0,1364,152,1212,1212,0,0,436,316,232,-112,0,0,17036,5272,3364,1908,0,0,6028,5928,152,-52,0,212,-264,832,0,344,488,316,20,152,36,0,36,-664,0,-664,5532,5532,0,-10184
1969:Q4,12728,-1564,12588,-864,4508,-5372,1280,-100,36,-80,1424,12172,12172,0,1392,180,1212,1212,0,0,312,-20,92,240,0,0,11304,-864,4508,-5372,0,0,-1060,-1564,180,324,132,76,116,-112,0,-100,-12,-152,16,124,36,0,36,-80,0,-80,13384,13384,0,1424
1970:Q1,10536,-660,10072,672,-4812,5484,14188,1268,84,-180,13016,-4788,-4788,0,584,316,268,268,0,0,540,956,-268,-148,0,0,-2480,672,-4812,5484,0,0,-1244,-660,316,-900,-92,-312,-496,2708,0,1268,1440,1048,44,348,84,0,84,-180,0,-180,-4520,-4520,0,13016
