1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q1,1872,-4652,-14632,23508,1848,2540,5288,1360,12472,1836,0,1836,-1556,-9316,-132,-56,8,6864,5248,-2144,27704,-112,-20200
2013:Q2,20700,-4680,5752,22008,1796,2612,5060,1336,11204,1884,0,1884,-12066,-23698,-136,-60,8,31688,23672,-7036,1712,-76,29072
2013:Q3,-46348,-4412,-1096,21608,1804,2140,4616,1432,11616,1976,0,1976,-23049,-21827,-128,-56,8,-19372,-42916,-10100,1636,-108,-34344
2013:Q4,-31448,-4140,-6832,24092,1840,532,3716,1800,16204,2068,0,2068,-4629,-26691,-132,-60,8,-15132,-30124,908,29064,-108,-59988
2014:Q1,-51040,204,-3072,3068,1500,1716,-1660,508,1004,1384,0,1384,-38480,-38784,-1232,108,-4,25768,-54236,-480,-26192,-1160,-26404
2014:Q2,5476,148,-3280,12028,1456,1208,2048,420,6896,1388,0,1388,-44674,-28994,-1232,104,-8,69996,2676,-2288,-22256,-1168,28388
2014:Q3,-47616,188,3224,6280,1532,2144,204,540,1860,1464,4,1460,-5933,-36235,-1236,108,-4,-15472,-49864,-1660,-33688,-1148,-13368
2014:Q4,-8528,160,-5416,8660,1524,6232,-6736,824,6816,1488,-4,1492,-29008,-33872,-1236,104,-8,50600,-11560,-2144,-14008,-1156,5748
2015:Q1,285400,-2292,-6364,118680,-3272,6016,3840,4600,107496,52524,19504,33020,-27065,-25171,-8,4,72,175020,291388,145084,64356,72,81876
2015:Q2,-41484,-2172,280,27860,-3104,1548,7412,312,21692,892,64,828,-16200,-32864,-4,0,72,-19348,-29356,9036,-7200,72,-31264
2015:Q3,-44032,-2060,22028,30436,-2932,4244,-1804,1104,29824,1204,120,1084,102463,-46923,-8,4,76,-151252,-28588,13380,-41232,76,-812
2015:Q4,-61356,-1904,-8176,27852,-1988,512,12532,-4080,20876,7220,-764,7984,43934,-16986,-8,0,72,-113360,-25472,832,49828,72,-76204
2016:Q1,-72016,3652,1120,20984,-2680,10368,4536,3616,5144,760,-160,920,-34743,-43413,0,-128,-60,-20188,-61376,-1712,-51104,-60,-8500
2016:Q2,-67820,3976,-12884,18120,-2504,8716,3788,2960,5160,904,-136,1040,-23572,-52344,0,-124,-64,-1832,-72260,-3092,-58316,-64,-10788
2016:Q3,-28796,4240,1992,17588,-2428,10108,2900,2580,4428,892,-140,1032,-26234,-41126,4,-128,-64,14040,-25656,3244,-18524,-64,-10312
2016:Q4,16080,4552,-532,4084,-2324,2520,2508,556,824,952,-132,1084,-29724,-44112,0,-124,-64,81048,11856,8224,-3868,-64,7564
2017:Q1,-74572,8940,-3092,7188,-5308,-156,-536,-1372,14560,1656,-88,1744,-4182,-75018,0,-12,0,-10052,-63272,-19036,-16880,0,-27356
2017:Q2,-74252,10024,-2312,1108,-4932,-188,-372,-836,7436,1624,-96,1720,-7267,-71669,0,-8,4,-5756,-40172,-16008,292,4,-24460
2017:Q3,-54528,11280,-1384,7416,-4560,-392,-828,-1508,14704,1648,-96,1744,-10869,-68415,0,-16,8,5804,-111860,-25516,-60956,8,-25396
2017:Q4,-41408,12696,-2032,3368,-4208,-80,-516,-1044,9216,1676,-96,1772,-20750,-88494,0,-12,0,52140,-69024,-19952,-26824,0,-22248
2018:Q1,-104760,4960,1488,33624,-2184,1596,8072,620,25520,7512,84,7428,-50745,-93979,0,2912,4,-10536,-104280,4736,-93072,1104,-17048
2018:Q2,-153396,1456,-3776,-21496,-3560,-7376,-8232,-1088,-1240,3692,-484,4176,-49632,-82880,0,2916,8,-3684,-134080,676,-118660,1108,-17204
2018:Q3,-155396,2744,1732,-20736,-2968,-3212,-4740,-252,-9564,5040,-264,5304,-59342,-84714,0,2916,4,-3040,-158204,-2468,-140824,1096,-16008
2018:Q4,-95964,4340,22824,-2572,-2408,-7272,-6232,-328,13668,6824,-16,6840,-56373,-90947,0,2912,4,17024,-96764,3660,-89816,1080,-11688
2019:Q1,-104532,-1540,-12608,36968,-536,2016,11032,2532,21924,4336,-4148,8484,-15696,-70004,0,-64,0,-45924,-100600,-17648,-48496,-100,-34356
2019:Q2,-61056,-1544,2092,48088,-544,792,11228,2968,33644,4832,-4480,9312,9249,-99154,0,-68,-4,-24547,-60264,-12280,-18332,-104,-29548
2019:Q3,-42440,-1968,-704,69196,-676,2076,14396,3364,50036,4876,-4872,9748,4681,-91323,0,-64,-4,-27131,-42588,-9888,-4296,-104,-28300
2019:Q4,-109432,-12192,-1460,-58252,-3828,-8808,-14772,68,-30912,-8436,-5288,-3148,-14647,-84724,0,-64,0,70343,-115800,-19884,-62764,-100,-33052
2020:Q1,-122588,6496,36968,38088,3416,-18568,-22528,1104,74664,-40,0,-40,-21947,-153642,-4,-1936,0,-26571,-105076,-15880,-94940,-568,6312
2020:Q2,-70452,11424,-8056,-15696,5068,7788,11400,1344,-41296,5852,0,5852,-3107,-63010,0,-1944,0,4084,-67184,-10552,-49868,-532,-6232
2020:Q3,-47124,10180,-4092,58980,4760,4872,5704,1284,42360,3688,0,3688,-9486,-97746,-4,-1940,0,-6704,-46928,-7996,-37868,-552,-512
