date,FU316902505.A,FU316300001.A,FU316902605.A,FU316025001.A,FU316020001.A,FU316401005.A,FU316402101.A,FU316140005.A,FU316402101.A,FU316240001.A,FU316402015.A,FU316150195.A,FU316130101.A,FU316121185.A,FU316112101.A,FU316130095.A,FU316140005.A,FU316220001.A,FU316601001.A,FU316404001.A,FU316403105.A,FU316403001.A,FU316012005.A,FU316901001.A,FU316006085.A,FU316006385.A,FU316006085.A,FU315440005.A,FU315050905.A,FU315019001.A,FU316300001.A,FU315420003.A,FU315000995.A,FU315000995.A,FU314090005.A,FU313011105.A,FU313011203.A,FU313011303.A,FU314000005.A,FU313020005.A,FU313030003.A,FU313030505.A,FU314022005.A,FU313061703.A,FU313063005.A,FU314035005.A,FU314041005.A,FU313011545.A,FU313066220.A,FU313069005.A,FU313065005.A,FU313081105.A,FU313064105.A,FU313092803.A,FU313092403.A,FU313094303.A,FU313094205.A,FU313096005.A,FU313070000.A,FU313078000.A,FU314190005.A,FU313111303.A,FU314100005.A,FU314122005.A,FU313161105.A,FU313161705.A,FU314123005.A,FU313152005.A,FU313140003.A,FU313195105.A,FU343073045.A,FU313196005.A,FU713011203.A,FU713014003.A,FU313170005.A,FU313172003.A,FU313193005.A,FU315000005.A,FV318090185.A,FV312010095.A,FV318090085.A,FU317005045.A,FR312010095.A,FR315015605.A,FR315013265.A,FR315013765.A,FR314090005.A,FR313011105.A,FR314000005.A,FR313011545.A,FR313063005.A,FR313069005.A,FR313064105.A,FR313094303.A,FR314190005.A,FR313111303.A,FR313190015.A,FR312090095.A,FC312090095.A,FL312000095.A,LM312010095.A,LM315015605.A,LM315013265.A,LM315013765.A,FL314090005.A,FL313011105.A,LM313011203.A,LM313011303.A,FL314000005.A,FL313020005.A,FL313030003.A,FL313030505.A,FL314022005.A,FL313061703.A,FL313063005.A,FL314035005.A,FL314041005.A,LM313011545.A,FL313066220.A,FL313069005.A,FL313065005.A,FL313081105.A,LM313064105.A,FL313092803.A,FL313092403.A,LM313094303.A,FL313094205.A,FL313096005.A,FL313070000.A,FL313078000.A,FL312000095.A,FL314190005.A,FL313111303.A,FL314100005.A,FL314122005.A,FL313161105.A,FL313161705.A,FL314123005.A,FL313152005.A,FL313140003.A,FL313195105.A,FL343073045.A,FL313196005.A,FL713011203.A,FL713014003.A,FL313170005.A,FL313172003.A,FL313193013.A,FL312090095.A
1960,45007,15167,29840,30536,24045,6491,-696,-271,-696,13072,-1146,2377,1328,897,152,13878,-271,62483,16017,20113,302,7283,51135,50978,157,-700,157,857,7181,21897,15167,451,-7881,-7881,-765,-1703,-1703,0,1145,1043,-23,125,35,35,0,996,801,0,0,801,195,165,0,154,11,0,0,-1403,68,-1471,7773,0,-100,-2059,-1798,-261,951,9985,76,0,9909,-1004,-1689,0,456,0,229,-8538,-469,0,188,657,483,-385,605,264,0,0,0,0,0,0,0,0,-229,0,-229,712,-457,270341,205213,99524,78386,27303,65128,17804,17804,0,12012,7154,262,4596,37,37,0,26678,20878,0,0,20878,5800,1194,0,824,370,0,0,7403,1790,5613,270341,408196,0,6086,189038,188350,688,61034,130595,6426,0,124169,21443,17767,0,3359,0,317,-137855
1961,47057,16034,31023,31916,25070,6846,-892,-1368,-892,13161,-2014,2278,1413,687,178,13901,-1368,63610,16565,23383,357,7779,48002,52734,-4732,-5636,-4732,904,9105,24646,16034,493,-14741,-14741,1778,-857,-857,0,323,-41,22,342,-2,-2,0,1720,1271,58,0,1213,449,165,0,171,-6,0,0,429,-14,443,18061,0,63,6163,5856,307,1941,10549,93,0,10456,-655,-878,0,259,0,-36,-16283,-1024,0,518,1542,1913,1239,468,206,0,0,0,0,0,0,0,0,37,0,36,1876,-4784,283463,215738,103011,82023,30704,67725,16947,16947,0,12335,7055,284,4996,35,35,0,28398,22149,58,0,22091,6249,1359,0,995,364,0,0,8651,1776,6875,283463,426102,0,6149,195201,194206,995,62975,140953,6519,0,134434,20824,16889,0,3618,0,317,-142639
1962,50120,17170,32950,33851,26630,7221,-901,-1558,-901,14131,-2273,2592,1598,799,195,15107,-1558,68345,18626,23802,394,8357,53648,59018,-5370,-6383,-5370,1013,9924,26500,17170,594,-16308,-16308,2451,-890,-890,0,559,954,-15,-380,-35,-35,0,1975,1903,-9,0,1911,72,116,0,122,-6,0,0,727,229,498,18550,0,-137,6091,5548,543,1777,11283,125,0,11158,-464,-911,0,433,0,14,-16099,-579,0,-787,-209,5186,2082,3102,2,0,0,0,0,0,0,0,0,-117,0,-117,5303,-1659,300073,230254,107166,88720,34368,69819,16057,16057,0,12894,8098,269,4527,0,0,0,30373,24052,50,0,24002,6321,1475,0,1117,358,0,0,9021,2005,7016,300073,444371,0,6012,201292,199754,1538,64752,152072,6644,0,145428,20243,15978,0,4051,0,214,-144298
1963,53169,18353,34816,35532,27931,7601,-716,-1732,-716,14686,-2222,2774,1685,880,209,16254,-1732,73024,21106,24968,463,8848,59045,61206,-2161,-3506,-2161,1345,8841,26669,18353,525,-12347,-12347,3335,-461,-461,0,-30,-443,-9,422,29,29,0,1582,1981,57,0,1924,-399,7,0,62,-55,0,0,2208,485,1723,16395,0,-82,2286,2457,-171,2678,11844,131,0,11713,-331,-465,0,330,0,-196,-13060,-1224,0,-511,713,2163,1864,-23,322,0,0,0,0,0,0,0,0,161,0,161,2002,-2728,313719,240733,110868,90317,39548,72986,15596,15596,0,12864,7671,260,4933,29,29,0,31954,26032,106,0,25926,5922,1482,0,1179,303,0,0,11061,2490,8571,313719,460745,0,5930,203578,202211,1367,67430,163734,6775,0,156959,20073,15513,0,4381,0,179,-147026
1964,56446,19204,37242,38004,29901,8103,-762,-2018,-762,15424,-2719,3530,1723,1582,225,17491,-2018,70727,21782,25509,617,9353,56247,63139,-6892,-8389,-6892,1497,8540,27118,19204,626,-16929,-16929,3473,-125,-125,0,220,462,12,-254,-17,-17,0,2895,2944,110,0,2834,-49,47,0,112,-65,0,0,453,244,209,19288,0,-245,5411,4556,855,1890,12530,104,0,12426,-298,-125,0,95,0,-268,-15815,139,0,-975,-1114,2340,1520,567,253,0,0,0,0,0,0,0,0,209,0,209,2131,-6119,326897,250987,114031,91829,45127,75910,15471,15471,0,13084,8165,272,4647,12,12,0,34849,28976,216,0,28760,5873,1529,0,1291,238,0,0,10965,2734,8231,326897,480042,0,5685,208989,206767,2222,69320,176064,6879,0,169185,19984,15388,0,4476,0,120,-153145
1965,59322,20013,39309,40185,31500,8685,-875,-3709,-875,15427,-2989,3320,1800,1297,223,18592,-3709,78876,22742,27715,937,10149,60982,66497,-5515,-6735,-5515,1220,7156,26698,20013,471,-13892,-13892,1575,-1666,-1666,0,-1483,-1575,-22,114,33,33,0,3082,3101,175,0,2926,-19,-10,0,0,-10,0,0,1619,388,1231,15473,0,86,706,258,448,2237,13503,134,0,13369,-1059,-1655,0,572,0,24,-13898,-432,0,-425,7,5307,3577,1547,183,0,0,0,0,0,0,0,0,103,0,103,5204,-1963,340142,262979,119241,92859,50879,77163,14065,14065,0,11602,6750,250,4602,45,45,0,37931,32077,391,0,31686,5854,1519,0,1291,228,0,0,12002,3122,8880,340142,495250,0,5771,209695,207025,2670,71557,189199,7013,0,182186,19028,13733,0,5048,0,247,-155108
1966,65550,21049,44502,45696,35840,9856,-1194,-7050,-1194,14449,-3925,3885,1991,1649,245,20264,-7050,88609,30620,30347,1019,13352,69500,76487,-6987,-8328,-6987,1341,9682,30089,21049,642,-18011,-18011,4079,-571,-571,0,-650,-356,-30,-264,1310,1310,0,4178,3141,270,0,2871,1037,-6,0,-100,94,0,0,-182,1249,-1431,20265,0,525,2468,1113,1355,2381,14826,107,0,14719,65,-574,0,783,0,-144,-16186,-189,0,-2013,-1825,6874,4658,1941,275,0,0,0,0,0,0,0,0,553,0,553,6321,-2196,358484,278893,125613,95719,57561,79591,13235,13235,0,10952,6370,220,4362,1355,1355,0,42109,35218,661,0,34557,6891,1513,0,1191,322,0,0,10428,4371,6057,358484,515788,0,6296,212163,208138,4025,73938,203745,7120,0,196625,19646,13159,0,5831,0,656,-157304
1967,71308,22464,48844,50118,39112,11006,-1273,-7282,-1273,15164,-3785,4543,2334,1907,302,21931,-7282,92753,34102,37075,968,14933,68533,88059,-19526,-20721,-19526,1195,9252,31947,22464,-231,-29973,-29973,739,-1170,-1170,0,415,481,47,-113,-88,-88,0,5080,4154,512,0,3642,926,171,0,193,-22,0,0,-3669,1468,-5137,30289,0,357,12916,8761,4155,1345,16022,80,0,15942,-351,-1177,0,652,0,174,-29550,7352,0,6929,-423,11441,7891,2661,889,0,0,0,0,0,0,0,0,189,0,189,11252,-2117,386503,299817,134421,100595,64801,86686,12065,12065,0,11824,7525,267,4032,1267,1267,0,47189,39372,1173,0,38199,7817,1684,0,1384,300,0,0,12658,5839,6819,386503,545924,0,6653,225079,216899,8180,75283,219425,7200,0,212225,19484,11982,0,6483,0,1019,-159421
1968,78340,24155,54185,55210,43146,12064,-1025,-7316,-1025,16872,-4147,5536,2735,2464,337,24552,-7316,110345,37897,42417,953,16384,83078,96845,-13768,-16633,-13768,2865,6049,31118,24155,-914,-22681,-22681,4542,-1173,-1173,0,-1362,-2268,101,805,134,134,0,5706,4262,588,0,3674,1444,-172,0,128,-300,0,0,1409,575,834,30163,0,167,11940,8780,3160,1917,17047,-14,0,17061,-908,-1615,0,-16,0,723,-25621,-2220,0,720,2940,12804,7962,2796,2046,0,0,-4,4,0,0,0,0,-528,0,-527,13332,-5521,410324,319583,143061,103491,73031,90741,10892,10892,0,10458,5119,368,4971,1401,1401,0,52598,43337,1764,0,41573,9261,1512,0,1512,0,0,0,13880,6414,7466,410324,575266,0,6795,237019,225679,11340,77200,236203,7186,0,229017,18049,10367,0,6467,0,1215,-164942
1969,83627,25819,57808,59071,46040,13031,-1263,-9589,-1263,17812,-4509,5835,2490,3019,326,27464,-9589,125139,43314,46341,998,18206,95315,100465,-5150,-7447,-5150,2297,5014,30729,25819,104,-12461,-12461,3941,967,967,0,2344,1553,-157,948,-1297,-1297,0,4026,3056,-410,0,3466,970,184,0,184,0,0,0,-2283,919,-3202,16989,0,53,-3257,-953,-2304,1621,19009,66,0,18943,-437,0,0,-78,0,-359,-13048,547,0,1134,587,18554,11108,3720,3726,0,0,-37,37,0,0,0,0,62,0,61,18492,11592,437658,343047,154673,105910,82464,94611,11859,11859,0,12766,6915,211,5640,104,104,0,56661,46430,1391,0,45039,10231,1696,0,1696,0,0,0,11526,7333,4193,437658,591008,0,6848,233762,224726,9036,78821,253904,7252,0,246652,17673,10367,0,6389,0,917,-153350
1970,89511,27634,61877,64343,49647,14696,-2466,-15767,-2466,18081,-4753,6701,2809,3494,398,33330,-15767,116349,45504,56357,959,23160,67528,102344,-34816,-36394,-34816,1578,2558,30461,27634,-269,-38952,-38952,1984,64,-787,851,3423,3530,252,-359,-97,-97,0,1815,1513,-1078,0,2590,302,233,0,233,0,0,0,-3453,-777,-2676,39052,867,301,11975,12933,-958,2469,23174,106,0,23068,266,365,400,-1038,0,539,-37068,-4779,0,-6663,-1884,24294,13217,5833,5244,0,0,-2,2,0,0,0,0,-1152,0,-1152,25446,-15727,467318,370168,168165,110089,91914,97150,11923,11072,851,16187,9809,463,5915,7,7,0,58469,47936,315,0,47621,10533,1929,0,1929,0,0,0,8636,6556,2080,467318,636395,867,7149,245737,237659,8078,81290,284565,7358,0,277207,16787,10732,400,5351,0,304,-169077
1971,95168,29064,66104,68888,51514,17374,-2784,-16697,-2784,18992,-4641,6971,3108,3357,506,35235,-16697,116269,50330,66891,928,28154,55785,106681,-50896,-52257,-50896,1361,-1705,27798,29064,-439,-50552,-50552,4021,-617,-866,249,2027,3501,57,-1531,18,18,0,2616,2996,-191,0,3186,-380,247,0,247,0,0,0,-269,-1704,1435,53718,717,478,22683,23733,-1050,5035,25700,71,0,25629,-895,-600,0,-1123,0,828,-49697,2761,0,1906,-855,22262,13356,4745,4161,94,94,-16,16,0,0,0,0,-686,136,-821,23042,-26454,493427,391164,182422,109194,99548,102263,11400,10206,1194,18197,13228,520,4449,25,25,0,60419,50266,140,0,50126,10153,2176,0,2176,0,0,0,10046,4852,5194,493427,688958,1720,7627,268420,261392,7028,86325,309795,7429,0,302366,15071,10132,400,4228,0,311,-195531
1972,101319,30204,71115,73493,55043,18450,-2378,-21119,-2378,18481,-6583,6991,3250,3231,510,37630,-21119,136536,58258,73820,1120,37690,63286,112297,-49011,-49701,-49011,690,-1568,29349,30204,-713,-48133,-48133,-121,156,-547,703,-1209,-978,86,-317,-17,-17,0,1850,2543,1,0,2542,-693,271,0,271,0,0,0,-1172,-819,-353,46341,710,686,11935,11036,899,6070,27253,152,0,27101,-313,-544,0,201,0,30,-46462,4920,0,3248,-1671,34420,21761,8538,4122,94,61,53,-20,0,0,0,0,32,61,-29,34482,-10300,530018,424729,205043,112314,107372,105289,12445,10487,1958,17864,13287,606,3971,8,8,0,62249,52789,121,0,52668,9460,2447,0,2447,0,0,0,10277,4033,6244,530018,735849,2491,8313,280355,272428,7927,92395,336744,7581,0,329163,15551,10410,400,4429,0,312,-205831
1973,105334,32354,72980,76365,57166,19199,-3384,-23666,-3384,19799,-5149,8360,3365,4341,654,43291,-23666,148878,74546,85702,1048,38880,76225,114534,-38309,-39214,-38309,905,-3907,31652,32354,-3205,-35307,-35307,4622,-9,0,-9,-1285,-1756,-167,638,-2,-2,0,3767,4356,-91,0,4447,-589,373,0,373,0,0,0,1778,274,1504,39060,0,403,4352,3922,430,4727,29151,175,0,28976,427,0,0,790,0,-363,-34438,4805,0,3936,-869,46782,26760,11009,9014,271,217,80,-26,0,0,0,0,640,276,363,46413,12004,582585,470809,232712,118385,119712,111776,13818,11652,2166,17815,12642,439,4734,6,6,0,64808,55937,4,0,55933,8871,2820,0,2820,0,0,0,12509,4307,8202,582585,776412,2767,8716,284707,276350,8357,97122,365602,7756,0,357846,17498,11567,400,5219,0,312,-193827
1974,113194,35383,77812,81060,60482,20578,-3249,-24297,-3249,20064,-3191,10063,3635,5550,878,47984,-24297,166457,84085,104602,1081,40903,81821,123169,-41348,-44479,-41348,3131,-5390,35666,35383,-5673,-39089,-39089,4278,172,0,172,-3790,-4555,38,727,-6,-6,0,6368,3670,17,0,3653,2698,537,0,537,0,0,0,997,998,-1,43831,0,536,10858,10988,-130,3770,29145,115,0,29030,-478,85,0,-556,0,-7,-39553,5740,0,6204,464,68550,45149,11334,12068,71,36,53,-18,0,0,0,0,1772,42,1730,66849,28110,657261,539642,278687,126796,134159,117619,14026,11652,2374,14228,8254,477,5497,0,0,0,72223,59589,3,0,59586,12634,3357,0,3357,0,0,0,13786,5305,8481,657261,822978,2809,9252,270110,261883,8227,126347,394520,7871,0,386649,19940,11652,400,6165,0,1723,-165717
1975,121336,38744,82592,87008,64417,22591,-4417,-28507,-4417,22077,-4336,10636,4281,5382,973,52467,-28507,159378,88054,134319,1106,49761,35951,133876,-97925,-102749,-97925,4824,676,39853,38744,-434,-103425,-103425,16820,66,0,66,3249,2738,95,416,0,0,0,13580,7071,158,0,6913,6509,654,0,654,0,0,0,-729,1190,-1919,120952,0,966,81516,81869,-353,7835,30523,2281,0,28242,112,-53,100,774,0,-709,-104132,-3115,0,-2408,707,31318,8335,14991,7993,-211,-105,15,-121,0,0,0,0,-12,-124,111,31119,-74745,708140,572069,288182,139511,144376,136071,13934,11599,2335,17491,11153,572,5766,0,0,0,85682,66539,40,0,66499,19143,4011,0,4011,0,0,0,14953,6495,8458,708140,948602,2685,10218,351626,343752,7874,134300,424758,10152,0,414606,25015,11599,500,11791,0,1125,-240462
1976,130791,41671,89120,92025,67804,24221,-2905,-33271,-2905,21374,-4936,12093,5155,5870,1068,58896,-33271,191018,99786,145995,1223,53611,59150,140046,-80896,-85930,-80896,5034,696,44754,41671,-2387,-86626,-86626,22085,77,-1,78,6094,3855,159,2080,0,0,0,8072,7652,133,0,7519,420,1101,0,1101,0,0,0,6741,454,6287,110623,0,602,59539,59560,-21,14247,29507,599,0,28908,6728,-1,700,5090,0,939,-88538,20930,0,22842,1912,44355,22402,14343,7610,202,-18,23,-13,0,210,0,0,-1434,-20,-1414,45991,-19009,798871,619507,311938,152562,155007,179364,39339,36944,2395,21025,14990,731,5304,0,0,0,93952,74389,161,0,74228,19563,5112,0,5112,0,0,0,19937,6949,12988,798871,1058342,2665,10820,411165,402836,8329,148547,453777,10751,0,443026,31368,11598,1200,17920,0,650,-259471
1977,139223,45269,93954,97383,71779,25604,-3429,-39854,-3429,22723,-6890,13003,5779,5937,1287,65261,-39854,218918,111078,155022,1577,59007,77690,151137,-73447,-77483,-73447,4036,2513,49203,45269,-1421,-79995,-79995,9096,242,121,121,-29,-434,147,258,0,0,0,9786,5604,-79,0,5683,4182,870,0,870,0,0,0,-1773,-762,-1011,95852,0,511,42281,43054,-773,20613,29997,671,0,29326,2450,120,50,3205,0,-925,-86756,-2564,0,4197,6761,32532,7575,16014,8944,8947,8829,292,-72,0,-102,0,0,398,122,275,41081,-38966,854446,655972,321005,167372,167595,198474,48410,45781,2629,21287,14626,878,5783,0,0,0,103564,79819,10,0,79809,23745,5982,0,5982,0,0,0,19231,6187,13044,854446,1152883,2787,11331,453446,445890,7556,169160,482066,11422,0,470644,34093,11718,1250,21125,0,0,-298437
1978,151542,49668,101875,104770,77546,27224,-2895,-49474,-2895,25278,-8697,15952,7425,7006,1521,79112,-49474,254547,128715,165402,2228,68474,102140,164180,-62040,-68812,-62040,6772,4436,54742,49668,-639,-73248,-73248,25323,-1185,64,-1249,422,4451,64,-4093,0,0,0,19755,14934,2342,0,12592,4821,867,0,867,0,0,0,5465,2725,2740,99992,0,500,30914,32249,-1335,28598,35742,690,0,35052,4238,65,50,4399,0,-276,-74669,1611,0,3032,1421,60441,27585,21782,11075,17203,16916,478,-165,0,-26,0,0,478,202,276,77166,9965,964196,721488,350840,187425,183223,242708,64029,62471,1558,22186,18652,942,2592,0,0,0,122528,94562,2187,0,92375,27966,6849,0,6849,0,0,0,27116,8912,18204,964196,1252668,2989,11831,484360,478139,6221,197758,517235,12112,0,505123,38495,11671,1300,25524,0,0,-288472
1979,162979,54591,108388,111057,82014,29043,-2668,-56157,-2668,25684,-8204,20488,9151,9279,2058,91456,-56157,291178,149798,186067,2543,69826,131470,178833,-47364,-56392,-47364,9028,4302,61741,54591,-2849,-60694,-60694,22391,1200,65,1135,-558,-785,65,162,0,0,0,19154,12553,-129,0,12681,6601,552,0,552,0,0,0,2043,2401,-358,83588,1139,1260,36682,37965,-1283,7109,36116,518,0,35598,1282,-151,500,2243,0,-1310,-61197,5607,0,6111,504,70934,44785,10192,15957,73584,73535,204,-155,0,0,0,0,1355,45,1310,143163,92378,1140423,799572,397310,197501,204761,340851,138200,135476,2724,21833,19183,1007,1643,0,0,0,143427,108860,1904,0,106956,34567,7401,0,7401,0,0,0,29991,11313,18678,1140423,1336517,4173,13091,521042,516104,4938,204867,552605,12630,0,539975,40739,11172,1800,27767,0,0,-196094
1980,178916,60394,118522,122163,90120,32043,-3641,-60885,-3641,33663,-9446,26069,11314,11706,3049,107529,-60885,310831,163631,223840,3142,77020,115860,204620,-88761,-98986,-88761,10225,5788,70249,60394,-4068,-104773,-104773,25343,16,0,16,-1291,-2537,-210,1456,0,0,0,26849,19343,3236,0,16107,7506,795,0,795,0,0,0,-1026,3778,-4804,125050,1152,741,93082,93575,-493,-6807,35798,565,0,35233,1084,-12,718,2266,0,-1888,-99707,14587,0,9521,-5066,78857,41667,17261,19929,20571,20222,4,-72,0,417,0,0,1719,-170,1888,97709,13310,1279718,888284,441487,215889,230908,391434,158426,155816,2610,21688,16176,797,4715,0,0,0,170620,128547,5067,0,123480,42073,8196,0,8196,0,0,0,32504,15091,17413,1279718,1462502,5155,13832,614124,609679,4445,198060,587620,13195,0,574425,43711,11160,2518,30033,0,0,-182784
1981,201526,67523,134003,136617,100697,35920,-2614,-63935,-2614,49929,-11071,33251,14819,14024,4408,133429,-63935,344359,193009,255007,3128,76072,145483,233557,-88074,-96919,-88074,8845,7374,80423,67523,-5526,-104293,-104293,20362,1720,-103,1823,2542,376,-142,2308,0,0,0,24385,19446,431,0,19015,4939,1142,0,1142,0,0,0,-9426,2542,-11968,135833,1093,650,95699,96040,-341,-225,36237,638,0,35599,2379,-9,800,539,0,1049,-115471,-8189,0,2989,11178,58603,19409,18674,20520,-50568,-50501,218,-611,0,326,0,0,-1595,-545,-1049,9630,-95478,1317442,959787,463386,237746,258655,357655,109739,105644,4095,24447,17367,655,6425,0,0,0,194720,147708,4887,0,142821,47012,9338,0,9338,0,0,0,19411,17633,1778,1317442,1595704,5703,14482,709823,705719,4104,197835,622820,13833,0,608987,45041,11151,3318,30572,0,0,-278262
1982,220143,75379,144763,146902,108406,38496,-2139,-89815,-2139,40956,-14563,38612,18337,15205,5070,152681,-89815,330810,206043,285985,4381,74402,91032,258386,-167353,-174508,-167353,7155,10880,89951,75379,-3692,-185388,-185388,22158,1369,-3,1372,9805,6429,472,2904,0,0,0,16723,14359,520,0,13839,2364,1007,0,1007,0,0,0,-6746,4792,-11538,216990,0,561,162878,163631,-753,10493,36858,846,0,36012,6200,-3,1300,4753,0,150,-194832,6958,0,16402,9444,49836,15152,19790,14894,14396,14777,-94,-301,0,14,0,0,-448,-298,-150,64680,-102871,1430446,1024194,480445,262817,280932,406252,125885,120635,5250,34158,24513,1127,8518,0,0,0,211156,161780,5106,0,156674,49376,10345,0,10345,0,0,0,24708,22425,2283,1430446,1811579,5405,15043,872701,869350,3351,208328,659011,14679,0,644332,51091,11148,4618,35325,0,0,-381133
1983,233261,81124,152137,154083,113122,40961,-1945,-106457,-1945,44383,-20862,38938,20365,14229,4344,166971,-106457,335101,223068,307218,5220,76871,72843,280020,-207177,-216986,-207177,9809,16265,102337,81124,-4949,-233251,-233251,13692,65,0,65,-4212,-8264,-451,4503,0,0,0,7321,6101,-1653,0,7753,1220,1369,0,1369,0,0,0,9149,3766,5383,244923,0,689,175358,175398,-40,24393,37486,958,0,36528,6997,-27,0,5011,0,2013,-231231,5468,0,3448,-2020,38818,8256,17379,13183,-21130,-20414,-198,-309,0,-209,0,0,-2289,-275,-2013,19977,-191542,1480466,1084225,491876,289329,303020,396241,105509,100484,5025,29749,16444,676,12629,0,0,0,217959,167363,3145,0,164218,50596,11714,0,11714,0,0,0,31311,26191,5120,1480466,2053141,5130,15732,1048059,1044748,3311,232721,695424,15637,0,679787,56075,11121,4618,40336,0,0,-572675
1984,253034,90583,162451,165135,121147,43988,-2685,-126122,-2685,47300,-20680,43770,22786,16054,4930,193827,-126122,362381,254129,313413,6274,83555,99694,296211,-196517,-208330,-196517,11813,21054,115594,90583,-3957,-229383,-229383,30868,978,-1,979,7187,5264,532,1391,0,0,0,17726,16859,578,0,16281,867,1426,0,1426,0,0,0,3551,5082,-1531,270202,0,686,187926,187993,-67,27751,41845,1084,0,40761,11994,-25,0,7143,0,4876,-239334,3253,0,13204,9951,72557,17656,43787,11115,-20594,-19620,-474,-395,0,-106,0,0,-5204,-327,-4876,57167,-147909,1594421,1181793,512526,344038,325229,412628,86843,81202,5641,36462,21828,1208,13426,0,0,0,235184,183721,3328,0,180393,51463,13140,0,13140,0,0,0,40999,31273,9726,1594421,2315005,4803,16418,1235985,1232741,3244,260472,734134,16721,0,717413,63193,11096,4618,47479,0,0,-720584
1985,270784,96971,173813,175437,128151,47286,-1624,-142415,-1624,46052,-21033,47932,25577,17796,4559,213742,-142415,396861,277909,329880,8596,89936,121136,320380,-199244,-212436,-199244,13192,34356,132529,96971,-1202,-246793,-246793,31795,897,0,897,11985,12992,40,-1047,0,0,0,19940,18099,1935,0,16164,1841,1301,0,1301,0,0,0,-2327,3679,-6006,299194,0,634,193147,193174,-27,72410,21686,1108,0,20578,11317,-6,100,10640,0,583,-267399,-8618,0,11989,20607,-7335,12050,-26656,7271,6739,5393,121,1166,0,60,0,0,-2,579,-583,-594,-221648,1671077,1210016,528614,333965,347437,461061,93127,85834,7293,48567,33973,1248,13346,0,0,0,257099,203795,6428,0,197367,53304,14441,0,14441,0,0,0,47827,34952,12875,1671077,2613309,5382,17052,1429132,1425915,3217,332882,754934,17829,0,737105,73927,11090,4718,58119,0,0,-942232
1986,282734,103588,179146,179734,132009,47725,-588,-155765,-588,43698,-24589,49918,28842,17804,3272,224204,-155765,418336,298933,348661,7611,96623,123831,339771,-215940,-229050,-215940,13110,35275,141887,103588,-3024,-264325,-264325,6995,246,0,246,-1865,409,185,-2459,0,0,0,11147,9624,471,0,9153,1523,1482,0,1482,0,0,0,-4015,-2322,-1693,299988,0,515,183161,182770,391,62372,35883,1042,0,34841,18057,-26,300,14618,0,3165,-292993,-26759,0,1909,28668,11310,20136,-13555,4729,18791,17476,-520,1762,0,73,0,0,-2555,611,-3165,32656,-223153,1751642,1259625,553366,339675,366584,492017,110823,102428,8395,46182,32846,1433,11903,0,0,0,266111,211754,8661,0,203093,54357,15923,0,15923,0,0,0,52978,32630,20348,1751642,2917027,5993,17567,1612293,1608685,3608,395254,797101,18871,0,778230,88819,11064,5018,72737,0,0,-1165385
