1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,7751,73,835,-444,0,0,-113,869,523,6744,553,414,-247,6024,75,25,50,24,0,7751,4429,2143,1637,506,119,414,779,0,523,0,36,80,65,0,19,-2,88,0,-30,0,-335,-335,0,202
1952:Q1,-1898,22,-1113,-228,0,0,14,-622,-277,-855,2201,315,-33,-3338,40,14,26,8,0,-1898,-896,-1335,-1348,13,3208,315,-341,0,-277,0,13,-70,1,0,5,-10,5,0,-8,0,-5,-5,0,-2844
1952:Q2,1569,23,1007,327,0,0,6,698,-24,496,277,-21,106,134,34,11,23,9,0,1569,-1752,1180,1339,-159,30,-21,58,0,-24,0,19,62,-9,0,5,10,6,0,-11,0,123,123,0,1951
1952:Q3,2031,27,302,-78,0,0,186,60,134,1731,343,-437,312,1513,-38,-14,-24,9,0,2031,2811,346,548,-202,115,-451,124,0,134,0,23,-12,-9,0,5,-8,6,0,-15,0,484,484,0,-1398
1952:Q4,4883,31,1096,121,0,0,-180,932,223,3735,-1239,525,-177,4626,16,5,11,5,0,4883,1978,122,243,-121,-982,480,333,0,223,0,27,81,-2,0,5,15,6,0,-22,0,-352,-352,0,3304
1953:Q1,-4400,14,-1240,-346,0,0,-47,-644,-203,-3470,589,86,-119,-4026,294,-3,297,2,0,-4400,755,-3136,-3052,-84,802,39,-332,0,-203,0,23,-156,9,0,6,4,4,0,-19,0,-169,-169,0,-2359
1953:Q2,-1910,28,594,78,0,0,19,457,40,-2254,-1896,354,-68,-644,-277,2,-279,-1,0,-1910,-3237,2048,2121,-73,-2223,305,26,0,40,0,18,-42,18,0,9,-2,5,0,-20,0,-47,-47,0,1218
1953:Q3,3634,18,651,534,0,0,-15,72,60,2981,2236,-518,-39,1302,-16,-1,-15,0,0,3634,2628,114,155,-41,2753,-574,181,0,60,0,11,82,19,0,9,13,5,0,-18,0,-55,-55,0,-1413
1953:Q4,2467,22,-421,-818,0,0,-87,622,-138,2845,-1724,714,-101,3956,20,7,13,1,0,2467,1138,687,685,2,-2864,645,83,0,-138,0,3,185,10,0,7,28,5,0,-17,0,-181,-181,0,2959
1954:Q1,-4896,41,-616,434,0,0,65,-1233,118,-4335,914,399,-54,-5594,7,-1,8,7,0,-4896,-1569,-2785,-2844,59,1866,340,-78,0,118,0,-4,-155,2,0,4,-53,9,0,1,0,10,10,0,-2680
1954:Q2,2200,24,394,145,0,0,58,161,30,1755,531,-21,51,1194,17,5,12,10,0,2200,-984,1772,1648,124,451,-47,87,0,30,0,-11,41,-5,0,2,5,9,0,16,0,114,114,0,807
1954:Q3,1526,12,-174,-121,0,0,-41,-182,170,1665,-1471,-947,-221,4304,11,2,9,12,0,1526,4228,1545,1406,139,-2068,-928,200,0,170,0,-16,10,-5,0,0,24,-12,0,29,0,-260,-260,0,-1191
1954:Q4,5766,14,349,-206,0,0,-18,934,-361,5352,52,925,351,4024,41,13,28,10,0,5766,405,1672,1569,103,-588,1006,-248,0,-361,0,-21,129,-1,0,-1,-3,-26,0,36,0,346,346,0,3173
1955:Q1,-4098,12,-570,321,0,0,-108,-1144,361,-3539,-102,-113,-235,-3089,-10,-5,-5,9,0,-4098,-313,-1435,-1515,80,-3,-52,205,0,361,0,-7,-179,10,0,-3,-10,11,0,22,0,-348,-348,0,-2152
1955:Q2,1102,5,-5,-488,0,0,-3,635,-149,1068,1008,489,66,-495,27,9,18,7,0,1102,-2390,1011,942,69,1423,454,-79,0,-149,0,3,28,18,0,-6,2,23,0,2,0,72,72,0,611
1955:Q3,964,4,217,111,0,0,1,-174,279,743,-858,-735,-51,2387,-9,-4,-5,9,0,964,3493,614,548,66,-808,-874,390,0,279,0,12,71,19,0,-6,-5,37,0,-17,0,-54,-54,0,-1797
1955:Q4,4576,2,701,-142,0,0,25,1096,-278,3849,-511,730,126,3504,11,3,8,13,0,4576,380,1046,978,68,-882,491,-104,0,-278,0,17,105,11,0,-5,33,47,0,-34,0,154,154,0,3491
1956:Q1,-3228,7,-849,138,0,0,-60,-1135,208,-2413,2461,362,106,-5342,11,4,7,16,0,-3228,-664,-3105,-3142,37,2481,103,-54,0,208,0,6,-215,4,0,1,-40,4,0,-22,0,50,50,0,-2039
1956:Q2,-367,17,408,-9,0,0,-43,1077,-617,-840,-938,818,74,-794,29,10,19,19,0,-367,-1424,856,837,19,-600,619,-612,0,-617,0,-9,36,-2,0,3,-16,-1,0,-6,0,41,41,0,753
1956:Q3,777,14,33,73,0,0,28,-895,827,680,-122,-1569,-98,2469,28,10,18,22,0,777,2702,335,300,35,-217,-1715,824,0,827,0,-25,-2,-3,0,5,12,-1,0,11,0,-60,-60,0,-1092
1956:Q4,5319,20,953,-147,0,0,-9,948,161,4305,-1377,565,195,4922,15,4,11,26,0,5319,1224,1793,1713,80,-1952,465,396,0,161,0,-40,197,1,0,7,44,1,0,25,0,190,190,0,3203
1957:Q1,-3981,19,-1228,85,0,0,27,-989,-351,-2791,2652,37,-323,-5157,-12,-1,-11,31,0,-3981,-1069,-2468,-2588,120,3226,-70,-581,0,-351,0,-27,-207,9,0,10,-47,11,0,21,0,-297,-297,0,-2722
1957:Q2,-889,22,656,-45,0,0,110,551,40,-1621,-1895,1170,508,-1404,18,8,10,36,0,-889,-2137,837,698,139,-1768,1003,148,0,40,0,-11,68,15,0,14,7,6,0,9,0,626,626,0,402
1957:Q3,1775,19,-77,129,0,0,-82,-214,90,1764,1840,-1899,-2,1825,32,0,32,37,0,1775,2639,789,612,177,1500,-2142,126,0,90,0,7,8,15,0,14,-11,7,0,-4,0,-84,-84,0,-1053
1957:Q4,2691,20,679,-143,0,0,-15,542,295,1917,-2432,936,117,3296,41,2,39,34,0,2691,-332,1542,1312,230,-2822,599,500,0,295,0,23,142,12,0,9,32,4,0,-17,0,104,104,0,3100
1958:Q1,-4162,36,-1339,111,0,0,-103,-902,-445,-2840,1662,-64,-334,-4104,-53,4,-57,34,0,-4162,-152,-2668,-3052,384,1712,-374,-556,0,-445,0,26,-122,9,0,5,-29,10,0,-10,0,-433,-433,0,-1691
1958:Q2,4585,21,392,-251,0,0,15,501,127,4169,3900,1347,249,-1327,-33,12,-45,36,0,4585,-3531,1804,1246,558,3699,1186,229,0,127,0,23,40,7,0,3,25,4,0,0,0,276,276,0,922
1958:Q3,-2163,16,105,74,0,0,43,-135,123,-2352,-5240,-1682,-395,4965,37,3,34,31,0,-2163,5491,1473,993,480,-5040,-1718,140,0,123,0,16,7,6,0,0,-30,6,0,12,0,-349,-349,0,-2160
1958:Q4,7499,15,826,-135,0,0,-41,893,109,6611,30,634,451,5496,29,0,29,18,0,7499,920,2022,1872,150,-63,696,342,0,109,0,8,149,8,0,-1,46,1,0,22,0,410,410,0,3172
1959:Q1,-5862,12,-806,190,0,0,36,-873,-159,-5281,-660,961,-107,-5475,201,15,186,3,9,-5862,-302,-2984,-2819,-165,-467,1100,-286,0,-159,0,3,-148,9,0,-3,-42,35,0,19,0,-56,-56,0,-2867
1959:Q2,1604,33,397,-302,0,0,-9,538,170,907,830,-21,164,-66,280,17,263,-14,1,1604,-679,474,966,-492,928,175,247,0,170,0,0,-12,11,0,-7,37,36,0,12,0,172,172,0,287
1959:Q3,2446,30,68,152,0,0,12,-76,-20,2090,1720,-661,-107,1138,273,19,254,-15,0,2446,3864,-1044,-482,-562,1465,-349,-30,0,-20,0,-3,-48,11,0,-7,-8,42,0,3,0,-76,-76,0,-1384
1959:Q4,3600,2,589,-186,0,0,35,968,-228,3356,-1090,251,46,4149,-344,13,-357,-3,0,3600,-454,1068,1448,-380,-1268,745,2,0,-228,0,-8,151,8,0,-6,45,45,0,-5,0,94,94,0,3413
1960:Q1,-7593,29,-1129,52,0,0,-122,-1407,348,-6532,-640,148,-439,-5601,27,-3,30,11,1,-7593,-1786,-2927,-2668,-259,-349,591,124,0,348,0,-3,-182,3,0,2,-55,12,0,-1,0,-564,-564,0,-2682
1960:Q2,2980,14,481,-48,0,0,33,366,130,2436,2620,-188,268,-264,30,-4,34,19,0,2980,-1721,814,1007,-193,2865,-28,253,0,130,0,-1,61,-2,0,6,44,13,0,2,0,297,297,0,500
1960:Q3,2010,21,-126,59,0,0,-64,-171,50,2067,410,-121,31,1747,24,-4,28,24,0,2010,3627,63,202,-139,291,-350,38,0,50,0,0,-5,0,0,7,-42,19,0,9,0,-37,-37,0,-1622
1960:Q4,4843,23,807,-96,0,0,26,1071,-194,3950,-1495,377,264,4804,39,-4,43,23,1,4843,1857,417,519,-102,-1764,-226,53,0,-194,0,-1,147,10,0,7,48,22,0,14,0,286,286,0,4220
1961:Q1,-7031,11,-941,64,0,0,56,-1345,284,-6149,-1785,29,457,-4850,20,7,13,28,0,-7031,-2078,-1808,-1781,-27,-1760,-593,206,0,284,0,5,-98,22,0,8,-71,38,0,18,0,520,520,0,-1519
1961:Q2,2220,28,397,-139,0,0,-26,1289,-727,1683,2202,146,-104,-561,79,6,73,33,0,2220,-1663,1355,1307,48,2156,-141,-553,0,-727,0,7,38,33,0,9,34,35,0,18,0,-124,-124,0,1191
1961:Q3,4408,125,352,114,0,0,113,-842,967,3952,1388,-210,134,2640,-55,-21,-34,34,0,4408,2925,202,134,68,1909,-192,1112,0,967,0,10,39,34,0,9,0,37,0,16,0,226,226,0,-1774
1961:Q4,6770,23,1148,-14,0,0,-75,1418,-181,5529,-1804,603,450,6280,37,-21,58,32,1,6770,530,3452,3423,29,-2346,898,87,0,-181,0,11,83,25,0,8,92,37,0,12,0,354,354,0,3795
1962:Q1,-7656,3,-983,12,0,0,-32,-1174,211,-6757,314,-510,298,-6859,51,17,34,30,0,-7656,-1751,-3447,-3462,15,353,-176,7,0,211,0,23,-173,17,0,8,-104,23,0,2,0,283,283,0,-2925
1962:Q2,3427,10,983,92,0,0,91,1515,-715,2362,3294,82,-70,-944,43,18,25,28,1,3427,-2165,1297,1288,9,3282,221,-607,0,-715,0,34,-6,10,0,9,45,23,0,-7,0,39,39,0,1360
1962:Q3,-24,-48,-27,-75,0,0,-80,-957,1085,102,-1464,-305,-450,2321,-81,-29,-52,30,0,-24,1845,1289,1291,-2,-1009,-340,1204,0,1085,0,32,76,8,0,8,-14,24,0,-15,0,-559,-559,0,-2454
1962:Q4,10455,17,1553,61,0,0,19,1224,249,8897,-932,562,376,8891,-48,-23,-25,35,1,10455,1614,4432,4453,-21,-1673,387,549,0,249,0,17,168,12,0,5,93,25,0,-20,0,372,372,0,4774
1963:Q1,-8707,11,-670,314,0,0,-73,-602,-309,-8007,172,72,-270,-7981,-81,24,-105,40,0,-8707,1199,-6817,-6793,-24,552,-122,-667,0,-309,0,2,-227,14,0,4,-120,-35,0,4,0,-319,-319,0,-2533
1963:Q2,5036,9,905,-116,0,0,0,1748,-727,4062,3730,253,334,-255,14,2,12,45,1,5036,-1252,1479,1530,-51,3927,168,-653,0,-727,0,-11,16,14,0,2,86,-36,0,3,0,336,336,0,1031
1963:Q3,-341,1,483,153,0,0,-39,-698,1067,-799,-2210,-631,-18,2060,-72,-24,-48,46,0,-341,2719,587,636,-49,-2434,-626,1106,0,1067,0,-16,104,17,0,1,-46,-37,0,16,0,-81,-81,0,-1612
1963:Q4,8938,-10,1811,-87,0,0,36,2153,-291,7053,-2302,1430,278,7647,42,16,26,41,1,8938,2013,3619,3640,-21,-2487,1516,-154,0,-291,0,-14,116,21,0,-1,54,-40,0,1,0,330,330,0,4101
1964:Q1,-7056,1,-745,275,0,0,-42,-1219,241,-6388,1322,756,95,-8561,36,21,15,40,0,-7056,-2705,-4580,-4581,1,1346,350,33,0,241,0,-8,-172,29,0,0,-75,-4,0,22,0,74,74,0,-1574
1964:Q2,5158,-1,856,-186,0,0,22,981,39,4062,2387,-1369,325,2719,201,4,197,39,1,5158,539,2008,1979,29,2683,-837,115,0,39,0,-6,-15,48,0,0,62,-8,0,-5,0,351,351,0,299
1964:Q3,2373,-25,465,37,0,0,-21,208,241,1626,-1057,8,196,2479,270,53,217,37,0,2373,4600,438,399,39,-708,-17,230,0,241,0,-7,35,7,0,0,-37,-4,0,-5,0,228,228,0,-2399
1964:Q4,8713,-148,1922,219,0,0,94,1857,-248,6679,-2690,929,217,8223,228,-5,233,31,1,8713,3905,1810,1777,33,-2860,1766,-27,0,-248,0,-15,174,35,0,-2,36,-4,0,-3,0,306,306,0,3813
1965:Q1,-7550,-15,-873,-17,0,0,-68,-1096,308,-6840,1840,72,-72,-8680,155,11,144,23,0,-7550,-2343,-3313,-3339,26,1986,-911,-74,0,308,0,-16,-202,-140,0,0,-64,34,0,6,0,-243,-129,-114,-2652
1965:Q2,5582,22,745,-150,0,0,13,744,138,4937,3446,-206,-85,1782,-135,-9,-126,12,1,5582,287,840,810,30,3131,-292,155,0,138,0,-22,-7,-24,0,0,27,32,0,11,0,-26,-81,55,1487
1965:Q3,-1708,60,893,237,0,0,19,245,392,-2457,-4426,-180,200,1949,-220,-7,-213,16,0,-1708,6016,-916,-943,27,-4510,-282,459,0,392,0,-21,17,32,0,1,-10,37,0,11,0,270,212,58,-2746
1965:Q4,11286,103,1276,-228,0,0,-32,2055,-519,9841,-1845,1039,125,10522,29,30,-1,36,1,11286,2779,3804,3783,21,-2182,908,-67,0,-519,0,-16,207,181,0,5,32,41,0,2,0,255,123,132,5789
1966:Q1,-8242,161,-590,58,0,0,140,-1407,619,-7857,-405,448,-115,-7785,-12,-1,-11,55,1,-8242,-1571,-5106,-5109,3,266,322,239,0,619,0,-3,-430,16,0,8,-29,39,0,19,0,85,24,61,-2477
1966:Q2,8480,242,1387,329,0,0,175,1119,-236,6471,5877,239,-153,508,307,21,286,73,0,8480,-1079,796,803,-7,6264,152,-257,0,-236,0,6,24,-166,0,10,58,31,0,16,0,119,43,76,2486
1966:Q3,-5796,108,642,589,0,0,-123,-420,596,-6617,-4997,-965,228,-883,-8,-4,-4,78,1,-5796,2933,-1138,-1130,-8,-4309,-1011,593,0,596,0,7,62,-72,0,14,-58,26,0,18,0,155,101,54,-3019
1966:Q4,10615,231,794,-812,0,0,12,1974,-380,9624,-1008,1081,226,9325,-104,-26,-78,70,0,10615,1550,4756,4754,2,-2577,1077,134,0,-380,0,-2,388,39,0,19,32,18,0,20,0,357,212,145,5318
1967:Q1,-7305,187,-726,420,0,0,-21,-1645,520,-6776,528,-420,-101,-6783,-64,-8,-56,73,1,-7305,-639,-3083,-3106,23,1148,80,421,0,520,0,-8,-239,66,0,39,-35,16,0,62,0,-95,-130,35,-5137
1967:Q2,4824,108,1657,771,0,0,18,1984,-1116,2573,-368,580,-84,2445,408,16,392,78,0,4824,828,1937,1907,30,939,50,-962,0,-1116,0,-16,76,15,0,8,-10,15,0,66,0,-9,-50,41,2041
1967:Q3,4157,148,-263,-549,0,0,26,-1138,1398,4283,1870,-924,234,3103,-88,13,-101,76,1,4157,3848,1162,1125,37,11,-162,1489,0,1398,0,-14,47,43,0,-34,-10,21,0,38,0,326,273,53,-2517
1967:Q4,14125,24,2235,233,0,0,-32,2355,-321,11924,-1788,1281,262,12169,-126,4,-130,67,1,14125,6254,2648,2606,42,-1617,768,-128,0,-321,0,-6,145,12,0,-78,58,22,0,40,0,340,234,106,5860
1968:Q1,-10947,171,-1392,-371,0,0,52,-1392,319,-10140,86,152,-82,-10296,359,40,319,55,0,-10947,-3926,-1579,-1610,31,-407,-689,59,0,319,0,12,-412,-23,0,62,-53,20,0,134,0,14,10,4,-4420
1968:Q2,6229,-91,1265,-184,0,0,-17,2526,-1060,4359,-350,568,-78,4219,674,63,611,21,1,6229,1734,1836,1793,43,50,849,-670,0,-1060,0,27,61,79,0,38,23,12,0,150,0,23,-32,55,2408
1968:Q3,4734,33,567,-88,0,0,-28,-787,1470,5001,4070,-1805,198,2538,-913,111,-1024,46,0,4734,4313,-110,-154,44,3160,-1865,1901,0,1470,0,27,209,33,0,26,3,9,0,124,0,351,281,70,-3016
1968:Q4,16357,54,2200,-426,0,0,74,2017,535,12960,-4030,2397,236,14357,1011,-8,1019,130,2,16357,6807,2722,2685,37,-5071,1044,888,0,535,0,11,248,32,0,-52,30,17,0,67,0,462,302,160,9505
1969:Q1,-14481,31,-1706,-181,0,0,-73,-747,-705,-14666,500,-195,-11,-14960,1835,28,1807,25,0,-14481,-7402,-750,-777,27,739,-239,-882,0,-705,0,-1,-335,-10,0,120,13,14,0,22,0,-32,-56,24,-5915
1969:Q2,9143,-90,2155,674,0,0,15,1708,-242,6929,129,249,-11,6562,108,-12,120,40,1,9143,1455,3818,3798,20,1357,220,-541,0,-242,0,-14,-130,4,0,-182,22,18,0,-17,0,112,-8,120,2722
1969:Q3,-2409,25,335,-6,0,0,-9,-342,692,-3088,1971,-425,186,-4820,278,36,242,40,1,-2409,-1340,558,542,16,407,-447,909,0,692,0,-16,62,-5,0,14,178,27,0,-43,0,313,213,100,-2809
1969:Q4,15926,87,2557,84,0,0,-33,2136,370,15488,-2556,1053,205,16786,-2233,3,-2236,26,1,15926,5563,2044,2028,16,-950,2345,538,0,370,0,-10,355,20,0,-20,-164,28,0,-41,0,424,175,249,5962
1970:Q1,-13764,52,-1214,91,0,0,79,-1004,-380,-16677,1086,-1113,20,-16670,3952,1,3951,122,1,-13764,-4015,-2404,-2432,28,1941,-1116,-691,0,-380,0,17,-157,5,0,-73,-70,31,0,-64,0,147,100,47,-7626
1970:Q2,8274,86,1050,-616,0,0,-46,1562,150,7433,1936,616,13,4868,-382,4,-386,86,1,8274,6285,-1270,-1297,27,1751,611,2,0,150,0,34,-96,-111,0,70,13,39,0,-97,0,91,-29,120,805
1970:Q3,1228,88,552,241,0,0,-45,186,170,-756,394,-924,262,-488,1277,11,1266,67,0,1228,3908,1145,1119,26,453,-2160,295,0,170,0,36,49,110,0,-32,7,49,0,-94,0,337,228,109,-2750
1970:Q4,16740,75,2106,-98,0,0,-19,2436,-213,15154,-532,1626,229,13831,-667,12,-679,70,2,16740,1397,3575,3547,28,-615,1698,342,0,-213,0,24,328,78,0,114,13,56,0,-58,0,410,222,188,9933
1971:Q1,-13982,121,-1098,-246,0,0,58,-1093,183,-14557,-3418,-1066,-304,-9769,1580,-6,1586,-30,2,-13982,283,-4076,-4104,28,-3128,195,91,0,183,0,23,-209,93,0,-36,13,57,0,-33,0,-179,-252,73,-7169
1971:Q2,14753,150,2294,387,0,0,-32,1535,404,10735,3892,579,-327,6591,1597,84,1513,-25,2,14753,5614,748,721,27,4139,420,487,0,404,0,21,-67,6,0,68,-18,54,0,19,0,-107,-275,168,3452
1971:Q3,-1370,127,1081,768,0,0,1,-154,466,-2192,508,-1271,77,-1506,-645,-75,-570,258,1,-1370,1896,92,58,34,1144,-663,848,0,466,0,18,25,37,0,30,193,51,0,28,0,85,3,82,-4772
1971:Q4,19141,80,2230,-12,0,0,92,2709,-559,19054,1249,1660,58,16087,-2379,181,-2560,154,2,19141,5551,1895,1847,48,1345,1032,-200,0,-559,0,15,256,63,0,98,-134,51,0,10,0,487,331,156,9031
1972:Q1,-12363,268,-2291,-1154,0,0,-190,-1456,509,-5991,-1429,-523,347,-4386,-4274,41,-4315,-77,2,-12363,-1246,-2270,-2330,60,-3395,-547,159,0,509,0,12,-599,108,0,155,-80,50,0,4,0,247,198,49,-5312
1972:Q2,6116,171,2204,543,0,0,23,2889,-1251,5105,343,545,377,3840,-1291,102,-1393,-75,2,6116,266,73,-5,78,1536,471,-896,0,-1251,0,10,164,58,0,44,25,49,0,5,0,671,502,169,3995
1972:Q3,3902,134,-280,-486,0,0,-69,-1766,2041,3963,387,-639,336,3879,-155,333,-488,239,1,3902,4164,2988,2912,76,-575,-671,2275,0,2041,0,6,94,106,0,-24,5,49,0,-2,0,704,600,104,-4983
1972:Q4,27878,113,3936,-9,0,0,140,3979,-174,21186,1405,1540,332,17909,2402,-170,2572,239,2,27878,10276,1834,1780,54,1456,1515,672,0,-174,0,3,559,213,0,44,2,48,0,-23,0,564,302,262,11561
1973:Q1,-15046,107,204,1578,0,0,73,-1688,241,-14247,512,-1530,-259,-12970,-1142,-174,-968,29,3,-15046,-2178,-3747,-3876,129,1646,-1563,-231,0,241,0,0,-457,99,0,-155,35,47,0,-41,0,-271,-360,89,-8702
1973:Q2,9425,111,3100,630,0,0,-5,3698,-1223,5291,-959,1108,606,4536,1008,336,672,-88,3,9425,3675,134,-2,136,161,1060,-1115,0,-1223,0,-6,-23,127,0,52,-24,47,0,-65,0,1145,937,208,4365
1973:Q3,-7667,83,-2486,-2911,0,0,63,-1643,2005,-4358,-2220,-1529,231,-840,-1122,-121,-1001,216,0,-7667,585,1791,1642,149,-5200,-1612,2176,0,2005,0,-5,-66,324,0,-64,4,46,0,-68,0,276,173,103,-5683
1973:Q4,31947,102,4176,205,0,0,-200,3154,1017,25974,1659,2026,1648,20641,1520,697,823,174,1,31947,10270,3760,3613,147,1637,1902,1784,0,1017,0,-2,635,115,0,-56,83,45,0,-53,0,2684,2145,539,9910
1974:Q1,-22152,97,-1691,-427,0,0,119,-404,-979,-20233,-1255,-1637,458,-17799,-298,-219,-79,-29,2,-22152,-4215,-3621,-4062,441,-1865,-1746,-1603,0,-979,0,7,-577,149,0,-185,-26,44,0,-36,0,488,358,130,-9591
1974:Q2,8416,111,3296,761,0,0,26,3863,-1354,1360,-243,2353,453,-1203,3676,651,3025,-30,3,8416,-1144,586,345,241,1271,2319,-1240,0,-1354,0,12,-42,236,0,-54,-54,43,0,-27,0,1365,1130,235,5260
1974:Q3,-3319,145,1604,472,0,0,259,-1279,2152,-2369,-987,-2532,81,1069,-2756,-520,-2236,57,0,-3319,2100,2697,2851,-154,-1179,-2501,2480,0,2152,0,14,51,253,0,-35,22,43,0,-20,0,27,-180,207,-6943
1974:Q4,24963,183,4150,-367,0,0,-181,3565,1133,20047,-2573,1764,1079,19777,532,620,-88,49,2,24963,8747,1581,2017,-436,-2782,1861,1975,0,1133,0,21,496,273,0,-16,45,42,0,-19,0,1932,1518,414,11649
1975:Q1,-21866,201,-1121,562,0,0,79,-684,-1078,-19890,-859,-1336,-1520,-16175,-1235,-374,-861,175,4,-21866,-12637,4429,4459,-30,686,-1220,-1330,0,-1078,0,-169,-385,260,0,63,-50,41,0,-12,0,-1702,-1815,113,-10092
1975:Q2,19896,234,4926,2277,0,0,-148,3275,-478,12594,-835,942,778,11709,1960,311,1649,178,4,19896,9924,2135,2080,55,2340,1033,-171,0,-478,0,43,-67,289,0,15,-4,41,0,-10,0,1277,941,336,3358
1975:Q3,-3495,247,1605,1468,0,0,-148,-799,1084,-4250,65,-1565,-218,-2532,-1291,13,-1304,192,2,-3495,2220,-507,-727,220,1645,-1490,1149,0,1084,0,72,-252,268,0,-36,-26,40,0,-1,0,-110,-353,243,-6402
1975:Q4,25486,284,4945,163,0,0,178,3520,1084,18916,-63,2074,501,16404,1142,232,910,197,2,25486,1817,5024,4688,336,-1933,2153,2189,0,1084,0,154,630,217,0,-21,77,39,0,9,0,1419,911,508,14817
1976:Q1,-18311,185,-1463,-100,0,0,-88,-280,-995,-17189,-734,-2755,-457,-13243,117,-197,314,-18,57,-18311,-4577,432,156,276,-1168,-2690,-1405,0,-995,0,-195,-629,217,0,-10,4,38,0,165,0,-502,-742,240,-8402
1976:Q2,19376,155,8124,4784,0,0,165,2451,724,10626,2248,1365,171,6842,445,306,139,-21,47,19376,5724,995,638,357,7505,1400,1210,0,724,0,129,125,87,0,20,-20,37,0,108,0,1114,642,472,1428
