1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2008:Q1,82329290,29787387,52541903,8526472,4657403,2704996,1952407,255197,587583,15070,63315,1031242,1508811,15427103,9143156,6283947,942607,1989868,109491,187532,3054449,22422114,14638449,67690841,5.657042555428955,8.864168806052469,18.738292318128003,29.36152320184342
2008:Q2,81197098,29291564,51905534,8327424,4830711,2838501,1992210,258008,596037,14413,64277,1059475,1502837,14760938,8524495,6236443,910043,1967103,109307,185894,3064096,22483623,14590250,66606848,5.94936419663077,9.306736136199751,18.17914521076486,28.438082132215474
2008:Q3,78887760,28720636,50167124,8484604,4989372,3076488,1912884,245610,587108,14188,61818,1004160,1515296,12797911,7438941,5358970,793655,1735397,94676,158623,2576619,22379942,14726492,64161268,6.324646904943308,9.945501881815126,16.22293574985635,25.510552676491034
2008:Q4,75462871,28107255,47355616,8986059,5181862,3401516,1780346,226644,580651,13870,57509,901672,1257780,9868022,5853536,4014486,609453,1337514,73242,119569,1874708,22061894,14452679,61010192,6.866770710748033,10.942445145415428,13.076657883935889,20.83812283936666
2009:Q1,73523651,27444811,46078840,8885778,5525439,3683050,1842389,234078,601451,13507,58568,934785,1190965,8769658,5184062,3585596,546979,1195262,63949,104913,1674493,21707000,14363334,59160317,7.515186007973888,11.991272219692819,11.927669777074424,19.031855644257416
2009:Q2,73886256,26701900,47184356,8754171,5324462,3293914,2030548,257254,644216,13841,63904,1051333,1200166,10601331,6257603,4343728,652918,1408828,80373,126154,2075455,21304226,14337470,59548786,7.206296224007631,11.28438092486734,14.348176928151032,22.467893214720796
2009:Q3,75651477,26340657,49310820,8571650,5743894,3477153,2266741,287985,700642,14902,70376,1192836,1217570,12464829,7331818,5133011,763227,1635806,96518,146939,2490521,21312876,14333197,61318280,7.592574181104178,11.648345189729401,16.476649845716246,25.278080976917504
2009:Q4,75777940,26044215,49733725,8706648,5704169,3321979,2382190,302878,724380,16257,73866,1264809,1217815,12872544,7451598,5420946,813197,1707689,105253,154213,2640594,21232549,14327228,61450712,7.527479722224767,11.469418531588419,16.987191959057483,25.88292781176436
2010:Q1,76887692,25984209,50903483,8467244,6120113,3574542,2545571,320438,766083,16651,78334,1364065,1222188,13561188,7833313,5727875,852019,1796838,112993,161079,2804946,21532749,14220832,62666860,7.959807968508538,12.02297424640645,17.63765847109921,26.64098360210471
2010:Q2,76291121,26016928,50274193,8333258,6444410,3754394,2690016,335648,811318,17655,80473,1444922,1230084,12207396,7143358,5064038,752567,1591750,99833,138213,2481675,22059046,14157620,62133501,8.447129240226547,12.818524149934984,16.00106989515712,24.281634037171223
2010:Q3,78277373,25868177,52409196,8404250,6535898,3670586,2865312,356588,862740,19530,85289,1541165,1240645,13733688,8021905,5711783,852562,1789382,111741,155119,2802979,22494715,14083638,64193735,8.349664743555847,12.470899572943004,17.544901607679723,26.20472949352935
2010:Q4,79945528,25652904,54292624,8512595,6597443,3716220,2881223,363787,863942,19137,85798,1548559,1255436,15103278,8784661,6318617,956917,1984922,128539,172765,3075474,22823872,14069660,65875868,8.252422483506406,12.15163726691396,18.891961558762123,27.818287852007494
2011:Q1,81036428,25413579,55622849,8651005,6480396,3648418,2831978,355697,847890,18789,82361,1527241,1252004,16126318,9409638,6716680,1015132,2099241,136471,179089,3286747,23113126,14045144,66991284,7.9968925262706065,11.650600723721082,19.900085199503064,28.992254962261583
2011:Q2,81386681,25326131,56060550,8765526,6636845,3772823,2864022,355696,858853,19897,81900,1547676,1293885,15990325,9298263,6692062,1008603,2084107,137557,173770,3288025,23373969,13999683,67386998,8.154706420917602,11.838708167271328,19.647348672273594,28.523310979661215
2011:Q3,79480109,25262816,54217293,8894814,6957083,4135889,2821194,341291,869124,21212,78913,1510654,1289541,13304724,7808723,5496001,815758,1724205,111482,135916,2708640,23771130,13990269,65489840,8.753238336363712,12.83185305609654,16.73969060395397,24.53963228010201
2011:Q4,80911502,25224107,55687395,9082748,7148162,4131824,3016338,372965,910890,22993,83685,1625805,1237296,14305343,8334800,5970543,914555,1889467,118457,146015,2902049,23913846,13980680,66930822,8.834543732810038,12.836229842499328,17.6802341119247,25.688655305085728
2012:Q1,82839873,25075946,57763927,9105700,7256920,4036961,3219959,392431,962092,24240,88008,1753188,1242288,16081262,9309030,6772232,1029036,2120194,136321,162503,3324178,24077757,13923311,68916562,8.760177391356818,12.56306523847587,19.412465337492506,27.83962670838069
