1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1990:Q3,4545714,222158,123818,14509,31109,2792,89772,12016,49068,2886,25802,0,149532,89457,60075,46304,253215,730834,2600,9296,1110440,1759335,12849773,6657120,1252441,131811,115026,1005604,2549120,763216,559715,1226189,104622,681599,72853,1996486,6192653,2654774,465406,3072473
1990:Q4,4476033,242365,125583,14717,32994,2137,91953,13836,50161,3285,24671,0,154945,87804,67141,37491,274682,620444,2575,9723,1064995,1801429,13167834,6678809,1254454,116852,115153,1022449,2557397,764802,569431,1223164,105628,692727,70302,1998301,6489026,2956992,442331,3089703
1991:Q1,4508234,210377,128049,15349,36545,1324,89197,13845,46999,2873,25480,0,146930,87744,59186,41684,313678,627532,2500,11775,1048621,1834673,13570569,6642262,1276700,119851,114860,1041989,2521805,751166,545663,1224976,100253,657593,66752,2019159,6928307,3397923,452981,3077403
1991:Q2,4543126,218448,132669,12599,36865,1430,93375,15866,47099,4955,25455,0,145318,87933,57385,36958,311831,639468,2563,12357,1078110,1821134,13556531,6672976,1300855,119437,115537,1065881,2504079,736853,540839,1226387,106559,667647,59628,2034208,6883555,3355984,447778,3079793
1991:Q3,4600745,229880,136293,13578,38117,1635,108785,14318,54475,3350,36642,0,145331,88088,57243,35902,327479,649858,2626,13606,1092297,1805358,13753044,6696348,1308215,107016,115277,1085922,2459054,724801,531081,1203172,102276,681809,63751,2081243,7056696,3538025,448168,3070503
1991:Q4,4658292,249822,130809,16435,39733,1620,120300,14695,55675,5112,44818,0,151583,88595,62988,35554,353898,707348,2774,14828,1058104,1775484,14250015,6669247,1313573,98477,113984,1101112,2412616,713703,511019,1187894,98961,717167,61371,2065559,7580768,4000417,534545,3045806
1992:Q1,4784259,242201,130553,14978,46356,3211,109435,13853,54367,7872,33322,21,144148,88116,56032,41861,334622,715287,2700,16197,1075481,1907229,14437231,6943770,1345889,110434,114334,1121121,2394878,707442,511179,1176257,97087,698459,67184,2340273,7493461,3914314,547730,3031417
1992:Q2,4796342,242356,131103,14987,49543,3872,132947,14122,70171,7727,40878,49,144926,88053,56873,42279,330317,726010,2600,17119,1119455,1838828,14407311,6952999,1366738,111996,115097,1139645,2372214,699220,509375,1163619,99345,716598,64213,2333892,7454312,3876608,552389,3025315
1992:Q3,4816192,242431,134367,15639,53416,3194,128627,14757,65332,8462,39984,92,146073,88230,57843,41093,329952,736376,2700,18891,1134080,1829353,14539823,6977773,1379380,108216,116104,1155060,2348067,692776,509819,1145472,97896,725753,68374,2358302,7562051,3973482,553247,3035322
1992:Q4,4769315,249374,136186,15791,57073,5057,145149,17044,73565,8585,45813,142,154746,89005,65741,42164,335563,661560,2700,21148,1092754,1850050,14942370,6984636,1394296,107106,118285,1168905,2323474,686913,518277,1118284,101050,756882,68465,2340469,7957734,4369261,564097,3024376
