1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q4,25043,19431,7358,4815,-805,-10854,8740,152,-123,-466,4206,1997,12003,-1185,4435,2389,-27050,98338,37494,9434,23791,1047,-14185,-257,424,325,-630,11230,6753,251,1059,17057,0,7420,9844,-622,-13654,1558,0,-73295
1997:Q1,41085,2248,15249,-4512,113,8863,10179,2208,-6143,-77,-12679,9032,10991,-715,1334,-975,5968,-14688,-32289,12229,26055,-644,12831,1561,147,-6825,57,6153,735,-583,5507,-3093,0,-7350,1606,-879,-29978,72,0,55772
1997:Q2,-64190,-38409,13999,5610,956,12908,-1703,1082,251,657,-2706,-4330,-10577,-1561,3420,402,-44189,-40398,-109144,13604,13187,2226,6817,-1927,366,3197,66,-2170,3048,237,2367,8943,0,3972,9853,-2339,6387,912,0,-23791
1997:Q3,46996,-17776,13999,-10191,-917,13733,-1645,1016,-142,2871,-9043,2619,17744,-2593,16537,686,20098,44646,-16352,14229,27533,-467,7053,-1366,-13,-375,72,9868,1590,158,7389,-2165,0,980,-6848,-2098,5928,-470,0,2350
1997:Q4,47764,-63877,12750,9352,993,32368,5723,385,-184,2506,13372,-172,-480,-3583,8998,1092,28521,153832,21601,15855,6670,902,16351,2911,1341,1835,-11376,5607,4615,247,1900,32813,0,9991,14178,-5837,32408,1820,0,-106067
1998:Q1,32834,21503,25530,-5929,-267,-70865,-1995,741,378,-176,13650,9412,-27617,-4416,80219,126,-7460,-66184,-90149,27889,37761,210,-62403,-1985,59,4163,-47,13699,1857,187,17259,-13821,0,-2061,-19671,-2941,22537,1274,0,99017
1998:Q2,27269,43257,21780,3619,-282,11891,5498,806,539,-432,888,-2228,-1036,2022,-44098,-143,-14812,64108,49069,32339,-9818,1203,-532,4457,332,-3516,-37,791,1862,151,-15583,2818,0,2305,4560,1045,-8891,1554,0,-36839
1998:Q3,19550,6062,20530,-4966,-836,28424,-4377,460,-162,-466,9553,374,-3015,4194,966,705,-37897,198638,57252,32964,11136,759,6953,4455,566,1491,-33,12125,1623,-113,4285,39739,0,-2145,-8476,6120,28548,1390,0,-179089
1998:Q4,331750,269914,24280,173,1356,10816,-2164,4276,-208,-725,-7970,2530,27529,9431,-9927,2238,201,327152,317946,28664,-35435,751,13447,-688,2134,4905,-10085,-8059,-79,9,-1176,-4241,0,1804,5789,9875,-748,2339,0,4598
1999:Q1,143169,90191,15917,-2300,-1543,-3935,-6772,694,-182,-97,27956,-4600,14360,-970,-27887,-1566,43903,13665,-15571,25350,1750,-503,30645,-1929,-7,2180,87,10298,4623,446,-5227,-9910,0,2817,12332,430,-42558,-1589,0,129504
1999:Q2,141380,90113,20917,1334,930,-8122,-1095,1279,-39,3449,4053,207,7398,-502,3501,2018,15939,-9114,-35982,16851,-7432,770,28547,-2513,411,-3327,98,-1578,5508,266,9905,-18981,0,-816,5194,-715,-11177,5856,0,150494
1999:Q3,123485,67230,18416,-3630,632,28663,14538,1737,106,4820,18916,-3673,-9185,1005,21093,211,-37394,48913,40637,20350,-2482,-37,-13322,1644,181,-3358,106,6325,5050,46,-4861,-2386,0,3870,21,750,-3150,-472,0,74572
1999:Q4,155872,118479,18417,1661,-1502,21060,455,-1516,976,-6530,-31450,4333,6783,-1579,-36613,8374,54523,-65556,-28990,18850,-5188,428,-453,5148,-1607,-9943,-4765,-19264,4527,544,22644,6479,0,-920,15435,968,-71215,1766,0,221428
2000:Q1,145325,79972,22310,-1910,1602,11581,2996,694,-666,-2240,5364,5505,-3858,-313,41264,-9454,-7522,148102,99337,21843,-1891,-304,9789,-4136,-338,9035,-2299,2443,-1457,-137,-15028,-16567,0,3209,33322,-682,9041,2886,35,-2776
