1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q3,-2313,-6000,16208,-13284,16104,6196,332,9576,-14366,2256,-196,-3035,2483,552
1973:Q4,4089,0,-5592,-1212,-15624,-4736,496,-11384,4950,3344,19833,-1610,1054,556
1974:Q1,3856,-2000,-1296,-15620,-4782,-2042,436,-3176,364,11088,16739,-637,61,576
1974:Q2,38087,0,8720,32260,5402,-266,136,5532,-9300,5468,5790,-10253,9689,564
1974:Q3,1377,-2000,4728,-13400,9312,8288,-124,1148,7344,7204,-7681,-4130,3570,560
1974:Q4,46752,0,-4796,26852,-8434,-6238,-388,-1808,-492,5596,45127,-17101,16525,576
1975:Q1,-44365,-1772,-3128,-13292,-7156,-7084,-464,392,-28163,2092,23032,-15978,15390,588
1975:Q2,-14159,924,-20724,2160,4,0,-364,368,-9687,-3680,31318,-14474,13882,592
1975:Q3,35062,1716,15512,4408,9538,4650,-300,5188,13677,-1884,1688,-9593,9009,584
1975:Q4,32680,-2248,-10516,-6996,4338,2594,-316,2060,-22327,-860,86997,-15708,15124,584
1976:Q1,-6905,384,2548,8628,-1766,-3054,-260,1548,-17502,-1168,21285,-19314,18686,628
1976:Q2,-31348,1188,-3808,10916,-3876,4052,-140,-7788,-8930,-3784,-1498,-21556,20932,624
1976:Q3,25455,1644,8160,21224,3860,708,24,3128,7898,-148,826,-18009,17365,644
1976:Q4,20537,-608,-10056,-10016,690,-5142,172,5660,-14450,2992,78276,-26291,25631,660
1977:Q1,-32021,1552,-12724,24896,2234,-2534,220,4548,8904,2648,-31074,-28457,27741,716
1977:Q2,6234,1988,6016,-5352,3222,7414,148,-4340,1276,3856,16680,-21452,20700,752
1977:Q3,-8981,-3644,-9016,9616,11468,6388,132,4948,-13584,376,17183,-21380,20608,772
1977:Q4,19364,-4424,-11492,-13216,-4256,-5752,136,1360,-38588,3920,96951,-9531,8735,796
1978:Q1,-30280,-904,11744,50804,-11078,-9078,116,-2116,-5665,5400,-76937,-3644,2800,844
1978:Q2,60473,7040,-2664,-6392,13026,13254,60,-288,-30825,760,102448,-22920,22056,864
1978:Q3,-15798,1504,332,12704,7438,6742,-124,820,-40421,2172,30538,-30065,29188,877
1978:Q4,23972,-1748,-10376,-57644,-62940,-62588,-220,-132,-20685,3088,214408,-40131,39258,873
1979:Q1,38455,-3256,-8920,53832,-9762,-6042,-208,-3512,-16013,5156,43126,-25708,24781,927
1979:Q2,-4753,-4204,576,476,4176,5532,-116,-1240,-9613,10556,35209,-41929,41015,914
1979:Q3,40569,22392,-8852,-19504,-1442,-2510,-44,1112,-8429,7060,108710,-59366,58437,929
1979:Q4,30787,-3292,2140,-80268,12090,8290,48,3752,-14885,7000,164710,-56708,55761,947
1980:Q1,42340,7116,-388,39044,-12596,-2848,64,-9812,-28343,1840,104453,-68786,67797,989
1980:Q2,-21734,7284,-23260,-12780,8722,-2706,20,11408,-24567,24280,55252,-56665,55665,1000
1980:Q3,-46503,-19204,-20628,1440,-7488,-1488,28,-6028,9213,3976,19951,-33763,32742,1021
1980:Q4,35471,5972,12292,-35588,16184,2676,44,13464,-48351,-492,107391,-21937,20887,1050
1981:Q1,2430,10068,-3328,100596,-12578,-15606,44,2984,5609,-3564,-33897,-60476,59314,1162
1981:Q2,-116055,-18960,-3220,-11540,36160,37940,24,-1804,-20559,26564,-87906,-36594,35426,1168
1981:Q3,-51129,-27676,-16376,-19360,-20724,-14384,12,-6352,-19067,7092,74914,-29932,28758,1174
1981:Q4,-64757,-9536,13207,8748,12552,-8924,8,21468,-18959,184,-42454,-28499,27331,1168
1982:Q1,64671,6540,9834,52214,-2496,-428,12,-2080,1705,11008,-10760,-3374,2174,1200
1982:Q2,9430,-19176,6805,-44342,2506,9374,24,-6892,6233,11932,51911,-6439,5249,1190
1982:Q3,-46440,492,-904,-2723,2630,2818,-44,-144,28361,-5536,-62084,-6676,5487,1189
1982:Q4,37766,-36,-2815,35307,-8556,-10368,116,1696,12101,13064,11577,-22876,21687,1189
1983:Q1,-89592,13024,-35423,-53610,10792,9220,108,1464,-51076,14140,44407,-31845,30587,1258
1983:Q2,-67900,-6892,16863,-43849,-5662,2570,64,-8296,-41496,-18724,85322,-53463,52203,1260
1983:Q3,-84536,-1056,11212,20967,11428,1960,64,9404,-53984,-2968,6712,-76846,75590,1256
1983:Q4,58812,-5788,-55751,31676,272,-7420,12,7680,-40484,-6240,205396,-70270,69024,1246
1984:Q1,58597,-2152,43530,776,4914,6970,36,-2092,-44784,-3960,103516,-43244,41923,1321
1984:Q2,-91613,-4388,8249,-55023,2808,2084,56,668,-21664,-1780,28261,-48076,46757,1319
1984:Q3,-86588,7132,6407,49019,-770,898,32,-1700,-14936,14504,-102755,-45189,43852,1337
1984:Q4,-191453,-2544,18503,-45865,-12508,-8088,28,-4448,-37032,11396,-88892,-34511,33144,1367
1985:Q1,-56614,4416,-1399,-68291,20376,12060,28,8288,-36986,6380,59455,-40565,39165,1400
1985:Q2,28685,-4548,-3011,-62940,-7088,1048,32,-8168,38314,-2848,118761,-47955,46534,1421
1985:Q3,211712,28952,-12918,-9519,8418,-5354,32,13740,-3130,7220,255065,-62375,60951,1424
1985:Q4,-65307,-3408,-14799,17059,-13300,-2428,32,-10904,24242,2660,-6658,-71104,69649,1455
1986:Q1,-106631,28992,-38323,61751,13866,18818,32,-4984,14407,2412,-119971,-69765,68310,1455
1986:Q2,-180786,3856,-15429,-8813,-14524,-4704,28,-9848,-6477,-364,-61028,-78008,76563,1445
1986:Q3,-149056,31504,-2393,-32150,-16958,-7234,28,-9752,-709,8668,-43140,-93877,92427,1450
1986:Q4,-327888,18004,-4641,1483,-20488,-9328,24,-11184,17923,12720,-269348,-83541,82083,1458
1987:Q1,-75844,-17824,20723,-3825,12148,22264,24,-10140,-13568,24773,-27107,-71163,69696,1467
1987:Q2,-273890,32844,-11504,-62553,-10970,-7718,20,-3272,-2820,-16019,-154604,-48264,46767,1497
1987:Q3,-236488,-2396,38508,10900,4678,4198,20,460,9444,18423,-295103,-20942,19397,1545
1987:Q4,-14817,46464,-35017,-29203,-4190,-18814,16,14608,-37172,10518,73939,-40157,38566,1591
1988:Q1,-8105,-23404,-9894,36777,12754,14550,0,-1796,-18460,1664,-735,-6807,5176,1631
1988:Q2,-172777,-4372,12337,-26473,636,4272,0,-3636,-40632,5497,-104489,-15281,13610,1671
1988:Q3,-173543,2464,5235,-19475,6498,-1954,0,8452,-18496,-4213,-146572,1015,-2712,1697
1988:Q4,-193681,14912,-9646,-16765,-10014,-10342,0,328,-64424,12832,-123659,3084,-4781,1697
1989:Q1,183389,49224,18142,41101,-756,11324,0,-12080,17563,908,76233,-19026,17363,1663
1989:Q2,-94085,59632,-32600,-15075,26200,22981,0,3219,-9496,15950,-67076,-71620,69940,1680
1989:Q3,58811,16268,-8530,-13702,22222,22123,0,98,6260,-5666,132783,-90823,89144,1679
1989:Q4,157852,44928,-6318,-9030,-22796,-22819,0,23,-41096,-9183,298015,-96668,94865,1803
1990:Q1,-149947,-29492,13973,-39868,34732,32654,0,2078,50383,21259,-94182,-106753,104879,1874
1990:Q2,-94399,49864,2732,-12099,5357,-1308,0,6665,-47062,2760,1144,-97095,95138,1957
1990:Q3,-351280,47804,-18115,-103782,20259,5883,0,14376,-21921,10350,-179746,-106130,104121,2009
1990:Q4,-87737,34656,-13521,4162,-13135,-23847,0,10713,-17440,5082,-8231,-79310,77283,2027
1991:Q1,162952,-31768,4034,-88350,-12662,-15560,0,2897,108779,-7225,254273,-64129,62106,2023
1991:Q2,-269072,-20920,17352,17289,18202,18221,0,-19,12968,-35691,-183856,-94415,92374,2041
1991:Q3,48725,100,13886,-11169,57172,39353,0,17819,39816,26943,31789,-109812,107748,2064
1991:Q4,239335,-57392,13475,-11832,-96978,-94389,0,-2589,9229,2629,490896,-110691,108619,2072
1992:Q1,445579,-40696,-29088,10917,23679,15777,0,7902,27312,13633,520332,-80510,78393,2117
1992:Q2,45703,36800,-14034,13541,-15537,-14918,0,-619,-6392,-5479,134364,-97561,95426,2135
1992:Q3,-213318,3356,24874,66726,8834,15095,0,-6261,41277,23574,-240193,-141766,139638,2128
1992:Q4,130928,8832,-13123,-74534,-8036,-13317,0,5282,10859,6744,350952,-150766,148598,2168
1993:Q1,41449,-17380,8878,227603,-2580,3387,0,-5967,-40142,27552,23111,-185593,183453,2140
1993:Q2,-47179,15340,3393,-57052,-5146,-11162,0,6016,-21748,-2928,167819,-146858,144670,2188
1993:Q3,-397915,-34436,-23306,99993,-5274,-3423,0,-1851,-2656,39923,-304937,-167223,164976,2247
1993:Q4,-161778,13996,29277,-132630,1992,5269,0,-3277,75783,36,-19323,-130909,128602,2307
1994:Q1,-290825,-16084,-18080,52400,-19211,-16229,0,-2982,-13201,31611,-146475,-161785,159426,2359
1994:Q2,-101014,58204,33525,65634,-5675,-2405,0,-3270,-9321,-8238,-83975,-151167,148720,2447
1994:Q3,-342324,60944,16113,29263,-5095,-2391,0,-2705,6806,13014,-335593,-127777,125228,2549
1994:Q4,-353026,46356,-1724,-29205,-401,1659,0,-2060,22516,-10009,-254338,-126221,123627,2594
1995:Q1,114404,32320,10533,116942,-12055,-7884,0,-4171,30910,27186,31601,-123032,120366,2666
1995:Q2,-234065,101184,-17361,-114975,-21953,-18345,0,-3608,48007,4672,-130889,-102749,100050,2699
1995:Q3,-258753,-66640,22463,85501,-4940,-1594,0,-3346,-45750,25870,-199895,-75362,72651,2711
