1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q4,3710580,107030,24829,18458,8241,305,71223,859174,58678,261651,93327,159448,286070,1435530,272450,192728,767372,202980,401,255517,54805,4110,0,0,8878,862080,3653398,3504088,68097,357510,992370,3866,3404,84978,248215,62458,121934,63823,53934,29476,24458,815,46510,167059,1268980,1030,2960,204360,149310,97363,51947
1977:Q1,3781919,109335,24003,19289,7883,490,69622,881007,61398,264690,99343,163789,291787,1462773,273370,196494,787136,205773,422,239700,56796,4270,0,0,9193,897137,3720526,3576080,69922,339608,1030758,3509,3460,90371,256789,63901,127536,65352,43190,26887,16303,857,43037,169307,1296706,1050,3111,224405,144446,90901,53545
1977:Q2,3909260,112481,25102,20751,8191,352,74407,909160,67804,266609,102801,171595,300351,1524494,282560,205624,818453,217857,443,249016,58481,4355,0,0,9510,912517,3845536,3695844,73048,358478,1055163,3712,3443,95190,270769,68316,132651,69802,46153,27735,18418,888,45901,171572,1326184,1070,3355,240918,149692,94700,54992
1977:Q3,4003917,112808,23925,22019,8051,377,76625,930146,68618,268860,105760,178500,308408,1584290,289318,214530,851900,228542,465,242058,60211,4363,0,0,9836,928744,3937162,3788491,74864,362058,1084311,3572,3463,100781,278239,68365,138434,71440,48490,31208,17282,917,45617,173908,1354319,1090,3631,253231,148671,92428,56243
1977:Q4,4143712,131522,27652,23393,8724,490,83771,955927,74399,270338,110112,182427,318651,1650519,301003,226173,884809,238534,489,246390,63635,4346,0,0,10176,936678,4069284,3916877,82317,388870,1116191,4146,3887,102149,296442,75134,145000,76308,61352,35320,26032,937,45491,176369,1382302,1100,3884,251440,152407,93293,59114
1978:Q1,4229495,136037,24324,25988,9118,631,83002,971649,75206,267739,114571,186326,327807,1688769,306631,230372,909353,242413,508,239724,65377,4355,0,0,10530,969483,4153372,4001095,86633,360130,1154015,4439,5620,115836,306336,75985,152133,78218,54774,31000,23774,957,44493,178972,1415228,1120,4105,268437,152277,91560,60717
1978:Q2,4385790,135393,25084,30301,7720,641,83866,1009183,81886,276470,118854,193623,338350,1770167,323273,243032,944390,259472,526,264887,67821,4356,0,0,10897,974948,4310740,4147922,88793,387316,1178943,5010,6959,116775,323761,80809,161890,81062,63960,34398,29562,998,46687,181734,1451322,1140,4422,290102,162818,99772,63046
1978:Q3,4525379,139134,25926,33365,8374,843,83163,1033992,81756,278476,125540,200464,347756,1836620,329149,253783,981184,272504,546,293706,69413,4321,0,0,11274,984702,4449080,4274933,99418,393675,1208808,5624,8407,119629,332299,79545,171023,81731,69301,34332,34969,1036,48619,184531,1488737,1160,4727,308962,174147,109610,64537
1978:Q4,4689828,165802,30390,35373,9122,1270,94176,1059812,91479,274148,130551,208659,354975,1911225,345295,264524,1018057,283349,567,281574,72024,4352,0,0,11656,1012485,4600865,4432035,112845,422633,1237393,6206,10808,116893,355149,89077,181673,84399,80720,35988,44732,1079,46050,187237,1521778,1190,4839,327215,168830,102048,66782
1979:Q1,4798537,157002,26042,37942,11450,1299,101559,1089952,99838,278861,135378,213232,362643,1952867,350854,267811,1046427,287775,589,301317,73773,4541,0,0,12107,1028098,4713365,4535991,121775,387943,1265973,6689,18020,139684,374034,94963,192981,86090,70251,33066,37185,1146,47697,189887,1563938,1240,4952,342762,177374,108966,68408
