1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2012:Q3,101792,5083,12154,709,4000,2833,4612,49310,17734,16907,14669,35245,93285,20709,36866,35710,13705
2012:Q4,102541,4752,11092,206,2629,3093,5164,52658,18318,19790,14550,34039,94281,21676,37472,35133,13607
2013:Q1,103610,4577,11344,172,2446,3168,5558,52149,18367,19724,14058,35540,95638,21872,38050,35716,14716
2013:Q2,104334,4989,10839,62,2172,3093,5512,51611,18681,18863,14067,36895,96208,22729,37643,35836,16015
2013:Q3,105572,4724,11321,261,1946,3524,5590,49987,18789,18854,12344,39540,98336,24147,39767,34422,17198
2013:Q4,105872,4455,11987,785,1856,3594,5752,50816,18742,18723,13351,38614,97108,24484,39028,33596,16850
2014:Q1,105532,5210,12506,931,1761,3454,6360,50212,18586,18174,13452,37604,96660,23613,37654,35393,16211
2014:Q2,103505,5592,11213,449,1785,2761,6218,48922,17501,18122,13299,37778,94612,24919,39071,30622,16575
2014:Q3,99491,4970,11009,886,1781,2687,5655,47381,16793,17446,13142,36131,90486,24104,38145,28237,16439
2014:Q4,110634,5103,10760,988,1732,2752,5288,46795,16589,17288,12918,47976,101509,29897,43257,28355,19191
2015:Q1,105462,5502,10716,1126,1476,2746,5368,42443,15028,16279,11136,46801,96422,29317,39517,27588,18778
2015:Q2,112953,5981,11085,1484,1819,2501,5281,41594,14893,16081,10620,54293,103876,32116,41961,29799,20471
2015:Q3,105135,5234,11078,1847,1829,2238,5164,40954,14485,15891,10578,47869,95901,31708,40876,23317,20309
2015:Q4,123354,4906,11547,2036,1818,2131,5562,40713,14457,15665,10591,66188,114225,31358,40198,42669,19965
2016:Q1,135528,5554,11383,2102,1527,1918,5836,39950,13688,15507,10755,78641,126511,34726,42816,48969,22029
2016:Q2,131134,5683,12130,2451,1502,1916,6261,39276,13386,15287,10603,74045,122092,33768,40825,47499,21996
2016:Q3,109737,7017,11835,2276,1476,1777,6306,38922,13154,15144,10624,51963,100671,34818,39958,25895,23616
2016:Q4,112523,5798,12975,3052,1520,1706,6697,38550,13020,14968,10562,55200,103317,37096,42713,23508,24213
2017:Q1,113720,6567,13848,3813,1529,1661,6845,37956,12780,14749,10427,55349,104503,38257,42307,23939,25582
2017:Q2,112051,7531,14053,4159,1375,1613,6906,37861,12964,14581,10316,52606,102738,39358,41446,21934,26263
2017:Q3,107118,9211,13334,3770,1431,1274,6859,37401,12422,14468,10511,47172,97669,35544,37848,24277,25127
2017:Q4,107715,8807,14735,4953,1518,1272,6992,38389,12589,15277,10523,45784,98227,37376,38069,22782,25338
2018:Q1,109323,10541,15862,6121,1737,1260,6744,37787,12526,14915,10346,45133,99652,38843,39179,21630,27161
2018:Q2,112256,12097,16382,6577,8495,1253,57,37594,12729,14645,10220,46183,102615,41689,39436,21490,28752
2018:Q3,114277,8186,18993,9471,8286,1171,65,37283,12832,14346,10105,49815,104532,41023,38400,25109,29696
2018:Q4,110674,7386,19475,10243,8008,1159,65,37145,13064,14079,10002,46668,100743,40894,38453,21396,29255
2019:Q1,109898,7873,20768,11299,8180,1218,71,37868,14196,13774,9898,43389,100307,41010,37639,21658,29638
2019:Q2,117029,6488,28745,14426,8360,1216,4743,39272,15873,13610,9789,42524,107587,43347,38436,25804,31850
2019:Q3,124243,8771,31053,14042,7810,1152,8049,38250,15411,13364,9475,46169,114690,46748,40214,27728,34585
2019:Q4,123372,6019,33589,16604,7990,1151,7844,40661,18090,13156,9415,43103,114651,45714,39823,29114,33570
2020:Q1,131730,9979,33957,14679,7192,1158,10928,42568,20095,12992,9481,45226,123282,46548,41506,35228,34290
2020:Q2,143068,15354,38757,17602,9085,1156,10914,44697,21741,13365,9591,44260,134335,54393,42704,37238,40276
2020:Q3,137981,17526,39274,15115,12247,1008,10904,43262,20200,13707,9355,37919,130150,56457,43414,30279,43776
2020:Q4,135560,16037,41349,13798,14984,99,12468,41565,18654,13475,9436,36609,127559,56720,42889,27950,44040
2021:Q1,142512,15880,43759,15334,16569,99,11757,40388,17955,13129,9304,42485,134360,62495,47392,24473,47532
2021:Q2,149856,24590,42396,15521,17126,99,9650,39468,17603,12680,9185,43402,142147,69280,48206,24661,54761
2021:Q3,140830,23796,47290,18351,17183,87,11669,38075,16263,12326,9486,31669,132922,65864,43243,23815,53824
2021:Q4,135427,23210,47475,19602,16510,87,11276,37199,15785,11968,9446,27543,127532,64042,40705,22785,52461
2022:Q1,129469,14683,47838,19589,16911,86,11252,37199,15894,11667,9638,29749,121723,57771,39858,24094,46651
2022:Q2,129705,13189,51264,23045,16901,86,11232,37567,16269,11478,9820,27685,121904,59220,38623,24061,48090
2022:Q3,137018,7673,54545,26775,16588,73,11109,38505,16812,11382,10311,36295,128622,61785,41366,25471,48826
2022:Q4,130001,7358,50920,23497,16241,74,11108,38885,17165,11412,10308,32838,122346,57887,38703,25756,44580
2023:Q1,132566,7937,50034,22952,15955,73,11054,39023,17291,11326,10406,35572,124761,58143,40926,25692,44825
2023:Q2,133639,10568,49596,22835,15679,71,11011,39734,18055,11318,10361,33741,125668,59180,40272,26216,47837
2023:Q3,156439,7792,68911,22472,15701,68,30670,41239,19272,11473,10494,38497,148267,58535,41083,48649,47793
2023:Q4,164554,7897,73187,21652,15544,104,35887,43505,20894,11723,10888,39965,156159,60955,38733,56471,48673
2024:Q1,157318,6766,74052,23109,15178,111,35654,44059,21251,11788,11020,32441,148927,55945,34110,58872,47030
2024:Q2,159270,6827,76774,23521,15037,111,38105,45083,22191,11882,11010,30586,150812,56753,33467,60592,47822
2024:Q3,164032,6892,77147,21640,14903,101,40503,45840,22626,11995,11219,34153,155588,55392,33254,66942,46956
2024:Q4,167584,7484,79221,22812,14679,101,41629,47138,23525,12189,11424,33741,159030,57440,33693,67897,48772
2025:Q1,166308,7488,80769,23782,14250,122,42615,45043,22508,11717,10818,33008,158040,55655,32571,69814,48144
