1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,7751,73,835,-444,0,0,-113,869,523,6744,553,414,-247,6024,75,25,50,24,0,7751,4429,2143,1637,506,119,414,779,0,523,0,36,80,65,0,19,-2,88,0,-30,0,-335,-335,0,202
1952:Q1,13728,88,-180,-708,0,0,56,1532,-1060,13628,4176,900,-132,8684,160,56,104,32,0,13728,5652,3316,3264,52,5472,900,-1316,0,-1060,0,52,-280,4,0,20,-40,20,0,-32,0,-20,-20,0,-276
1952:Q2,3364,92,1676,368,0,0,24,1436,-152,1424,-728,-596,424,2324,136,44,92,36,0,3364,352,1356,1992,-636,-2180,-596,176,0,-152,0,76,248,-36,0,20,40,24,0,-44,0,492,492,0,3764
1952:Q3,11448,108,1128,-692,0,0,744,1108,-32,10328,4656,1356,1248,3068,-152,-56,-96,36,0,11448,4684,-460,348,-808,6560,1300,-72,0,-32,0,92,-48,-36,0,20,-32,24,0,-60,0,1936,1936,0,-2500
1952:Q4,-2200,124,2544,1600,0,0,-720,196,1468,-4952,-1776,-132,-708,-2336,64,20,44,20,0,-2200,-2124,-2960,-2476,-484,-368,-312,1908,0,1468,0,108,324,-8,0,20,60,24,0,-88,0,-1408,-1408,0,3064
1953:Q1,4008,56,-740,-1196,0,0,-188,1472,-828,3508,-2268,76,-476,6176,1176,-12,1188,8,0,4008,12500,-3984,-3648,-336,-3920,-112,-1344,0,-828,0,92,-624,36,0,24,16,16,0,-76,0,-676,-676,0,1544
1953:Q2,-10664,112,24,-620,0,0,76,384,184,-9688,-9244,676,-272,-848,-1108,8,-1116,-4,0,-10664,-5808,4900,5192,-292,-11036,480,128,0,184,0,72,-168,72,0,36,-8,20,0,-80,0,-188,-188,0,860
1953:Q3,17444,72,2612,1804,0,0,-60,1236,-368,14824,11816,1196,-156,1968,-64,-4,-60,0,0,17444,3688,-1232,-1068,-164,16368,972,116,0,-368,0,44,328,76,0,36,52,20,0,-72,0,-220,-220,0,-2248
1953:Q4,-11624,88,-3560,-2196,0,0,-348,-1064,48,-8236,-3484,596,-404,-4944,80,28,52,4,0,-11624,-5244,-832,-840,8,-7540,320,932,0,48,0,12,740,40,0,28,112,20,0,-68,0,-724,-724,0,1464
1954:Q1,2532,164,1656,1844,0,0,260,-908,460,656,-900,1516,-216,256,28,-4,32,28,0,2532,3392,-2548,-2784,236,764,1280,-324,0,460,0,-16,-620,8,0,16,-212,36,0,4,0,40,40,0,-72
1954:Q2,5596,96,-712,-256,0,0,232,-900,212,6104,792,-1328,204,6436,68,20,48,40,0,5596,2904,3888,3392,496,-172,-1432,440,0,212,0,-44,164,-20,0,8,20,36,0,64,0,456,456,0,-488
1954:Q3,8276,48,-596,-768,0,0,-164,324,12,8732,-3936,-84,-884,13636,44,8,36,48,0,8276,9688,4688,4132,556,-4196,-8,132,0,12,0,-64,40,-20,0,0,96,-48,0,116,0,-1040,-1040,0,-988
1954:Q4,1980,56,-536,188,0,0,-72,204,-856,2256,4148,1320,1404,-4616,164,52,112,40,0,1980,-7664,2788,2376,412,2248,1644,-404,0,-856,0,-84,516,-4,0,-4,-12,-104,0,144,0,1384,1384,0,1984
1955:Q1,6588,48,1756,1252,0,0,-432,-604,1540,4788,-4848,-296,-940,10872,-40,-20,-20,36,0,6588,8644,3084,2764,320,-6180,-52,916,0,1540,0,-28,-716,40,0,-12,-40,44,0,88,0,-1392,-1392,0,1568
1955:Q2,976,20,-2244,-2616,0,0,-12,900,-516,3064,3876,116,264,-1192,108,36,72,28,0,976,-3632,752,476,276,4736,-24,-236,0,-516,0,12,112,72,0,-24,8,92,0,8,0,288,288,0,-908
1955:Q3,4220,16,1144,248,0,0,4,440,452,3060,-4104,1224,-204,6144,-36,-16,-20,36,0,4220,6592,1284,1020,264,-2072,668,896,0,452,0,48,284,76,0,-24,-20,148,0,-68,0,-216,-216,0,-2932
1955:Q4,-1608,8,716,324,0,0,100,916,-624,-2428,3224,440,504,-6596,44,12,32,52,0,-1608,-6924,-176,-448,272,2436,-516,72,0,-624,0,68,420,44,0,-20,132,188,0,-136,0,616,616,0,2884
1956:Q1,10988,28,672,448,0,0,-240,-644,1108,10180,6196,1708,424,1852,44,16,28,64,0,10988,6768,-3272,-3420,148,5032,672,60,0,1108,0,24,-860,16,0,4,-160,16,0,-88,0,200,200,0,1528
1956:Q2,-4988,68,-584,-544,0,0,-172,2620,-2488,-4664,-3244,1040,296,-2756,116,40,76,76,0,-4988,-4,-40,-116,76,-2932,244,-2468,0,-2488,0,-36,144,-8,0,12,-64,-4,0,-24,0,164,164,0,48
1956:Q3,1220,56,608,148,0,0,112,-2336,2684,356,-4084,-1912,-392,6744,112,40,72,88,0,1220,3428,508,368,140,-2864,-2496,2672,0,2684,0,-100,-8,-12,0,20,48,-4,0,44,0,-240,-240,0,212
1956:Q4,2784,80,1484,168,0,0,-36,340,1012,1056,1228,-132,780,-820,60,16,44,104,0,2784,-2840,2320,2000,320,-388,-532,1952,0,1012,0,-160,788,4,0,28,176,4,0,100,0,760,760,0,1512
1957:Q1,9220,76,-736,176,0,0,108,-44,-976,9804,8204,304,-1292,2588,-48,-4,-44,124,0,9220,4856,-344,-824,480,9548,-124,-1896,0,-976,0,-108,-828,36,0,40,-188,44,0,84,0,-1188,-1188,0,-1632
1957:Q2,-7380,88,424,-500,0,0,440,464,20,-8108,-6836,2516,2032,-5820,72,32,40,144,0,-7380,-3236,-368,-924,556,-7484,1848,452,0,20,0,-44,272,60,0,56,28,24,0,36,0,2504,2504,0,-1096
1957:Q3,2876,76,352,404,0,0,-328,428,-152,2172,1012,-3452,-8,4620,128,0,128,148,0,2876,2832,2920,2212,708,1112,-4424,-8,0,-152,0,28,32,60,0,56,-44,28,0,-16,0,-336,-336,0,780
1957:Q4,-6332,80,80,24,0,0,-60,-1288,1404,-6792,-1720,1608,468,-7148,164,8,156,136,0,-6332,-8048,592,-328,920,-2632,260,2224,0,1404,0,92,568,48,0,36,128,16,0,-68,0,416,416,0,856
1958:Q1,9904,144,-1040,264,0,0,-412,420,-1312,10876,6092,-288,-1336,6408,-212,16,-228,136,0,9904,7840,-664,-2200,1536,5468,-1528,-1756,0,-1312,0,104,-488,36,0,20,-116,40,0,-40,0,-1732,-1732,0,2276
1958:Q2,14412,84,-540,-1140,0,0,60,172,368,14856,15096,3680,996,-4916,-132,48,-180,144,0,14412,-8028,3228,996,2232,12924,3036,776,0,368,0,92,160,28,0,12,100,16,0,0,0,1104,1104,0,1372
1958:Q3,-14332,64,1116,120,0,0,172,856,-32,-15784,-28484,-3100,-1580,17380,148,12,136,124,0,-14332,13960,6020,4100,1920,-25928,-3244,36,0,-32,0,64,28,24,0,0,-120,24,0,48,0,-1396,-1396,0,-3780
1958:Q4,13052,60,400,-48,0,0,-164,-20,632,12404,8704,648,1804,1248,116,0,116,72,0,13052,-2860,1940,1340,600,8768,896,1564,0,632,0,32,596,32,0,-4,184,4,0,88,0,1640,1640,0,1104
1959:Q1,5736,48,1224,560,0,0,144,876,-356,3612,-1460,3712,-428,1788,804,60,744,12,36,5736,8020,-1636,-976,-660,-1580,4268,-864,0,-356,0,12,-592,36,0,-12,-168,140,0,76,0,-224,-224,0,-2248
1959:Q2,1464,132,-384,-1168,0,0,-36,-24,844,648,668,-1228,656,552,1120,68,1052,-56,4,1464,4020,-2548,-580,-1968,-332,-444,1152,0,844,0,0,-48,44,0,-28,148,144,0,48,0,688,688,0,-1072
1959:Q3,4480,120,944,384,0,0,48,1340,-828,2384,-100,240,-428,2672,1092,76,1016,-60,0,4480,7792,-4040,-1792,-2248,816,1488,-868,0,-828,0,-12,-192,44,0,-28,-32,168,0,12,0,-304,-304,0,-404
1959:Q4,-4528,8,-792,-360,0,0,140,36,-608,-2356,4092,-604,184,-6028,-1376,52,-1428,-12,0,-4528,-10116,-1720,-200,-1520,3728,1372,312,0,-608,0,-32,604,32,0,-24,180,180,0,-20,0,376,376,0,1520
1960:Q1,2228,116,56,16,0,0,-488,-840,1368,1900,-20,388,-1756,3288,108,-12,120,44,4,2228,4644,-2028,-992,-1036,128,2160,472,0,1368,0,-12,-728,12,0,8,-220,48,0,-4,0,-2256,-2256,0,-892
1960:Q2,5288,56,108,-32,0,0,132,-1108,1116,4928,4604,-1344,1072,596,120,-16,136,76,0,5288,276,-980,-208,-772,4304,-704,1608,0,1116,0,-4,244,-8,0,24,176,52,0,8,0,1188,1188,0,-404
1960:Q3,4084,84,176,-24,0,0,-256,1332,-876,3632,-2720,1836,124,4392,96,-16,112,96,0,4084,6100,404,960,-556,-1244,920,-924,0,-876,0,0,-20,0,0,28,-168,76,0,36,0,-148,-148,0,-1024
1960:Q4,-2640,92,-208,-92,0,0,104,52,-272,-2776,1716,-16,1056,-5532,156,-16,172,92,4,-2640,-3112,-3928,-3520,-408,984,-2428,716,0,-272,0,-4,588,40,0,28,192,88,0,56,0,1144,1144,0,3984
1961:Q1,7436,44,944,48,0,0,224,-132,804,6256,-4584,208,1828,8804,80,28,52,112,0,7436,6460,1748,1856,-108,-5530,-2280,492,0,804,0,20,-392,88,0,32,-284,152,0,72,0,2080,2080,0,4466
1961:Q2,-136,112,-84,-268,0,0,-104,2180,-1892,-612,356,-196,-416,-356,316,24,292,132,0,-136,360,1432,1240,192,-894,-1344,-1196,0,-1892,0,28,152,132,0,36,136,140,0,72,0,-496,-496,0,2002
1961:Q3,17264,500,2064,164,0,0,452,-1104,2552,14784,4544,1472,536,8232,-220,-84,-136,136,0,17264,3100,1104,832,272,8192,1544,3132,0,2552,0,40,156,136,0,36,0,148,0,64,0,904,904,0,-712
1961:Q4,904,92,900,156,0,0,-300,1136,-92,-368,-312,788,1800,-2644,148,-84,232,128,4,904,-11064,8520,8404,116,-1932,1968,980,0,-92,0,44,332,100,0,32,368,148,0,48,0,1416,1416,0,1016
1962:Q1,5932,12,892,-172,0,0,-128,836,356,4704,2752,-1656,1192,2416,204,68,136,120,0,5932,9276,-5320,-5380,60,1808,-320,-460,0,356,0,92,-692,68,0,32,-416,92,0,8,0,1132,1132,0,-184
1962:Q2,3352,40,2460,792,0,0,364,2980,-1676,564,3204,-912,-280,-1448,172,72,100,112,4,3352,-1460,1620,1584,36,2432,-356,-1244,0,-1676,0,136,-24,40,0,36,180,92,0,-28,0,156,156,0,2204
1962:Q3,3344,-192,472,-676,0,0,-320,-1412,2880,3268,-3640,1640,-1800,7068,-324,-116,-208,120,0,3344,-2020,5864,5872,-8,-820,1500,3356,0,2880,0,128,304,32,0,32,-56,96,0,-60,0,-2236,-2236,0,-2300
1962:Q4,12180,68,2280,416,0,0,76,28,1760,9880,2532,244,1504,5600,-192,-92,-100,140,4,12180,-7624,12120,12204,-84,394,-456,2960,0,1760,0,68,672,48,0,20,372,100,0,-80,0,1488,1488,0,3298
1963:Q1,1116,44,2380,1104,0,0,-292,3448,-1880,-1144,-48,1020,-1080,-1036,-324,96,-420,160,0,1116,20840,-18464,-18368,-96,178,244,-3312,0,-1880,0,8,-908,56,0,16,-480,-140,0,16,0,-1276,-1276,0,2906
1963:Q2,8624,36,2220,32,0,0,0,3824,-1636,6128,6324,-920,1336,-612,56,8,48,180,4,8624,904,2064,2268,-204,6792,-1260,-1340,0,-1636,0,-44,64,56,0,8,344,-144,0,12,0,1344,1344,0,120
1963:Q3,7764,4,2556,248,0,0,-156,-300,2764,5308,-5460,1044,-72,9796,-288,-96,-192,184,0,7764,4168,3320,3516,-196,-5800,1064,2920,0,2764,0,-64,416,68,0,4,-184,-148,0,64,0,-324,-324,0,2416
1963:Q4,2200,-40,2960,-328,0,0,144,3432,-288,-1056,-3256,3352,1112,-2264,168,64,104,164,4,2200,-7196,8552,8636,-84,-2940,3696,260,0,-288,0,-56,464,84,0,-4,216,-160,0,4,0,1320,1320,0,-1492
1964:Q1,6604,4,2436,1164,0,0,-168,1296,144,3860,2704,3804,380,-3028,144,84,60,160,0,6604,3960,-9136,-9140,4,1136,2180,-688,0,144,0,-32,-688,116,0,0,-300,-16,0,88,0,296,296,0,8856
1964:Q2,9180,-4,2068,-220,0,0,88,704,1496,6152,3480,-7648,1300,9020,804,16,788,156,4,9180,6384,4056,3940,116,4520,-5520,1800,0,1496,0,-24,-60,192,0,0,248,-32,0,-20,0,1404,1404,0,-3464
1964:Q3,21952,-100,2348,-436,0,0,-84,3472,-604,18476,-1216,4200,784,14708,1080,212,868,148,0,21952,13468,3328,3172,156,954,4100,-648,0,-604,0,-28,140,28,0,0,-148,-16,0,-20,0,912,912,0,-162
1964:Q4,-984,-592,3140,872,0,0,376,1836,56,-4572,-5120,940,868,-1260,912,-20,932,124,4,-984,1544,456,324,132,-4762,4288,940,0,56,0,-60,696,140,0,-8,144,-16,0,-12,0,1224,1224,0,-4674
1965:Q1,4164,-60,2372,272,0,0,-272,2296,76,1140,3452,1176,-288,-3200,620,44,576,92,0,4164,3344,-3072,-3176,104,2012,-2756,-1452,0,76,0,-64,-808,-560,0,0,-256,136,0,24,0,-972,-516,-456,7060
1965:Q2,11052,88,1484,-172,0,0,52,-620,2224,9968,11252,-3136,-340,2192,-540,-36,-504,48,4,11052,3644,-1404,-1524,120,9192,-3480,2292,0,2224,0,-88,-28,-96,0,0,108,128,0,44,0,-104,-324,220,912
1965:Q3,7456,240,3944,200,0,0,76,3848,-180,4088,-17060,3492,800,16856,-880,-28,-852,64,0,7456,21968,-1736,-1844,108,-14738,3084,88,0,-180,0,-84,68,128,0,4,-40,148,0,44,0,1080,848,232,-2290
1965:Q4,7768,412,364,-932,0,0,-128,2268,-844,6728,-1584,1368,500,6444,116,120,-4,144,4,7768,-2000,7872,7788,84,-2764,844,964,0,-844,0,-64,828,724,0,20,128,164,0,8,0,1020,492,528,1832
1966:Q1,3692,644,3952,940,0,0,560,1580,872,-1080,-5768,2496,-460,2652,-48,-4,-44,220,4,3692,6732,-9612,-9624,12,-5376,1992,-648,0,872,0,-12,-1720,64,0,32,-116,156,0,76,0,340,96,244,10264
1966:Q2,20272,968,3808,1488,0,0,700,272,1348,13976,23520,-1040,-612,-7892,1228,84,1144,292,0,20272,-5704,-2308,-2280,-28,23154,-1388,1264,0,1348,0,24,96,-664,0,40,232,124,0,64,0,476,172,304,4778
1966:Q3,-6920,432,2756,1380,0,0,-492,1528,340,-10392,-22120,16,912,10800,-32,-16,-16,312,4,-6920,13500,-2212,-2180,-32,-14228,-168,328,0,340,0,28,248,-288,0,56,-232,104,0,72,0,620,404,216,-4760
1966:Q4,3184,924,-1584,-3152,0,0,48,1684,-164,3980,2236,1740,904,-900,-416,-104,-312,280,0,3184,-7196,11364,11356,8,-4974,1724,1892,0,-164,0,-8,1552,156,0,76,128,72,0,80,0,1428,848,580,-1054
1967:Q1,11696,748,3788,2680,0,0,-84,1168,24,7120,-2156,-1136,-404,10816,-256,-32,-224,292,4,11696,13096,-1140,-1232,92,-2186,864,-372,0,24,0,-32,-956,264,0,156,-140,64,0,248,0,-380,-520,140,1814
1967:Q2,1528,432,4528,2940,0,0,72,2904,-1388,-5376,1004,688,-336,-6732,1632,64,1568,312,0,1528,-3576,1380,1260,120,2964,-1432,-772,0,-1388,0,-64,304,60,0,32,-40,60,0,264,0,-36,-200,164,3000
1967:Q3,35548,592,-796,-3160,0,0,104,-932,3192,35796,2172,-468,936,33156,-352,52,-404,304,4,35548,22920,6932,6784,148,2808,2580,3556,0,3192,0,-56,188,172,0,-136,-40,84,0,152,0,1304,1092,212,-4552
1967:Q4,14432,96,4092,1040,0,0,-128,3084,96,10476,-52,2984,1048,6496,-504,16,-520,268,4,14432,8724,3484,3316,168,-1662,932,868,0,96,0,-24,580,48,0,-312,232,88,0,160,0,1360,936,424,726
1968:Q1,2348,684,1424,-236,0,0,208,2540,-1088,-1416,-3468,984,-328,1396,1436,160,1276,220,0,2348,4356,4404,4280,124,-8038,-2380,-2128,0,-1088,0,48,-1648,-92,0,248,-212,80,0,536,0,56,40,16,6078
1968:Q2,2060,-364,2668,-1152,0,0,-68,4404,-516,-3028,1932,976,-312,-5624,2696,252,2444,84,4,2060,-5808,828,656,172,-754,2100,1044,0,-516,0,108,244,316,0,152,92,48,0,600,0,92,-128,220,4558
1968:Q3,40280,132,2516,-1388,0,0,-112,760,3256,41100,9016,-4416,792,35708,-3652,444,-4096,184,0,40280,28976,2032,1856,176,15412,-4656,4980,0,3256,0,108,836,132,0,104,12,36,0,496,0,1404,1124,280,-7868
1968:Q4,20804,216,3952,-1500,0,0,296,1752,3404,12064,-8376,7704,944,11792,4044,-32,4076,520,8,20804,8188,4212,4064,148,-15690,2292,4816,0,3404,0,44,992,128,0,-208,120,68,0,268,0,1848,1208,640,15138
1969:Q1,-9080,124,316,600,0,0,-292,5300,-5292,-16960,-1520,-300,-44,-15096,7340,112,7228,100,0,-9080,-7520,7496,7388,108,-3104,-476,-6000,0,-5292,0,-4,-1340,-40,0,480,52,56,0,88,0,-128,-224,96,652
1969:Q2,11828,-360,6052,2152,0,0,60,728,3112,5540,4088,-420,-44,1916,432,-48,480,160,4,11828,-8672,8632,8552,80,4028,-536,1916,0,3112,0,-56,-520,16,0,-728,88,72,0,-68,0,448,-32,480,6012
1969:Q3,11552,100,1532,-1132,0,0,-36,2736,-36,8644,-564,916,744,7548,1112,144,968,160,4,11552,7552,4684,4620,64,4624,828,832,0,-36,0,-64,248,-20,0,56,712,108,0,-172,0,1252,852,400,-8220
1969:Q4,18416,348,5464,664,0,0,-132,2256,2676,21428,-1828,2532,820,19904,-8932,12,-8944,104,4,18416,1744,1868,1804,64,664,7700,3348,0,2676,0,-40,1420,80,0,-80,-656,112,0,-164,0,1696,700,996,1396
1970:Q1,28008,208,9608,4268,0,0,316,6668,-1644,1892,5176,-148,80,-3216,15808,4,15804,488,4,28008,18480,460,348,112,16146,-160,-2888,0,-1644,0,68,-628,20,0,-292,-280,124,0,-256,0,588,400,188,-4618
1970:Q2,19336,344,964,-2648,0,0,-184,396,3400,19208,7000,-64,52,12220,-1528,16,-1544,344,4,19336,19632,-2824,-2932,108,2006,-84,2808,0,3400,0,136,-384,-444,0,280,52,156,0,-388,0,364,-116,480,-2566
1970:Q3,41504,352,1960,-3332,0,0,-180,8108,-2636,33816,1112,872,1048,30784,5108,44,5064,268,0,41504,39388,188,84,104,-1800,-4072,-2136,0,-2636,0,144,196,440,0,-128,28,196,0,-376,0,1348,912,436,8588
1970:Q4,-38936,300,-2556,184,0,0,-76,-2452,-212,-34300,-1752,160,916,-33624,-2668,48,-2716,280,8,-38936,-47200,6360,6248,112,-2234,448,2008,0,-212,0,96,1312,312,0,456,52,224,0,-232,0,1640,888,752,42
1971:Q1,28360,484,10380,3128,0,0,232,6240,780,11288,-13180,244,-1216,25440,6320,-24,6344,-120,8,28360,34788,-5900,-6012,112,-4570,5288,412,0,780,0,92,-836,372,0,-144,52,228,0,-132,0,-716,-1008,292,-942
1971:Q2,45672,600,5780,1292,0,0,-128,-180,4796,32996,14660,-324,-1308,19968,6388,336,6052,-100,8,45672,18496,5368,5260,108,12136,-960,5128,0,4796,0,84,-268,24,0,272,-72,216,0,76,0,-428,-1100,672,5932
1971:Q3,27892,508,3424,-1876,0,0,4,6996,-1700,25504,1300,-480,308,24376,-2580,-300,-2280,1032,4,27892,28340,-4332,-4468,136,92,1952,-172,0,-1700,0,72,100,148,0,120,772,204,0,112,0,340,12,328,1672
1971:Q4,-27756,320,-1556,1044,0,0,368,-1068,-1900,-17628,6144,168,232,-24172,-9516,724,-10240,616,8,-27756,-28248,-500,-692,192,6344,-2344,-464,0,-1900,0,60,1024,252,0,392,-536,204,0,40,0,1948,1324,624,-4492
1972:Q1,36944,1072,992,-5580,0,0,-760,3036,4296,52276,-5888,4180,1388,52596,-17096,164,-17260,-308,8,36944,24304,4216,3976,240,-11870,4084,2896,0,4296,0,48,-2396,432,0,620,-320,200,0,16,0,988,792,196,12326
1972:Q2,13860,684,392,-2200,0,0,92,1784,716,18240,-344,-3076,1508,20152,-5164,408,-5572,-300,8,13860,15884,836,524,312,-2288,-3372,2136,0,716,0,40,656,232,0,176,100,196,0,20,0,2684,2008,676,-2020
1972:Q3,30040,536,4980,44,0,0,-276,3104,2108,24184,1828,3324,1344,17688,-620,1332,-1952,956,4,30040,-504,7928,7624,304,-6024,3196,3044,0,2108,0,24,376,424,0,-96,20,196,0,-8,0,2816,2400,416,19584
1972:Q4,21288,452,7912,3312,0,0,560,6660,-2620,2352,7228,-736,1328,-5468,9608,-680,10288,956,8,21288,14156,-2480,-2696,216,16272,-836,764,0,-2620,0,12,2236,852,0,176,8,192,0,-92,0,2256,1208,1048,-8844
1973:Q1,27916,428,12048,6196,0,0,292,1960,3600,19880,2116,388,-1036,18412,-4568,-696,-3872,116,12,27916,20416,-1372,-1888,516,9420,256,1712,0,3600,0,0,-1828,396,0,-620,140,188,0,-164,0,-1084,-1440,356,-1432
1973:Q2,25144,444,3232,-2524,0,0,-20,5536,240,17776,-5776,-820,2424,21948,4032,1344,2688,-352,12,25144,28564,776,232,544,-8948,-1012,672,0,240,0,-24,-92,508,0,208,-96,188,0,-260,0,4580,3748,832,512
1973:Q3,-16752,332,-4084,-10080,0,0,252,3208,2536,-9376,-8948,-416,924,-936,-4488,-484,-4004,864,0,-16752,-15408,4200,3604,596,-25224,-748,3220,0,2536,0,-20,-264,1296,0,-256,16,184,0,-272,0,1104,692,412,16104
1973:Q4,38328,408,8780,4416,0,0,-800,3380,1784,22360,8576,1148,6592,6044,6080,2788,3292,696,4,38328,15836,4148,3560,588,17728,652,4852,0,1784,0,-8,2540,460,0,-224,332,180,0,-212,0,10736,8580,2156,-15624
1974:Q1,3712,388,6892,-12,0,0,476,7016,-588,-2268,-5112,404,1832,608,-1192,-876,-316,-116,8,3712,12372,368,-1396,1764,-3082,-32,-3084,0,-588,0,28,-2308,596,0,-740,-104,176,0,-144,0,1952,1432,520,-4782
1974:Q2,16488,444,1760,-3960,0,0,104,6960,-1344,-312,-2728,4008,1812,-3404,14704,2604,12100,-120,12,16488,7448,1616,652,964,-6422,3872,-888,0,-1344,0,48,-168,944,0,-216,-216,172,0,-108,0,5460,4520,940,5402
1974:Q3,116,580,11384,2272,0,0,1036,3596,4480,-1052,-4724,-4472,324,7820,-11024,-2080,-8944,228,0,116,-10004,9996,10612,-616,-10740,-4348,5792,0,4480,0,56,204,1012,0,-140,88,172,0,-80,0,108,-720,828,9312
1974:Q4,11316,732,9400,3456,0,0,-724,5408,1260,-1148,-7668,-148,4316,2352,2128,2480,-352,196,8,11316,12136,-7008,-5264,-1744,2026,240,4628,0,1260,0,84,1984,1092,0,-64,180,168,0,-76,0,7728,6072,1656,-8434
1975:Q1,13004,804,12380,6308,0,0,316,5588,168,4044,-3652,2292,-6080,11484,-4940,-1496,-3444,700,16,13004,-13652,28964,29084,-120,9740,2756,-840,0,168,0,-676,-1540,1040,0,252,-200,164,0,-48,0,-6808,-7260,452,-7156
1975:Q2,53856,936,5728,-204,0,0,-592,5704,820,38624,-5204,-1964,3112,42680,7840,1244,6596,712,16,53856,46716,6988,6768,220,-5408,-1600,2048,0,820,0,172,-268,1156,0,60,-16,164,0,-40,0,5108,3764,1344,4
1975:Q3,88,988,10572,5100,0,0,-592,4148,1916,-7084,-1548,-812,-872,-3852,-5164,52,-5216,768,8,88,-14824,5248,4368,880,-1098,-512,2176,0,1916,0,288,-1008,1072,0,-144,-104,160,0,-4,0,-440,-1412,972,9538
