1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2016:Q2,3073101,136399,373495,18615,141711,1460855,174744,521736,490125,27394,246856,312789,211005,101784,105911,60060,189819,139996,133451,8223839,3155972,27240,3128732,17777,886180,4163910
2016:Q3,3142268,138219,368567,19889,147050,1492567,166466,535263,502637,29073,259128,321423,212212,109211,110091,62720,196852,142800,142090,8226039,3150721,30098,3120623,17773,896976,4160569
2016:Q4,3147003,143016,381342,21562,144995,1471458,164064,529928,489711,29308,258447,323206,213427,109779,108740,62237,201164,145604,143679,8297808,3150624,30382,3120242,18480,907898,4220806
2017:Q1,3186321,143156,375717,20899,147731,1508213,176320,542127,492914,30517,266335,321225,214996,106229,110984,63814,197476,147056,150050,8252577,3138190,30165,3108025,18527,918922,4176938
2017:Q2,3187137,140698,371439,20522,148814,1518244,176763,548326,490417,31404,271334,308039,216576,91463,111992,64690,199337,148509,154853,8233923,3135402,24650,3110752,18662,929958,4149901
2017:Q3,3214499,134379,376903,21271,149925,1541673,190352,554671,487895,32311,276444,298526,218167,80359,113026,65585,204010,149444,159757,8170044,3120595,32991,3087604,18702,941130,4089617
2017:Q4,3329446,140552,395470,21868,155435,1590779,189975,577403,499387,34198,289816,312219,219772,92447,117385,68425,207401,150379,169533,8137134,3150891,35179,3115712,18948,952614,4014681
2018:Q1,3265258,140095,390174,20619,148949,1551400,209220,555569,472351,33445,280815,305660,221065,84595,112684,65984,208700,154776,166217,8194763,3132618,36114,3096504,19174,964214,4078757
2018:Q2,3321347,134532,384241,19992,153130,1592623,212956,573493,479205,35079,291890,301483,222368,79115,116051,68263,217095,159174,174763,8239975,3132446,31623,3100823,19389,976082,4112058
2018:Q3,3399044,127840,389848,19484,158265,1640655,214912,595145,488627,36978,304993,295430,223677,71753,120154,70996,227775,163944,184653,8251134,3124780,37280,3087500,19685,988148,4118521
2018:Q4,3392327,132916,403380,19778,156165,1614469,207826,589650,475556,37203,304234,291193,224996,66197,118770,70494,230252,168713,186197,8621389,3112860,38052,3074808,20051,1000277,4488201
2019:Q1,3449495,131317,405103,20660,159002,1656949,224941,602818,477455,38612,313123,288221,226246,61975,121143,72224,230643,170567,193666,8471043,3097377,39211,3058166,20299,1012643,4340724
2019:Q2,3492456,128994,405835,22147,162000,1691208,232398,616696,479558,40089,322467,275370,227505,47865,123647,74046,235290,172420,201499,8395738,3080012,36602,3043410,20563,1025472,4269691
2019:Q3,3492191,128608,410152,24464,160258,1672159,229035,610065,474401,39658,319000,284594,230785,53809,122317,73250,240935,176121,199333,8457569,3076935,40103,3036832,20823,1038456,4321355
2019:Q4,3522404,139075,423154,26537,158334,1651089,225291,612612,458834,39182,315170,311863,234111,77752,120849,72370,242371,179822,196940,8353141,3112809,44840,3067969,21098,1051630,4167604
2020:Q1,3500955,142313,430350,33735,153510,1630528,234774,613088,439111,37988,305567,328889,244487,84402,117166,70165,233037,183722,177540,8939264,3120311,43040,3077271,21207,1065029,4732717
2020:Q2,3700373,167254,429711,38301,166254,1752397,216957,783419,413300,41133,297588,344566,255324,89242,126900,75993,222292,187621,189084,8665101,3142869,41169,3101700,21370,1078126,4422736
2020:Q3,3794802,178084,434052,38644,167757,1776749,206177,834702,394163,41509,300198,373247,266640,106607,128049,76678,233996,186133,201413,8620853,3179542,44853,3134689,21811,1091568,4327932
2020:Q4,3895960,229872,413612,40208,171253,1826983,200767,873197,403395,42384,307240,394244,278458,115786,130709,78267,240657,184645,185510,8275933,3208447,46564,3161883,22097,1105251,3940138
2021:Q1,3904610,248855,406226,44277,168247,1846008,240748,871477,392896,41644,299243,395498,273814,121684,113600,62406,244765,189339,185389,8281406,3233157,43127,3190030,22261,1119334,3906654
2021:Q2,4233056,296644,392062,47324,190925,2140337,236453,1181841,387683,38540,295820,392003,269248,122755,114827,55103,253102,194033,156696,8143060,3251673,36832,3214841,22262,1133680,3735445
