1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,961,1166,429,429,737,14098,617,396,29,-4,0,-507,3936,-200,2524,389,204,1019,5692,1797,517,2945,433,0,684,42,0,0,0,39,3174,13361,13258,31,5299,2642,24,0,-747,11,-151,-105,267,594,230,364,-11,114,751,4796,0,172,-418,103,60,43,-205
1957:Q1,917,37,419,419,-383,6453,-922,-581,32,15,0,700,643,400,-1752,285,364,1346,2283,-430,439,2203,71,1,870,71,0,0,0,39,3302,6835,6411,-1397,-4000,3530,-14,0,892,1430,591,405,434,-1298,-814,-484,3,231,698,5268,10,-100,1158,424,283,141,880
1957:Q2,888,841,421,421,421,10895,811,148,32,24,0,-159,-1907,-258,-3723,-175,643,1606,6940,2357,866,2395,1322,2,572,43,0,0,0,40,4349,10474,10547,739,-911,3549,27,0,-278,579,-245,610,214,130,221,-91,2,224,645,5633,0,-191,399,-73,-102,29,47
1957:Q3,904,1039,431,431,609,14029,-192,126,34,-137,0,-46,5382,140,3146,-35,495,1636,3543,-307,275,2708,867,0,1324,37,0,0,0,40,3918,13420,12969,345,1756,1955,-147,0,37,904,286,193,425,229,55,174,2,193,637,5764,0,249,1045,451,429,22,-136
1957:Q4,899,1195,424,424,772,13916,322,500,33,98,0,-190,3705,144,10,783,807,1961,3698,563,391,2431,313,1,1347,47,0,0,0,41,4314,13144,12765,-468,2671,3264,104,0,-665,543,163,216,164,500,330,170,-15,187,671,5948,10,225,-210,379,345,34,-297
1958:Q1,867,750,417,417,333,7930,-1159,-556,37,311,0,511,5203,662,1016,835,1115,1575,-185,-1982,501,2104,-808,3,641,74,0,0,0,39,3011,7597,7535,-1980,-4198,5684,321,0,567,954,792,-118,280,-567,19,-586,1,325,714,5428,0,127,159,62,0,62,117
1958:Q2,876,1014,401,401,612,19167,457,229,37,136,0,-131,8720,168,5363,-516,1704,2001,5306,1372,847,2672,415,0,870,40,0,0,0,37,3466,18555,18702,146,4564,5453,144,0,1,-557,-354,-101,-102,1624,1304,320,0,467,764,5436,0,-320,980,-147,-161,14,-137
1958:Q3,886,1036,396,396,639,7531,-27,140,38,-304,0,-47,2968,-26,1188,314,749,743,2035,-1646,0,3568,113,0,437,36,0,0,0,36,2219,6892,7119,868,-2179,2468,-259,0,330,-415,-304,221,-332,-1627,-1798,171,0,339,778,5467,10,146,1193,-227,-245,18,-150
1958:Q4,945,1059,411,411,648,18737,617,342,38,17,0,-822,5242,-481,3572,362,491,1298,8740,3372,1119,3847,402,2,964,43,0,0,0,36,3518,18089,18315,326,7484,3257,-40,0,-896,-279,-383,92,12,1600,1231,369,9,277,761,5391,0,110,315,-226,-240,14,-114
1959:Q1,1077,522,434,434,88,6277,-268,-286,51,-82,0,841,-2354,189,-3531,-311,725,574,3445,-1002,706,3197,544,1,989,94,0,0,0,40,3806,6189,6023,-15,-5874,2149,-83,0,1088,680,397,121,162,-331,-261,-70,0,428,769,5841,10,-154,1515,166,88,78,555
