1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q4,571589,463866,17380,-22016,-4424,71344,1584,696,264,2184,608,-9580,11700,648,8280,872,28184,695248,625297,12144,2380,3794,17292,2792,1176,-4956,-11420,5626,28348,6420,-15498,24484,0,18976,-8068,-3832,-9896,188,0,-123659
1989:Q1,490057,370602,20872,-6948,7201,-1477,8576,1132,-3588,-376,9624,656,13809,-1016,-11688,672,82006,413824,406386,6408,-1396,-4528,44578,11112,856,-7577,0,8130,3264,2464,21624,-35346,0,-10320,-21995,-1576,-10288,2028,0,76233
1989:Q2,28072,-38170,20872,43992,-7182,15618,1332,364,50,964,8600,-9224,-16795,464,16440,1424,-10677,95147,-15803,5908,2305,5840,13239,-2104,1132,-2757,0,15172,-29772,4744,28892,12816,0,20808,-5549,2864,36312,1100,0,-67076
1989:Q3,187111,136315,20872,11892,3564,24486,15404,404,211,2596,9684,12044,-1914,12,-71980,-1096,24617,54328,17073,3412,3711,-7004,37439,14976,972,10402,0,9792,-44180,5124,-20172,10692,0,22444,-4037,-1160,-3940,-1216,0,132783
1989:Q4,-9909,56944,20876,15704,-6407,-29447,-6936,608,2835,3272,10512,-3516,-5216,456,24364,1604,-95562,-307924,-210973,1908,848,-3130,-100398,-7884,596,6837,-18648,-22323,13796,4276,-20443,24706,0,7240,-2499,-296,12708,5756,0,298015
1990:Q1,91255,-94897,-3284,-664,19111,100233,-56,964,907,1028,-6464,-940,-24710,1280,72064,920,25763,185438,161353,-1224,1440,-7196,139834,1984,-2812,-11678,0,-16565,-31612,1360,21532,-35372,0,-13196,6839,-716,-28873,340,0,-94182
1990:Q2,-57877,-113660,-3284,15184,-13330,-28588,444,1408,1447,700,-2716,7888,40618,-260,39444,616,-3788,-59021,-146235,-720,4601,-1784,-2458,-4436,3408,8821,0,1336,-36292,4880,40207,14488,0,11900,7837,1852,33286,288,0,1144
1990:Q3,-4210,173085,-3284,-31648,4563,-91515,13708,1220,-1791,1144,-10340,-20348,28015,672,30432,12340,-110463,175536,222655,1780,-5732,2968,24578,14108,32,9581,0,-7439,-3076,-816,-55662,8999,0,-3856,-16453,580,23970,-40680,0,-179746
1990:Q4,-122783,114747,-3280,-51228,-14165,-48640,-2860,24,1361,6816,-11116,22664,-899,-1096,-69564,-3756,-61792,-114552,-15572,3276,5724,1414,-81474,-1200,-124,2193,25660,3007,-63844,824,24883,17118,0,15880,-5783,4144,-49295,-1384,0,-8231
1991:Q1,435450,222883,-608,53080,2980,-1555,15752,-260,2204,8276,25652,3436,29628,-20,84494,-3536,-6956,181177,137614,5920,3220,-2910,5961,19468,-368,-6874,0,54223,-11484,-15684,-41458,-38138,0,-13048,19143,952,66667,-2028,0,254273
1991:Q2,-96112,13126,1392,-27720,-17805,6554,-9816,-1028,743,-292,23088,7880,12594,308,-6118,480,-99499,87744,-8230,6424,1076,-1096,-19974,-13680,-652,17422,0,-8426,31104,3412,55552,14326,0,-2732,14236,-356,-3122,2460,0,-183856
1991:Q3,101980,237275,9392,-57708,15255,-99978,9160,-1268,1407,2720,712,14948,26864,220,79134,-84,-136069,70191,9842,-1080,-5727,368,-38644,17468,-700,17941,0,24976,-6740,1076,-45536,10832,0,8868,3994,2284,72785,-1816,0,31789
1991:Q4,69973,72233,4392,89516,-2234,-4863,3112,-940,-894,14156,-7032,1516,-9978,644,-87651,248,-2252,-420924,-351418,5424,15923,1744,-5309,-3272,-372,-8845,-8432,-6658,-21104,-1644,-482,14280,0,31980,7067,2620,-93914,1488,0,490896
