1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q2,7450,2357,156,2956,2188,97,473,198,1981,7450,7281,4990,1360,1092,-162,2,130,118,0,0,0,-208,-88,0,308,0,39,7450,510,-1,543,121,-205,52,6940,0,4737,37,5,152,0,585,32,300,35,0,515,9,0,338,0,195,0,0,0
1957:Q3,3753,-307,-44,3356,2358,197,684,117,748,3753,3419,3068,-71,750,-394,66,229,40,0,0,0,115,2,0,72,0,105,3753,210,41,-88,-26,226,57,3543,0,2147,28,5,148,0,602,33,46,39,0,304,4,0,291,0,-104,0,0,0
1957:Q4,5363,563,515,3039,1977,232,781,49,1246,5363,4266,3033,1165,294,-252,26,500,146,0,0,0,-37,-28,0,419,0,597,5363,1665,125,678,259,551,52,3698,0,2457,5,5,84,0,644,36,76,41,0,321,3,0,327,0,-301,0,0,0
1958:Q1,-894,-1982,835,2695,1601,414,553,127,-2442,-894,-494,-935,-432,461,361,51,-567,-569,0,0,0,-74,114,0,-38,0,167,-894,-709,594,-1230,-400,275,52,-185,0,-942,72,10,-12,0,558,36,165,44,0,-371,2,0,4,0,249,0,0,0
1958:Q2,6746,1372,872,3573,2167,492,684,230,929,6746,5015,3507,-242,1396,317,37,1624,233,0,0,0,-7,114,0,1284,0,107,6746,1440,727,446,72,144,51,5306,0,4056,32,13,105,0,424,36,348,47,0,112,2,0,-301,0,432,0,0,0
1958:Q3,3153,-1646,256,4307,2893,503,708,203,236,3153,4440,3510,-443,1075,239,59,-1627,81,0,0,0,19,-286,0,-1441,0,340,3153,1118,536,93,34,402,53,2035,0,1459,14,13,88,0,476,40,311,50,0,141,6,0,-631,0,68,0,0,0
1958:Q4,11171,3372,1392,4857,3142,545,1018,152,1550,11171,9233,5712,2575,868,45,33,1600,288,0,0,0,41,515,0,756,0,338,11171,2431,601,856,295,623,56,8740,0,6597,-48,7,86,-1,687,47,110,55,0,346,7,0,631,0,216,0,0,0
1959:Q1,3530,-1002,875,4156,2788,567,553,248,-499,3530,3916,2226,254,1465,-54,25,-331,-211,0,0,0,25,514,0,-659,0,-55,3530,85,367,-789,-267,713,61,3445,0,1721,-1,2,66,0,484,54,133,56,0,123,5,0,768,0,34,0,0,0
1959:Q2,13075,3554,1457,5177,3439,547,804,387,2887,13075,11790,6966,2376,2381,4,63,998,450,0,0,0,-43,543,0,48,0,287,13075,1606,63,549,133,794,67,11469,0,8262,11,-2,208,-2,482,60,385,55,0,889,6,0,1018,0,97,0,0,0
1959:Q3,9020,1909,-153,5224,3716,533,771,204,2040,9020,7987,6161,313,1589,-119,43,852,258,0,0,0,-7,506,0,95,0,181,9020,223,-165,-114,-25,461,66,8797,0,6386,41,-3,227,-3,671,65,323,64,0,574,1,0,605,0,-154,0,0,0
