1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q4,20407,11926,6849,4219,62,8,2561,0,10716,5639,8120,3404,4099,37,6,-738,4716,0,1328,3061,0,442,0,-115,0,361,1600734,299354
1956:Q1,43100,14148,5715,4077,56,6,1577,0,10191,1758,28357,6161,5624,16,5,516,22196,0,16260,5661,0,402,0,-127,0,596,1643835,303616
1956:Q2,10298,7705,5657,4093,56,8,1501,0,7309,5261,2084,5177,4885,15,6,272,-3093,0,-8570,5738,0,23,0,-284,0,508,1654132,308551
1956:Q3,18496,13873,5437,3995,59,8,1375,0,11823,3387,4203,5969,3785,37,4,2143,-1766,0,-4988,3927,0,-430,0,-275,0,420,1672629,313182
1956:Q4,38023,12587,5589,3903,58,9,1619,0,11765,4767,25106,2915,924,17,3,1972,22191,0,20206,1771,0,426,0,-212,0,330,1710652,319894
1957:Q1,13159,15992,6067,3877,52,12,2126,0,11087,1161,-5444,4912,3947,46,2,918,-10356,0,-13386,3491,0,-171,0,-290,0,2611,1723811,323789
1957:Q2,37196,9310,5729,3793,50,12,1875,0,8648,5067,25500,5841,3969,-1,2,1872,19658,0,16287,3144,0,357,0,-130,0,2387,1761007,328145
1957:Q3,-1726,15321,5432,3745,55,12,1620,0,13032,3143,-19210,3323,3689,24,2,-391,-22534,0,-24997,3711,0,-879,0,-369,0,2164,1759281,332482
1957:Q4,16721,12691,5174,3651,50,12,1461,0,10622,3105,2096,-775,-769,48,1,-55,2871,0,1968,1707,0,-474,0,-330,0,1935,1776003,331974
1958:Q1,33384,15760,3727,3199,58,14,456,0,11168,-865,17085,-3160,-6446,-16,2,3300,20245,0,14711,5319,0,424,0,-209,0,539,1809387,333104
1958:Q2,27297,5573,3268,3116,51,15,87,0,5875,3570,21117,2432,2807,12,4,-390,18685,0,14886,3293,0,680,0,-174,0,607,1836684,336028
1958:Q3,54195,14929,3706,3364,50,15,278,0,14799,3576,38592,6681,6549,1,4,127,31911,0,29064,2172,0,842,0,-166,0,674,1890879,343668
1958:Q4,30202,11714,4441,3810,58,16,557,0,13063,5790,17749,5442,5747,0,4,-309,12307,0,10801,519,0,1174,0,-187,0,739,1921081,348811
1959:Q1,20563,14662,6105,4389,54,16,1646,0,11082,2524,6168,-2195,-4530,25,4,2307,8363,0,6767,1504,0,462,0,-370,0,-267,1941644,353222
1959:Q2,27774,7984,6495,4549,58,17,1871,0,8552,7063,20351,5882,5900,15,4,-37,14469,0,12288,1944,0,540,0,-302,0,-561,1969419,360377
1959:Q3,13077,13985,6510,4452,62,17,1979,0,13745,6270,-210,4287,5019,12,4,-747,-4497,0,-4739,1331,0,-581,0,-508,0,-698,1982496,362062
1959:Q4,33590,9735,5782,4310,59,18,1395,0,10761,6808,24590,2841,3636,4,2,-801,21749,0,20242,1132,0,736,0,-361,0,-735,2016086,366634
1960:Q1,8229,16895,5854,4539,59,17,1399,-159,11964,923,-9552,8498,8444,-10,1,63,-18050,0,-19685,3096,0,-817,0,-644,0,886,2024315,371359
1960:Q2,18029,7316,5522,4059,64,19,1544,-163,8652,6859,9778,720,599,10,0,112,9058,0,7037,1977,0,452,0,-407,0,935,2042343,375715
1960:Q3,-4650,13409,5102,3865,55,19,1331,-168,12889,4582,-19038,2535,2768,-1,-0,-232,-21573,0,-23261,3100,0,-725,0,-687,0,979,2037693,377847
1960:Q4,53365,10664,4686,3816,46,19,978,-174,11462,5483,41663,-2049,-2045,-12,-1,10,43711,0,39924,2813,0,1249,0,-274,0,1038,2091058,379358
1961:Q1,50545,10765,3988,3741,45,21,364,-183,7538,761,38893,-5713,-5350,4,2,-370,44606,0,39131,3735,0,1996,0,-256,0,887,2141603,383653
1961:Q2,22664,9811,4186,3685,61,24,604,-188,11826,6201,11936,7750,7285,-7,-1,473,4186,0,685,3907,0,275,0,-681,0,917,2164267,389432
1961:Q3,36436,13049,4637,3905,66,27,833,-193,12687,4275,22420,6589,6155,-10,-2,445,15831,0,10878,4973,0,593,0,-613,0,966,2200703,396030
1961:Q4,56015,12406,5194,4030,84,30,1248,-197,14338,7126,42942,4671,5329,-14,-3,-641,38271,0,32883,4548,0,1314,0,-474,0,667,2256718,404186
1962:Q1,13051,15331,5578,4195,71,33,1477,-198,11080,1327,-1050,4015,4196,-7,-1,-174,-5065,0,-8638,4703,0,-216,0,-913,0,-1229,2269770,409933
1962:Q2,-94948,9393,5943,4323,74,34,1713,-201,10549,7099,-103163,970,929,-5,-2,49,-104133,0,-101296,3889,0,-5008,0,-1718,0,-1178,2174821,415826
1962:Q3,39451,14393,5895,4262,71,34,1733,-205,14713,6215,25734,1075,647,-2,-1,430,24660,0,20018,4648,0,483,0,-489,0,-676,2214273,419178
1962:Q4,104929,12900,6125,4156,70,34,2073,-209,14270,7495,93061,3544,4528,-16,-2,-966,89517,0,84529,3433,0,1903,0,-348,0,-1032,2319202,424193
1963:Q1,34717,14813,6293,4268,69,40,2130,-213,11430,2910,29206,3366,3555,-5,-5,-180,25840,0,23847,1566,0,1043,0,-616,0,-9302,2353919,429107
1963:Q2,32319,10549,6807,4602,65,39,2319,-218,13259,9517,21092,-2825,-3176,-2,1,353,23917,0,23152,465,0,1009,0,-709,0,678,2386237,433739
1963:Q3,41774,15052,6851,4599,73,40,2362,-223,15718,7517,26292,6170,5854,3,0,313,20122,0,21192,-723,0,441,0,-788,0,431,2428012,440601
1963:Q4,-5341,16949,7132,4785,80,41,2456,-229,18827,9011,-22620,917,531,2,2,382,-23537,0,-25467,2310,0,446,0,-826,0,330,2422671,449437
1964:Q1,46853,18411,7697,4989,86,42,2816,-236,14678,3964,27515,-3222,-3337,-4,1,118,30737,0,29543,390,0,1588,0,-784,0,927,2469524,460392
1964:Q2,44367,13317,7584,4700,86,42,2995,-240,15331,9597,30267,8475,8775,-0,-1,-298,21792,0,16570,5770,0,408,0,-956,0,783,2513891,473838
1964:Q3,46356,22085,7778,4603,91,44,3284,-243,21119,6812,23464,1047,1463,-3,-2,-411,22417,0,18403,3908,0,1111,0,-1005,0,807,2560247,481587
1964:Q4,43940,18306,7180,4626,95,45,2660,-246,20117,8991,28462,7437,8059,-7,-5,-610,21025,0,15155,7428,0,-423,0,-1135,0,-2828,2604187,488675
1965:Q1,44277,21465,8796,4966,102,49,3923,-245,16164,3495,21618,2062,2149,-6,-8,-74,19556,0,15482,4453,0,769,0,-1148,0,1195,2648465,496020
1965:Q2,-2917,14103,8667,5086,94,48,3686,-247,15041,9605,-17971,-415,393,-8,-3,-798,-17556,0,-20374,4985,0,-707,0,-1460,0,951,2645547,504149
1965:Q3,77714,25578,8995,5132,107,50,3956,-249,23499,6916,51429,-406,811,9,-2,-1224,51835,0,47752,2799,0,2020,0,-736,0,708,2723262,519863
1965:Q4,79884,20587,9459,5199,103,48,4361,-253,20529,9400,58834,8681,10051,-16,6,-1360,50154,0,38418,11129,0,1808,0,-1201,0,462,2803145,531956
1966:Q1,7111,26688,10166,5265,100,52,5009,-259,19360,2838,-21332,-5540,-5472,9,-1,-77,-15792,0,-16745,2669,0,-86,0,-1629,0,1754,2810256,541375
1966:Q2,32243,16287,8975,4937,104,54,4144,-263,17007,9696,14528,26260,25000,31,-1,1230,-11731,0,-22751,14146,0,-1353,0,-1774,0,1428,2842499,547242
1966:Q3,-28688,27531,9016,4664,97,54,4467,-265,22406,3891,-57327,-780,-2110,39,1,1289,-56547,0,-55477,4416,0,-3386,0,-2100,0,1108,2813811,558165
1966:Q4,88626,21247,8242,4113,102,58,4234,-266,19476,6471,66588,17662,16252,57,-1,1354,48927,0,38859,9036,0,2059,0,-1027,0,791,2902437,569061
