NNA_code,NNA_industry,IO_pre1997_code,IO_pre1997_industry,IO_post1997_code,IO_post1997_industry,IND1990_industry,IND1990_code
331,Primary metals,331,Primary metals,331,Primary metals,"Blast furnaces, steelworks, rolling and finishing mills",270
331,Primary metals,331,Primary metals,331,Primary metals,Iron and steel foundries,271
331,Primary metals,331,Primary metals,331,Primary metals,Primary aluminum industries,272
331,Primary metals,331,Primary metals,331,Primary metals,Other primary metal industries,280
332,Fabricated metal products,332,Fabricated metal products,332,Fabricated metal products,"Cutlery, handtools, and general hardware",281
332,Fabricated metal products,332,Fabricated metal products,332,Fabricated metal products,Fabricated structural metal products,282
332,Fabricated metal products,332,Fabricated metal products,332,Fabricated metal products,Screw machine products,290
332,Fabricated metal products,332,Fabricated metal products,332,Fabricated metal products,Metal forgings and stampings,291
332,Fabricated metal products,332,Fabricated metal products,332,Fabricated metal products,Ordnance,292
332,Fabricated metal products,332,Fabricated metal products,332,Fabricated metal products,Miscellaneous fabricated metal products,300
332,Fabricated metal products,332,Fabricated metal products,332,Fabricated metal products,"Metal industries, n.s.",301
333,Machinery,333,Machinery,333,Machinery,Engines and turbines,310
333,Machinery,333,Machinery,333,Machinery,Farm machinery and equipment,311
333,Machinery,333,Machinery,333,Machinery,Construction and material handling machines,312
333,Machinery,333,Machinery,333,Machinery,Metalworking machinery,320
333,Machinery,333,Machinery,333,Machinery,Office and accounting machines,321
333,Machinery,333,Machinery,333,Machinery,"Machinery, except electrical, n.e.c.",331
333,Machinery,333,Machinery,333,Machinery,"Machinery, n.s.",332
334,Computer and electronic products,334,Computer and electronic products,334,Computer and electronic products,Computers and related equipment,322
334,Computer and electronic products,334,Computer and electronic products,334,Computer and electronic products,"Radio, TV, and communication equipment",341
334,Computer and electronic products,334,Computer and electronic products,334,Computer and electronic products,Scientific and controlling instruments,371
334,Computer and electronic products,334,Computer and electronic products,334,Computer and electronic products,Photographic equipment and supplies,380
334,Computer and electronic products,334,Computer and electronic products,334,Computer and electronic products,"Watches, clocks, and clockwork operated devices",381
335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",Household appliances,340
335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components","Electrical machinery, equipment, and supplies, n.e.c.",342
335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components","Electrical machinery, equipment, and supplies, n.s.",350
3361MV,"Motor vehicles, bodies and trailers, and parts",3361MV,"Motor vehicles, bodies and trailers, and parts",3361MV,"Motor vehicles, bodies and trailers, and parts",Motor vehicles and motor vehicle equipment,351
3364OT,Other transportation equipment,3364OT,Other transportation equipment,3364OT,Other transportation equipment,Aircraft and parts,352
3364OT,Other transportation equipment,3364OT,Other transportation equipment,3364OT,Other transportation equipment,Ship and boat building and repairing,360
3364OT,Other transportation equipment,3364OT,Other transportation equipment,3364OT,Other transportation equipment,Railroad locomotives and equipment,361
3364OT,Other transportation equipment,3364OT,Other transportation equipment,3364OT,Other transportation equipment,"Guided missiles, space vehicles, and parts",362
3364OT,Other transportation equipment,3364OT,Other transportation equipment,3364OT,Other transportation equipment,Cycles and miscellaneous transportation equipment,370
337,Furniture and related products,337,Furniture and related products,337,Furniture and related products,Furniture and fixtures,242
339,Miscellaneous manufacturing,339,Miscellaneous manufacturing,339,Miscellaneous manufacturing,"Toys, amusement, and sporting goods",390
339,Miscellaneous manufacturing,339,Miscellaneous manufacturing,339,Miscellaneous manufacturing,Miscellaneous manufacturing industries,391
339,Miscellaneous manufacturing,339,Miscellaneous manufacturing,339,Miscellaneous manufacturing,"Manufacturing industries, n.s.",392
339,Miscellaneous manufacturing,339,Miscellaneous manufacturing,339,Miscellaneous manufacturing,"Medical, dental, and optical instruments and supplies",372
339,Miscellaneous manufacturing,339,Miscellaneous manufacturing,339,Miscellaneous manufacturing,"Manufacturing, non-durable - allocated",229
